date,open,high,low,close,volume,adj_close,fetched_at
2020-07-29,450.0,492.0,450.0,492.0,80,492.0,2026-09-03T19:34:57.920753+00:00
2020-07-30,501.0,541.0,501.0,541.0,90,541.0,2026-09-03T19:34:57.920753+00:00
2020-08-02,551.0,595.0,551.0,595.0,230,595.0,2026-09-03T19:34:57.920753+00:00
2020-08-03,606.0,654.0,606.0,654.0,776,654.0,2026-09-03T19:34:57.920753+00:00
2020-08-05,667.0,719.0,667.0,719.0,4522,719.0,2026-09-03T19:34:57.920753+00:00
2020-08-06,754.0,790.0,715.0,719.0,31854,719.0,2026-09-03T19:34:57.920753+00:00
2020-08-09,754.0,754.0,669.0,692.0,9707,692.0,2026-09-03T19:34:57.920753+00:00
2020-08-10,687.0,761.0,685.0,746.0,11652,746.0,2026-09-03T19:34:57.920753+00:00
2020-08-11,732.0,746.0,690.0,718.0,5870,718.0,2026-09-03T19:34:57.920753+00:00
2020-08-12,705.0,729.0,700.0,705.0,3541,705.0,2026-09-03T19:34:57.920753+00:00
2020-08-13,692.0,751.0,692.0,720.0,7146,720.0,2026-09-03T19:34:57.920753+00:00
2020-08-16,706.0,710.0,680.0,695.0,5753,695.0,2026-09-03T19:34:57.920753+00:00
2020-08-17,708.0,732.0,683.0,718.0,4011,718.0,2026-09-03T19:34:57.920753+00:00
2020-08-18,704.0,710.0,696.0,710.0,2177,710.0,2026-09-03T19:34:57.920753+00:00
2020-08-19,697.0,697.0,687.0,690.0,4465,690.0,2026-09-03T19:34:57.920753+00:00
2020-08-20,703.0,703.0,680.0,694.0,2401,694.0,2026-09-03T19:34:57.920753+00:00
2020-08-23,694.0,714.0,681.0,714.0,4104,714.0,2026-09-03T19:34:57.920753+00:00
2020-08-24,708.0,722.0,701.0,719.0,5291,719.0,2026-09-03T19:34:57.920753+00:00
2020-08-25,720.0,745.0,705.0,717.0,3897,717.0,2026-09-03T19:34:57.920753+00:00
2020-08-26,705.0,722.0,705.0,714.0,4609,714.0,2026-09-03T19:34:57.920753+00:00
2020-08-27,710.0,719.0,702.0,709.0,2704,709.0,2026-09-03T19:34:57.920753+00:00
2020-08-30,681.0,709.0,681.0,703.0,1698,703.0,2026-09-03T19:34:57.920753+00:00
2020-08-31,705.0,711.0,700.0,704.0,5805,704.0,2026-09-03T19:34:57.920753+00:00
2020-09-02,712.0,724.0,701.0,706.0,4545,706.0,2026-09-03T19:34:57.920753+00:00
2020-09-03,697.0,705.0,695.0,704.0,4522,704.0,2026-09-03T19:34:57.920753+00:00
2020-09-06,739.0,739.0,697.0,702.0,5536,702.0,2026-09-03T19:34:57.920753+00:00
2020-09-07,700.0,709.0,691.0,709.0,4312,709.0,2026-09-03T19:34:57.920753+00:00
2020-09-08,710.0,717.0,701.0,709.0,5292,709.0,2026-09-03T19:34:57.920753+00:00
2020-09-09,723.0,779.0,713.0,775.0,24756,775.0,2026-09-03T19:34:57.920753+00:00
2020-09-10,813.0,813.0,761.0,782.0,11276,782.0,2026-09-03T19:34:57.920753+00:00
