date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,170.0,172.0,170.0,171.0,5013,171.0,2026-09-03T19:34:04.800923+00:00
2012-09-10,171.0,172.0,166.0,172.0,5097,172.0,2026-09-03T19:34:04.800923+00:00
2012-09-11,172.0,172.0,170.0,172.0,1662,172.0,2026-09-03T19:34:04.800923+00:00
2012-09-12,172.0,172.0,171.0,171.0,3222,171.0,2026-09-03T19:34:04.800923+00:00
2012-09-13,171.0,173.0,171.0,173.0,2968,173.0,2026-09-03T19:34:04.800923+00:00
2012-09-16,173.0,175.0,172.0,175.0,3274,175.0,2026-09-03T19:34:04.800923+00:00
2012-09-17,175.0,177.0,173.0,177.0,3239,177.0,2026-09-03T19:34:04.800923+00:00
2012-09-18,177.0,183.0,175.0,180.0,2338,180.0,2026-09-03T19:34:04.800923+00:00
2012-09-19,180.0,182.0,177.0,182.0,10568,182.0,2026-09-03T19:34:04.800923+00:00
2012-09-20,182.0,181.0,179.0,180.0,8013,180.0,2026-09-03T19:34:04.800923+00:00
2012-09-23,180.0,182.0,177.0,180.0,7991,180.0,2026-09-03T19:34:04.800923+00:00
2012-09-24,180.0,180.0,177.0,177.0,160,177.0,2026-09-03T19:34:04.800923+00:00
2012-09-25,177.0,176.0,172.0,175.0,4295,175.0,2026-09-03T19:34:04.800923+00:00
2012-09-26,175.0,177.0,172.0,177.0,6587,177.0,2026-09-03T19:34:04.800923+00:00
2012-09-30,174.0,175.0,173.0,175.0,5747,175.0,2026-09-03T19:34:04.800923+00:00
2012-10-01,175.0,176.0,173.0,175.0,4962,175.0,2026-09-03T19:34:04.800923+00:00
2012-10-01,175.0,176.0,173.0,175.0,4962,175.0,2026-09-03T19:34:04.800923+00:00
2012-10-02,175.0,176.0,175.0,175.0,2888,175.0,2026-09-03T19:34:04.800923+00:00
2012-10-03,175.0,176.0,172.0,176.0,2684,176.0,2026-09-03T19:34:04.800923+00:00
2012-10-04,176.0,177.0,175.0,175.0,2620,175.0,2026-09-03T19:34:04.800923+00:00
2012-10-07,175.0,178.0,175.0,175.0,3211,175.0,2026-09-03T19:34:04.800923+00:00
2012-10-08,175.0,176.0,175.0,175.0,3157,175.0,2026-09-03T19:34:04.800923+00:00
2012-10-09,175.0,176.0,175.0,175.0,5229,175.0,2026-09-03T19:34:04.800923+00:00
2012-10-10,175.0,181.0,175.0,176.0,3367,176.0,2026-09-03T19:34:04.800923+00:00
2012-10-11,176.0,177.0,175.0,175.0,7164,175.0,2026-09-03T19:34:04.800923+00:00
2012-10-14,175.0,178.0,175.0,177.0,3698,177.0,2026-09-03T19:34:04.800923+00:00
2012-10-15,177.0,177.0,175.0,176.0,2449,176.0,2026-09-03T19:34:04.800923+00:00
2012-10-17,176.0,178.0,178.0,178.0,517,178.0,2026-09-03T19:34:04.800923+00:00
2012-10-18,178.0,179.0,176.0,178.0,1405,178.0,2026-09-03T19:34:04.800923+00:00
2012-10-30,178.0,183.0,176.0,183.0,1294,183.0,2026-09-03T19:34:04.800923+00:00
2012-10-31,183.0,189.0,180.0,182.0,2858,182.0,2026-09-03T19:34:04.800923+00:00
2012-11-01,182.0,182.0,180.0,182.0,2402,182.0,2026-09-03T19:34:04.800923+00:00
2012-11-04,182.0,190.0,179.0,186.0,3923,186.0,2026-09-03T19:34:04.800923+00:00
2012-11-05,186.0,191.0,180.0,188.0,2610,188.0,2026-09-03T19:34:04.800923+00:00
2012-11-06,188.0,190.0,187.0,188.0,3708,188.0,2026-09-03T19:34:04.800923+00:00
2012-11-07,188.0,199.0,184.0,195.0,4246,195.0,2026-09-03T19:34:04.800923+00:00
2012-11-08,195.0,201.0,194.0,194.0,3508,194.0,2026-09-03T19:34:04.800923+00:00
