date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,341.0,340.0,333.0,333.0,7197,333.0,2026-09-03T19:34:01.038710+00:00
2012-09-10,333.0,339.0,330.0,335.0,10458,335.0,2026-09-03T19:34:01.038710+00:00
2012-09-11,335.0,335.0,331.0,332.0,1211,332.0,2026-09-03T19:34:01.038710+00:00
2012-09-12,332.0,335.0,330.0,335.0,4173,335.0,2026-09-03T19:34:01.038710+00:00
2012-09-13,335.0,335.0,335.0,335.0,155,335.0,2026-09-03T19:34:01.038710+00:00
2012-09-16,335.0,338.0,322.0,332.0,36343,332.0,2026-09-03T19:34:01.038710+00:00
2012-09-17,332.0,342.0,327.0,336.0,8640,336.0,2026-09-03T19:34:01.038710+00:00
2012-09-18,336.0,342.0,323.0,330.0,41410,330.0,2026-09-03T19:34:01.038710+00:00
2012-09-19,330.0,341.0,326.0,330.0,24874,330.0,2026-09-03T19:34:01.038710+00:00
2012-09-20,330.0,333.0,322.0,330.0,18005,330.0,2026-09-03T19:34:01.038710+00:00
2012-09-23,330.0,335.0,322.0,328.0,11641,328.0,2026-09-03T19:34:01.038710+00:00
2012-09-24,328.0,332.0,322.0,322.0,19786,322.0,2026-09-03T19:34:01.038710+00:00
2012-09-25,322.0,330.0,325.0,328.0,849,328.0,2026-09-03T19:34:01.038710+00:00
2012-09-26,328.0,335.0,332.0,335.0,869,335.0,2026-09-03T19:34:01.038710+00:00
2012-09-30,334.0,336.0,320.0,332.0,18465,332.0,2026-09-03T19:34:01.038710+00:00
2012-10-01,332.0,334.0,326.0,334.0,1192,334.0,2026-09-03T19:34:01.038710+00:00
2012-10-01,332.0,334.0,326.0,334.0,1192,334.0,2026-09-03T19:34:01.038710+00:00
2012-10-02,334.0,329.0,322.0,325.0,8123,325.0,2026-09-03T19:34:01.038710+00:00
2012-10-03,325.0,330.0,322.0,325.0,10142,325.0,2026-09-03T19:34:01.038710+00:00
2012-10-04,325.0,330.0,325.0,327.0,4737,327.0,2026-09-03T19:34:01.038710+00:00
2012-10-07,327.0,341.0,322.0,341.0,18494,341.0,2026-09-03T19:34:01.038710+00:00
2012-10-08,341.0,347.0,326.0,326.0,4749,326.0,2026-09-03T19:34:01.038710+00:00
2012-10-09,326.0,336.0,325.0,330.0,19845,330.0,2026-09-03T19:34:01.038710+00:00
2012-10-10,330.0,342.0,330.0,330.0,8034,330.0,2026-09-03T19:34:01.038710+00:00
2012-10-11,330.0,340.0,325.0,340.0,33337,340.0,2026-09-03T19:34:01.038710+00:00
2012-10-14,340.0,352.0,336.0,344.0,2493,344.0,2026-09-03T19:34:01.038710+00:00
2012-10-15,344.0,349.0,339.0,344.0,2171,344.0,2026-09-03T19:34:01.038710+00:00
2012-10-17,344.0,345.0,335.0,345.0,4409,345.0,2026-09-03T19:34:01.038710+00:00
2012-10-18,345.0,346.0,341.0,344.0,1647,344.0,2026-09-03T19:34:01.038710+00:00
2012-10-30,344.0,347.0,320.0,332.0,26759,332.0,2026-09-03T19:34:01.038710+00:00
2012-11-05,332.0,317.0,294.0,317.0,93,317.0,2026-09-03T19:34:01.038710+00:00
2012-11-06,317.0,340.0,323.0,330.0,3980,330.0,2026-09-03T19:34:01.038710+00:00
2012-11-07,330.0,334.0,329.0,334.0,2130,334.0,2026-09-03T19:34:01.038710+00:00
2012-11-08,334.0,340.0,334.0,336.0,2533,336.0,2026-09-03T19:34:01.038710+00:00
2012-11-11,336.0,348.0,332.0,332.0,4576,332.0,2026-09-03T19:34:01.038710+00:00
2012-11-12,332.0,344.0,329.0,344.0,544,344.0,2026-09-03T19:34:01.038710+00:00
2012-11-18,344.0,349.0,340.0,341.0,1836,341.0,2026-09-03T19:34:01.038710+00:00
2012-11-20,341.0,348.0,345.0,348.0,1382,348.0,2026-09-03T19:34:01.038710+00:00
2012-11-21,348.0,350.0,343.0,348.0,1145,348.0,2026-09-03T19:34:01.038710+00:00
2012-11-22,348.0,348.0,343.0,347.0,384,347.0,2026-09-03T19:34:01.038710+00:00
2012-11-25,347.0,354.0,348.0,350.0,1177,350.0,2026-09-03T19:34:01.038710+00:00
