date,open,high,low,close,volume,adj_close,fetched_at
2018-12-25,102.0,102.0,98.0,101.0,590,101.0,2026-09-03T19:34:56.524269+00:00
2018-12-26,100.0,102.0,100.0,101.0,390,101.0,2026-09-03T19:34:56.524269+00:00
2018-12-27,100.0,102.0,99.0,99.0,840,99.0,2026-09-03T19:34:56.524269+00:00
2018-12-30,100.0,100.0,98.0,99.0,420,99.0,2026-09-03T19:34:56.524269+00:00
2018-12-31,99.0,100.0,98.0,99.0,1270,99.0,2026-09-03T19:34:56.524269+00:00
2019-01-01,98.0,98.0,96.0,97.0,1030,97.0,2026-09-03T19:34:56.524269+00:00
2019-01-02,96.0,96.0,95.0,96.0,570,96.0,2026-09-03T19:34:56.524269+00:00
2019-01-03,95.0,96.0,93.0,93.0,760,93.0,2026-09-03T19:34:56.524269+00:00
2019-01-06,94.0,95.0,92.0,95.0,2540,95.0,2026-09-03T19:34:56.524269+00:00
2019-01-07,94.0,94.0,90.0,91.0,1770,91.0,2026-09-03T19:34:56.524269+00:00
2019-01-08,90.0,95.0,89.0,95.0,1560,95.0,2026-09-03T19:34:56.524269+00:00
2019-01-09,94.0,95.0,92.0,94.0,1186,94.0,2026-09-03T19:34:56.524269+00:00
2019-01-10,95.0,95.0,92.0,94.0,1480,94.0,2026-09-03T19:34:56.524269+00:00
2019-01-13,93.0,93.0,88.0,90.0,1170,90.0,2026-09-03T19:34:56.524269+00:00
2019-01-14,90.0,91.0,89.0,89.0,1280,89.0,2026-09-03T19:34:56.524269+00:00
2019-01-15,89.0,92.0,89.0,92.0,2000,92.0,2026-09-03T19:34:56.524269+00:00
2019-01-16,91.0,91.0,90.0,91.0,470,91.0,2026-09-03T19:34:56.524269+00:00
2019-01-17,90.0,91.0,89.0,89.0,1120,89.0,2026-09-03T19:34:56.524269+00:00
2019-01-20,89.0,89.0,86.0,87.0,120,87.0,2026-09-03T19:34:56.524269+00:00
2019-01-21,86.0,87.0,79.0,81.0,1570,81.0,2026-09-03T19:34:56.524269+00:00
2019-01-22,80.0,82.0,79.0,80.0,1080,80.0,2026-09-03T19:34:56.524269+00:00
2019-01-23,80.0,86.0,80.0,86.0,620,86.0,2026-09-03T19:34:56.524269+00:00
2019-01-24,85.0,86.0,83.0,86.0,911,86.0,2026-09-03T19:34:56.524269+00:00
2019-01-27,86.0,88.0,84.0,86.0,1230,86.0,2026-09-03T19:34:56.524269+00:00
2019-01-28,85.0,86.0,83.0,84.0,500,84.0,2026-09-03T19:34:56.524269+00:00
2019-01-29,83.0,85.0,82.0,84.0,999,84.0,2026-09-03T19:34:56.524269+00:00
2019-01-30,83.0,86.0,83.0,84.0,1130,84.0,2026-09-03T19:34:56.524269+00:00
2019-01-31,84.0,86.0,84.0,85.0,1080,85.0,2026-09-03T19:34:56.524269+00:00
2019-02-03,84.0,85.0,83.0,85.0,779,85.0,2026-09-03T19:34:56.524269+00:00
2019-02-04,84.0,84.0,78.0,81.0,610,81.0,2026-09-03T19:34:56.524269+00:00
2019-02-05,80.0,85.0,80.0,85.0,400,85.0,2026-09-03T19:34:56.524269+00:00
2019-02-06,85.0,85.0,84.0,84.0,780,84.0,2026-09-03T19:34:56.524269+00:00
2019-02-07,84.0,85.0,81.0,83.0,1050,83.0,2026-09-03T19:34:56.524269+00:00
2019-02-10,84.0,85.0,81.0,82.0,990,82.0,2026-09-03T19:34:56.524269+00:00
2019-02-11,81.0,83.0,80.0,81.0,670,81.0,2026-09-03T19:34:56.524269+00:00
2019-02-12,81.0,84.0,81.0,84.0,510,84.0,2026-09-03T19:34:56.524269+00:00
2019-02-13,83.0,83.0,80.0,82.0,770,82.0,2026-09-03T19:34:56.524269+00:00
2019-02-14,82.0,85.0,81.0,81.0,710,81.0,2026-09-03T19:34:56.524269+00:00
2019-02-17,80.0,83.0,79.0,82.0,660,82.0,2026-09-03T19:34:56.524269+00:00
2019-02-18,83.0,83.0,81.0,81.0,535,81.0,2026-09-03T19:34:56.524269+00:00
2019-02-19,80.0,80.0,79.0,79.0,230,79.0,2026-09-03T19:34:56.524269+00:00
2019-02-20,79.0,80.0,78.0,79.0,590,79.0,2026-09-03T19:34:56.524269+00:00
2019-02-21,78.0,81.0,78.0,78.0,1830,78.0,2026-09-03T19:34:56.524269+00:00
2019-02-24,78.0,79.0,77.0,77.0,1320,77.0,2026-09-03T19:34:56.524269+00:00
2019-02-25,76.0,82.0,75.0,82.0,310,82.0,2026-09-03T19:34:56.524269+00:00
2019-02-26,83.0,85.0,81.0,82.0,625,82.0,2026-09-03T19:34:56.524269+00:00
2019-02-27,83.0,85.0,81.0,85.0,2860,85.0,2026-09-03T19:34:56.524269+00:00
2019-03-03,84.0,84.0,80.0,80.0,510,80.0,2026-09-03T19:34:56.524269+00:00
2019-03-05,79.0,81.0,78.0,80.0,230,80.0,2026-09-03T19:34:56.524269+00:00
2019-03-06,80.0,81.0,80.0,80.0,200,80.0,2026-09-03T19:34:56.524269+00:00
2019-03-07,80.0,82.0,77.0,80.0,340,80.0,2026-09-03T19:34:56.524269+00:00
2019-03-10,79.0,81.0,78.0,81.0,730,81.0,2026-09-03T19:34:56.524269+00:00
2019-03-11,82.0,82.0,79.0,81.0,320,81.0,2026-09-03T19:34:56.524269+00:00
2019-03-12,81.0,82.0,79.0,80.0,550,80.0,2026-09-03T19:34:56.524269+00:00
2019-03-13,79.0,83.0,79.0,82.0,1105,82.0,2026-09-03T19:34:56.524269+00:00
2019-03-14,83.0,86.0,82.0,85.0,820,85.0,2026-09-03T19:34:56.524269+00:00
2019-03-17,86.0,89.0,84.0,84.0,1400,84.0,2026-09-03T19:34:56.524269+00:00
2019-03-18,83.0,83.0,81.0,83.0,390,83.0,2026-09-03T19:34:56.524269+00:00
2019-03-19,82.0,83.0,82.0,82.0,120,82.0,2026-09-03T19:34:56.524269+00:00
2019-03-21,81.0,83.0,81.0,82.0,270,82.0,2026-09-03T19:34:56.524269+00:00
2019-03-24,82.0,82.0,79.0,79.0,880,79.0,2026-09-03T19:34:56.524269+00:00
2019-03-25,78.0,80.0,77.0,79.0,610,79.0,2026-09-03T19:34:56.524269+00:00
2019-03-26,78.0,81.0,78.0,80.0,590,80.0,2026-09-03T19:34:56.524269+00:00
2019-03-27,81.0,82.0,80.0,81.0,1820,81.0,2026-09-03T19:34:56.524269+00:00
2019-03-28,80.0,82.0,79.0,81.0,1330,81.0,2026-09-03T19:34:56.524269+00:00
2019-03-31,80.0,81.0,80.0,80.0,1080,80.0,2026-09-03T19:34:56.524269+00:00
2019-04-01,80.0,82.0,80.0,80.0,1390,80.0,2026-09-03T19:34:56.524269+00:00
2019-04-02,81.0,81.0,79.0,81.0,1140,81.0,2026-09-03T19:34:56.524269+00:00
2019-04-03,82.0,82.0,78.0,80.0,770,80.0,2026-09-03T19:34:56.524269+00:00
2019-04-04,80.0,82.0,79.0,79.0,800,79.0,2026-09-03T19:34:56.524269+00:00
2019-04-07,78.0,81.0,78.0,79.0,1130,79.0,2026-09-03T19:34:56.524269+00:00
2019-04-08,78.0,80.0,77.0,78.0,3860,78.0,2026-09-03T19:34:56.524269+00:00
2019-04-09,77.0,85.0,77.0,81.0,2105,81.0,2026-09-03T19:34:56.524269+00:00
2019-04-10,80.0,81.0,79.0,80.0,580,80.0,2026-09-03T19:34:56.524269+00:00
2019-04-11,81.0,81.0,78.0,79.0,960,79.0,2026-09-03T19:34:56.524269+00:00
2019-04-15,78.0,81.0,78.0,79.0,850,79.0,2026-09-03T19:34:56.524269+00:00
2019-04-16,78.0,81.0,78.0,80.0,360,80.0,2026-09-03T19:34:56.524269+00:00
2019-04-17,79.0,81.0,79.0,81.0,400,81.0,2026-09-03T19:34:56.524269+00:00
2019-04-18,80.0,82.0,78.0,82.0,370,82.0,2026-09-03T19:34:56.524269+00:00
2019-04-21,82.0,82.0,82.0,82.0,50,82.0,2026-09-03T19:34:56.524269+00:00
2019-04-22,81.0,83.0,80.0,80.0,200,80.0,2026-09-03T19:34:56.524269+00:00
2019-04-23,79.0,80.0,78.0,80.0,710,80.0,2026-09-03T19:34:56.524269+00:00
2019-04-24,79.0,80.0,78.0,78.0,700,78.0,2026-09-03T19:34:56.524269+00:00
2019-04-25,78.0,79.0,77.0,78.0,945,78.0,2026-09-03T19:34:56.524269+00:00
2019-04-28,77.0,81.0,76.0,81.0,790,81.0,2026-09-03T19:34:56.524269+00:00
2019-04-29,80.0,80.0,78.0,80.0,240,80.0,2026-09-03T19:34:56.524269+00:00
2019-04-30,79.0,82.0,78.0,80.0,290,80.0,2026-09-03T19:34:56.524269+00:00
2019-05-02,79.0,82.0,78.0,81.0,370,81.0,2026-09-03T19:34:56.524269+00:00
2019-05-05,80.0,80.0,78.0,78.0,341,78.0,2026-09-03T19:34:56.524269+00:00
2019-05-06,77.0,79.0,77.0,79.0,320,79.0,2026-09-03T19:34:56.524269+00:00
2019-05-07,78.0,80.0,77.0,78.0,550,78.0,2026-09-03T19:34:56.524269+00:00
2019-05-08,78.0,80.0,77.0,77.0,1370,77.0,2026-09-03T19:34:56.524269+00:00
2019-05-09,77.0,79.0,76.0,79.0,281,79.0,2026-09-03T19:34:56.524269+00:00
2019-05-12,79.0,80.0,78.0,78.0,1320,78.0,2026-09-03T19:34:56.524269+00:00
2019-05-13,77.0,78.0,77.0,77.0,460,77.0,2026-09-03T19:34:56.524269+00:00
2019-05-14,76.0,78.0,76.0,78.0,469,78.0,2026-09-03T19:34:56.524269+00:00
2019-05-15,79.0,80.0,79.0,79.0,839,79.0,2026-09-03T19:34:56.524269+00:00
2019-05-16,80.0,80.0,77.0,77.0,830,77.0,2026-09-03T19:34:56.524269+00:00
2019-05-19,75.0,78.0,75.0,75.0,1860,75.0,2026-09-03T19:34:56.524269+00:00
2019-05-20,75.0,76.0,74.0,75.0,1490,75.0,2026-09-03T19:34:56.524269+00:00
2019-05-21,75.0,79.0,74.0,79.0,3660,79.0,2026-09-03T19:34:56.524269+00:00
2019-05-22,79.0,86.0,78.0,82.0,2170,82.0,2026-09-03T19:34:56.524269+00:00
2019-05-23,81.0,83.0,81.0,82.0,1020,82.0,2026-09-03T19:34:56.524269+00:00
2019-05-26,83.0,83.0,81.0,81.0,170,81.0,2026-09-03T19:34:56.524269+00:00
2019-05-27,82.0,82.0,77.0,77.0,300,77.0,2026-09-03T19:34:56.524269+00:00
2019-05-28,76.0,77.0,75.0,75.0,1023,75.0,2026-09-03T19:34:56.524269+00:00
2019-05-29,76.0,77.0,76.0,76.0,300,76.0,2026-09-03T19:34:56.524269+00:00
2019-05-30,75.0,78.0,75.0,77.0,470,77.0,2026-09-03T19:34:56.524269+00:00
2019-06-02,77.0,78.0,76.0,77.0,1041,77.0,2026-09-03T19:34:56.524269+00:00
2019-06-03,76.0,77.0,76.0,77.0,340,77.0,2026-09-03T19:34:56.524269+00:00
2019-06-04,76.0,76.0,75.0,75.0,450,75.0,2026-09-03T19:34:56.524269+00:00
2019-06-06,74.0,75.0,73.0,73.0,450,73.0,2026-09-03T19:34:56.524269+00:00
2019-06-10,72.0,74.0,71.0,74.0,500,74.0,2026-09-03T19:34:56.524269+00:00
2019-06-11,75.0,75.0,72.0,75.0,820,75.0,2026-09-03T19:34:56.524269+00:00
2019-06-12,74.0,77.0,74.0,76.0,500,76.0,2026-09-03T19:34:56.524269+00:00
2019-06-13,75.0,80.0,73.0,80.0,350,80.0,2026-09-03T19:34:56.524269+00:00
2019-06-16,79.0,79.0,75.0,75.0,350,75.0,2026-09-03T19:34:56.524269+00:00
2019-06-17,74.0,75.0,74.0,74.0,630,74.0,2026-09-03T19:34:56.524269+00:00
2019-06-18,75.0,76.0,74.0,75.0,460,75.0,2026-09-03T19:34:56.524269+00:00
2019-06-19,74.0,75.0,73.0,74.0,190,74.0,2026-09-03T19:34:56.524269+00:00
2019-06-20,73.0,74.0,72.0,73.0,160,73.0,2026-09-03T19:34:56.524269+00:00
2019-06-23,72.0,73.0,72.0,72.0,400,72.0,2026-09-03T19:34:56.524269+00:00
2019-06-24,71.0,73.0,71.0,72.0,390,72.0,2026-09-03T19:34:56.524269+00:00
2019-06-25,71.0,73.0,71.0,73.0,160,73.0,2026-09-03T19:34:56.524269+00:00
2019-06-26,72.0,75.0,72.0,75.0,360,75.0,2026-09-03T19:34:56.524269+00:00
2019-06-27,76.0,76.0,72.0,72.0,478,72.0,2026-09-03T19:34:56.524269+00:00
2019-06-30,70.0,75.0,70.0,73.0,1120,73.0,2026-09-03T19:34:56.524269+00:00
2019-07-01,72.0,74.0,72.0,72.0,310,72.0,2026-09-03T19:34:56.524269+00:00
2019-07-02,71.0,73.0,71.0,72.0,620,72.0,2026-09-03T19:34:56.524269+00:00
2019-07-03,71.0,72.0,69.0,72.0,1180,72.0,2026-09-03T19:34:56.524269+00:00
2019-07-04,72.0,72.0,70.0,70.0,140,70.0,2026-09-03T19:34:56.524269+00:00
