date,open,high,low,close,volume,adj_close,fetched_at
2019-03-11,300.0,306.0,300.0,306.0,20,306.0,2026-09-03T19:35:00.940942+00:00
2019-03-12,321.0,321.0,321.0,321.0,10,321.0,2026-09-03T19:35:00.940942+00:00
2019-03-13,337.0,349.0,337.0,349.0,30,349.0,2026-09-03T19:35:00.940942+00:00
2019-03-14,366.0,366.0,366.0,366.0,10,366.0,2026-09-03T19:35:00.940942+00:00
2019-03-17,384.0,402.0,384.0,402.0,50,402.0,2026-09-03T19:35:00.940942+00:00
2019-03-18,422.0,422.0,422.0,422.0,10,422.0,2026-09-03T19:35:00.940942+00:00
2019-03-19,443.0,464.0,443.0,464.0,40,464.0,2026-09-03T19:35:00.940942+00:00
2019-03-21,487.0,510.0,487.0,510.0,500,510.0,2026-09-03T19:35:00.940942+00:00
2019-03-24,535.0,555.0,486.0,492.0,31231,492.0,2026-09-03T19:35:00.940942+00:00
2019-03-25,492.0,496.0,484.0,490.0,10094,490.0,2026-09-03T19:35:00.940942+00:00
2019-03-26,490.0,490.0,481.0,489.0,5200,489.0,2026-09-03T19:35:00.940942+00:00
2019-03-27,482.0,494.0,480.0,489.0,5701,489.0,2026-09-03T19:35:00.940942+00:00
2019-03-28,498.0,498.0,481.0,485.0,3750,485.0,2026-09-03T19:35:00.940942+00:00
2019-03-31,489.0,498.0,480.0,483.0,4030,483.0,2026-09-03T19:35:00.940942+00:00
2019-04-01,481.0,484.0,476.0,479.0,3680,479.0,2026-09-03T19:35:00.940942+00:00
2019-04-02,478.0,483.0,477.0,477.0,4050,477.0,2026-09-03T19:35:00.940942+00:00
2019-04-03,475.0,481.0,473.0,480.0,3700,480.0,2026-09-03T19:35:00.940942+00:00
2019-04-04,479.0,480.0,474.0,477.0,1730,477.0,2026-09-03T19:35:00.940942+00:00
2019-04-07,472.0,473.0,463.0,466.0,3250,466.0,2026-09-03T19:35:00.940942+00:00
2019-04-08,466.0,490.0,459.0,482.0,3120,482.0,2026-09-03T19:35:00.940942+00:00
2019-04-09,487.0,487.0,474.0,474.0,2260,474.0,2026-09-03T19:35:00.940942+00:00
2019-04-10,473.0,477.0,465.0,468.0,2020,468.0,2026-09-03T19:35:00.940942+00:00
2019-04-11,459.0,473.0,459.0,471.0,2100,471.0,2026-09-03T19:35:00.940942+00:00
2019-04-15,462.0,473.0,462.0,466.0,1710,466.0,2026-09-03T19:35:00.940942+00:00
2019-04-16,463.0,480.0,463.0,469.0,990,469.0,2026-09-03T19:35:00.940942+00:00
2019-04-17,470.0,487.0,469.0,471.0,2230,471.0,2026-09-03T19:35:00.940942+00:00
2019-04-18,475.0,479.0,464.0,464.0,1670,464.0,2026-09-03T19:35:00.940942+00:00
2019-04-21,464.0,479.0,464.0,474.0,1430,474.0,2026-09-03T19:35:00.940942+00:00
2019-04-22,465.0,475.0,465.0,470.0,1350,470.0,2026-09-03T19:35:00.940942+00:00
2019-04-23,465.0,466.0,457.0,466.0,2434,466.0,2026-09-03T19:35:00.940942+00:00
2019-04-24,460.0,468.0,452.0,468.0,1655,468.0,2026-09-03T19:35:00.940942+00:00
2019-04-25,474.0,474.0,462.0,462.0,1980,462.0,2026-09-03T19:35:00.940942+00:00
2019-04-28,465.0,500.0,460.0,485.0,5761,485.0,2026-09-03T19:35:00.940942+00:00
2019-04-29,485.0,488.0,467.0,472.0,3909,472.0,2026-09-03T19:35:00.940942+00:00
2019-04-30,472.0,475.0,465.0,471.0,1290,471.0,2026-09-03T19:35:00.940942+00:00
