date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,234.0,248.0,236.0,242.0,12610,242.0,2026-09-03T19:34:02.626977+00:00
2012-09-10,242.0,246.0,236.0,240.0,1560,240.0,2026-09-03T19:34:02.626977+00:00
2012-09-11,240.0,236.0,232.0,233.0,1000,233.0,2026-09-03T19:34:02.626977+00:00
2012-09-12,233.0,236.0,229.0,229.0,540,229.0,2026-09-03T19:34:02.626977+00:00
2012-09-13,229.0,240.0,233.0,240.0,3953,240.0,2026-09-03T19:34:02.626977+00:00
2012-09-16,240.0,242.0,239.0,239.0,2613,239.0,2026-09-03T19:34:02.626977+00:00
2012-09-17,239.0,245.0,240.0,245.0,4830,245.0,2026-09-03T19:34:02.626977+00:00
2012-09-18,245.0,252.0,240.0,247.0,15380,247.0,2026-09-03T19:34:02.626977+00:00
2012-09-19,247.0,243.0,239.0,240.0,7700,240.0,2026-09-03T19:34:02.626977+00:00
2012-09-20,240.0,244.0,236.0,244.0,1110,244.0,2026-09-03T19:34:02.626977+00:00
2012-09-23,244.0,240.0,225.0,235.0,3060,235.0,2026-09-03T19:34:02.626977+00:00
2012-09-24,235.0,237.0,229.0,232.0,3700,232.0,2026-09-03T19:34:02.626977+00:00
2012-09-25,232.0,236.0,228.0,235.0,664,235.0,2026-09-03T19:34:02.626977+00:00
2012-09-26,235.0,242.0,231.0,242.0,6280,242.0,2026-09-03T19:34:02.626977+00:00
2012-09-30,240.0,244.0,240.0,240.0,3410,240.0,2026-09-03T19:34:02.626977+00:00
2012-10-01,240.0,243.0,239.0,243.0,850,243.0,2026-09-03T19:34:02.626977+00:00
2012-10-01,240.0,243.0,239.0,243.0,850,243.0,2026-09-03T19:34:02.626977+00:00
2012-10-02,243.0,247.0,241.0,246.0,5940,246.0,2026-09-03T19:34:02.626977+00:00
2012-10-03,246.0,248.0,245.0,247.0,4924,247.0,2026-09-03T19:34:02.626977+00:00
2012-10-04,247.0,256.0,246.0,256.0,8500,256.0,2026-09-03T19:34:02.626977+00:00
2012-10-07,256.0,269.0,251.0,262.0,13404,262.0,2026-09-03T19:34:02.626977+00:00
2012-10-08,262.0,257.0,252.0,257.0,3177,257.0,2026-09-03T19:34:02.626977+00:00
2012-10-09,257.0,255.0,248.0,250.0,2501,250.0,2026-09-03T19:34:02.626977+00:00
2012-10-10,250.0,252.0,250.0,251.0,565,251.0,2026-09-03T19:34:02.626977+00:00
2012-10-11,251.0,255.0,249.0,250.0,1966,250.0,2026-09-03T19:34:02.626977+00:00
2012-10-14,250.0,255.0,247.0,250.0,3475,250.0,2026-09-03T19:34:02.626977+00:00
2012-10-15,250.0,255.0,247.0,247.0,304,247.0,2026-09-03T19:34:02.626977+00:00
2012-10-17,247.0,250.0,246.0,250.0,1797,250.0,2026-09-03T19:34:02.626977+00:00
2012-10-18,250.0,254.0,248.0,252.0,10701,252.0,2026-09-03T19:34:02.626977+00:00
2012-10-30,252.0,258.0,252.0,258.0,1245,258.0,2026-09-03T19:34:02.626977+00:00
2012-10-31,258.0,253.0,250.0,251.0,1187,251.0,2026-09-03T19:34:02.626977+00:00
2012-11-01,251.0,250.0,247.0,248.0,1013,248.0,2026-09-03T19:34:02.626977+00:00
2012-11-04,248.0,248.0,245.0,245.0,7258,245.0,2026-09-03T19:34:02.626977+00:00
2012-11-05,245.0,255.0,246.0,247.0,985,247.0,2026-09-03T19:34:02.626977+00:00
2012-11-06,247.0,251.0,247.0,247.0,1723,247.0,2026-09-03T19:34:02.626977+00:00
2012-11-07,247.0,251.0,245.0,251.0,1615,251.0,2026-09-03T19:34:02.626977+00:00
2012-11-08,251.0,255.0,248.0,251.0,2029,251.0,2026-09-03T19:34:02.626977+00:00
2012-11-11,251.0,252.0,243.0,243.0,356,243.0,2026-09-03T19:34:02.626977+00:00
2012-11-12,243.0,244.0,237.0,240.0,368,240.0,2026-09-03T19:34:02.626977+00:00
2012-11-18,240.0,246.0,240.0,240.0,412,240.0,2026-09-03T19:34:02.626977+00:00
2012-11-20,240.0,242.0,241.0,242.0,1835,242.0,2026-09-03T19:34:02.626977+00:00
2012-11-21,242.0,257.0,240.0,252.0,2366,252.0,2026-09-03T19:34:02.626977+00:00
2012-11-22,252.0,250.0,244.0,250.0,1833,250.0,2026-09-03T19:34:02.626977+00:00
2012-11-25,250.0,255.0,250.0,250.0,993,250.0,2026-09-03T19:34:02.626977+00:00
2012-11-26,250.0,251.0,245.0,249.0,596,249.0,2026-09-03T19:34:02.626977+00:00
2012-11-27,249.0,245.0,245.0,245.0,544,245.0,2026-09-03T19:34:02.626977+00:00
2012-11-28,245.0,245.0,237.0,237.0,179,237.0,2026-09-03T19:34:02.626977+00:00
2012-11-29,237.0,252.0,240.0,242.0,1641,242.0,2026-09-03T19:34:02.626977+00:00
2012-12-02,242.0,238.0,238.0,238.0,486,238.0,2026-09-03T19:34:02.626977+00:00
2012-12-03,238.0,234.0,226.0,226.0,195,226.0,2026-09-03T19:34:02.626977+00:00
2012-12-04,226.0,238.0,230.0,238.0,3111,238.0,2026-09-03T19:34:02.626977+00:00
2012-12-05,238.0,246.0,237.0,237.0,496,237.0,2026-09-03T19:34:02.626977+00:00
2012-12-06,237.0,234.0,230.0,233.0,1521,233.0,2026-09-03T19:34:02.626977+00:00
2012-12-09,233.0,229.0,225.0,228.0,714,228.0,2026-09-03T19:34:02.626977+00:00
2012-12-10,228.0,248.0,227.0,248.0,650,248.0,2026-09-03T19:34:02.626977+00:00
2012-12-11,248.0,248.0,240.0,240.0,288,240.0,2026-09-03T19:34:02.626977+00:00
2012-12-12,240.0,242.0,236.0,236.0,1718,236.0,2026-09-03T19:34:02.626977+00:00
2012-12-13,236.0,239.0,239.0,239.0,13,239.0,2026-09-03T19:34:02.626977+00:00
2012-12-16,239.0,243.0,243.0,243.0,70,243.0,2026-09-03T19:34:02.626977+00:00
2012-12-17,243.0,239.0,225.0,237.0,11624,237.0,2026-09-03T19:34:02.626977+00:00
2012-12-18,237.0,235.0,233.0,233.0,102,233.0,2026-09-03T19:34:02.626977+00:00
2012-12-19,233.0,235.0,229.0,229.0,1090,229.0,2026-09-03T19:34:02.626977+00:00
2012-12-20,229.0,232.0,228.0,229.0,3903,229.0,2026-09-03T19:34:02.626977+00:00
2012-12-23,229.0,228.0,223.0,227.0,1490,227.0,2026-09-03T19:34:02.626977+00:00
2012-12-24,227.0,234.0,227.0,228.0,921,228.0,2026-09-03T19:34:02.626977+00:00
2012-12-26,228.0,232.0,231.0,232.0,3061,232.0,2026-09-03T19:34:02.626977+00:00
2012-12-27,232.0,232.0,225.0,230.0,218,230.0,2026-09-03T19:34:02.626977+00:00
2012-12-31,230.0,231.0,227.0,231.0,194,231.0,2026-09-03T19:34:02.626977+00:00
2013-01-01,231.0,239.0,234.0,239.0,51,239.0,2026-09-03T19:34:02.626977+00:00
2013-01-02,239.0,235.0,235.0,235.0,377,235.0,2026-09-03T19:34:02.626977+00:00
2013-01-03,235.0,231.0,231.0,231.0,64,231.0,2026-09-03T19:34:02.626977+00:00
2013-01-06,231.0,234.0,230.0,233.0,141,233.0,2026-09-03T19:34:02.626977+00:00
2013-01-07,233.0,239.0,228.0,232.0,5191,232.0,2026-09-03T19:34:02.626977+00:00
2013-01-08,232.0,228.0,228.0,228.0,20,228.0,2026-09-03T19:34:02.626977+00:00
2013-01-09,228.0,239.0,231.0,239.0,865,239.0,2026-09-03T19:34:02.626977+00:00
2013-01-10,239.0,251.0,239.0,250.0,2336,250.0,2026-09-03T19:34:02.626977+00:00
2013-01-13,250.0,255.0,237.0,255.0,2337,255.0,2026-09-03T19:34:02.626977+00:00
2013-01-15,255.0,250.0,236.0,240.0,2154,240.0,2026-09-03T19:34:02.626977+00:00
2013-01-16,240.0,239.0,232.0,232.0,1601,232.0,2026-09-03T19:34:02.626977+00:00
2013-01-17,232.0,234.0,224.0,224.0,6612,224.0,2026-09-03T19:34:02.626977+00:00
2013-01-30,224.0,204.0,200.0,204.0,757,204.0,2026-09-03T19:34:02.626977+00:00
2013-01-31,204.0,208.0,204.0,204.0,91,204.0,2026-09-03T19:34:02.626977+00:00
2013-02-03,204.0,205.0,205.0,205.0,50,205.0,2026-09-03T19:34:02.626977+00:00
2013-02-04,205.0,212.0,205.0,212.0,319,212.0,2026-09-03T19:34:02.626977+00:00
2013-02-05,212.0,210.0,206.0,207.0,329,207.0,2026-09-03T19:34:02.626977+00:00
2013-02-06,207.0,211.0,211.0,211.0,90,211.0,2026-09-03T19:34:02.626977+00:00
2013-02-12,211.0,207.0,207.0,207.0,260,207.0,2026-09-03T19:34:02.626977+00:00
2013-02-13,207.0,211.0,211.0,211.0,162,211.0,2026-09-03T19:34:02.626977+00:00
2013-02-14,211.0,227.0,214.0,227.0,891,227.0,2026-09-03T19:34:02.626977+00:00
2013-02-19,227.0,231.0,226.0,231.0,552,231.0,2026-09-03T19:34:02.626977+00:00
2013-02-20,231.0,230.0,229.0,229.0,1320,229.0,2026-09-03T19:34:02.626977+00:00
2013-02-21,229.0,231.0,229.0,230.0,418,230.0,2026-09-03T19:34:02.626977+00:00
2013-02-24,230.0,228.0,223.0,223.0,167,223.0,2026-09-03T19:34:02.626977+00:00
2013-02-25,223.0,227.0,226.0,226.0,229,226.0,2026-09-03T19:34:02.626977+00:00
2013-02-26,226.0,234.0,230.0,234.0,204,234.0,2026-09-03T19:34:02.626977+00:00
2013-02-27,234.0,240.0,228.0,228.0,1672,228.0,2026-09-03T19:34:02.626977+00:00
2013-03-03,228.0,234.0,230.0,230.0,145,230.0,2026-09-03T19:34:02.626977+00:00
2013-03-04,230.0,226.0,223.0,224.0,272,224.0,2026-09-03T19:34:02.626977+00:00
2013-03-06,224.0,225.0,222.0,222.0,2780,222.0,2026-09-03T19:34:02.626977+00:00
2013-03-07,222.0,226.0,223.0,226.0,296,226.0,2026-09-03T19:34:02.626977+00:00
2013-03-13,226.0,228.0,228.0,228.0,106,228.0,2026-09-03T19:34:02.626977+00:00
2013-03-17,228.0,224.0,220.0,221.0,522,221.0,2026-09-03T19:34:02.626977+00:00
2013-03-18,221.0,220.0,220.0,220.0,144,220.0,2026-09-03T19:34:02.626977+00:00
2013-03-19,220.0,224.0,221.0,221.0,3352,221.0,2026-09-03T19:34:02.626977+00:00
2013-03-21,221.0,217.0,213.0,213.0,2152,213.0,2026-09-03T19:34:02.626977+00:00
2013-03-24,213.0,213.0,203.0,203.0,500,203.0,2026-09-03T19:34:02.626977+00:00
2013-03-25,203.0,207.0,201.0,207.0,708,207.0,2026-09-03T19:34:02.626977+00:00
2013-03-27,207.0,209.0,200.0,208.0,238,208.0,2026-09-03T19:34:02.626977+00:00
2013-03-28,208.0,210.0,208.0,210.0,244,210.0,2026-09-03T19:34:02.626977+00:00
2013-03-31,210.0,210.0,208.0,208.0,111,208.0,2026-09-03T19:34:02.626977+00:00
2013-04-02,208.0,215.0,211.0,215.0,70,215.0,2026-09-03T19:34:02.626977+00:00
2013-04-03,215.0,227.0,219.0,223.0,3549,223.0,2026-09-03T19:34:02.626977+00:00
2013-04-04,223.0,220.0,220.0,220.0,235,220.0,2026-09-03T19:34:02.626977+00:00
2013-04-07,220.0,220.0,220.0,220.0,122,220.0,2026-09-03T19:34:02.626977+00:00
2013-04-08,220.0,222.0,219.0,219.0,218,219.0,2026-09-03T19:34:02.626977+00:00
2013-04-09,219.0,223.0,216.0,223.0,103,223.0,2026-09-03T19:34:02.626977+00:00
2013-04-11,223.0,235.0,226.0,230.0,464,230.0,2026-09-03T19:34:02.626977+00:00
2013-04-15,230.0,232.0,232.0,232.0,512,232.0,2026-09-03T19:34:02.626977+00:00
2013-04-16,232.0,230.0,220.0,222.0,740,222.0,2026-09-03T19:34:02.626977+00:00
2013-04-17,222.0,226.0,222.0,224.0,229,224.0,2026-09-03T19:34:02.626977+00:00
2013-04-21,224.0,221.0,220.0,221.0,173,221.0,2026-09-03T19:34:02.626977+00:00
2013-04-23,221.0,221.0,213.0,221.0,258,221.0,2026-09-03T19:34:02.626977+00:00
2013-04-25,221.0,221.0,217.0,221.0,158,221.0,2026-09-03T19:34:02.626977+00:00
2013-04-28,221.0,225.0,225.0,225.0,13,225.0,2026-09-03T19:34:02.626977+00:00
2013-04-29,225.0,223.0,219.0,219.0,62,219.0,2026-09-03T19:34:02.626977+00:00
2013-04-30,219.0,237.0,229.0,237.0,30,237.0,2026-09-03T19:34:02.626977+00:00
2013-05-02,237.0,233.0,229.0,229.0,36,229.0,2026-09-03T19:34:02.626977+00:00
2013-05-05,229.0,225.0,211.0,215.0,2012,215.0,2026-09-03T19:34:02.626977+00:00
2013-05-06,215.0,213.0,210.0,210.0,345,210.0,2026-09-03T19:34:02.626977+00:00
2013-05-07,210.0,218.0,214.0,215.0,431,215.0,2026-09-03T19:34:02.626977+00:00
2013-05-08,215.0,224.0,216.0,216.0,3382,216.0,2026-09-03T19:34:02.626977+00:00
2013-05-09,216.0,220.0,216.0,220.0,2539,220.0,2026-09-03T19:34:02.626977+00:00
2013-05-12,220.0,218.0,212.0,212.0,1017,212.0,2026-09-03T19:34:02.626977+00:00
2013-05-14,212.0,223.0,213.0,215.0,758,215.0,2026-09-03T19:34:02.626977+00:00
2013-05-15,215.0,226.0,217.0,226.0,1107,226.0,2026-09-03T19:34:02.626977+00:00
2013-05-16,226.0,222.0,218.0,220.0,13223,220.0,2026-09-03T19:34:02.626977+00:00
2013-05-19,220.0,222.0,218.0,222.0,1113,222.0,2026-09-03T19:34:02.626977+00:00
2013-05-20,222.0,218.0,210.0,211.0,384,211.0,2026-09-03T19:34:02.626977+00:00
2013-05-21,211.0,221.0,211.0,221.0,1894,221.0,2026-09-03T19:34:02.626977+00:00
2013-05-22,221.0,224.0,219.0,219.0,426,219.0,2026-09-03T19:34:02.626977+00:00
