date,open,high,low,close,volume,adj_close,fetched_at
2015-12-29,371.0,381.0,368.0,372.0,13555,372.0,2026-09-03T19:34:28.293481+00:00
2015-12-31,372.0,381.0,368.0,370.0,11336,370.0,2026-09-03T19:34:28.293481+00:00
2016-01-03,370.0,377.0,362.0,369.0,11849,369.0,2026-09-03T19:34:28.293481+00:00
2016-01-04,369.0,373.0,358.0,368.0,9183,368.0,2026-09-03T19:34:28.293481+00:00
2016-01-05,368.0,375.0,350.0,375.0,27876,375.0,2026-09-03T19:34:28.293481+00:00
2016-01-06,375.0,375.0,353.0,360.0,21477,360.0,2026-09-03T19:34:28.293481+00:00
2016-01-07,360.0,377.0,356.0,368.0,16005,368.0,2026-09-03T19:34:28.293481+00:00
2016-01-10,368.0,380.0,361.0,378.0,29492,378.0,2026-09-03T19:34:28.293481+00:00
2016-01-11,378.0,383.0,370.0,376.0,30518,376.0,2026-09-03T19:34:28.293481+00:00
2016-01-12,376.0,400.0,370.0,400.0,35468,400.0,2026-09-03T19:34:28.293481+00:00
2016-01-12,376.0,400.0,370.0,400.0,35468,400.0,2026-09-03T19:34:28.293481+00:00
2016-01-13,400.0,405.0,378.0,394.0,26417,394.0,2026-09-03T19:34:28.293481+00:00
2016-01-14,394.0,400.0,379.0,390.0,29503,390.0,2026-09-03T19:34:28.293481+00:00
2016-01-24,390.0,429.0,397.0,429.0,3250,429.0,2026-09-03T19:34:28.293481+00:00
2016-01-25,429.0,471.0,437.0,454.0,4993,454.0,2026-09-03T19:34:28.293481+00:00
2016-01-26,454.0,455.0,446.0,448.0,3463,448.0,2026-09-03T19:34:28.293481+00:00
2016-01-27,448.0,445.0,432.0,432.0,2889,432.0,2026-09-03T19:34:28.293481+00:00
2016-01-28,432.0,445.0,430.0,430.0,4905,430.0,2026-09-03T19:34:28.293481+00:00
2016-01-31,430.0,440.0,432.0,432.0,864,432.0,2026-09-03T19:34:28.293481+00:00
2016-02-01,432.0,448.0,430.0,435.0,4260,435.0,2026-09-03T19:34:28.293481+00:00
2016-02-02,435.0,439.0,430.0,430.0,3252,430.0,2026-09-03T19:34:28.293481+00:00
2016-02-03,430.0,450.0,435.0,441.0,1624,441.0,2026-09-03T19:34:28.293481+00:00
2016-02-04,441.0,457.0,440.0,449.0,4935,449.0,2026-09-03T19:34:28.293481+00:00
2016-02-07,449.0,493.0,450.0,493.0,22443,493.0,2026-09-03T19:34:28.293481+00:00
2016-02-08,493.0,540.0,502.0,515.0,7786,515.0,2026-09-03T19:34:28.293481+00:00
2016-02-11,515.0,540.0,515.0,540.0,16567,540.0,2026-09-03T19:34:28.293481+00:00
2016-02-14,540.0,531.0,496.0,500.0,8387,500.0,2026-09-03T19:34:28.293481+00:00
2016-02-15,500.0,510.0,470.0,485.0,4728,485.0,2026-09-03T19:34:28.293481+00:00
2016-02-16,485.0,485.0,477.0,482.0,6993,482.0,2026-09-03T19:34:28.293481+00:00
2016-02-17,482.0,484.0,480.0,483.0,4226,483.0,2026-09-03T19:34:28.293481+00:00
2016-02-18,483.0,488.0,480.0,480.0,3850,480.0,2026-09-03T19:34:28.293481+00:00
2016-02-21,480.0,498.0,480.0,498.0,15416,498.0,2026-09-03T19:34:28.293481+00:00
2016-02-22,498.0,500.0,485.0,491.0,5314,491.0,2026-09-03T19:34:28.293481+00:00
2016-02-23,491.0,486.0,474.0,486.0,2333,486.0,2026-09-03T19:34:28.293481+00:00
2016-02-24,486.0,500.0,472.0,472.0,472,472.0,2026-09-03T19:34:28.293481+00:00
2016-02-25,472.0,495.0,480.0,495.0,1844,495.0,2026-09-03T19:34:28.293481+00:00
2016-02-28,495.0,500.0,473.0,474.0,4388,474.0,2026-09-03T19:34:28.293481+00:00
2016-02-29,474.0,483.0,471.0,471.0,3918,471.0,2026-09-03T19:34:28.293481+00:00
2016-03-01,471.0,473.0,469.0,470.0,3318,470.0,2026-09-03T19:34:28.293481+00:00
2016-03-02,470.0,517.0,472.0,517.0,25387,517.0,2026-09-03T19:34:28.293481+00:00
2016-03-03,517.0,568.0,527.0,568.0,18063,568.0,2026-09-03T19:34:28.293481+00:00
2016-03-06,568.0,624.0,579.0,624.0,42776,624.0,2026-09-03T19:34:28.293481+00:00
2016-03-10,624.0,686.0,636.0,686.0,4341,686.0,2026-09-03T19:34:28.293481+00:00
