date,open,high,low,close,volume,adj_close,fetched_at
2015-10-28,388.0,426.0,395.0,419.0,5200,419.0,2026-09-03T19:34:24.606701+00:00
2015-10-29,419.0,422.0,400.0,412.0,4740,412.0,2026-09-03T19:34:24.606701+00:00
2015-11-01,412.0,410.0,391.0,400.0,2670,400.0,2026-09-03T19:34:24.606701+00:00
2015-11-02,400.0,397.0,385.0,385.0,1800,385.0,2026-09-03T19:34:24.606701+00:00
2015-11-03,385.0,378.0,357.0,368.0,620,368.0,2026-09-03T19:34:24.606701+00:00
2015-11-04,368.0,387.0,365.0,380.0,860,380.0,2026-09-03T19:34:24.606701+00:00
2015-11-05,380.0,389.0,370.0,382.0,890,382.0,2026-09-03T19:34:24.606701+00:00
2015-11-08,382.0,382.0,375.0,380.0,820,380.0,2026-09-03T19:34:24.606701+00:00
2015-11-09,380.0,397.0,372.0,380.0,1260,380.0,2026-09-03T19:34:24.606701+00:00
2015-11-10,380.0,397.0,374.0,397.0,1710,397.0,2026-09-03T19:34:24.606701+00:00
2015-11-15,397.0,390.0,376.0,376.0,40,376.0,2026-09-03T19:34:24.606701+00:00
2015-11-16,376.0,376.0,363.0,374.0,740,374.0,2026-09-03T19:34:24.606701+00:00
2015-11-18,374.0,384.0,375.0,381.0,2180,381.0,2026-09-03T19:34:24.606701+00:00
2015-11-19,381.0,390.0,366.0,366.0,2440,366.0,2026-09-03T19:34:24.606701+00:00
2015-11-22,366.0,370.0,354.0,370.0,980,370.0,2026-09-03T19:34:24.606701+00:00
2015-11-23,370.0,368.0,363.0,367.0,250,367.0,2026-09-03T19:34:24.606701+00:00
2015-11-24,367.0,365.0,350.0,360.0,1000,360.0,2026-09-03T19:34:24.606701+00:00
2015-11-25,360.0,359.0,341.0,344.0,1920,344.0,2026-09-03T19:34:24.606701+00:00
2015-11-26,344.0,338.0,330.0,330.0,1200,330.0,2026-09-03T19:34:24.606701+00:00
2015-11-29,330.0,342.0,330.0,330.0,1530,330.0,2026-09-03T19:34:24.606701+00:00
2015-11-30,330.0,330.0,325.0,325.0,580,325.0,2026-09-03T19:34:24.606701+00:00
2015-12-01,325.0,333.0,325.0,333.0,740,333.0,2026-09-03T19:34:24.606701+00:00
2015-12-02,333.0,338.0,338.0,338.0,20,338.0,2026-09-03T19:34:24.606701+00:00
2015-12-03,338.0,335.0,325.0,325.0,960,325.0,2026-09-03T19:34:24.606701+00:00
2015-12-06,325.0,337.0,325.0,325.0,650,325.0,2026-09-03T19:34:24.606701+00:00
2015-12-07,325.0,326.0,320.0,322.0,420,322.0,2026-09-03T19:34:24.606701+00:00
2015-12-08,322.0,320.0,310.0,315.0,460,315.0,2026-09-03T19:34:24.606701+00:00
2015-12-09,315.0,321.0,314.0,314.0,750,314.0,2026-09-03T19:34:24.606701+00:00
2015-12-10,314.0,317.0,305.0,317.0,480,317.0,2026-09-03T19:34:24.606701+00:00
2015-12-13,317.0,315.0,303.0,305.0,1440,305.0,2026-09-03T19:34:24.606701+00:00
2015-12-14,305.0,307.0,301.0,306.0,1190,306.0,2026-09-03T19:34:24.606701+00:00
2015-12-15,306.0,307.0,300.0,307.0,720,307.0,2026-09-03T19:34:24.606701+00:00
2015-12-16,307.0,313.0,299.0,299.0,1110,299.0,2026-09-03T19:34:24.606701+00:00
2015-12-17,299.0,295.0,289.0,289.0,940,289.0,2026-09-03T19:34:24.606701+00:00
2015-12-20,289.0,290.0,274.0,285.0,1280,285.0,2026-09-03T19:34:24.606701+00:00
2015-12-21,285.0,286.0,276.0,281.0,1790,281.0,2026-09-03T19:34:24.606701+00:00
