date,open,high,low,close,volume,adj_close,fetched_at
2012-09-12,1705.0,1773.0,1739.0,1773.0,20,1773.0,2026-09-03T19:33:28.391366+00:00
2012-09-17,1773.0,1808.0,1808.0,1808.0,10,1808.0,2026-09-03T19:33:28.391366+00:00
2012-09-18,1808.0,1772.0,1772.0,1772.0,50,1772.0,2026-09-03T19:33:28.391366+00:00
2012-09-19,1772.0,1807.0,1807.0,1807.0,10,1807.0,2026-09-03T19:33:28.391366+00:00
2012-09-20,1807.0,1800.0,1800.0,1800.0,10,1800.0,2026-09-03T19:33:28.391366+00:00
2012-09-23,1800.0,1800.0,1799.0,1800.0,30,1800.0,2026-09-03T19:33:28.391366+00:00
2012-10-07,1830.0,1829.0,1829.0,1829.0,348,1829.0,2026-09-03T19:33:28.391366+00:00
2012-12-17,1829.0,1793.0,1793.0,1793.0,100,1793.0,2026-09-03T19:33:28.391366+00:00
2013-01-22,1793.0,1758.0,1758.0,1758.0,10,1758.0,2026-09-03T19:33:28.391366+00:00
2013-01-23,1758.0,1793.0,1793.0,1793.0,500,1793.0,2026-09-03T19:33:28.391366+00:00
2013-01-31,1793.0,1828.0,1828.0,1828.0,10,1828.0,2026-09-03T19:33:28.391366+00:00
2013-02-04,1828.0,1864.0,1864.0,1864.0,10,1864.0,2026-09-03T19:33:28.391366+00:00
2013-02-05,1864.0,1901.0,1901.0,1901.0,10,1901.0,2026-09-03T19:33:28.391366+00:00
2013-02-06,1901.0,1939.0,1939.0,1939.0,10,1939.0,2026-09-03T19:33:28.391366+00:00
2013-02-19,1939.0,1901.0,1901.0,1901.0,320,1901.0,2026-09-03T19:33:28.391366+00:00
2013-02-21,1901.0,1863.0,1825.0,1825.0,564,1825.0,2026-09-03T19:33:28.391366+00:00
2013-02-26,1825.0,1790.0,1790.0,1790.0,162,1790.0,2026-09-03T19:33:28.391366+00:00
2013-03-05,1790.0,1760.0,1760.0,1760.0,10,1760.0,2026-09-03T19:33:28.391366+00:00
2013-03-06,1760.0,1725.0,1725.0,1725.0,145,1725.0,2026-09-03T19:33:28.391366+00:00
2013-03-11,1725.0,1695.0,1695.0,1695.0,60,1695.0,2026-09-03T19:33:28.391366+00:00
2013-03-13,1695.0,1720.0,1720.0,1720.0,35,1720.0,2026-09-03T19:33:28.391366+00:00
2013-03-14,1720.0,1686.0,1686.0,1686.0,80,1686.0,2026-09-03T19:33:28.391366+00:00
2013-03-17,1686.0,1670.0,1670.0,1670.0,28,1670.0,2026-09-03T19:33:28.391366+00:00
2013-03-20,1670.0,1637.0,1637.0,1637.0,24,1637.0,2026-09-03T19:33:28.391366+00:00
2013-04-01,1637.0,1650.0,1650.0,1650.0,300,1650.0,2026-09-03T19:33:28.391366+00:00
2013-04-09,1650.0,1640.0,1640.0,1640.0,20,1640.0,2026-09-03T19:33:28.391366+00:00
2013-04-22,1640.0,1670.0,1670.0,1670.0,10,1670.0,2026-09-03T19:33:28.391366+00:00
