date,open,high,low,close,volume,adj_close,fetched_at
2012-09-12,430.0,430.0,422.0,430.0,548,430.0,2026-09-03T19:33:46.987907+00:00
2017-08-02,430.0,422.0,422.0,422.0,22746,422.0,2026-09-03T19:33:46.987907+00:00
2017-08-03,422.0,414.0,380.0,380.0,1250,380.0,2026-09-03T19:33:46.987907+00:00
2017-08-06,380.0,373.0,345.0,345.0,445,345.0,2026-09-03T19:33:46.987907+00:00
2017-08-07,345.0,339.0,339.0,339.0,150,339.0,2026-09-03T19:33:46.987907+00:00
2017-08-09,339.0,339.0,309.0,309.0,2080,309.0,2026-09-03T19:33:46.987907+00:00
2017-08-10,193.0,190.0,190.0,190.0,120,190.0,2026-09-03T19:33:46.987907+00:00
2017-08-13,190.0,189.0,189.0,189.0,50,189.0,2026-09-03T19:33:46.987907+00:00
2017-08-20,189.0,186.0,183.0,183.0,18101,183.0,2026-09-03T19:33:46.987907+00:00
2017-08-24,183.0,180.0,165.0,165.0,30940,165.0,2026-09-03T19:33:46.987907+00:00
2017-08-27,165.0,162.0,149.0,149.0,1900,149.0,2026-09-03T19:33:46.987907+00:00
2017-08-28,149.0,147.0,135.0,135.0,6614,135.0,2026-09-03T19:33:46.987907+00:00
2017-08-30,135.0,134.0,122.0,134.0,17372,134.0,2026-09-03T19:33:46.987907+00:00
2017-08-31,134.0,140.0,136.0,140.0,4940,140.0,2026-09-03T19:33:46.987907+00:00
2017-09-04,140.0,140.0,138.0,140.0,500,140.0,2026-09-03T19:33:46.987907+00:00
2017-09-06,140.0,142.0,136.0,138.0,1660,138.0,2026-09-03T19:33:46.987907+00:00
2017-09-07,138.0,140.0,136.0,136.0,3320,136.0,2026-09-03T19:33:46.987907+00:00
2017-09-10,136.0,134.0,123.0,125.0,2960,125.0,2026-09-03T19:33:46.987907+00:00
2017-09-11,125.0,123.0,119.0,119.0,166,119.0,2026-09-03T19:33:46.987907+00:00
2017-09-12,119.0,117.0,115.0,115.0,40,115.0,2026-09-03T19:33:46.987907+00:00
2017-09-13,115.0,118.0,110.0,118.0,5350,118.0,2026-09-03T19:33:46.987907+00:00
2017-09-14,118.0,126.0,120.0,123.0,1000,123.0,2026-09-03T19:33:46.987907+00:00
2017-09-17,123.0,126.0,124.0,126.0,146,126.0,2026-09-03T19:33:46.987907+00:00
2017-09-18,126.0,132.0,128.0,130.0,2160,130.0,2026-09-03T19:33:46.987907+00:00
2017-09-20,130.0,134.0,132.0,134.0,154,134.0,2026-09-03T19:33:46.987907+00:00
2017-09-24,134.0,137.0,132.0,137.0,1890,137.0,2026-09-03T19:33:46.987907+00:00
2017-09-25,137.0,136.0,135.0,135.0,950,135.0,2026-09-03T19:33:46.987907+00:00
2017-09-26,135.0,138.0,135.0,138.0,670,138.0,2026-09-03T19:33:46.987907+00:00
2017-10-03,138.0,138.0,138.0,138.0,50,138.0,2026-09-03T19:33:46.987907+00:00
2017-10-04,138.0,136.0,134.0,134.0,1150,134.0,2026-09-03T19:33:46.987907+00:00
2017-10-08,134.0,133.0,131.0,133.0,780,133.0,2026-09-03T19:33:46.987907+00:00
2017-10-09,133.0,131.0,127.0,127.0,810,127.0,2026-09-03T19:33:46.987907+00:00
2017-10-11,127.0,127.0,120.0,122.0,6000,122.0,2026-09-03T19:33:46.987907+00:00
2017-10-12,122.0,127.0,123.0,127.0,1728,127.0,2026-09-03T19:33:46.987907+00:00
2017-10-15,127.0,139.0,129.0,139.0,2700,139.0,2026-09-03T19:33:46.987907+00:00
2017-10-16,139.0,152.0,141.0,152.0,5075,152.0,2026-09-03T19:33:46.987907+00:00
2017-10-17,152.0,167.0,155.0,167.0,5990,167.0,2026-09-03T19:33:46.987907+00:00
2017-10-18,167.0,170.0,151.0,152.0,4140,152.0,2026-09-03T19:33:46.987907+00:00
