date,open,high,low,close,volume,adj_close,fetched_at
2023-10-12,361.1,397.2,361.1,397.2,13674,397.2,2026-09-03T19:36:46.025818+00:00
2023-10-16,405.1,436.9,358.2,362.5,69045,362.5,2026-09-03T19:36:46.025818+00:00
2023-10-17,362.0,387.0,356.0,360.1,24008,360.1,2026-09-03T19:36:46.025818+00:00
2023-10-18,355.2,385.0,355.2,385.0,8654,385.0,2026-09-03T19:36:46.025818+00:00
2023-10-19,377.3,387.0,372.7,384.5,7467,384.5,2026-09-03T19:36:46.025818+00:00
2023-10-29,376.9,376.9,358.3,367.0,13335,367.0,2026-09-03T19:36:46.025818+00:00
2023-10-30,359.7,374.0,352.8,366.0,10137,366.0,2026-09-03T19:36:46.025818+00:00
2023-10-31,360.0,369.0,360.0,369.0,4920,369.0,2026-09-03T19:36:46.025818+00:00
2023-11-01,362.0,366.0,356.0,361.1,4299,361.1,2026-09-03T19:36:46.025818+00:00
2023-11-02,354.0,364.0,354.0,357.1,5930,357.1,2026-09-03T19:36:46.025818+00:00
2023-11-05,352.0,360.0,352.0,356.0,3910,356.0,2026-09-03T19:36:46.025818+00:00
2023-11-06,360.0,372.0,355.0,366.5,7390,366.5,2026-09-03T19:36:46.025818+00:00
2023-11-07,360.0,384.8,360.0,370.0,5410,370.0,2026-09-03T19:36:46.025818+00:00
2023-11-08,370.0,398.0,363.7,395.0,17150,395.0,2026-09-03T19:36:46.025818+00:00
2023-11-09,387.1,400.0,378.0,378.4,5930,378.4,2026-09-03T19:36:46.025818+00:00
2023-11-20,378.4,390.2,377.4,389.0,6922,389.0,2026-09-03T19:36:46.025818+00:00
2023-11-21,382.0,384.0,376.1,382.0,10370,382.0,2026-09-03T19:36:46.025818+00:00
2023-11-22,375.0,391.0,375.0,391.0,5561,391.0,2026-09-03T19:36:46.025818+00:00
2023-11-23,383.2,403.0,379.0,398.0,9037,398.0,2026-09-03T19:36:46.025818+00:00
2023-11-26,390.1,437.8,390.1,437.8,25091,437.8,2026-09-03T19:36:46.025818+00:00
2023-11-27,437.0,462.0,437.0,446.5,40705,446.5,2026-09-03T19:36:46.025818+00:00
2023-11-28,439.0,454.0,433.3,438.0,15082,438.0,2026-09-03T19:36:46.025818+00:00
2023-11-29,429.4,452.5,425.3,430.0,6210,430.0,2026-09-03T19:36:46.025818+00:00
2023-11-30,422.0,438.0,417.0,418.3,5820,418.3,2026-09-03T19:36:46.025818+00:00
2023-12-03,426.6,432.0,413.0,432.0,6337,432.0,2026-09-03T19:36:46.025818+00:00
2023-12-04,440.0,445.0,410.0,435.0,15943,435.0,2026-09-03T19:36:46.025818+00:00
2023-12-05,426.3,430.0,418.0,425.0,5080,425.0,2026-09-03T19:36:46.025818+00:00
2023-12-06,417.1,435.0,417.1,434.7,9610,434.7,2026-09-03T19:36:46.025818+00:00
2023-12-07,430.0,443.3,427.1,427.1,14212,427.1,2026-09-03T19:36:46.025818+00:00
2023-12-10,435.6,450.0,435.6,441.0,3650,441.0,2026-09-03T19:36:46.025818+00:00
2023-12-11,449.8,464.0,432.0,455.0,37059,455.0,2026-09-03T19:36:46.025818+00:00
2023-12-12,455.0,484.9,445.9,477.0,13807,477.0,2026-09-03T19:36:46.025818+00:00
2023-12-13,470.0,494.0,458.8,470.0,19877,470.0,2026-09-03T19:36:46.025818+00:00
2023-12-14,461.1,472.0,454.1,462.0,17738,462.0,2026-09-03T19:36:46.025818+00:00
2023-12-17,453.0,499.0,452.0,487.0,43595,487.0,2026-09-03T19:36:46.025818+00:00
2023-12-18,495.0,504.0,475.0,494.0,30405,494.0,2026-09-03T19:36:46.025818+00:00
2023-12-19,485.0,505.0,481.0,505.0,16673,505.0,2026-09-03T19:36:46.025818+00:00
2023-12-20,515.0,520.0,493.0,515.0,31910,515.0,2026-09-03T19:36:46.025818+00:00
2023-12-21,504.7,558.0,490.5,558.0,33285,558.0,2026-09-03T19:36:46.025818+00:00
2023-12-24,550.0,574.9,525.0,526.2,30713,526.2,2026-09-03T19:36:46.025818+00:00
2023-12-27,516.0,542.9,516.0,532.0,21147,532.0,2026-09-03T19:36:46.025818+00:00
2023-12-28,532.0,538.0,525.0,528.0,12276,528.0,2026-09-03T19:36:46.025818+00:00
2024-01-01,528.0,538.0,506.0,508.0,11187,508.0,2026-09-03T19:36:46.025818+00:00
2024-01-02,497.9,510.0,497.9,510.0,15680,510.0,2026-09-03T19:36:46.025818+00:00
2024-01-03,502.0,561.0,502.0,561.0,21702,561.0,2026-09-03T19:36:46.025818+00:00
2024-01-04,549.8,590.0,549.8,570.0,30252,570.0,2026-09-03T19:36:46.025818+00:00
2024-01-07,570.0,588.9,547.6,584.0,29562,584.0,2026-09-03T19:36:46.025818+00:00
2024-01-08,572.4,590.0,555.0,584.4,25259,584.4,2026-09-03T19:36:46.025818+00:00
2024-01-09,585.0,593.0,565.0,574.0,23928,574.0,2026-09-03T19:36:46.025818+00:00
2024-01-10,564.0,575.0,555.1,555.1,7992,555.1,2026-09-03T19:36:46.025818+00:00
2024-01-11,555.0,570.0,552.0,563.0,10255,563.0,2026-09-03T19:36:46.025818+00:00
2024-01-14,565.0,582.0,563.2,577.0,18537,577.0,2026-09-03T19:36:46.025818+00:00
2024-01-16,577.7,598.0,558.0,598.0,36138,598.0,2026-09-03T19:36:46.025818+00:00
2024-01-17,587.0,603.8,567.0,603.8,23335,603.8,2026-09-03T19:36:46.025818+00:00
2024-01-18,591.8,597.9,570.0,597.0,20337,597.0,2026-09-03T19:36:46.025818+00:00
2024-01-21,586.0,600.0,572.0,580.0,17183,580.0,2026-09-03T19:36:46.025818+00:00
2024-01-22,568.9,586.0,562.0,578.0,14318,578.0,2026-09-03T19:36:46.025818+00:00
2024-01-23,566.5,578.0,560.2,567.2,5524,567.2,2026-09-03T19:36:46.025818+00:00
2024-01-24,578.5,580.0,550.1,563.0,8008,563.0,2026-09-03T19:36:46.025818+00:00
2024-01-25,553.0,575.0,552.0,570.0,13339,570.0,2026-09-03T19:36:46.025818+00:00
2024-01-28,562.0,581.0,562.0,575.0,12004,575.0,2026-09-03T19:36:46.025818+00:00
2024-01-29,566.3,595.9,566.3,591.0,19958,591.0,2026-09-03T19:36:46.025818+00:00
2024-01-30,600.0,620.0,583.0,612.0,35369,612.0,2026-09-03T19:36:46.025818+00:00
2024-01-31,612.0,620.0,590.0,620.0,28262,620.0,2026-09-03T19:36:46.025818+00:00
2024-02-01,608.0,610.0,590.1,605.0,10095,605.0,2026-09-03T19:36:46.025818+00:00
2024-02-04,592.9,646.0,590.1,646.0,24794,646.0,2026-09-03T19:36:46.025818+00:00
2024-02-05,633.1,710.0,620.0,649.9,28825,649.9,2026-09-03T19:36:46.025818+00:00
2024-02-06,662.0,689.5,623.5,649.0,10980,649.0,2026-09-03T19:36:46.025818+00:00
