date,open,high,low,close,volume,adj_close,fetched_at
2022-07-28,334.0,367.4,334.0,367.4,13720,367.4,2026-09-03T19:36:01.150665+00:00
2022-07-29,374.7,404.1,363.0,378.0,55635,378.0,2026-09-03T19:36:01.150665+00:00
2022-07-31,385.5,395.8,370.0,395.8,22370,395.8,2026-09-03T19:36:01.150665+00:00
2022-08-01,395.8,410.1,375.1,406.5,21390,406.5,2026-09-03T19:36:01.150665+00:00
2022-08-02,399.0,447.1,398.0,447.1,41189,447.1,2026-09-03T19:36:01.150665+00:00
2022-08-03,450.0,482.6,435.0,466.1,30777,466.1,2026-09-03T19:36:01.150665+00:00
2022-08-04,466.0,495.5,448.0,487.0,33555,487.0,2026-09-03T19:36:01.150665+00:00
2022-08-05,477.5,482.4,459.0,472.1,26010,472.1,2026-09-03T19:36:01.150665+00:00
2022-08-07,470.0,504.0,465.1,482.0,27273,482.0,2026-09-03T19:36:01.150665+00:00
2022-08-08,491.5,520.0,480.0,497.0,27790,497.0,2026-09-03T19:36:01.150665+00:00
2022-08-09,488.0,515.0,480.0,487.0,19469,487.0,2026-09-03T19:36:01.150665+00:00
2022-08-10,477.3,484.5,470.0,477.0,14665,477.0,2026-09-03T19:36:01.150665+00:00
2022-08-11,468.0,499.0,468.0,468.0,18162,468.0,2026-09-03T19:36:01.150665+00:00
2022-08-14,463.6,486.0,458.7,459.2,15793,459.2,2026-09-03T19:36:01.150665+00:00
2022-08-15,459.0,475.2,450.0,475.0,12940,475.0,2026-09-03T19:36:01.150665+00:00
2022-08-16,469.9,493.0,458.0,467.0,23137,467.0,2026-09-03T19:36:01.150665+00:00
2022-08-17,460.0,480.0,453.0,475.0,26513,475.0,2026-09-03T19:36:01.150665+00:00
2022-08-18,484.0,499.5,466.1,489.0,21993,489.0,2026-09-03T19:36:01.150665+00:00
2022-08-21,498.7,505.0,475.0,476.0,15918,476.0,2026-09-03T19:36:01.150665+00:00
2022-08-22,466.5,495.0,465.2,481.4,10150,481.4,2026-09-03T19:36:01.150665+00:00
2022-08-23,471.8,480.0,467.0,479.0,5090,479.0,2026-09-03T19:36:01.150665+00:00
