date,open,high,low,close,volume,adj_close,fetched_at
2022-05-25,104.7,110.9,104.7,110.9,130,110.9,2026-09-03T19:35:55.733387+00:00
2022-05-26,113.1,113.1,113.1,113.1,30,113.1,2026-09-03T19:35:55.733387+00:00
2022-05-30,115.3,124.4,115.3,124.4,80,124.4,2026-09-03T19:35:55.733387+00:00
2022-05-31,126.8,126.8,126.8,126.8,30,126.8,2026-09-03T19:35:55.733387+00:00
2022-06-01,124.4,139.4,124.4,139.4,60,139.4,2026-09-03T19:35:55.733387+00:00
2022-06-02,136.8,153.3,136.8,153.3,80,153.3,2026-09-03T19:35:55.733387+00:00
2022-06-03,156.3,168.6,156.3,168.6,70,168.6,2026-09-03T19:35:55.733387+00:00
2022-06-06,171.9,185.4,171.9,185.4,100,185.4,2026-09-03T19:35:55.733387+00:00
2022-06-07,189.1,203.9,189.1,203.9,120,203.9,2026-09-03T19:35:55.733387+00:00
2022-06-08,207.9,224.2,207.9,224.2,100,224.2,2026-09-03T19:35:55.733387+00:00
2022-06-09,228.0,246.6,228.0,246.6,150,246.6,2026-09-03T19:35:55.733387+00:00
2022-06-10,251.5,271.2,251.5,271.2,400,271.2,2026-09-03T19:35:55.733387+00:00
2022-06-13,276.6,298.3,276.6,298.3,2160,298.3,2026-09-03T19:35:55.733387+00:00
2022-06-14,304.2,328.1,270.0,274.0,48906,274.0,2026-09-03T19:35:55.733387+00:00
2022-06-15,274.0,274.0,246.6,250.0,34219,250.0,2026-09-03T19:35:55.733387+00:00
2022-06-16,245.0,274.3,230.0,259.9,10055,259.9,2026-09-03T19:35:55.733387+00:00
2022-06-17,265.0,275.0,245.1,265.0,8537,265.0,2026-09-03T19:35:55.733387+00:00
2022-06-19,270.0,270.0,243.0,243.3,8433,243.3,2026-09-03T19:35:55.733387+00:00
2022-06-20,243.3,248.1,226.0,229.1,11693,229.1,2026-09-03T19:35:55.733387+00:00
2022-06-21,225.0,245.0,225.0,232.5,6532,232.5,2026-09-03T19:35:55.733387+00:00
2022-06-22,237.1,237.1,219.5,224.5,7003,224.5,2026-09-03T19:35:55.733387+00:00
2022-06-23,228.9,228.9,203.5,209.0,12774,209.0,2026-09-03T19:35:55.733387+00:00
2022-06-24,205.0,224.4,201.2,213.0,3625,213.0,2026-09-03T19:35:55.733387+00:00
2022-06-26,217.2,234.0,217.2,230.0,7365,230.0,2026-09-03T19:35:55.733387+00:00
2022-06-27,234.6,244.0,224.0,224.0,14086,224.0,2026-09-03T19:35:55.733387+00:00
2022-06-28,220.0,228.0,220.0,225.0,6150,225.0,2026-09-03T19:35:55.733387+00:00
2022-06-29,220.6,232.5,220.6,228.1,11087,228.1,2026-09-03T19:35:55.733387+00:00
2022-06-30,232.6,241.8,228.4,239.0,10243,239.0,2026-09-03T19:35:55.733387+00:00
2022-07-01,235.0,245.8,225.7,245.0,12622,245.0,2026-09-03T19:35:55.733387+00:00
2022-07-03,249.9,260.1,237.0,256.0,12589,256.0,2026-09-03T19:35:55.733387+00:00
2022-07-04,261.0,268.1,247.1,247.1,19683,247.1,2026-09-03T19:35:55.733387+00:00
2022-07-05,242.2,260.0,237.5,239.0,15683,239.0,2026-09-03T19:35:55.733387+00:00
2022-07-06,243.7,248.1,229.4,246.0,6930,246.0,2026-09-03T19:35:55.733387+00:00
2022-07-07,250.9,252.0,240.0,245.0,7220,245.0,2026-09-03T19:35:55.733387+00:00
2022-07-08,241.0,241.0,233.0,233.0,4562,233.0,2026-09-03T19:35:55.733387+00:00
2022-07-11,228.4,233.0,219.0,219.0,7360,219.0,2026-09-03T19:35:55.733387+00:00
2022-07-12,217.7,231.9,216.1,231.5,3574,231.5,2026-09-03T19:35:55.733387+00:00
2022-07-13,227.0,246.0,225.0,244.9,6517,244.9,2026-09-03T19:35:55.733387+00:00
2022-07-14,245.0,249.7,234.3,244.7,6125,244.7,2026-09-03T19:35:55.733387+00:00
2022-07-15,239.9,241.0,231.0,239.7,5220,239.7,2026-09-03T19:35:55.733387+00:00
2022-07-17,235.0,240.7,225.8,236.0,3582,236.0,2026-09-03T19:35:55.733387+00:00
2022-07-18,235.0,241.0,231.0,237.0,2688,237.0,2026-09-03T19:35:55.733387+00:00
2022-07-19,232.5,248.8,232.5,244.0,7432,244.0,2026-09-03T19:35:55.733387+00:00
2022-07-20,239.3,253.7,236.6,246.0,10071,246.0,2026-09-03T19:35:55.733387+00:00
2022-07-21,241.1,245.0,236.3,243.0,2985,243.0,2026-09-03T19:35:55.733387+00:00
2022-07-22,238.2,244.0,233.5,239.0,2640,239.0,2026-09-03T19:35:55.733387+00:00
2022-07-24,243.0,261.1,231.0,260.0,12895,260.0,2026-09-03T19:35:55.733387+00:00
2022-07-25,260.0,286.0,260.0,286.0,36630,286.0,2026-09-03T19:35:55.733387+00:00
2022-07-26,291.0,306.0,271.1,295.0,21245,295.0,2026-09-03T19:35:55.733387+00:00
2022-07-27,289.1,317.2,280.1,312.0,29128,312.0,2026-09-03T19:35:55.733387+00:00
2022-07-28,313.0,316.4,291.1,300.0,33095,300.0,2026-09-03T19:35:55.733387+00:00
2022-07-29,294.0,307.0,290.1,295.1,8061,295.1,2026-09-03T19:35:55.733387+00:00
2022-07-31,289.2,313.0,289.2,305.0,18976,305.0,2026-09-03T19:35:55.733387+00:00
2022-08-01,311.0,311.0,295.0,299.0,20919,299.0,2026-09-03T19:35:55.733387+00:00
2022-08-02,293.1,300.0,289.1,299.8,15095,299.8,2026-09-03T19:35:55.733387+00:00
2022-08-03,299.8,329.7,299.8,329.7,39216,329.7,2026-09-03T19:35:55.733387+00:00
2022-08-04,336.2,362.6,336.2,362.6,49371,362.6,2026-09-03T19:35:55.733387+00:00
2022-08-05,369.8,397.0,362.6,372.0,42222,372.0,2026-09-03T19:35:55.733387+00:00
2022-08-07,365.0,380.0,347.0,367.0,38350,367.0,2026-09-03T19:35:55.733387+00:00
2022-08-08,360.0,373.0,360.0,361.2,31650,361.2,2026-09-03T19:35:55.733387+00:00
2022-08-09,362.0,368.0,340.0,342.1,18559,342.1,2026-09-03T19:35:55.733387+00:00
2022-08-10,340.0,350.0,330.1,340.0,13782,340.0,2026-09-03T19:35:55.733387+00:00
2022-08-11,335.0,346.8,334.0,334.1,11647,334.1,2026-09-03T19:35:55.733387+00:00
2022-08-14,327.5,340.7,323.4,330.0,8260,330.0,2026-09-03T19:35:55.733387+00:00
2022-08-15,323.4,345.4,317.2,345.0,10960,345.0,2026-09-03T19:35:55.733387+00:00
2022-08-16,345.0,351.7,322.1,330.2,22557,330.2,2026-09-03T19:35:55.733387+00:00
2022-08-17,325.1,336.8,325.1,334.0,13437,334.0,2026-09-03T19:35:55.733387+00:00
2022-08-18,334.6,364.0,327.2,362.0,35571,362.0,2026-09-03T19:35:55.733387+00:00
2022-08-21,354.9,369.2,341.1,349.0,22050,349.0,2026-09-03T19:35:55.733387+00:00
2022-08-22,348.9,348.9,337.2,344.0,9742,344.0,2026-09-03T19:35:55.733387+00:00
2022-08-23,338.3,344.0,335.0,341.9,7390,341.9,2026-09-03T19:35:55.733387+00:00
2022-08-24,337.0,348.7,335.1,344.0,6490,344.0,2026-09-03T19:35:55.733387+00:00
2022-08-25,350.0,350.0,328.0,338.0,10985,338.0,2026-09-03T19:35:55.733387+00:00
2022-08-26,332.0,335.0,320.0,334.0,13639,334.0,2026-09-03T19:35:55.733387+00:00
2022-08-28,340.6,347.0,310.0,313.0,17163,313.0,2026-09-03T19:35:55.733387+00:00
2022-08-29,313.0,321.3,307.0,311.5,8717,311.5,2026-09-03T19:35:55.733387+00:00
2022-08-30,309.0,331.0,309.0,317.0,5877,317.0,2026-09-03T19:35:55.733387+00:00
2022-08-31,310.8,325.0,307.1,307.5,10650,307.5,2026-09-03T19:35:55.733387+00:00
2022-09-01,303.1,321.4,300.1,318.0,11402,318.0,2026-09-03T19:35:55.733387+00:00
2022-09-02,320.0,324.0,306.9,310.0,2217,310.0,2026-09-03T19:35:55.733387+00:00
2022-09-04,304.0,315.9,299.1,315.0,15360,315.0,2026-09-03T19:35:55.733387+00:00
2022-09-05,308.8,314.0,307.1,313.0,2750,313.0,2026-09-03T19:35:55.733387+00:00
2022-09-06,306.9,310.1,299.1,304.9,11293,304.9,2026-09-03T19:35:55.733387+00:00
2022-09-07,299.1,303.0,295.3,301.0,3821,301.0,2026-09-03T19:35:55.733387+00:00
2022-09-08,305.0,311.0,290.1,304.0,5024,304.0,2026-09-03T19:35:55.733387+00:00
2022-09-11,298.0,304.0,293.0,297.9,3405,297.9,2026-09-03T19:35:55.733387+00:00
2022-09-12,293.0,297.0,288.0,290.9,4585,290.9,2026-09-03T19:35:55.733387+00:00
2022-09-13,296.0,307.9,285.2,293.9,7287,293.9,2026-09-03T19:35:55.733387+00:00
2022-09-14,290.0,310.0,288.1,310.0,12331,310.0,2026-09-03T19:35:55.733387+00:00
2022-09-15,315.0,315.0,290.1,299.8,7917,299.8,2026-09-03T19:35:55.733387+00:00
2022-09-16,293.9,293.9,278.6,293.0,4031,293.0,2026-09-03T19:35:55.733387+00:00
2022-09-18,289.0,289.0,267.0,270.0,8055,270.0,2026-09-03T19:35:55.733387+00:00
2022-09-20,266.0,280.8,250.9,262.8,9085,262.8,2026-09-03T19:35:55.733387+00:00
