date,open,high,low,close,volume,adj_close,fetched_at
2012-09-11,1000.0,1018.0,1018.0,1018.0,30,1018.0,2026-09-03T19:33:45.410216+00:00
2012-12-02,1018.0,1038.0,1018.0,1038.0,100,1038.0,2026-09-03T19:33:45.410216+00:00
2012-12-04,1038.0,1058.0,1018.0,1058.0,120,1058.0,2026-09-03T19:33:45.410216+00:00
2012-12-13,1058.0,1079.0,1079.0,1079.0,50,1079.0,2026-09-03T19:33:45.410216+00:00
2012-12-16,1079.0,1100.0,1100.0,1100.0,100,1100.0,2026-09-03T19:33:45.410216+00:00
2012-12-27,1100.0,1144.0,1100.0,1144.0,100,1144.0,2026-09-03T19:33:45.410216+00:00
2013-01-08,1144.0,1166.0,1166.0,1166.0,101,1166.0,2026-09-03T19:33:45.410216+00:00
2013-01-20,1166.0,1189.0,1189.0,1189.0,10,1189.0,2026-09-03T19:33:45.410216+00:00
2013-02-07,1189.0,1190.0,1190.0,1190.0,40,1190.0,2026-09-03T19:33:45.410216+00:00
2013-03-06,1190.0,1213.0,1213.0,1213.0,10,1213.0,2026-09-03T19:33:45.410216+00:00
2013-03-20,1213.0,1237.0,1237.0,1237.0,28,1237.0,2026-09-03T19:33:45.410216+00:00
2013-03-27,1237.0,1286.0,1261.0,1286.0,20,1286.0,2026-09-03T19:33:45.410216+00:00
2013-05-09,1286.0,1290.0,1290.0,1290.0,20,1290.0,2026-09-03T19:33:45.410216+00:00
2013-06-04,1290.0,1290.0,1290.0,1290.0,20,1290.0,2026-09-03T19:33:45.410216+00:00
2013-06-16,1290.0,1305.0,1305.0,1305.0,700,1305.0,2026-09-03T19:33:45.410216+00:00
2013-06-19,1305.0,1315.0,1315.0,1315.0,202,1315.0,2026-09-03T19:33:45.410216+00:00
2013-07-02,1315.0,1315.0,1315.0,1315.0,486,1315.0,2026-09-03T19:33:45.410216+00:00
2013-07-15,1315.0,1315.0,1315.0,1315.0,500,1315.0,2026-09-03T19:33:45.410216+00:00
2013-07-18,1315.0,1341.0,1341.0,1341.0,10,1341.0,2026-09-03T19:33:45.410216+00:00
2013-08-04,1341.0,1394.0,1367.0,1394.0,38,1394.0,2026-09-03T19:33:45.410216+00:00
2013-09-22,1394.0,1367.0,1263.0,1263.0,400,1263.0,2026-09-03T19:33:45.410216+00:00
2013-09-26,1263.0,1238.0,1144.0,1144.0,50,1144.0,2026-09-03T19:33:45.410216+00:00
2013-10-01,1144.0,1126.0,1126.0,1126.0,10,1126.0,2026-09-03T19:33:45.410216+00:00
2013-10-06,1126.0,1238.0,1148.0,1238.0,1490,1238.0,2026-09-03T19:33:45.410216+00:00
2013-10-07,1238.0,1361.0,1262.0,1361.0,450,1361.0,2026-09-03T19:33:45.410216+00:00
2013-10-08,1361.0,1415.0,1388.0,1415.0,310,1415.0,2026-09-03T19:33:45.410216+00:00
2013-10-24,1415.0,1471.0,1443.0,1471.0,400,1471.0,2026-09-03T19:33:45.410216+00:00
2013-10-27,1471.0,1618.0,1500.0,1618.0,500,1618.0,2026-09-03T19:33:45.410216+00:00
2013-10-28,1618.0,1650.0,1650.0,1650.0,50,1650.0,2026-09-03T19:33:45.410216+00:00
2013-10-29,1650.0,1683.0,1683.0,1683.0,100,1683.0,2026-09-03T19:33:45.410216+00:00
2013-10-30,1683.0,1716.0,1716.0,1716.0,10,1716.0,2026-09-03T19:33:45.410216+00:00
2013-11-07,1716.0,1750.0,1716.0,1750.0,2010,1750.0,2026-09-03T19:33:45.410216+00:00
2013-11-11,1750.0,1750.0,1750.0,1750.0,50,1750.0,2026-09-03T19:33:45.410216+00:00
2013-11-14,1750.0,1750.0,1750.0,1750.0,100,1750.0,2026-09-03T19:33:45.410216+00:00
2013-11-24,1750.0,1785.0,1785.0,1785.0,100,1785.0,2026-09-03T19:33:45.410216+00:00
2013-11-25,1785.0,1785.0,1751.0,1751.0,2000,1751.0,2026-09-03T19:33:45.410216+00:00
2014-01-06,1751.0,1716.0,1716.0,1716.0,2000,1716.0,2026-09-03T19:33:45.410216+00:00
2014-01-08,1716.0,1720.0,1720.0,1720.0,101,1720.0,2026-09-03T19:33:45.410216+00:00
2014-01-09,1720.0,1750.0,1725.0,1750.0,100,1750.0,2026-09-03T19:33:45.410216+00:00
2014-01-29,1750.0,1715.0,1715.0,1715.0,20,1715.0,2026-09-03T19:33:45.410216+00:00
2014-02-03,1715.0,1715.0,1715.0,1715.0,300,1715.0,2026-09-03T19:33:45.410216+00:00
2014-02-11,1715.0,1681.0,1681.0,1681.0,100,1681.0,2026-09-03T19:33:45.410216+00:00
2014-02-12,1681.0,1714.0,1680.0,1714.0,145,1714.0,2026-09-03T19:33:45.410216+00:00
