date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,690.0,697.0,681.0,695.0,1148,695.0,2026-09-03T19:33:26.081323+00:00
2012-09-10,695.0,691.0,682.0,689.0,1200,689.0,2026-09-03T19:33:26.081323+00:00
2012-09-11,689.0,690.0,677.0,689.0,462,689.0,2026-09-03T19:33:26.081323+00:00
2012-09-12,689.0,690.0,682.0,690.0,1300,690.0,2026-09-03T19:33:26.081323+00:00
2012-09-13,690.0,685.0,680.0,685.0,900,685.0,2026-09-03T19:33:26.081323+00:00
2012-09-16,685.0,696.0,686.0,689.0,750,689.0,2026-09-03T19:33:26.081323+00:00
2012-09-17,689.0,705.0,689.0,705.0,722,705.0,2026-09-03T19:33:26.081323+00:00
2012-09-18,705.0,745.0,707.0,745.0,1016,745.0,2026-09-03T19:33:26.081323+00:00
2012-09-19,745.0,735.0,710.0,710.0,500,710.0,2026-09-03T19:33:26.081323+00:00
2012-09-20,710.0,706.0,706.0,706.0,100,706.0,2026-09-03T19:33:26.081323+00:00
2012-09-23,706.0,710.0,696.0,697.0,4920,697.0,2026-09-03T19:33:26.081323+00:00
2012-09-24,697.0,695.0,690.0,695.0,2649,695.0,2026-09-03T19:33:26.081323+00:00
2012-09-25,695.0,703.0,690.0,703.0,7711,703.0,2026-09-03T19:33:26.081323+00:00
2012-09-26,703.0,714.0,700.0,714.0,4262,714.0,2026-09-03T19:33:26.081323+00:00
2012-09-30,714.0,723.0,705.0,723.0,5331,723.0,2026-09-03T19:33:26.081323+00:00
2012-10-01,723.0,725.0,717.0,725.0,924,725.0,2026-09-03T19:33:26.081323+00:00
2012-10-01,723.0,725.0,717.0,725.0,924,725.0,2026-09-03T19:33:26.081323+00:00
2012-10-02,725.0,735.0,728.0,733.0,2797,733.0,2026-09-03T19:33:26.081323+00:00
2012-10-03,733.0,738.0,730.0,733.0,1761,733.0,2026-09-03T19:33:26.081323+00:00
2012-10-04,733.0,750.0,734.0,748.0,2414,748.0,2026-09-03T19:33:26.081323+00:00
2012-10-07,748.0,792.0,762.0,790.0,2179,790.0,2026-09-03T19:33:26.081323+00:00
2012-10-08,790.0,795.0,770.0,770.0,5090,770.0,2026-09-03T19:33:26.081323+00:00
2012-10-09,770.0,769.0,750.0,750.0,3411,750.0,2026-09-03T19:33:26.081323+00:00
2012-10-10,750.0,755.0,754.0,754.0,400,754.0,2026-09-03T19:33:26.081323+00:00
2012-10-11,754.0,750.0,741.0,750.0,1717,750.0,2026-09-03T19:33:26.081323+00:00
2012-10-14,750.0,755.0,750.0,752.0,450,752.0,2026-09-03T19:33:26.081323+00:00
2012-10-15,752.0,755.0,755.0,755.0,879,755.0,2026-09-03T19:33:26.081323+00:00
2012-10-17,755.0,779.0,770.0,779.0,170,779.0,2026-09-03T19:33:26.081323+00:00
2012-10-18,779.0,770.0,770.0,770.0,300,770.0,2026-09-03T19:33:26.081323+00:00
2012-10-30,770.0,780.0,770.0,780.0,510,780.0,2026-09-03T19:33:26.081323+00:00
2012-10-31,780.0,800.0,780.0,794.0,4950,794.0,2026-09-03T19:33:26.081323+00:00
2012-11-01,794.0,795.0,789.0,795.0,1460,795.0,2026-09-03T19:33:26.081323+00:00
2012-11-04,795.0,792.0,786.0,788.0,3200,788.0,2026-09-03T19:33:26.081323+00:00
2012-11-05,788.0,793.0,777.0,790.0,3757,790.0,2026-09-03T19:33:26.081323+00:00
2012-11-06,790.0,800.0,785.0,788.0,2325,788.0,2026-09-03T19:33:26.081323+00:00
2012-11-07,788.0,810.0,790.0,799.0,5812,799.0,2026-09-03T19:33:26.081323+00:00
2012-11-08,799.0,816.0,795.0,800.0,3628,800.0,2026-09-03T19:33:26.081323+00:00
2012-11-11,800.0,808.0,791.0,795.0,1887,795.0,2026-09-03T19:33:26.081323+00:00
2012-11-12,795.0,800.0,789.0,796.0,2528,796.0,2026-09-03T19:33:26.081323+00:00
2012-11-18,796.0,805.0,785.0,805.0,5288,805.0,2026-09-03T19:33:26.081323+00:00
2012-11-20,805.0,835.0,800.0,835.0,11011,835.0,2026-09-03T19:33:26.081323+00:00
2012-11-21,835.0,832.0,805.0,820.0,8884,820.0,2026-09-03T19:33:26.081323+00:00
2012-11-22,820.0,825.0,813.0,819.0,6384,819.0,2026-09-03T19:33:26.081323+00:00
2012-11-25,819.0,846.0,819.0,819.0,5231,819.0,2026-09-03T19:33:26.081323+00:00
2012-11-26,819.0,807.0,807.0,807.0,186,807.0,2026-09-03T19:33:26.081323+00:00
2012-11-27,807.0,815.0,790.0,790.0,3893,790.0,2026-09-03T19:33:26.081323+00:00
2012-11-28,790.0,791.0,781.0,787.0,2892,787.0,2026-09-03T19:33:26.081323+00:00
