date,open,high,low,close,volume,adj_close,fetched_at
2025-11-10,302.4,332.6,302.4,332.6,190,332.6,2026-09-03T19:37:14.612161+00:00
2025-11-11,339.2,365.8,339.2,365.8,290,365.8,2026-09-03T19:37:14.612161+00:00
2025-11-12,373.1,402.3,373.1,402.3,520,402.3,2026-09-03T19:37:14.612161+00:00
2025-11-13,410.3,442.5,410.3,442.5,4850,442.5,2026-09-03T19:37:14.612161+00:00
2025-11-16,451.3,486.7,451.3,486.7,11500,486.7,2026-09-03T19:37:14.612161+00:00
2025-11-17,496.4,535.3,451.0,535.3,114540,535.3,2026-09-03T19:37:14.612161+00:00
2025-11-18,545.9,588.8,535.0,588.8,40870,588.8,2026-09-03T19:37:14.612161+00:00
2025-11-19,600.0,647.6,561.0,647.6,36430,647.6,2026-09-03T19:37:14.612161+00:00
2025-11-20,634.7,634.7,582.9,589.0,154398,589.0,2026-09-03T19:37:14.612161+00:00
2025-11-23,580.0,593.0,546.9,579.9,87382,579.9,2026-09-03T19:37:14.612161+00:00
2025-11-24,591.4,591.4,559.6,568.9,48456,568.9,2026-09-03T19:37:14.612161+00:00
2025-11-25,560.0,591.0,554.0,588.1,51448,588.1,2026-09-03T19:37:14.612161+00:00
2025-11-26,577.0,585.0,566.0,568.6,35305,568.6,2026-09-03T19:37:14.612161+00:00
2025-11-27,562.59,582.0,558.1,565.0,30000,565.0,2026-09-03T19:37:14.612161+00:00
2025-11-30,557.2,568.2,555.0,555.2,34190,555.2,2026-09-03T19:37:14.612161+00:00
2025-12-01,550.0,565.0,544.0,562.0,32047,562.0,2026-09-03T19:37:14.612161+00:00
2025-12-02,562.0,618.2,552.4,618.2,140946,618.2,2026-09-03T19:37:14.612161+00:00
2025-12-03,630.5,675.0,620.0,658.0,110513,658.0,2026-09-03T19:37:14.612161+00:00
2025-12-07,644.9,644.9,595.1,602.0,155524,602.0,2026-09-03T19:37:14.612161+00:00
2025-12-08,590.0,605.1,582.0,600.0,52224,600.0,2026-09-03T19:37:14.612161+00:00
2025-12-09,612.0,635.5,600.0,632.0,34665,632.0,2026-09-03T19:37:14.612161+00:00
2025-12-10,620.0,635.0,611.3,616.0,65680,616.0,2026-09-03T19:37:14.612161+00:00
2025-12-11,606.1,625.0,602.0,606.0,43989,606.0,2026-09-03T19:37:14.612161+00:00
2025-12-14,600.0,607.0,590.3,591.0,27175,591.0,2026-09-03T19:37:14.612161+00:00
2025-12-15,585.0,607.0,585.0,594.0,31029,594.0,2026-09-03T19:37:14.612161+00:00
2025-12-16,590.1,630.0,588.5,611.0,40189,611.0,2026-09-03T19:37:14.612161+00:00
2025-12-17,605.0,623.0,600.2,612.0,18698,612.0,2026-09-03T19:37:14.612161+00:00
2025-12-18,600.0,633.2,600.0,620.9,112831,620.9,2026-09-03T19:37:14.612161+00:00
2025-12-21,620.9,630.0,610.2,620.0,58542,620.0,2026-09-03T19:37:14.612161+00:00
2025-12-22,632.4,632.4,598.1,600.0,60902,600.0,2026-09-03T19:37:14.612161+00:00
2025-12-23,590.1,604.0,580.0,585.2,46819,585.2,2026-09-03T19:37:14.612161+00:00
2025-12-24,580.0,596.0,570.0,575.0,55434,575.0,2026-09-03T19:37:14.612161+00:00
2025-12-28,575.0,596.7,565.0,590.0,52920,590.0,2026-09-03T19:37:14.612161+00:00
2025-12-29,578.3,601.8,578.3,590.0,43251,590.0,2026-09-03T19:37:14.612161+00:00
2025-12-31,590.0,604.0,586.5,592.0,57437,592.0,2026-09-03T19:37:14.612161+00:00
2026-01-01,587.0,644.0,587.0,620.3,188747,620.3,2026-09-03T19:37:14.612161+00:00
2026-01-04,620.0,643.0,616.0,640.0,111305,640.0,2026-09-03T19:37:14.612161+00:00
2026-01-05,645.0,695.0,640.2,694.0,103420,694.0,2026-09-03T19:37:14.612161+00:00
2026-01-06,695.0,729.3,643.9,666.0,67157,666.0,2026-09-03T19:37:14.612161+00:00
2026-01-07,670.0,693.5,646.0,650.1,68663,650.1,2026-09-03T19:37:14.612161+00:00
2026-01-08,650.1,656.0,625.3,637.5,150364,637.5,2026-09-03T19:37:14.612161+00:00
2026-01-12,637.5,673.0,632.0,672.0,99233,672.0,2026-09-03T19:37:14.612161+00:00
2026-01-13,672.0,681.0,646.0,647.0,77131,647.0,2026-09-03T19:37:14.612161+00:00
2026-01-14,659.9,659.9,635.1,637.2,35411,637.2,2026-09-03T19:37:14.612161+00:00
2026-01-18,628.1,683.9,628.1,677.0,119975,677.0,2026-09-03T19:37:14.612161+00:00
2026-01-20,690.0,723.0,677.3,700.2,120617,700.2,2026-09-03T19:37:14.612161+00:00
2026-01-21,702.0,714.2,687.8,689.2,66185,689.2,2026-09-03T19:37:14.612161+00:00
2026-01-22,689.3,736.0,680.2,710.0,135587,710.0,2026-09-03T19:37:14.612161+00:00
2026-01-25,710.0,770.0,710.0,752.0,117900,752.0,2026-09-03T19:37:14.612161+00:00
2026-01-26,755.0,803.0,714.0,780.0,215586,780.0,2026-09-03T19:37:14.612161+00:00
2026-01-27,781.0,822.0,755.0,762.0,82827,762.0,2026-09-03T19:37:14.612161+00:00
2026-01-28,760.0,780.0,731.1,772.0,90583,772.0,2026-09-03T19:37:14.612161+00:00
2026-01-29,772.0,772.0,720.0,720.0,103510,720.0,2026-09-03T19:37:14.612161+00:00
2026-02-01,710.0,720.0,695.8,702.0,40218,702.0,2026-09-03T19:37:14.612161+00:00
2026-02-02,714.8,752.0,696.0,740.0,57882,740.0,2026-09-03T19:37:14.612161+00:00
2026-02-03,749.9,750.0,710.6,720.0,35538,720.0,2026-09-03T19:37:14.612161+00:00
2026-02-04,720.0,734.0,701.2,705.0,29817,705.0,2026-09-03T19:37:14.612161+00:00
2026-02-05,715.0,715.0,700.2,708.8,35758,708.8,2026-09-03T19:37:14.612161+00:00
2026-02-08,715.0,718.0,691.8,691.8,32238,691.8,2026-09-03T19:37:14.612161+00:00
2026-02-09,694.0,699.9,656.1,670.0,42632,670.0,2026-09-03T19:37:14.612161+00:00
2026-02-10,660.0,693.9,660.0,672.0,26352,672.0,2026-09-03T19:37:14.612161+00:00
2026-02-11,685.0,685.2,652.0,663.0,16616,663.0,2026-09-03T19:37:14.612161+00:00
2026-02-12,651.0,675.0,642.0,647.0,25892,647.0,2026-09-03T19:37:14.612161+00:00
2026-02-16,647.0,670.0,643.5,661.0,24556,661.0,2026-09-03T19:37:14.612161+00:00
2026-02-17,661.0,670.0,645.0,648.0,19262,648.0,2026-09-03T19:37:14.612161+00:00
2026-02-22,642.0,642.9,626.1,630.0,22907,630.0,2026-09-03T19:37:14.612161+00:00
2026-02-23,639.0,639.0,620.0,624.0,12090,624.0,2026-09-03T19:37:14.612161+00:00
2026-02-24,616.0,647.7,616.0,646.0,20441,646.0,2026-09-03T19:37:14.612161+00:00
2026-02-25,650.0,660.5,643.0,649.0,18029,649.0,2026-09-03T19:37:14.612161+00:00
2026-02-26,649.0,652.0,632.3,642.0,9866,642.0,2026-09-03T19:37:14.612161+00:00
2026-03-01,629.2,643.8,629.2,638.5,16757,638.5,2026-09-03T19:37:14.612161+00:00
2026-03-03,645.0,659.9,635.2,658.9,22141,658.9,2026-09-03T19:37:14.612161+00:00
2026-03-09,672.0,713.0,672.0,713.0,891,713.0,2026-09-03T19:37:14.612161+00:00
2026-03-10,727.0,727.0,680.0,689.9,42165,689.9,2026-09-03T19:37:14.612161+00:00
2026-03-11,689.0,694.0,666.5,666.6,23470,666.6,2026-09-03T19:37:14.612161+00:00
2026-03-12,679.0,679.0,654.0,665.0,21212,665.0,2026-09-03T19:37:14.612161+00:00
2026-03-15,665.0,677.5,650.0,655.2,20702,655.2,2026-09-03T19:37:14.612161+00:00
2026-03-16,650.0,667.4,640.0,648.0,26699,648.0,2026-09-03T19:37:14.612161+00:00
2026-03-17,648.0,655.0,637.2,638.2,13955,638.2,2026-09-03T19:37:14.612161+00:00
2026-03-19,632.1,657.0,632.1,645.0,33530,645.0,2026-09-03T19:37:14.612161+00:00
2026-03-22,656.9,657.9,645.0,650.0,28819,650.0,2026-09-03T19:37:14.612161+00:00
2026-03-23,649.0,657.8,645.0,652.0,29163,652.0,2026-09-03T19:37:14.612161+00:00
2026-03-24,650.0,660.9,647.1,655.9,20475,655.9,2026-09-03T19:37:14.612161+00:00
2026-03-25,663.0,678.0,647.1,665.5,33893,665.5,2026-09-03T19:37:14.612161+00:00
2026-03-26,673.0,686.0,666.1,678.0,32916,678.0,2026-09-03T19:37:14.612161+00:00
2026-03-29,664.5,684.9,650.0,653.0,22456,653.0,2026-09-03T19:37:14.612161+00:00
2026-03-30,645.1,653.0,633.0,635.0,18046,635.0,2026-09-03T19:37:14.612161+00:00
2026-03-31,626.0,640.0,614.0,626.0,23577,626.0,2026-09-03T19:37:14.612161+00:00
2026-04-01,620.0,634.9,605.7,611.0,19951,611.0,2026-09-03T19:37:14.612161+00:00
2026-04-02,600.0,620.0,599.0,612.0,16792,612.0,2026-09-03T19:37:14.612161+00:00
2026-04-05,602.0,602.0,558.0,564.0,25673,564.0,2026-09-03T19:37:14.612161+00:00
2026-04-06,555.1,598.0,555.1,580.0,17129,580.0,2026-09-03T19:37:14.612161+00:00
2026-04-07,588.9,595.0,578.4,584.0,13100,584.0,2026-09-03T19:37:14.612161+00:00
2026-04-08,588.6,626.0,582.0,623.0,33455,623.0,2026-09-03T19:37:14.612161+00:00
2026-04-09,634.9,648.7,612.0,633.0,27276,633.0,2026-09-03T19:37:14.612161+00:00
2026-04-10,640.0,640.0,612.7,622.9,19547,622.9,2026-09-03T19:37:14.612161+00:00
2026-04-13,610.8,623.0,600.0,615.0,17249,615.0,2026-09-03T19:37:14.612161+00:00
2026-04-15,615.0,633.3,610.1,618.0,15769,618.0,2026-09-03T19:37:14.612161+00:00
2026-04-16,615.0,625.0,601.0,605.0,19013,605.0,2026-09-03T19:37:14.612161+00:00
2026-04-17,598.1,621.0,596.1,618.1,24626,618.1,2026-09-03T19:37:14.612161+00:00
2026-04-20,631.2,631.2,596.1,628.8,22429,628.8,2026-09-03T19:37:14.612161+00:00
2026-04-21,617.0,628.1,611.5,619.0,12926,619.0,2026-09-03T19:37:14.612161+00:00
2026-04-22,603.0,617.8,595.0,610.0,17239,610.0,2026-09-03T19:37:14.612161+00:00
2026-04-23,601.2,607.9,592.0,596.4,11698,596.4,2026-09-03T19:37:14.612161+00:00
2026-04-24,586.0,597.0,585.0,591.2,8118,591.2,2026-09-03T19:37:14.612161+00:00
2026-04-27,591.2,603.0,590.0,600.0,12977,600.0,2026-09-03T19:37:14.612161+00:00
2026-04-28,570.0,603.0,570.0,594.0,15363,594.0,2026-09-03T19:37:14.612161+00:00
2026-04-29,594.0,589.9,560.1,570.0,18619,570.0,2026-09-03T19:37:14.612161+00:00
2026-04-30,560.0,579.8,555.0,571.0,8665,571.0,2026-09-03T19:37:14.612161+00:00
2026-05-04,550.0,573.0,550.0,560.0,7211,560.0,2026-09-03T19:37:14.612161+00:00
2026-05-05,555.1,573.9,555.0,567.0,7867,567.0,2026-09-03T19:37:14.612161+00:00
2026-05-06,556.0,570.0,556.0,565.0,3497,565.0,2026-09-03T19:37:14.612161+00:00
2026-05-07,560.0,570.0,557.1,562.0,3992,562.0,2026-09-03T19:37:14.612161+00:00
2026-05-08,560.1,575.0,560.1,569.1,7311,569.1,2026-09-03T19:37:14.612161+00:00
2026-05-11,569.0,595.0,569.0,595.0,15122,595.0,2026-09-03T19:37:14.612161+00:00
2026-05-12,600.0,610.0,570.0,583.0,19837,583.0,2026-09-03T19:37:14.612161+00:00
2026-05-13,570.0,583.0,565.8,582.0,8505,582.0,2026-09-03T19:37:14.612161+00:00
2026-05-14,570.2,584.9,570.2,583.8,6832,583.8,2026-09-03T19:37:14.612161+00:00
2026-05-15,572.0,592.0,572.0,589.8,12169,589.8,2026-09-03T19:37:14.612161+00:00
2026-05-18,590.0,631.5,589.0,627.1,76742,627.1,2026-09-03T19:37:14.612161+00:00
2026-05-19,625.0,654.0,625.0,635.1,97455,635.1,2026-09-03T19:37:14.612161+00:00
2026-05-20,636.0,688.9,636.0,682.8,137677,682.8,2026-09-03T19:37:14.612161+00:00
2026-05-21,682.8,746.0,661.0,746.0,197708,746.0,2026-09-03T19:37:14.612161+00:00
2026-05-22,708.7,814.0,680.0,814.0,145025,814.0,2026-09-03T19:37:14.612161+00:00
2026-05-25,773.3,773.3,706.0,730.0,113158,730.0,2026-09-03T19:37:14.612161+00:00
2026-05-26,730.0,737.7,710.0,732.1,101332,732.1,2026-09-03T19:37:14.612161+00:00
2026-05-27,702.0,841.0,702.0,841.0,197734,841.0,2026-09-03T19:37:14.612161+00:00
2026-06-01,799.0,799.0,723.0,730.0,104206,730.0,2026-09-03T19:37:14.612161+00:00
2026-06-02,730.0,730.0,675.0,697.2,92390,697.2,2026-09-03T19:37:14.612161+00:00
2026-06-03,663.0,740.0,663.0,732.0,68798,732.0,2026-09-03T19:37:14.612161+00:00
2026-06-04,736.0,743.6,720.0,720.0,87099,720.0,2026-09-03T19:37:14.612161+00:00
2026-06-05,684.0,730.0,684.0,700.1,59295,700.1,2026-09-03T19:37:14.612161+00:00
2026-06-08,735.1,735.1,682.1,686.0,24953,686.0,2026-09-03T19:37:14.612161+00:00
2026-06-09,686.0,700.2,670.0,688.1,36335,688.1,2026-09-03T19:37:14.612161+00:00
2026-06-10,688.1,735.0,688.1,733.1,92750,733.1,2026-09-03T19:37:14.612161+00:00
2026-06-11,730.9,751.0,720.0,731.0,222281,731.0,2026-09-03T19:37:14.612161+00:00
2026-06-12,694.5,735.0,673.7,710.0,35379,710.0,2026-09-03T19:37:14.612161+00:00
2026-06-15,700.1,718.0,700.1,709.9,36086,709.9,2026-09-03T19:37:14.612161+00:00
2026-06-16,745.3,767.6,690.0,747.9,164406,747.9,2026-09-03T19:37:14.612161+00:00
2026-06-17,750.0,820.0,735.1,818.0,232796,818.0,2026-09-03T19:37:14.612161+00:00
2026-06-18,777.1,895.0,755.0,888.0,161716,888.0,2026-09-03T19:37:14.612161+00:00
2026-06-19,843.6,843.6,754.8,777.4,148991,777.4,2026-09-03T19:37:14.612161+00:00
2026-06-22,754.2,810.0,722.0,810.0,123995,810.0,2026-09-03T19:37:14.612161+00:00
2026-06-23,769.5,769.5,688.5,688.5,185057,688.5,2026-09-03T19:37:14.612161+00:00
2026-06-24,700.0,703.0,662.0,669.0,36626,669.0,2026-09-03T19:37:14.612161+00:00
2026-06-25,655.0,701.0,653.8,658.0,27718,658.0,2026-09-03T19:37:14.612161+00:00
2026-06-26,669.9,682.0,652.0,662.0,59751,662.0,2026-09-03T19:37:14.612161+00:00
2026-06-29,662.0,674.0,651.0,671.5,43084,671.5,2026-09-03T19:37:14.612161+00:00
2026-06-30,705.0,705.0,625.7,639.0,45755,639.0,2026-09-03T19:37:14.612161+00:00
2026-07-01,639.0,660.0,621.0,637.0,26572,637.0,2026-09-03T19:37:14.612161+00:00
2026-07-02,650.0,658.0,636.0,652.0,33044,652.0,2026-09-03T19:37:14.612161+00:00
2026-07-03,652.0,669.7,652.0,665.1,33322,665.1,2026-09-03T19:37:14.612161+00:00
2026-07-06,690.0,690.0,620.8,630.0,85489,630.0,2026-09-03T19:37:14.612161+00:00
2026-07-07,630.0,650.0,629.5,635.0,79467,635.0,2026-09-03T19:37:14.612161+00:00
2026-07-08,635.0,654.0,587.0,600.5,84365,600.5,2026-09-03T19:37:14.612161+00:00
2026-07-09,600.0,605.0,578.0,585.0,42423,585.0,2026-09-03T19:37:14.612161+00:00
2026-07-10,571.1,609.0,571.1,600.1,39341,600.1,2026-09-03T19:37:14.612161+00:00
2026-07-13,616.9,616.9,568.5,575.0,36819,575.0,2026-09-03T19:37:14.612161+00:00
2026-07-14,575.0,587.0,558.0,575.0,48150,575.0,2026-09-03T19:37:14.612161+00:00
2026-07-15,562.0,580.0,555.8,560.0,50118,560.0,2026-09-03T19:37:14.612161+00:00
2026-07-16,571.9,588.8,560.2,585.0,40201,585.0,2026-09-03T19:37:14.612161+00:00
2026-07-17,576.0,625.2,576.0,625.2,55241,625.2,2026-09-03T19:37:14.612161+00:00
