date,open,high,low,close,volume,adj_close,fetched_at
2023-08-14,10.0,10.0,9.81,9.81,200,9.81,2026-09-03T19:36:35.740064+00:00
2023-08-15,9.62,9.62,9.62,9.62,100,9.62,2026-09-03T19:36:35.740064+00:00
2023-08-16,9.43,9.43,9.25,9.25,200,9.25,2026-09-03T19:36:35.740064+00:00
2023-08-17,9.07,9.07,9.07,9.07,200,9.07,2026-09-03T19:36:35.740064+00:00
2023-08-22,8.89,8.89,8.89,8.89,100,8.89,2026-09-03T19:36:35.740064+00:00
2023-08-23,8.72,8.72,8.06,8.23,6760,8.23,2026-09-03T19:36:35.740064+00:00
2023-08-24,8.07,8.23,7.94,8.1,2350,8.1,2026-09-03T19:36:35.740064+00:00
2023-08-27,7.94,8.1,7.94,8.1,1450,8.1,2026-09-03T19:36:35.740064+00:00
2023-08-28,8.06,8.25,8.06,8.25,1100,8.25,2026-09-03T19:36:35.740064+00:00
2023-08-29,8.25,8.25,8.25,8.25,500,8.25,2026-09-03T19:36:35.740064+00:00
2023-08-30,8.15,8.25,8.15,8.25,1700,8.25,2026-09-03T19:36:35.740064+00:00
2023-09-03,8.2,8.36,8.2,8.25,1650,8.25,2026-09-03T19:36:35.740064+00:00
2023-09-04,8.2,8.36,8.2,8.36,2500,8.36,2026-09-03T19:36:35.740064+00:00
2023-09-05,8.35,8.53,8.35,8.4,500,8.4,2026-09-03T19:36:35.740064+00:00
2023-09-07,8.35,8.35,8.35,8.35,1300,8.35,2026-09-03T19:36:35.740064+00:00
2023-09-10,8.22,8.46,8.22,8.46,1200,8.46,2026-09-03T19:36:35.740064+00:00
2023-09-11,8.35,8.45,8.34,8.45,500,8.45,2026-09-03T19:36:35.740064+00:00
2023-09-12,8.46,8.46,8.33,8.38,800,8.38,2026-09-03T19:36:35.740064+00:00
2023-09-13,8.33,8.4,8.33,8.4,500,8.4,2026-09-03T19:36:35.740064+00:00
2023-09-17,8.4,8.4,8.3,8.32,900,8.32,2026-09-03T19:36:35.740064+00:00
2023-09-18,8.32,8.32,8.32,8.32,100,8.32,2026-09-03T19:36:35.740064+00:00
2023-09-19,8.32,8.32,8.3,8.3,300,8.3,2026-09-03T19:36:35.740064+00:00
2023-09-21,8.14,8.32,8.14,8.14,2100,8.14,2026-09-03T19:36:35.740064+00:00
2023-09-24,8.01,8.12,8.01,8.12,1050,8.12,2026-09-03T19:36:35.740064+00:00
2023-09-25,7.99,8.1,7.95,7.96,1250,7.96,2026-09-03T19:36:35.740064+00:00
2023-09-26,7.83,7.92,7.83,7.91,900,7.91,2026-09-03T19:36:35.740064+00:00
2023-09-27,7.9,8.16,7.9,8.09,3210,8.09,2026-09-03T19:36:35.740064+00:00
2023-10-01,7.95,8.25,7.95,8.09,600,8.09,2026-09-03T19:36:35.740064+00:00
2023-10-02,8.01,8.01,7.96,8.0,600,8.0,2026-09-03T19:36:35.740064+00:00
2023-10-03,7.93,7.94,7.93,7.94,300,7.94,2026-09-03T19:36:35.740064+00:00
2023-10-04,7.84,7.95,7.84,7.95,1000,7.95,2026-09-03T19:36:35.740064+00:00
2023-10-05,7.83,7.93,7.83,7.93,1100,7.93,2026-09-03T19:36:35.740064+00:00
2023-10-08,7.9,7.93,7.9,7.93,1200,7.93,2026-09-03T19:36:35.740064+00:00
2023-10-09,7.93,7.93,7.88,7.88,500,7.88,2026-09-03T19:36:35.740064+00:00
2023-10-10,7.92,8.0,7.92,8.0,1000,8.0,2026-09-03T19:36:35.740064+00:00
2023-10-11,8.1,8.15,7.91,8.0,600,8.0,2026-09-03T19:36:35.740064+00:00
2023-10-12,7.9,8.0,7.9,8.0,600,8.0,2026-09-03T19:36:35.740064+00:00
2023-10-16,7.89,8.0,7.89,7.9,1000,7.9,2026-09-03T19:36:35.740064+00:00
2023-10-17,7.97,8.0,7.97,7.97,400,7.97,2026-09-03T19:36:35.740064+00:00
2023-10-18,7.98,7.98,7.98,7.98,100,7.98,2026-09-03T19:36:35.740064+00:00
2023-10-19,7.89,7.89,7.83,7.83,200,7.83,2026-09-03T19:36:35.740064+00:00
2023-10-29,7.85,7.98,7.8,7.98,500,7.98,2026-09-03T19:36:35.740064+00:00
2023-10-30,7.89,7.92,7.89,7.92,1000,7.92,2026-09-03T19:36:35.740064+00:00
2023-10-31,7.92,7.96,7.81,7.96,600,7.96,2026-09-03T19:36:35.740064+00:00
2023-11-01,7.84,7.84,7.84,7.84,300,7.84,2026-09-03T19:36:35.740064+00:00
2023-11-05,7.8,7.84,7.8,7.81,500,7.81,2026-09-03T19:36:35.740064+00:00
2023-11-06,7.81,7.81,7.81,7.81,300,7.81,2026-09-03T19:36:35.740064+00:00
2023-11-07,7.96,7.96,7.96,7.96,100,7.96,2026-09-03T19:36:35.740064+00:00
2023-11-08,7.9,7.9,7.9,7.9,200,7.9,2026-09-03T19:36:35.740064+00:00
2023-11-09,7.75,7.81,7.75,7.81,300,7.81,2026-09-03T19:36:35.740064+00:00
2023-11-20,7.67,7.73,7.67,7.73,200,7.73,2026-09-03T19:36:35.740064+00:00
2023-11-21,7.88,7.9,7.75,7.75,900,7.75,2026-09-03T19:36:35.740064+00:00
2023-11-22,7.68,7.75,7.68,7.75,300,7.75,2026-09-03T19:36:35.740064+00:00
2023-11-23,7.62,7.9,7.62,7.9,1400,7.9,2026-09-03T19:36:35.740064+00:00
2023-11-26,7.76,7.77,7.76,7.77,1300,7.77,2026-09-03T19:36:35.740064+00:00
2023-11-27,7.67,7.67,7.67,7.67,100,7.67,2026-09-03T19:36:35.740064+00:00
2023-11-28,7.75,7.75,7.69,7.71,1300,7.71,2026-09-03T19:36:35.740064+00:00
2023-11-29,7.71,7.71,7.71,7.71,100,7.71,2026-09-03T19:36:35.740064+00:00
2023-11-30,7.81,7.85,7.81,7.83,700,7.83,2026-09-03T19:36:35.740064+00:00
2023-12-04,7.72,7.72,7.72,7.72,500,7.72,2026-09-03T19:36:35.740064+00:00
2023-12-05,7.61,7.86,7.61,7.86,600,7.86,2026-09-03T19:36:35.740064+00:00
2023-12-06,7.71,7.94,7.71,7.94,500,7.94,2026-09-03T19:36:35.740064+00:00
2023-12-07,8.09,8.09,8.09,8.09,2000,8.09,2026-09-03T19:36:35.740064+00:00
2023-12-11,8.0,8.0,7.8,7.95,600,7.95,2026-09-03T19:36:35.740064+00:00
2023-12-12,8.0,8.0,8.0,8.0,900,8.0,2026-09-03T19:36:35.740064+00:00
2023-12-13,8.13,8.16,8.0,8.15,2450,8.15,2026-09-03T19:36:35.740064+00:00
2023-12-14,8.0,8.05,8.0,8.05,800,8.05,2026-09-03T19:36:35.740064+00:00
2023-12-17,8.0,8.25,7.9,8.2,2900,8.2,2026-09-03T19:36:35.740064+00:00
2023-12-18,8.2,8.76,8.2,8.76,2000,8.76,2026-09-03T19:36:35.740064+00:00
2023-12-19,8.6,8.94,8.6,8.94,3800,8.94,2026-09-03T19:36:35.740064+00:00
2023-12-20,8.8,8.97,8.8,8.8,900,8.8,2026-09-03T19:36:35.740064+00:00
2023-12-21,8.63,8.87,8.63,8.87,1000,8.87,2026-09-03T19:36:35.740064+00:00
2023-12-24,8.8,8.97,8.8,8.8,1200,8.8,2026-09-03T19:36:35.740064+00:00
2023-12-27,8.7,8.8,8.7,8.8,1200,8.8,2026-09-03T19:36:35.740064+00:00
2023-12-28,8.8,8.97,8.7,8.7,1800,8.7,2026-09-03T19:36:35.740064+00:00
2024-01-01,8.53,8.6,8.53,8.6,1860,8.6,2026-09-03T19:36:35.740064+00:00
2024-01-02,8.5,8.5,8.5,8.5,900,8.5,2026-09-03T19:36:35.740064+00:00
2024-01-03,8.5,8.5,8.5,8.5,400,8.5,2026-09-03T19:36:35.740064+00:00
2024-01-04,8.46,8.67,8.46,8.67,1600,8.67,2026-09-03T19:36:35.740064+00:00
2024-01-07,8.5,8.67,8.5,8.67,2700,8.67,2026-09-03T19:36:35.740064+00:00
2024-01-08,8.51,8.84,8.51,8.67,102000,8.67,2026-09-03T19:36:35.740064+00:00
2024-01-09,8.5,8.67,8.5,8.55,2300,8.55,2026-09-03T19:36:35.740064+00:00
2024-01-10,8.72,8.72,8.56,8.56,1200,8.56,2026-09-03T19:36:35.740064+00:00
2024-01-11,8.39,8.56,8.24,8.25,500800,8.25,2026-09-03T19:36:35.740064+00:00
2024-01-14,8.11,8.27,8.11,8.15,800,8.15,2026-09-03T19:36:35.740064+00:00
2024-01-16,8.15,8.32,8.15,8.25,600,8.25,2026-09-03T19:36:35.740064+00:00
2024-01-17,8.4,8.45,8.13,8.38,1210,8.38,2026-09-03T19:36:35.740064+00:00
2024-01-18,8.23,8.5,8.23,8.33,2100,8.33,2026-09-03T19:36:35.740064+00:00
2024-01-21,8.2,8.36,8.2,8.36,1100,8.36,2026-09-03T19:36:35.740064+00:00
2024-01-22,8.4,8.56,8.4,8.56,1600,8.56,2026-09-03T19:36:35.740064+00:00
2024-01-23,8.4,8.5,8.4,8.5,200,8.5,2026-09-03T19:36:35.740064+00:00
2024-01-24,8.35,8.51,8.35,8.51,2400,8.51,2026-09-03T19:36:35.740064+00:00
2024-01-25,8.5,8.55,8.45,8.55,1000,8.55,2026-09-03T19:36:35.740064+00:00
2024-01-28,8.39,8.55,8.39,8.55,1700,8.55,2026-09-03T19:36:35.740064+00:00
2024-01-29,8.39,8.43,8.39,8.43,500,8.43,2026-09-03T19:36:35.740064+00:00
2024-01-30,8.32,8.48,8.32,8.48,400,8.48,2026-09-03T19:36:35.740064+00:00
2024-01-31,8.6,8.77,8.6,8.77,600,8.77,2026-09-03T19:36:35.740064+00:00
2024-02-01,8.77,8.77,8.72,8.72,400,8.72,2026-09-03T19:36:35.740064+00:00
2024-02-04,8.55,8.56,8.55,8.56,500,8.56,2026-09-03T19:36:35.740064+00:00
2024-02-05,8.39,8.77,8.39,8.77,5000,8.77,2026-09-03T19:36:35.740064+00:00
2024-02-06,8.6,9.29,8.6,9.29,2100,9.29,2026-09-03T19:36:35.740064+00:00
2024-02-07,9.2,9.29,8.84,8.84,2550,8.84,2026-09-03T19:36:35.740064+00:00
2024-02-08,8.84,9.01,8.84,9.01,600,9.01,2026-09-03T19:36:35.740064+00:00
2024-02-11,8.85,8.85,8.85,8.85,400,8.85,2026-09-03T19:36:35.740064+00:00
2024-02-12,8.68,8.85,8.68,8.85,2300,8.85,2026-09-03T19:36:35.740064+00:00
2024-02-13,8.7,8.85,8.7,8.85,300,8.85,2026-09-03T19:36:35.740064+00:00
2024-02-14,8.85,8.85,8.85,8.85,100,8.85,2026-09-03T19:36:35.740064+00:00
2024-02-15,8.68,8.85,8.68,8.85,900,8.85,2026-09-03T19:36:35.740064+00:00
2024-02-18,8.68,8.85,8.59,8.68,2711,8.68,2026-09-03T19:36:35.740064+00:00
2024-02-20,8.68,8.77,8.6,8.77,2500,8.77,2026-09-03T19:36:35.740064+00:00
2024-02-21,8.8,8.8,8.63,8.7,770,8.7,2026-09-03T19:36:35.740064+00:00
2024-02-22,8.53,8.7,8.53,8.7,1000,8.7,2026-09-03T19:36:35.740064+00:00
2024-02-25,8.53,8.7,8.53,8.7,8780,8.7,2026-09-03T19:36:35.740064+00:00
2024-02-26,8.53,8.59,8.53,8.59,200,8.59,2026-09-03T19:36:35.740064+00:00
2024-02-27,8.42,8.42,8.42,8.42,1000,8.42,2026-09-03T19:36:35.740064+00:00
2024-02-28,8.42,8.5,8.42,8.5,5200,8.5,2026-09-03T19:36:35.740064+00:00
2024-02-29,8.33,8.35,8.33,8.35,200,8.35,2026-09-03T19:36:35.740064+00:00
2024-03-03,8.21,8.22,8.21,8.21,800,8.21,2026-09-03T19:36:35.740064+00:00
2024-03-05,8.21,8.41,8.21,8.25,950,8.25,2026-09-03T19:36:35.740064+00:00
2024-03-06,8.11,8.27,8.11,8.27,300,8.27,2026-09-03T19:36:35.740064+00:00
2024-03-07,8.12,8.31,8.12,8.31,800,8.31,2026-09-03T19:36:35.740064+00:00
2024-03-10,8.31,8.31,8.31,8.31,700,8.31,2026-09-03T19:36:35.740064+00:00
2024-03-12,8.18,8.4,8.18,8.35,2300,8.35,2026-09-03T19:36:35.740064+00:00
2024-03-13,8.3,8.55,8.3,8.55,1200,8.55,2026-09-03T19:36:35.740064+00:00
2024-03-14,8.55,8.73,8.55,8.73,2400,8.73,2026-09-03T19:36:35.740064+00:00
2024-03-17,8.73,8.9,8.73,8.8,1800,8.8,2026-09-03T19:36:35.740064+00:00
2024-03-18,8.8,9.15,8.8,9.15,37300,9.15,2026-09-03T19:36:35.740064+00:00
2024-03-19,9.0,9.15,9.0,9.0,22450,9.0,2026-09-03T19:36:35.740064+00:00
2024-03-20,8.9,9.1,8.9,9.1,1900,9.1,2026-09-03T19:36:35.740064+00:00
2024-03-21,9.28,9.28,9.1,9.1,1000,9.1,2026-09-03T19:36:35.740064+00:00
2024-03-25,8.92,9.27,8.92,9.27,1700,9.27,2026-09-03T19:36:35.740064+00:00
2024-03-26,9.27,9.27,9.27,9.27,600,9.27,2026-09-03T19:36:35.740064+00:00
2024-03-27,9.45,9.45,9.3,9.3,15000,9.3,2026-09-03T19:36:35.740064+00:00
2024-03-28,9.12,9.2,9.12,9.2,5300,9.2,2026-09-03T19:36:35.740064+00:00
2024-03-31,9.02,9.3,9.02,9.3,600,9.3,2026-09-03T19:36:35.740064+00:00
