date,open,high,low,close,volume,adj_close,fetched_at
2022-07-18,1000.0,1000.0,1000.0,1000.0,25,1000.0,2026-09-03T19:35:53.514234+00:00
2022-07-19,980.1,980.1,922.5,922.5,50,922.5,2026-09-03T19:35:53.514234+00:00
2022-07-20,905.0,905.0,874.6,890.0,235,890.0,2026-09-03T19:35:53.514234+00:00
2022-07-21,873.0,880.2,873.0,880.2,100,880.2,2026-09-03T19:35:53.514234+00:00
2022-07-24,870.0,897.6,865.4,897.6,200,897.6,2026-09-03T19:35:53.514234+00:00
2022-07-25,879.9,885.0,877.0,878.0,125,878.0,2026-09-03T19:35:53.514234+00:00
2022-07-26,895.5,899.9,882.0,882.0,75,882.0,2026-09-03T19:35:53.514234+00:00
2022-07-27,869.6,878.0,869.6,878.0,50,878.0,2026-09-03T19:35:53.514234+00:00
2022-07-31,875.0,892.5,875.0,892.5,40,892.5,2026-09-03T19:35:53.514234+00:00
2022-08-01,886.0,886.0,884.0,884.0,50,884.0,2026-09-03T19:35:53.514234+00:00
2022-08-02,870.0,881.0,870.0,881.0,150,881.0,2026-09-03T19:35:53.514234+00:00
2022-08-03,885.0,885.0,885.0,885.0,50,885.0,2026-09-03T19:35:53.514234+00:00
2022-08-04,885.0,885.0,884.1,884.1,20,884.1,2026-09-03T19:35:53.514234+00:00
2022-08-07,880.0,880.0,876.1,876.1,55,876.1,2026-09-03T19:35:53.514234+00:00
2022-08-09,877.1,890.0,877.1,890.0,50,890.0,2026-09-03T19:35:53.514234+00:00
2022-08-10,880.0,880.0,880.0,880.0,25,880.0,2026-09-03T19:35:53.514234+00:00
2022-08-11,880.2,881.0,880.2,881.0,55,881.0,2026-09-03T19:35:53.514234+00:00
2022-08-14,881.0,881.0,881.0,881.0,30,881.0,2026-09-03T19:35:53.514234+00:00
2022-08-16,895.0,895.0,881.3,881.3,50,881.3,2026-09-03T19:35:53.514234+00:00
2022-08-17,866.0,883.3,866.0,883.3,50,883.3,2026-09-03T19:35:53.514234+00:00
2022-08-21,880.1,885.0,880.1,885.0,50,885.0,2026-09-03T19:35:53.514234+00:00
2022-08-22,868.6,892.7,868.6,892.7,50,892.7,2026-09-03T19:35:53.514234+00:00
2022-08-23,876.0,890.0,874.9,880.0,160,880.0,2026-09-03T19:35:53.514234+00:00
2022-08-24,870.0,870.0,866.0,868.3,95,868.3,2026-09-03T19:35:53.514234+00:00
2022-08-25,871.5,871.5,871.5,871.5,25,871.5,2026-09-03T19:35:53.514234+00:00
2022-08-28,870.1,870.1,870.0,870.0,235,870.0,2026-09-03T19:35:53.514234+00:00
2022-08-30,870.6,871.2,870.6,871.2,75,871.2,2026-09-03T19:35:53.514234+00:00
2022-08-31,873.1,873.1,871.4,871.4,75,871.4,2026-09-03T19:35:53.514234+00:00
2022-09-04,866.0,880.0,866.0,873.0,205,873.0,2026-09-03T19:35:53.514234+00:00
2022-09-07,870.0,870.0,870.0,870.0,25,870.0,2026-09-03T19:35:53.514234+00:00
2022-09-11,870.0,870.0,870.0,870.0,25,870.0,2026-09-03T19:35:53.514234+00:00
2022-09-18,853.1,854.1,853.1,854.1,50,854.1,2026-09-03T19:35:53.514234+00:00
2022-09-20,849.0,849.0,849.0,849.0,25,849.0,2026-09-03T19:35:53.514234+00:00
2022-09-22,843.2,847.4,843.2,847.4,75,847.4,2026-09-03T19:35:53.514234+00:00
2022-09-25,864.3,864.3,864.3,864.3,190,864.3,2026-09-03T19:35:53.514234+00:00
2022-09-28,880.0,880.0,863.0,863.0,75,863.0,2026-09-03T19:35:53.514234+00:00
2022-09-29,848.1,848.1,848.0,848.0,50,848.0,2026-09-03T19:35:53.514234+00:00
2022-10-09,850.1,850.1,850.1,850.1,95,850.1,2026-09-03T19:35:53.514234+00:00
2022-10-11,867.1,884.0,867.1,884.0,95,884.0,2026-09-03T19:35:53.514234+00:00
2022-10-13,866.4,866.4,866.4,866.4,25,866.4,2026-09-03T19:35:53.514234+00:00
2022-10-20,855.0,855.0,855.0,855.0,25,855.0,2026-09-03T19:35:53.514234+00:00
2022-10-23,855.0,855.0,845.0,845.0,100,845.0,2026-09-03T19:35:53.514234+00:00
2022-11-01,849.9,849.9,849.9,849.9,25,849.9,2026-09-03T19:35:53.514234+00:00
2022-11-02,850.0,850.0,850.0,850.0,50,850.0,2026-09-03T19:35:53.514234+00:00
2022-11-06,834.3,834.3,834.3,834.3,25,834.3,2026-09-03T19:35:53.514234+00:00
2022-11-07,840.1,856.9,840.1,856.9,50,856.9,2026-09-03T19:35:53.514234+00:00
2022-11-10,845.1,845.1,845.1,845.1,50,845.1,2026-09-03T19:35:53.514234+00:00
2022-11-13,842.5,842.5,842.5,842.5,25,842.5,2026-09-03T19:35:53.514234+00:00
2022-11-14,842.5,842.5,842.5,842.5,25,842.5,2026-09-03T19:35:53.514234+00:00
2022-11-15,859.3,859.3,859.3,859.3,25,859.3,2026-09-03T19:35:53.514234+00:00
2022-11-23,850.0,850.0,850.0,850.0,25,850.0,2026-09-03T19:35:53.514234+00:00
2022-11-24,850.0,855.0,850.0,855.0,60,855.0,2026-09-03T19:35:53.514234+00:00
2022-11-28,850.0,858.0,850.0,858.0,50,858.0,2026-09-03T19:35:53.514234+00:00
2022-11-29,858.0,858.0,858.0,858.0,500,858.0,2026-09-03T19:35:53.514234+00:00
2022-11-30,845.0,845.0,842.0,842.0,95,842.0,2026-09-03T19:35:53.514234+00:00
2022-12-01,842.0,850.1,842.0,850.1,50,850.1,2026-09-03T19:35:53.514234+00:00
2022-12-04,850.0,850.0,850.0,850.0,60,850.0,2026-09-03T19:35:53.514234+00:00
2022-12-05,850.0,850.0,850.0,850.0,25,850.0,2026-09-03T19:35:53.514234+00:00
2022-12-12,840.0,840.0,840.0,840.0,25,840.0,2026-09-03T19:35:53.514234+00:00
2022-12-13,836.0,836.0,836.0,836.0,25,836.0,2026-09-03T19:35:53.514234+00:00
2022-12-14,838.0,838.0,838.0,838.0,25,838.0,2026-09-03T19:35:53.514234+00:00
2022-12-18,838.0,838.0,838.0,838.0,25,838.0,2026-09-03T19:35:53.514234+00:00
2022-12-19,838.5,840.0,838.5,839.0,65,839.0,2026-09-03T19:35:53.514234+00:00
2022-12-20,838.5,850.0,838.5,850.0,50,850.0,2026-09-03T19:35:53.514234+00:00
2022-12-21,850.0,850.0,850.0,850.0,25,850.0,2026-09-03T19:35:53.514234+00:00
2022-12-27,841.0,850.0,840.0,850.0,225,850.0,2026-09-03T19:35:53.514234+00:00
2022-12-28,850.0,850.0,850.0,850.0,50,850.0,2026-09-03T19:35:53.514234+00:00
2022-12-29,851.0,851.0,851.0,851.0,15,851.0,2026-09-03T19:35:53.514234+00:00
2023-01-01,865.0,868.0,865.0,868.0,125,868.0,2026-09-03T19:35:53.514234+00:00
2023-01-03,868.0,870.0,868.0,870.0,125,870.0,2026-09-03T19:35:53.514234+00:00
2023-01-05,887.4,887.4,887.4,887.4,10,887.4,2026-09-03T19:35:53.514234+00:00
2023-01-08,885.0,885.0,885.0,885.0,40,885.0,2026-09-03T19:35:53.514234+00:00
2023-01-09,900.0,900.0,900.0,900.0,15,900.0,2026-09-03T19:35:53.514234+00:00
2023-01-18,882.0,882.0,882.0,882.0,25,882.0,2026-09-03T19:35:53.514234+00:00
2023-01-24,879.9,882.0,879.9,882.0,240,882.0,2026-09-03T19:35:53.514234+00:00
2023-02-02,864.4,864.5,864.4,864.5,50,864.5,2026-09-03T19:35:53.514234+00:00
2023-02-05,847.3,847.3,847.3,847.3,25,847.3,2026-09-03T19:35:53.514234+00:00
2023-02-06,850.0,850.0,850.0,850.0,25,850.0,2026-09-03T19:35:53.514234+00:00
2023-02-07,850.0,850.0,850.0,850.0,25,850.0,2026-09-03T19:35:53.514234+00:00
2023-02-08,850.0,850.0,833.1,833.1,52,833.1,2026-09-03T19:35:53.514234+00:00
2023-02-12,833.0,833.0,833.0,833.0,45,833.0,2026-09-03T19:35:53.514234+00:00
2023-02-14,825.6,840.0,825.6,840.0,135,840.0,2026-09-03T19:35:53.514234+00:00
2023-02-15,829.1,829.1,829.1,829.1,50,829.1,2026-09-03T19:35:53.514234+00:00
2023-02-22,830.0,830.0,826.4,826.4,45,826.4,2026-09-03T19:35:53.514234+00:00
2023-02-23,819.3,819.3,816.0,816.2,845,816.2,2026-09-03T19:35:53.514234+00:00
2023-02-26,826.0,826.0,826.0,826.0,30,826.0,2026-09-03T19:35:53.514234+00:00
2023-02-27,813.0,813.0,813.0,813.0,25,813.0,2026-09-03T19:35:53.514234+00:00
2023-02-28,829.0,829.0,829.0,829.0,155,829.0,2026-09-03T19:35:53.514234+00:00
2023-03-05,829.0,829.0,829.0,829.0,50,829.0,2026-09-03T19:35:53.514234+00:00
2023-03-07,829.0,845.5,829.0,845.5,35,845.5,2026-09-03T19:35:53.514234+00:00
2023-03-09,860.0,862.4,860.0,862.4,35,862.4,2026-09-03T19:35:53.514234+00:00
2023-03-13,845.2,845.2,845.2,845.2,10,845.2,2026-09-03T19:35:53.514234+00:00
2023-03-14,829.0,829.0,829.0,829.0,15,829.0,2026-09-03T19:35:53.514234+00:00
2023-03-16,825.2,825.2,825.2,825.2,25,825.2,2026-09-03T19:35:53.514234+00:00
2023-03-20,841.7,841.7,830.2,830.2,90,830.2,2026-09-03T19:35:53.514234+00:00
2023-03-22,845.0,845.0,835.0,835.0,210,835.0,2026-09-03T19:35:53.514234+00:00
2023-03-26,824.1,827.2,824.1,827.2,45,827.2,2026-09-03T19:35:53.514234+00:00
2023-03-27,835.2,835.2,835.2,835.2,25,835.2,2026-09-03T19:35:53.514234+00:00
2023-03-28,835.0,835.0,835.0,835.0,25,835.0,2026-09-03T19:35:53.514234+00:00
2023-03-29,840.0,840.0,840.0,840.0,25,840.0,2026-09-03T19:35:53.514234+00:00
2023-03-30,840.0,841.1,840.0,841.1,175,841.1,2026-09-03T19:35:53.514234+00:00
2023-04-02,825.3,828.1,824.3,828.1,1000,828.1,2026-09-03T19:35:53.514234+00:00
2023-04-03,844.0,844.0,837.0,837.0,50,837.0,2026-09-03T19:35:53.514234+00:00
2023-04-04,831.0,831.0,831.0,831.0,25,831.0,2026-09-03T19:35:53.514234+00:00
2023-04-05,835.0,835.0,835.0,835.0,25,835.0,2026-09-03T19:35:53.514234+00:00
2023-04-09,846.0,846.0,846.0,846.0,200,846.0,2026-09-03T19:35:53.514234+00:00
2023-04-10,839.1,839.1,839.1,839.1,25,839.1,2026-09-03T19:35:53.514234+00:00
2023-04-11,844.0,844.0,844.0,844.0,26,844.0,2026-09-03T19:35:53.514234+00:00
2023-04-12,834.0,834.0,834.0,834.0,25,834.0,2026-09-03T19:35:53.514234+00:00
2023-04-16,834.2,834.2,834.2,834.2,25,834.2,2026-09-03T19:35:53.514234+00:00
2023-04-17,850.8,885.1,850.8,885.1,31,885.1,2026-09-03T19:35:53.514234+00:00
2023-04-18,880.0,897.0,850.0,880.0,540,880.0,2026-09-03T19:35:53.514234+00:00
2023-04-19,875.0,875.0,875.0,875.0,30,875.0,2026-09-03T19:35:53.514234+00:00
2023-04-20,858.2,880.0,858.2,880.0,276,880.0,2026-09-03T19:35:53.514234+00:00
2023-04-23,870.0,870.0,845.4,845.4,95,845.4,2026-09-03T19:35:53.514234+00:00
2023-04-27,835.5,835.5,835.5,835.5,25,835.5,2026-09-03T19:35:53.514234+00:00
2023-04-30,852.0,852.0,852.0,852.0,25,852.0,2026-09-03T19:35:53.514234+00:00
2023-05-02,843.1,850.0,843.1,850.0,50,850.0,2026-09-03T19:35:53.514234+00:00
2023-05-03,867.0,867.0,867.0,867.0,35,867.0,2026-09-03T19:35:53.514234+00:00
2023-05-04,880.0,884.3,870.0,870.1,125,870.1,2026-09-03T19:35:53.514234+00:00
2023-05-08,870.0,887.0,870.0,874.0,90,874.0,2026-09-03T19:35:53.514234+00:00
2023-05-09,858.2,858.2,858.2,858.2,25,858.2,2026-09-03T19:35:53.514234+00:00
