date,open,high,low,close,volume,adj_close,fetched_at
2021-02-07,161.0,164.0,161.0,164.0,30,164.0,2026-09-03T19:35:26.069617+00:00
2021-02-08,159.0,173.0,159.0,173.0,50,173.0,2026-09-03T19:35:26.069617+00:00
2021-02-09,168.0,176.0,168.0,176.0,30,176.0,2026-09-03T19:35:26.069617+00:00
2021-02-10,179.0,179.0,179.0,179.0,20,179.0,2026-09-03T19:35:26.069617+00:00
2021-02-11,182.0,188.0,182.0,188.0,30,188.0,2026-09-03T19:35:26.069617+00:00
2021-02-14,191.0,194.0,191.0,194.0,20,194.0,2026-09-03T19:35:26.069617+00:00
2021-02-15,197.0,200.0,197.0,200.0,20,200.0,2026-09-03T19:35:26.069617+00:00
2021-02-16,204.0,220.0,204.0,220.0,100,220.0,2026-09-03T19:35:26.069617+00:00
2021-02-17,217.0,225.0,217.0,225.0,65,225.0,2026-09-03T19:35:26.069617+00:00
2021-02-18,229.0,245.0,229.0,245.0,50,245.0,2026-09-03T19:35:26.069617+00:00
2021-02-21,249.0,269.0,249.0,269.0,120,269.0,2026-09-03T19:35:26.069617+00:00
2021-02-22,280.0,295.0,280.0,295.0,50,295.0,2026-09-03T19:35:26.069617+00:00
2021-02-23,300.0,312.0,300.0,312.0,50,312.0,2026-09-03T19:35:26.069617+00:00
2021-02-24,297.0,343.0,295.0,343.0,190,343.0,2026-09-03T19:35:26.069617+00:00
2021-02-25,337.0,377.0,337.0,377.0,185,377.0,2026-09-03T19:35:26.069617+00:00
2021-02-28,395.0,414.0,395.0,414.0,150,414.0,2026-09-03T19:35:26.069617+00:00
2021-03-01,422.0,455.0,422.0,455.0,161,455.0,2026-09-03T19:35:26.069617+00:00
2021-03-02,459.0,500.0,459.0,500.0,205,500.0,2026-09-03T19:35:26.069617+00:00
2021-03-03,525.0,550.0,525.0,550.0,531,550.0,2026-09-03T19:35:26.069617+00:00
2021-03-04,577.0,605.0,577.0,605.0,716,605.0,2026-09-03T19:35:26.069617+00:00
2021-03-07,635.0,665.0,635.0,665.0,910,665.0,2026-09-03T19:35:26.069617+00:00
2021-03-09,698.0,731.0,698.0,731.0,1629,731.0,2026-09-03T19:35:26.069617+00:00
2021-03-10,767.0,804.0,767.0,804.0,2130,804.0,2026-09-03T19:35:26.069617+00:00
2021-03-14,844.0,884.0,844.0,884.0,3840,884.0,2026-09-03T19:35:26.069617+00:00
2021-03-15,928.0,972.0,928.0,972.0,4377,972.0,2026-09-03T19:35:26.069617+00:00
2021-03-16,1020.0,1069.0,1020.0,1069.0,7206,1069.0,2026-09-03T19:35:26.069617+00:00
2021-03-17,1122.0,1175.0,1122.0,1175.0,5090,1175.0,2026-09-03T19:35:26.069617+00:00
2021-03-18,1233.0,1292.0,1233.0,1292.0,7276,1292.0,2026-09-03T19:35:26.069617+00:00
2021-03-21,1356.0,1421.0,1356.0,1421.0,10784,1421.0,2026-09-03T19:35:26.069617+00:00
