date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,1099.0,1100.0,1086.0,1100.0,7580,1100.0,2026-09-03T19:33:26.875593+00:00
2012-09-10,1100.0,1103.0,1095.0,1098.0,6932,1098.0,2026-09-03T19:33:26.875593+00:00
2012-09-11,1098.0,1099.0,1093.0,1095.0,8912,1095.0,2026-09-03T19:33:26.875593+00:00
2012-09-12,1095.0,1098.0,1086.0,1097.0,5382,1097.0,2026-09-03T19:33:26.875593+00:00
2012-09-13,1097.0,1105.0,1095.0,1100.0,16632,1100.0,2026-09-03T19:33:26.875593+00:00
2012-09-16,1100.0,1130.0,1095.0,1128.0,13492,1128.0,2026-09-03T19:33:26.875593+00:00
2012-09-17,1128.0,1165.0,1116.0,1165.0,9210,1165.0,2026-09-03T19:33:26.875593+00:00
2012-09-18,1165.0,1213.0,1161.0,1185.0,19316,1185.0,2026-09-03T19:33:26.875593+00:00
2012-09-19,1185.0,1200.0,1100.0,1134.0,17176,1134.0,2026-09-03T19:33:26.875593+00:00
2012-09-20,1134.0,1155.0,1100.0,1135.0,20656,1135.0,2026-09-03T19:33:26.875593+00:00
2012-09-23,1135.0,1160.0,1122.0,1132.0,45792,1132.0,2026-09-03T19:33:26.875593+00:00
2012-09-24,1132.0,1167.0,1126.0,1145.0,30478,1145.0,2026-09-03T19:33:26.875593+00:00
2012-09-25,1145.0,932.0,872.0,888.0,1412,888.0,2026-09-03T19:33:26.875593+00:00
2012-09-26,888.0,895.0,855.0,878.0,1798,878.0,2026-09-03T19:33:26.875593+00:00
2012-09-30,870.0,880.0,857.0,871.0,1388,871.0,2026-09-03T19:33:26.875593+00:00
2012-10-01,871.0,881.0,864.0,872.0,3356,872.0,2026-09-03T19:33:26.875593+00:00
2012-10-01,871.0,881.0,864.0,872.0,3356,872.0,2026-09-03T19:33:26.875593+00:00
2012-10-02,872.0,900.0,885.0,900.0,1482,900.0,2026-09-03T19:33:26.875593+00:00
2012-10-03,900.0,926.0,896.0,926.0,2274,926.0,2026-09-03T19:33:26.875593+00:00
2012-10-04,926.0,970.0,935.0,970.0,4452,970.0,2026-09-03T19:33:26.875593+00:00
2012-10-07,970.0,1012.0,989.0,1005.0,8450,1005.0,2026-09-03T19:33:26.875593+00:00
2012-10-08,1005.0,1012.0,988.0,989.0,4272,989.0,2026-09-03T19:33:26.875593+00:00
2012-10-09,989.0,1000.0,965.0,968.0,4530,968.0,2026-09-03T19:33:26.875593+00:00
2012-10-10,968.0,965.0,952.0,962.0,1044,962.0,2026-09-03T19:33:26.875593+00:00
2012-10-11,962.0,958.0,950.0,953.0,4344,953.0,2026-09-03T19:33:26.875593+00:00
2012-10-14,953.0,965.0,951.0,951.0,718,951.0,2026-09-03T19:33:26.875593+00:00
2012-10-15,951.0,965.0,956.0,965.0,1894,965.0,2026-09-03T19:33:26.875593+00:00
2012-10-17,965.0,990.0,970.0,975.0,558,975.0,2026-09-03T19:33:26.875593+00:00
2012-10-18,975.0,990.0,975.0,990.0,754,990.0,2026-09-03T19:33:26.875593+00:00
2012-10-30,990.0,1010.0,1000.0,1010.0,1644,1010.0,2026-09-03T19:33:26.875593+00:00
2012-10-31,1010.0,1050.0,1011.0,1033.0,3578,1033.0,2026-09-03T19:33:26.875593+00:00
2012-11-01,1033.0,1035.0,1015.0,1032.0,3814,1032.0,2026-09-03T19:33:26.875593+00:00
2012-11-04,1032.0,1038.0,1020.0,1035.0,1720,1035.0,2026-09-03T19:33:26.875593+00:00
2012-11-05,1035.0,1078.0,1042.0,1078.0,2418,1078.0,2026-09-03T19:33:26.875593+00:00
2012-11-06,1078.0,1105.0,1080.0,1105.0,4552,1105.0,2026-09-03T19:33:26.875593+00:00
2012-11-07,1105.0,1124.0,1106.0,1124.0,4864,1124.0,2026-09-03T19:33:26.875593+00:00
2012-11-08,1124.0,1168.0,1114.0,1120.0,5066,1120.0,2026-09-03T19:33:26.875593+00:00
