date,open,high,low,close,volume,adj_close,fetched_at
2021-07-05,625.0,669.0,620.0,654.0,51282,654.0,2026-09-03T19:35:32.980273+00:00
2021-07-06,663.0,663.0,630.0,643.0,26520,643.0,2026-09-03T19:35:32.980273+00:00
2021-07-07,635.0,645.0,625.0,635.0,21037,635.0,2026-09-03T19:35:32.980273+00:00
2021-07-08,623.0,636.0,617.0,623.0,18339,623.0,2026-09-03T19:35:32.980273+00:00
2021-07-11,610.0,644.0,610.0,635.0,30632,635.0,2026-09-03T19:35:32.980273+00:00
2021-07-12,635.0,645.0,616.0,620.0,20503,620.0,2026-09-03T19:35:32.980273+00:00
2021-07-13,613.0,620.0,608.0,610.0,15988,610.0,2026-09-03T19:35:32.980273+00:00
2021-07-14,610.0,628.0,604.0,620.0,10935,620.0,2026-09-03T19:35:32.980273+00:00
2021-07-15,620.0,630.0,611.0,619.0,12077,619.0,2026-09-03T19:35:32.980273+00:00
2021-07-18,620.0,626.0,614.0,620.1,12597,620.1,2026-09-03T19:35:32.980273+00:00
2021-07-19,625.0,644.0,620.0,642.0,28160,642.0,2026-09-03T19:35:32.980273+00:00
2021-07-20,631.4,700.0,630.0,690.0,85932,690.0,2026-09-03T19:35:32.980273+00:00
2021-07-22,700.0,759.0,690.0,759.0,105781,759.0,2026-09-03T19:35:32.980273+00:00
2021-07-25,760.0,810.0,758.0,806.0,106809,806.0,2026-09-03T19:35:32.980273+00:00
2021-07-26,822.1,840.0,777.0,836.0,87376,836.0,2026-09-03T19:35:32.980273+00:00
2021-07-27,836.0,850.0,805.0,827.0,54095,827.0,2026-09-03T19:35:32.980273+00:00
2021-07-28,816.0,830.0,785.0,817.0,48150,817.0,2026-09-03T19:35:32.980273+00:00
2021-07-29,817.0,818.0,787.0,800.0,51189,800.0,2026-09-03T19:35:32.980273+00:00
2021-08-01,800.0,880.0,800.0,877.0,78768,877.0,2026-09-03T19:35:32.980273+00:00
2021-08-02,890.0,894.5,844.0,845.0,78313,845.0,2026-09-03T19:35:32.980273+00:00
2021-08-03,845.0,912.8,835.0,912.8,65324,912.8,2026-09-03T19:35:32.980273+00:00
2021-08-04,931.0,1000.0,913.0,975.0,91969,975.0,2026-09-03T19:35:32.980273+00:00
2021-08-05,975.0,992.0,937.0,941.0,59129,941.0,2026-09-03T19:35:32.980273+00:00
2021-08-08,925.0,955.0,908.0,940.0,58440,940.0,2026-09-03T19:35:32.980273+00:00
2021-08-09,926.0,970.0,926.0,949.0,46679,949.0,2026-09-03T19:35:32.980273+00:00
2021-08-10,949.0,970.0,930.1,935.0,29357,935.0,2026-09-03T19:35:32.980273+00:00
2021-08-11,940.0,1028.5,932.0,1009.0,67588,1009.0,2026-09-03T19:35:32.980273+00:00
2021-08-12,1010.0,1085.0,991.0,1050.0,62758,1050.0,2026-09-03T19:35:32.980273+00:00
2021-08-15,1050.0,1060.8,990.0,1030.0,88109,1030.0,2026-09-03T19:35:32.980273+00:00
2021-08-16,1010.0,1049.0,990.0,1038.0,59174,1038.0,2026-09-03T19:35:32.980273+00:00
2021-08-17,1038.0,1141.8,1023.4,1141.8,70567,1141.8,2026-09-03T19:35:32.980273+00:00
2021-08-18,1164.6,1255.9,1164.6,1238.0,88969,1238.0,2026-09-03T19:35:32.980273+00:00
2021-08-19,1238.0,1326.0,1197.0,1324.0,104850,1324.0,2026-09-03T19:35:32.980273+00:00
2021-08-24,1320.0,1415.0,1301.0,1364.0,96331,1364.0,2026-09-03T19:35:32.980273+00:00
2021-08-25,1364.0,1364.0,1275.0,1350.0,71923,1350.0,2026-09-03T19:35:32.980273+00:00
2021-08-26,1323.0,1404.0,1300.0,1330.0,48706,1330.0,2026-09-03T19:35:32.980273+00:00
2021-08-29,1303.4,1330.0,1260.0,1260.0,54903,1260.0,2026-09-03T19:35:32.980273+00:00
2021-08-31,1285.2,1285.2,1221.1,1224.0,47528,1224.0,2026-09-03T19:35:32.980273+00:00
2021-09-01,1200.0,1247.0,1190.0,1206.0,41831,1206.0,2026-09-03T19:35:32.980273+00:00
2021-09-02,1190.0,1210.0,1153.0,1180.0,38383,1180.0,2026-09-03T19:35:32.980273+00:00
2021-09-05,1160.0,1160.0,1062.0,1062.0,52972,1062.0,2026-09-03T19:35:32.980273+00:00
2021-09-06,1050.0,1168.2,1017.0,1160.0,50341,1160.0,2026-09-03T19:35:32.980273+00:00
2021-09-07,1182.0,1183.0,1088.8,1109.0,75336,1109.0,2026-09-03T19:35:32.980273+00:00
2021-09-08,1087.0,1100.0,1070.1,1080.0,10209,1080.0,2026-09-03T19:35:32.980273+00:00
2021-09-09,1089.9,1122.0,1060.0,1098.0,21737,1098.0,2026-09-03T19:35:32.980273+00:00
2021-09-12,1119.0,1155.0,1100.0,1139.0,43308,1139.0,2026-09-03T19:35:32.980273+00:00
2021-09-13,1139.0,1157.0,1109.5,1120.0,36653,1120.0,2026-09-03T19:35:32.980273+00:00
2021-09-14,1108.6,1142.0,1107.0,1129.0,32044,1129.0,2026-09-03T19:35:32.980273+00:00
2021-09-15,1113.0,1119.0,1093.0,1100.0,13973,1100.0,2026-09-03T19:35:32.980273+00:00
2021-09-16,1078.0,1100.0,1021.0,1035.0,29509,1035.0,2026-09-03T19:35:32.980273+00:00
2021-09-20,1015.0,1018.0,931.5,960.0,48667,960.0,2026-09-03T19:35:32.980273+00:00
2021-09-21,940.8,980.0,905.2,950.0,22974,950.0,2026-09-03T19:35:32.980273+00:00
2021-09-22,967.5,1035.0,967.5,1024.0,19431,1024.0,2026-09-03T19:35:32.980273+00:00
2021-09-23,1044.0,1044.4,980.0,1015.0,23233,1015.0,2026-09-03T19:35:32.980273+00:00
2021-09-26,994.7,1035.3,955.0,960.0,15730,960.0,2026-09-03T19:35:32.980273+00:00
2021-09-27,960.0,980.0,905.1,922.0,18953,922.0,2026-09-03T19:35:32.980273+00:00
2021-09-28,903.6,915.0,845.9,870.0,28135,870.0,2026-09-03T19:35:32.980273+00:00
2021-09-29,852.7,917.4,852.7,906.5,22115,906.5,2026-09-03T19:35:32.980273+00:00
2021-09-30,920.0,920.0,862.4,864.1,13440,864.1,2026-09-03T19:35:32.980273+00:00
2021-10-03,869.0,869.0,785.0,829.0,17166,829.0,2026-09-03T19:35:32.980273+00:00
2021-10-04,812.5,828.0,775.0,800.0,11095,800.0,2026-09-03T19:35:32.980273+00:00
2021-10-05,784.0,830.0,784.0,830.0,12010,830.0,2026-09-03T19:35:32.980273+00:00
2021-10-06,844.9,913.0,829.1,908.0,10083,908.0,2026-09-03T19:35:32.980273+00:00
2021-10-10,926.1,926.1,860.0,860.0,11906,860.0,2026-09-03T19:35:32.980273+00:00
2021-10-11,860.0,877.2,825.2,831.0,8577,831.0,2026-09-03T19:35:32.980273+00:00
