date,open,high,low,close,volume,adj_close,fetched_at
2017-09-17,163.0,165.0,158.0,159.0,248,159.0,2026-09-03T19:34:45.739365+00:00
2017-09-18,159.0,165.0,157.0,163.0,603,163.0,2026-09-03T19:34:45.739365+00:00
2017-09-20,163.0,165.0,161.0,161.0,131,161.0,2026-09-03T19:34:45.739365+00:00
2017-09-24,161.0,163.0,158.0,163.0,618,163.0,2026-09-03T19:34:45.739365+00:00
2017-09-25,163.0,169.0,166.0,169.0,80,169.0,2026-09-03T19:34:45.739365+00:00
2017-09-26,169.0,179.0,169.0,175.0,1151,175.0,2026-09-03T19:34:45.739365+00:00
2017-10-03,175.0,175.0,172.0,172.0,150,172.0,2026-09-03T19:34:45.739365+00:00
2017-10-04,172.0,172.0,172.0,172.0,40,172.0,2026-09-03T19:34:45.739365+00:00
2017-10-08,172.0,173.0,166.0,173.0,94,173.0,2026-09-03T19:34:45.739365+00:00
2017-10-09,173.0,170.0,168.0,168.0,172,168.0,2026-09-03T19:34:45.739365+00:00
2017-10-10,168.0,168.0,163.0,168.0,228,168.0,2026-09-03T19:34:45.739365+00:00
2017-10-11,168.0,168.0,165.0,168.0,76,168.0,2026-09-03T19:34:45.739365+00:00
2017-10-12,168.0,174.0,168.0,173.0,92,173.0,2026-09-03T19:34:45.739365+00:00
2017-10-15,173.0,176.0,171.0,176.0,352,176.0,2026-09-03T19:34:45.739365+00:00
2017-10-16,176.0,185.0,179.0,185.0,541,185.0,2026-09-03T19:34:45.739365+00:00
2017-10-17,185.0,196.0,183.0,196.0,1005,196.0,2026-09-03T19:34:45.739365+00:00
2017-10-18,196.0,196.0,195.0,196.0,30,196.0,2026-09-03T19:34:45.739365+00:00
2017-10-22,196.0,199.0,196.0,199.0,56,199.0,2026-09-03T19:34:45.739365+00:00
2017-10-23,199.0,198.0,192.0,195.0,422,195.0,2026-09-03T19:34:45.739365+00:00
2017-10-24,195.0,205.0,195.0,205.0,888,205.0,2026-09-03T19:34:45.739365+00:00
2017-10-25,205.0,213.0,201.0,201.0,1238,201.0,2026-09-03T19:34:45.739365+00:00
2017-10-29,201.0,199.0,197.0,199.0,20,199.0,2026-09-03T19:34:45.739365+00:00
2017-10-30,199.0,197.0,196.0,196.0,88,196.0,2026-09-03T19:34:45.739365+00:00
2017-10-31,196.0,195.0,190.0,195.0,351,195.0,2026-09-03T19:34:45.739365+00:00
2017-11-01,195.0,194.0,192.0,194.0,197,194.0,2026-09-03T19:34:45.739365+00:00
2017-11-02,194.0,194.0,190.0,190.0,258,190.0,2026-09-03T19:34:45.739365+00:00
2017-11-05,190.0,196.0,187.0,196.0,199,196.0,2026-09-03T19:34:45.739365+00:00
2017-11-06,196.0,196.0,190.0,194.0,114,194.0,2026-09-03T19:34:45.739365+00:00
2017-11-07,194.0,191.0,188.0,188.0,20,188.0,2026-09-03T19:34:45.739365+00:00
2017-11-08,188.0,185.0,182.0,182.0,162,182.0,2026-09-03T19:34:45.739365+00:00
2017-11-09,182.0,185.0,173.0,185.0,378,185.0,2026-09-03T19:34:45.739365+00:00
2017-11-12,185.0,182.0,178.0,181.0,142,181.0,2026-09-03T19:34:45.739365+00:00
2017-11-13,181.0,180.0,179.0,180.0,424,180.0,2026-09-03T19:34:45.739365+00:00
2017-11-14,180.0,180.0,175.0,180.0,871,180.0,2026-09-03T19:34:45.739365+00:00
2017-11-15,180.0,181.0,178.0,178.0,225,178.0,2026-09-03T19:34:45.739365+00:00
2017-11-16,178.0,181.0,175.0,178.0,3014,178.0,2026-09-03T19:34:45.739365+00:00
2017-11-19,178.0,175.0,172.0,175.0,1655,175.0,2026-09-03T19:34:45.739365+00:00
2017-11-20,175.0,178.0,176.0,176.0,60,176.0,2026-09-03T19:34:45.739365+00:00
2017-11-21,176.0,177.0,171.0,175.0,514,175.0,2026-09-03T19:34:45.739365+00:00
2017-11-22,175.0,173.0,167.0,171.0,387,171.0,2026-09-03T19:34:45.739365+00:00
2017-11-23,171.0,170.0,170.0,170.0,168,170.0,2026-09-03T19:34:45.739365+00:00
2017-11-26,170.0,180.0,169.0,180.0,82,180.0,2026-09-03T19:34:45.739365+00:00
2017-11-27,180.0,183.0,179.0,183.0,433,183.0,2026-09-03T19:34:45.739365+00:00
2017-11-28,183.0,186.0,183.0,186.0,98,186.0,2026-09-03T19:34:45.739365+00:00
2017-11-29,186.0,188.0,183.0,183.0,671,183.0,2026-09-03T19:34:45.739365+00:00
2017-11-30,183.0,188.0,180.0,188.0,333,188.0,2026-09-03T19:34:45.739365+00:00
2017-12-04,188.0,185.0,180.0,181.0,386,181.0,2026-09-03T19:34:45.739365+00:00
2017-12-05,181.0,186.0,180.0,186.0,365,186.0,2026-09-03T19:34:45.739365+00:00
2017-12-06,186.0,204.0,186.0,200.0,1341,200.0,2026-09-03T19:34:45.739365+00:00
2017-12-10,200.0,199.0,193.0,199.0,512,199.0,2026-09-03T19:34:45.739365+00:00
2017-12-11,199.0,196.0,191.0,191.0,94,191.0,2026-09-03T19:34:45.739365+00:00
2017-12-12,191.0,192.0,188.0,189.0,1884,189.0,2026-09-03T19:34:45.739365+00:00
2017-12-13,189.0,188.0,185.0,185.0,64,185.0,2026-09-03T19:34:45.739365+00:00
