date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,615.0,627.0,627.0,627.0,40,627.0,2026-09-03T19:33:44.646108+00:00
2012-09-10,627.0,677.0,639.0,677.0,160,677.0,2026-09-03T19:33:44.646108+00:00
2012-09-11,677.0,703.0,690.0,703.0,160,703.0,2026-09-03T19:33:44.646108+00:00
2012-09-12,703.0,745.0,717.0,745.0,35,745.0,2026-09-03T19:33:44.646108+00:00
2012-09-13,745.0,759.0,759.0,759.0,40,759.0,2026-09-03T19:33:44.646108+00:00
2012-09-19,759.0,774.0,759.0,774.0,186,774.0,2026-09-03T19:33:44.646108+00:00
2012-09-20,774.0,789.0,789.0,789.0,40,789.0,2026-09-03T19:33:44.646108+00:00
2012-09-23,789.0,851.0,804.0,851.0,225,851.0,2026-09-03T19:33:44.646108+00:00
2012-09-24,851.0,897.0,855.0,880.0,184,880.0,2026-09-03T19:33:44.646108+00:00
2012-09-25,880.0,913.0,897.0,900.0,340,900.0,2026-09-03T19:33:44.646108+00:00
2012-09-26,900.0,885.0,882.0,885.0,255,885.0,2026-09-03T19:33:44.646108+00:00
2012-09-30,885.0,885.0,870.0,870.0,80,870.0,2026-09-03T19:33:44.646108+00:00
2012-10-02,870.0,853.0,853.0,853.0,40,853.0,2026-09-03T19:33:44.646108+00:00
2012-10-03,853.0,836.0,820.0,820.0,184,820.0,2026-09-03T19:33:44.646108+00:00
2012-10-04,820.0,804.0,804.0,804.0,225,804.0,2026-09-03T19:33:44.646108+00:00
2012-10-07,804.0,837.0,820.0,837.0,121,837.0,2026-09-03T19:33:44.646108+00:00
2012-10-08,837.0,870.0,840.0,870.0,180,870.0,2026-09-03T19:33:44.646108+00:00
2012-10-09,870.0,880.0,863.0,863.0,49,863.0,2026-09-03T19:33:44.646108+00:00
2012-10-10,863.0,880.0,865.0,880.0,115,880.0,2026-09-03T19:33:44.646108+00:00
2012-10-18,880.0,880.0,880.0,880.0,40,880.0,2026-09-03T19:33:44.646108+00:00
2012-10-30,880.0,887.0,870.0,887.0,88,887.0,2026-09-03T19:33:44.646108+00:00
2012-10-31,887.0,915.0,899.0,915.0,50,915.0,2026-09-03T19:33:44.646108+00:00
2012-11-01,915.0,918.0,900.0,918.0,45,918.0,2026-09-03T19:33:44.646108+00:00
2012-11-04,918.0,918.0,910.0,910.0,137,910.0,2026-09-03T19:33:44.646108+00:00
2012-11-05,910.0,940.0,928.0,940.0,61,940.0,2026-09-03T19:33:44.646108+00:00
2012-11-07,940.0,980.0,958.0,980.0,197,980.0,2026-09-03T19:33:44.646108+00:00
2012-11-12,980.0,1004.0,985.0,985.0,250,985.0,2026-09-03T19:33:44.646108+00:00
2012-11-20,985.0,1003.0,1003.0,1003.0,10,1003.0,2026-09-03T19:33:44.646108+00:00
2012-11-21,1003.0,1023.0,1003.0,1003.0,303,1003.0,2026-09-03T19:33:44.646108+00:00
2012-11-22,1003.0,1003.0,1003.0,1003.0,40,1003.0,2026-09-03T19:33:44.646108+00:00
2012-11-28,1003.0,1020.0,1020.0,1020.0,31,1020.0,2026-09-03T19:33:44.646108+00:00
2012-11-29,1020.0,1003.0,980.0,980.0,190,980.0,2026-09-03T19:33:44.646108+00:00
2012-12-12,980.0,1010.0,990.0,990.0,97,990.0,2026-09-03T19:33:44.646108+00:00
2012-12-13,990.0,1000.0,1000.0,1000.0,54,1000.0,2026-09-03T19:33:44.646108+00:00
2012-12-16,1000.0,1000.0,1000.0,1000.0,60,1000.0,2026-09-03T19:33:44.646108+00:00
2012-12-17,1000.0,1080.0,1020.0,1040.0,189,1040.0,2026-09-03T19:33:44.646108+00:00
2012-12-19,1040.0,1144.0,1060.0,1144.0,138,1144.0,2026-09-03T19:33:44.646108+00:00
2012-12-20,1144.0,1258.0,1166.0,1258.0,354,1258.0,2026-09-03T19:33:44.646108+00:00
2012-12-23,1258.0,1305.0,1280.0,1305.0,593,1305.0,2026-09-03T19:33:44.646108+00:00
2012-12-26,1305.0,1428.0,1331.0,1428.0,100,1428.0,2026-09-03T19:33:44.646108+00:00
2012-12-27,1428.0,1440.0,1400.0,1440.0,189,1440.0,2026-09-03T19:33:44.646108+00:00
2012-12-31,1440.0,1480.0,1451.0,1451.0,31,1451.0,2026-09-03T19:33:44.646108+00:00
2013-01-01,1451.0,1426.0,1400.0,1400.0,153,1400.0,2026-09-03T19:33:44.646108+00:00
2013-01-02,1400.0,1420.0,1392.0,1414.0,1053,1414.0,2026-09-03T19:33:44.646108+00:00
2013-01-03,1414.0,1455.0,1430.0,1446.0,433,1446.0,2026-09-03T19:33:44.646108+00:00
