date,open,high,low,close,volume,adj_close,fetched_at
2023-06-11,111.1,122.2,111.1,122.2,376,122.2,2026-09-03T19:36:29.098062+00:00
2023-06-12,120.8,134.4,120.8,134.4,279,134.4,2026-09-03T19:36:29.098062+00:00
2023-06-13,135.7,147.8,135.7,147.8,201,147.8,2026-09-03T19:36:29.098062+00:00
2023-06-14,150.7,162.5,150.7,162.5,167,162.5,2026-09-03T19:36:29.098062+00:00
2023-06-15,165.7,178.7,165.7,178.7,122,178.7,2026-09-03T19:36:29.098062+00:00
2023-06-18,182.2,196.5,182.2,196.5,240,196.5,2026-09-03T19:36:29.098062+00:00
2023-06-19,193.3,216.1,193.3,216.1,370,216.1,2026-09-03T19:36:29.098062+00:00
2023-06-20,220.4,237.7,220.4,237.7,379,237.7,2026-09-03T19:36:29.098062+00:00
2023-06-21,242.4,261.4,242.4,261.4,411,261.4,2026-09-03T19:36:29.098062+00:00
2023-06-22,265.0,287.5,265.0,287.5,650,287.5,2026-09-03T19:36:29.098062+00:00
2023-06-25,293.2,316.2,293.2,316.2,1379,316.2,2026-09-03T19:36:29.098062+00:00
2023-06-26,315.0,347.8,315.0,347.8,1571,347.8,2026-09-03T19:36:29.098062+00:00
2023-06-27,350.8,382.5,350.8,382.5,1170,382.5,2026-09-03T19:36:29.098062+00:00
2023-06-28,390.1,420.7,390.1,420.7,2020,420.7,2026-09-03T19:36:29.098062+00:00
2023-07-02,429.0,462.7,429.0,462.7,3300,462.7,2026-09-03T19:36:29.098062+00:00
2023-07-03,471.0,508.9,471.0,508.9,6980,508.9,2026-09-03T19:36:29.098062+00:00
2023-07-04,519.0,559.7,519.0,559.7,7617,559.7,2026-09-03T19:36:29.098062+00:00
2023-07-05,570.8,615.6,570.8,615.6,9080,615.6,2026-09-03T19:36:29.098062+00:00
2023-07-06,627.9,677.1,591.0,677.1,231095,677.1,2026-09-03T19:36:29.098062+00:00
2023-07-09,690.6,744.0,650.0,741.5,62258,741.5,2026-09-03T19:36:29.098062+00:00
2023-07-10,726.7,740.0,695.0,695.1,126319,695.1,2026-09-03T19:36:29.098062+00:00
