date,open,high,low,close,volume,adj_close,fetched_at
2024-04-30,1000.0,1030.0,1000.0,1020.0,275,1020.0,2026-09-03T19:36:51.461764+00:00
2024-05-02,1020.0,1025.1,1020.0,1025.1,190,1025.1,2026-09-03T19:36:51.461764+00:00
2024-05-05,1025.0,1030.0,1020.0,1021.3,230,1021.3,2026-09-03T19:36:51.461764+00:00
2024-05-06,1030.0,1030.0,1010.5,1020.0,248,1020.0,2026-09-03T19:36:51.461764+00:00
2024-05-07,1020.0,1020.0,1020.0,1020.0,102,1020.0,2026-09-03T19:36:51.461764+00:00
2024-05-08,1020.0,1020.0,1015.0,1015.0,50,1015.0,2026-09-03T19:36:51.461764+00:00
2024-05-09,1008.0,1015.0,1008.0,1015.0,130,1015.0,2026-09-03T19:36:51.461764+00:00
2024-05-12,1035.3,1035.3,1035.3,1035.3,25,1035.3,2026-09-03T19:36:51.461764+00:00
2024-05-13,1020.7,1020.7,1020.7,1020.7,25,1020.7,2026-09-03T19:36:51.461764+00:00
2024-05-14,1040.0,1059.0,1019.2,1059.0,225,1059.0,2026-09-03T19:36:51.461764+00:00
2024-05-15,1038.0,1038.0,1026.0,1026.0,50,1026.0,2026-09-03T19:36:51.461764+00:00
2024-05-16,1025.0,1025.0,1022.2,1023.0,150,1023.0,2026-09-03T19:36:51.461764+00:00
2024-05-19,1022.2,1035.3,1016.9,1035.0,135,1035.0,2026-09-03T19:36:51.461764+00:00
2024-05-20,1055.0,1075.0,1053.5,1074.5,387,1074.5,2026-09-03T19:36:51.461764+00:00
2024-05-22,1055.0,1055.0,1055.0,1055.0,100,1055.0,2026-09-03T19:36:51.461764+00:00
2024-05-27,1050.0,1050.0,1050.0,1050.0,25,1050.0,2026-09-03T19:36:51.461764+00:00
2024-05-29,1029.1,1029.1,1023.0,1024.2,125,1024.2,2026-09-03T19:36:51.461764+00:00
2024-06-02,1020.1,1040.0,1020.1,1040.0,150,1040.0,2026-09-03T19:36:51.461764+00:00
2024-06-03,1040.0,1040.0,1023.1,1023.1,55,1023.1,2026-09-03T19:36:51.461764+00:00
2024-06-04,1043.5,1043.5,1043.5,1043.5,50,1043.5,2026-09-03T19:36:51.461764+00:00
2024-06-06,1022.7,1024.0,1022.7,1024.0,50,1024.0,2026-09-03T19:36:51.461764+00:00
2024-06-09,1022.2,1022.2,1022.2,1022.2,25,1022.2,2026-09-03T19:36:51.461764+00:00
2024-06-10,1025.0,1025.0,1025.0,1025.0,28,1025.0,2026-09-03T19:36:51.461764+00:00
2024-06-11,1025.0,1025.0,1025.0,1025.0,25,1025.0,2026-09-03T19:36:51.461764+00:00
2024-06-12,1023.0,1023.1,1023.0,1023.0,50,1023.0,2026-09-03T19:36:51.461764+00:00
2024-06-13,1023.1,1023.3,1023.1,1023.1,150,1023.1,2026-09-03T19:36:51.461764+00:00
2024-06-18,1025.0,1026.0,1025.0,1025.0,150,1025.0,2026-09-03T19:36:51.461764+00:00
2024-06-19,1045.5,1065.8,1045.5,1065.8,68,1065.8,2026-09-03T19:36:51.461764+00:00
2024-06-23,1045.0,1045.0,1045.0,1045.0,25,1045.0,2026-09-03T19:36:51.461764+00:00
2024-06-27,1025.3,1045.8,1025.3,1045.8,75,1045.8,2026-09-03T19:36:51.461764+00:00
2024-06-30,1064.0,1088.0,1064.0,1087.5,198,1087.5,2026-09-03T19:36:51.461764+00:00
