date,open,high,low,close,volume,adj_close,fetched_at
2023-12-21,300.0,330.0,300.0,330.0,2080,330.0,2026-09-03T19:36:52.150619+00:00
2023-12-24,335.5,363.0,335.5,363.0,3090,363.0,2026-09-03T19:36:52.150619+00:00
2023-12-27,363.0,399.3,363.0,399.3,3660,399.3,2026-09-03T19:36:52.150619+00:00
2023-12-28,407.0,439.2,407.0,439.2,5760,439.2,2026-09-03T19:36:52.150619+00:00
2024-01-01,447.9,483.1,447.9,483.1,4780,483.1,2026-09-03T19:36:52.150619+00:00
2024-01-02,492.7,531.4,492.7,531.4,7805,531.4,2026-09-03T19:36:52.150619+00:00
2024-01-03,542.0,584.5,535.1,549.0,85750,549.0,2026-09-03T19:36:52.150619+00:00
2024-01-04,540.0,593.0,527.4,589.2,30058,589.2,2026-09-03T19:36:52.150619+00:00
2024-01-07,595.0,595.0,555.5,556.0,33610,556.0,2026-09-03T19:36:52.150619+00:00
2024-01-08,550.0,581.0,545.1,560.0,26658,560.0,2026-09-03T19:36:52.150619+00:00
2024-01-09,571.2,571.2,545.1,546.0,20017,546.0,2026-09-03T19:36:52.150619+00:00
2024-01-10,540.0,566.0,540.0,550.0,18125,550.0,2026-09-03T19:36:52.150619+00:00
2024-01-11,550.0,567.1,542.0,552.0,12850,552.0,2026-09-03T19:36:52.150619+00:00
2024-01-14,552.0,582.0,552.0,582.0,29379,582.0,2026-09-03T19:36:52.150619+00:00
2024-01-16,575.0,591.9,562.0,566.0,27503,566.0,2026-09-03T19:36:52.150619+00:00
2024-01-17,566.0,567.1,532.2,532.2,19224,532.2,2026-09-03T19:36:52.150619+00:00
2024-01-18,523.0,542.0,510.1,542.0,25225,542.0,2026-09-03T19:36:52.150619+00:00
2024-01-21,552.8,552.8,514.0,518.0,24374,518.0,2026-09-03T19:36:52.150619+00:00
2024-01-22,509.0,518.0,502.0,515.0,16169,515.0,2026-09-03T19:36:52.150619+00:00
2024-01-23,505.0,529.9,505.0,510.2,9940,510.2,2026-09-03T19:36:52.150619+00:00
2024-01-24,511.5,520.0,505.7,512.0,9615,512.0,2026-09-03T19:36:52.150619+00:00
2024-01-25,501.8,521.2,496.0,513.0,11475,513.0,2026-09-03T19:36:52.150619+00:00
2024-01-28,511.0,519.0,505.3,511.5,9710,511.5,2026-09-03T19:36:52.150619+00:00
2024-01-29,503.9,530.0,503.9,520.0,12033,520.0,2026-09-03T19:36:52.150619+00:00
2024-01-30,525.0,534.0,520.0,524.5,10035,524.5,2026-09-03T19:36:52.150619+00:00
2024-01-31,514.5,530.0,506.0,510.0,9836,510.0,2026-09-03T19:36:52.150619+00:00
2024-02-01,505.0,510.0,495.0,496.0,13912,496.0,2026-09-03T19:36:52.150619+00:00
2024-02-04,488.0,502.0,485.2,488.0,10456,488.0,2026-09-03T19:36:52.150619+00:00
2024-02-05,488.0,500.0,488.0,495.1,7785,495.1,2026-09-03T19:36:52.150619+00:00
2024-02-06,485.2,510.0,485.2,509.9,8571,509.9,2026-09-03T19:36:52.150619+00:00
2024-02-07,511.0,525.0,504.2,517.0,10480,517.0,2026-09-03T19:36:52.150619+00:00
2024-02-08,510.0,521.0,510.0,520.0,7642,520.0,2026-09-03T19:36:52.150619+00:00
2024-02-11,515.0,530.0,515.0,520.6,16154,520.6,2026-09-03T19:36:52.150619+00:00
2024-02-12,518.0,572.6,516.3,572.6,60320,572.6,2026-09-03T19:36:52.150619+00:00
2024-02-13,572.6,575.5,539.0,545.0,30094,545.0,2026-09-03T19:36:52.150619+00:00
2024-02-14,535.0,557.0,535.0,551.0,13916,551.0,2026-09-03T19:36:52.150619+00:00
