date,open,high,low,close,volume,adj_close,fetched_at
2013-11-27,106.0,104.0,104.0,104.0,930,104.0,2026-09-03T19:34:08.457478+00:00
2013-11-28,104.0,105.0,103.0,103.0,750,103.0,2026-09-03T19:34:08.457478+00:00
2013-12-05,103.0,103.0,103.0,103.0,150,103.0,2026-09-03T19:34:08.457478+00:00
2013-12-08,103.0,101.0,101.0,101.0,800,101.0,2026-09-03T19:34:08.457478+00:00
2013-12-22,101.0,103.0,101.0,101.0,950,101.0,2026-09-03T19:34:08.457478+00:00
2013-12-29,101.0,99.0,99.0,99.0,280,99.0,2026-09-03T19:34:08.457478+00:00
2014-01-08,99.0,98.0,97.0,97.0,1550,97.0,2026-09-03T19:34:08.457478+00:00
2014-01-09,97.0,97.0,95.0,97.0,4370,97.0,2026-09-03T19:34:08.457478+00:00
2014-01-12,97.0,99.0,98.0,98.0,440,98.0,2026-09-03T19:34:08.457478+00:00
2014-01-13,98.0,101.0,98.0,98.0,2290,98.0,2026-09-03T19:34:08.457478+00:00
2014-01-14,98.0,100.0,97.0,98.0,1730,98.0,2026-09-03T19:34:08.457478+00:00
2014-01-16,98.0,97.0,97.0,97.0,60,97.0,2026-09-03T19:34:08.457478+00:00
2014-01-19,97.0,102.0,98.0,100.0,920,100.0,2026-09-03T19:34:08.457478+00:00
2014-01-20,100.0,103.0,102.0,103.0,100,103.0,2026-09-03T19:34:08.457478+00:00
2014-01-21,103.0,106.0,105.0,106.0,540,106.0,2026-09-03T19:34:08.457478+00:00
2014-01-22,106.0,116.0,108.0,116.0,750,116.0,2026-09-03T19:34:08.457478+00:00
2014-01-23,116.0,126.0,114.0,126.0,2250,126.0,2026-09-03T19:34:08.457478+00:00
2014-01-26,126.0,138.0,128.0,138.0,2480,138.0,2026-09-03T19:34:08.457478+00:00
2014-01-27,138.0,151.0,136.0,148.0,5060,148.0,2026-09-03T19:34:08.457478+00:00
2014-01-28,148.0,156.0,148.0,153.0,4930,153.0,2026-09-03T19:34:08.457478+00:00
2014-01-29,153.0,150.0,143.0,143.0,1370,143.0,2026-09-03T19:34:08.457478+00:00
2014-02-03,143.0,141.0,141.0,141.0,60,141.0,2026-09-03T19:34:08.457478+00:00
2014-02-06,141.0,141.0,139.0,141.0,650,141.0,2026-09-03T19:34:08.457478+00:00
2014-02-09,141.0,139.0,137.0,137.0,990,137.0,2026-09-03T19:34:08.457478+00:00
2014-02-10,137.0,135.0,133.0,133.0,750,133.0,2026-09-03T19:34:08.457478+00:00
