date,open,high,low,close,volume,adj_close,fetched_at
2026-02-17,10.0,10.0,9.03,9.17,33920,9.17,2026-09-03T19:37:20.455260+00:00
2026-02-22,9.01,9.22,9.0,9.15,20020,9.15,2026-09-03T19:37:20.455260+00:00
2026-02-23,8.99,9.23,8.99,9.05,21880,9.05,2026-09-03T19:37:20.455260+00:00
2026-02-24,8.87,9.36,8.87,9.06,15980,9.06,2026-09-03T19:37:20.455260+00:00
2026-02-25,9.0,9.91,9.0,9.32,212030,9.32,2026-09-03T19:37:20.455260+00:00
2026-02-26,9.4,9.5,9.1,9.28,7600,9.28,2026-09-03T19:37:20.455260+00:00
2026-03-01,9.25,9.46,9.11,9.3,4790,9.3,2026-09-03T19:37:20.455260+00:00
2026-03-03,9.12,9.41,8.99,9.24,4281,9.24,2026-09-03T19:37:20.455260+00:00
2026-03-10,9.06,9.56,9.02,9.56,14200,9.56,2026-09-03T19:37:20.455260+00:00
2026-03-11,9.75,9.75,9.27,9.69,9411,9.69,2026-09-03T19:37:20.455260+00:00
2026-03-12,9.5,9.88,9.21,9.7,16430,9.7,2026-09-03T19:37:20.455260+00:00
2026-03-15,9.69,9.88,9.31,9.6,17343,9.6,2026-09-03T19:37:20.455260+00:00
2026-03-16,9.44,9.78,9.26,9.78,17193,9.78,2026-09-03T19:37:20.455260+00:00
2026-03-17,9.59,9.63,9.31,9.63,212210,9.63,2026-09-03T19:37:20.455260+00:00
2026-03-19,9.5,9.79,9.33,9.47,8950,9.47,2026-09-03T19:37:20.455260+00:00
2026-03-22,9.29,9.79,9.17,9.79,210730,9.79,2026-09-03T19:37:20.455260+00:00
2026-03-23,9.6,9.72,9.25,9.51,14762,9.51,2026-09-03T19:37:20.455260+00:00
2026-03-24,9.34,9.6,9.34,9.6,8650,9.6,2026-09-03T19:37:20.455260+00:00
2026-03-25,9.46,9.8,9.42,9.8,17685,9.8,2026-09-03T19:37:20.455260+00:00
2026-03-26,9.61,9.74,9.38,9.57,32100,9.57,2026-09-03T19:37:20.455260+00:00
2026-03-29,9.45,9.68,9.45,9.6,23870,9.6,2026-09-03T19:37:20.455260+00:00
2026-03-30,9.42,9.7,9.42,9.53,8220,9.53,2026-09-03T19:37:20.455260+00:00
2026-03-31,9.34,9.53,9.34,9.45,11000,9.45,2026-09-03T19:37:20.455260+00:00
2026-04-01,9.45,9.5,9.27,9.42,9651,9.42,2026-09-03T19:37:20.455260+00:00
2026-04-02,9.4,9.58,9.24,9.5,8350,9.5,2026-09-03T19:37:20.455260+00:00
2026-04-05,9.33,9.4,9.33,9.37,6200,9.37,2026-09-03T19:37:20.455260+00:00
2026-04-06,9.2,9.46,9.14,9.46,8950,9.46,2026-09-03T19:37:20.455260+00:00
