date,open,high,low,close,volume,adj_close,fetched_at
2022-06-13,382.2,382.2,382.2,382.2,60,382.2,2026-09-03T19:35:57.427114+00:00
2022-06-15,389.8,420.4,389.8,420.4,60,420.4,2026-09-03T19:35:57.427114+00:00
2022-06-17,428.8,437.3,428.8,437.3,20,437.3,2026-09-03T19:35:57.427114+00:00
2022-06-19,446.0,454.9,446.0,454.9,30,454.9,2026-09-03T19:35:57.427114+00:00
2022-06-20,463.9,500.3,463.9,500.3,70,500.3,2026-09-03T19:35:57.427114+00:00
2022-06-21,510.3,550.3,510.3,550.3,60,550.3,2026-09-03T19:35:57.427114+00:00
2022-06-23,561.3,605.3,561.3,605.3,50,605.3,2026-09-03T19:35:57.427114+00:00
2022-06-24,617.4,655.0,617.4,655.0,50,655.0,2026-09-03T19:35:57.427114+00:00
2022-06-26,668.1,720.5,668.1,720.5,70,720.5,2026-09-03T19:35:57.427114+00:00
2022-06-27,734.9,792.5,734.9,792.5,70,792.5,2026-09-03T19:35:57.427114+00:00
2022-06-28,780.0,871.7,780.0,871.7,89,871.7,2026-09-03T19:35:57.427114+00:00
2022-06-29,889.1,958.8,889.1,958.8,80,958.8,2026-09-03T19:35:57.427114+00:00
2022-06-30,977.9,1054.6,977.9,1054.6,100,1054.6,2026-09-03T19:35:57.427114+00:00
2022-07-01,1075.6,1160.0,1075.6,1160.0,76,1160.0,2026-09-03T19:35:57.427114+00:00
2022-07-03,1183.2,1276.0,1183.2,1276.0,88,1276.0,2026-09-03T19:35:57.427114+00:00
2022-07-04,1301.5,1403.6,1301.5,1403.6,170,1403.6,2026-09-03T19:35:57.427114+00:00
2022-07-05,1431.6,1543.9,1431.6,1543.9,144,1543.9,2026-09-03T19:35:57.427114+00:00
2022-07-06,1574.7,1698.2,1574.7,1698.2,134,1698.2,2026-09-03T19:35:57.427114+00:00
2022-12-11,1732.1,1868.0,1732.1,1868.0,1150,1868.0,2026-09-03T19:35:57.427114+00:00
2022-12-12,1905.0,2054.8,1905.0,2054.8,1489,2054.8,2026-09-03T19:35:57.427114+00:00
2022-12-13,2014.1,2260.2,2014.1,2260.2,2019,2260.2,2026-09-03T19:35:57.427114+00:00
2022-12-14,2305.4,2486.2,2305.4,2486.2,760,2486.2,2026-09-03T19:35:57.427114+00:00
2022-12-15,2535.9,2734.8,2341.0,2405.0,25894,2405.0,2026-09-03T19:35:57.427114+00:00
2022-12-18,2405.0,2405.0,2335.1,2341.0,13170,2341.0,2026-09-03T19:35:57.427114+00:00
2022-12-19,2341.0,2520.0,2318.0,2481.0,5360,2481.0,2026-09-03T19:35:57.427114+00:00
2022-12-20,2499.0,2723.0,2470.0,2670.0,8826,2670.0,2026-09-03T19:35:57.427114+00:00
2022-12-21,2700.0,2710.0,2617.0,2648.0,8055,2648.0,2026-09-03T19:35:57.427114+00:00
2022-12-22,2680.0,2680.0,2518.0,2593.0,5725,2593.0,2026-09-03T19:35:57.427114+00:00
2022-12-26,2644.0,2644.0,2420.0,2472.0,11147,2472.0,2026-09-03T19:35:57.427114+00:00
2022-12-27,2480.0,2500.0,2423.0,2426.0,7093,2426.0,2026-09-03T19:35:57.427114+00:00
2022-12-28,2380.0,2455.0,2380.0,2427.0,3648,2427.0,2026-09-03T19:35:57.427114+00:00
2022-12-29,2400.0,2447.0,2400.0,2440.0,2489,2440.0,2026-09-03T19:35:57.427114+00:00
2023-01-01,2480.0,2480.0,2392.0,2450.0,5342,2450.0,2026-09-03T19:35:57.427114+00:00
2023-01-02,2460.0,2525.5,2450.1,2508.0,9223,2508.0,2026-09-03T19:35:57.427114+00:00
2023-01-03,1967.8,2087.0,1967.8,2000.0,8107,2000.0,2026-09-03T19:35:57.427114+00:00
2023-01-04,2040.0,2040.0,1977.0,2020.0,3375,2020.0,2026-09-03T19:35:57.427114+00:00
2023-01-05,2050.0,2144.0,2021.0,2106.1,3939,2106.1,2026-09-03T19:35:57.427114+00:00
2023-01-08,2148.0,2148.0,2050.0,2051.0,6353,2051.0,2026-09-03T19:35:57.427114+00:00
