date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,206.0,207.0,204.0,205.0,1673,205.0,2026-09-03T19:33:58.752431+00:00
2012-09-10,205.0,207.0,205.0,205.0,1296,205.0,2026-09-03T19:33:58.752431+00:00
2012-09-11,205.0,209.0,202.0,209.0,1825,209.0,2026-09-03T19:33:58.752431+00:00
2012-09-12,209.0,212.0,204.0,204.0,1653,204.0,2026-09-03T19:33:58.752431+00:00
2012-09-13,204.0,208.0,204.0,208.0,2960,208.0,2026-09-03T19:33:58.752431+00:00
2012-09-16,208.0,212.0,204.0,210.0,7256,210.0,2026-09-03T19:33:58.752431+00:00
2012-09-17,210.0,212.0,210.0,212.0,3980,212.0,2026-09-03T19:33:58.752431+00:00
2012-09-18,212.0,218.0,212.0,212.0,1868,212.0,2026-09-03T19:33:58.752431+00:00
2012-09-19,212.0,212.0,205.0,208.0,3398,208.0,2026-09-03T19:33:58.752431+00:00
2012-09-20,208.0,206.0,198.0,202.0,223,202.0,2026-09-03T19:33:58.752431+00:00
2012-09-23,202.0,198.0,194.0,196.0,491,196.0,2026-09-03T19:33:58.752431+00:00
2012-09-24,196.0,193.0,190.0,191.0,1164,191.0,2026-09-03T19:33:58.752431+00:00
2012-09-25,191.0,192.0,190.0,190.0,53,190.0,2026-09-03T19:33:58.752431+00:00
2012-09-26,190.0,193.0,189.0,191.0,1166,191.0,2026-09-03T19:33:58.752431+00:00
2012-09-30,193.0,192.0,187.0,192.0,3280,192.0,2026-09-03T19:33:58.752431+00:00
2012-10-01,192.0,192.0,186.0,186.0,2645,186.0,2026-09-03T19:33:58.752431+00:00
2012-10-01,192.0,192.0,186.0,186.0,2645,186.0,2026-09-03T19:33:58.752431+00:00
2012-10-02,186.0,189.0,184.0,188.0,3604,188.0,2026-09-03T19:33:58.752431+00:00
2012-10-03,188.0,189.0,187.0,188.0,847,188.0,2026-09-03T19:33:58.752431+00:00
2012-10-04,188.0,192.0,189.0,192.0,353,192.0,2026-09-03T19:33:58.752431+00:00
2012-10-07,192.0,197.0,190.0,197.0,3898,197.0,2026-09-03T19:33:58.752431+00:00
2012-10-08,197.0,200.0,197.0,197.0,2166,197.0,2026-09-03T19:33:58.752431+00:00
2012-10-09,197.0,197.0,195.0,195.0,790,195.0,2026-09-03T19:33:58.752431+00:00
2012-10-10,195.0,195.0,193.0,195.0,1640,195.0,2026-09-03T19:33:58.752431+00:00
2012-10-11,195.0,195.0,193.0,195.0,606,195.0,2026-09-03T19:33:58.752431+00:00
2012-10-14,195.0,200.0,198.0,200.0,1554,200.0,2026-09-03T19:33:58.752431+00:00
2012-10-15,200.0,199.0,195.0,199.0,348,199.0,2026-09-03T19:33:58.752431+00:00
2012-10-17,199.0,209.0,199.0,209.0,6351,209.0,2026-09-03T19:33:58.752431+00:00
2012-10-18,209.0,209.0,201.0,209.0,970,209.0,2026-09-03T19:33:58.752431+00:00
2012-10-30,209.0,218.0,207.0,218.0,1651,218.0,2026-09-03T19:33:58.752431+00:00
2012-10-31,218.0,233.0,218.0,225.0,6226,225.0,2026-09-03T19:33:58.752431+00:00
2012-11-01,225.0,228.0,222.0,227.0,5030,227.0,2026-09-03T19:33:58.752431+00:00
2012-11-04,227.0,232.0,221.0,228.0,3718,228.0,2026-09-03T19:33:58.752431+00:00
2012-11-05,228.0,241.0,230.0,238.0,8471,238.0,2026-09-03T19:33:58.752431+00:00
2012-11-06,238.0,239.0,235.0,237.0,6664,237.0,2026-09-03T19:33:58.752431+00:00
2012-11-07,237.0,243.0,235.0,238.0,9897,238.0,2026-09-03T19:33:58.752431+00:00
2012-11-08,238.0,250.0,238.0,239.0,8222,239.0,2026-09-03T19:33:58.752431+00:00
2012-11-11,239.0,243.0,227.0,233.0,6526,233.0,2026-09-03T19:33:58.752431+00:00
2012-11-12,233.0,235.0,224.0,234.0,2303,234.0,2026-09-03T19:33:58.752431+00:00
2012-11-18,234.0,247.0,231.0,242.0,3370,242.0,2026-09-03T19:33:58.752431+00:00
2012-11-20,242.0,262.0,246.0,252.0,6750,252.0,2026-09-03T19:33:58.752431+00:00
2012-11-21,252.0,254.0,237.0,252.0,7652,252.0,2026-09-03T19:33:58.752431+00:00
2012-11-22,252.0,250.0,240.0,243.0,3652,243.0,2026-09-03T19:33:58.752431+00:00
2012-11-25,243.0,256.0,242.0,242.0,8904,242.0,2026-09-03T19:33:58.752431+00:00
2012-11-26,242.0,249.0,238.0,249.0,2872,249.0,2026-09-03T19:33:58.752431+00:00
2012-11-27,249.0,246.0,241.0,243.0,3448,243.0,2026-09-03T19:33:58.752431+00:00
2012-11-28,243.0,248.0,239.0,244.0,8368,244.0,2026-09-03T19:33:58.752431+00:00
2012-11-29,244.0,245.0,236.0,241.0,3777,241.0,2026-09-03T19:33:58.752431+00:00
2012-12-02,241.0,245.0,237.0,241.0,6458,241.0,2026-09-03T19:33:58.752431+00:00
2012-12-03,241.0,241.0,233.0,235.0,2220,235.0,2026-09-03T19:33:58.752431+00:00
2012-12-04,235.0,250.0,235.0,242.0,4183,242.0,2026-09-03T19:33:58.752431+00:00
2012-12-05,242.0,260.0,246.0,256.0,17651,256.0,2026-09-03T19:33:58.752431+00:00
2012-12-06,256.0,256.0,245.0,256.0,10399,256.0,2026-09-03T19:33:58.752431+00:00
2012-12-09,256.0,255.0,244.0,245.0,4016,245.0,2026-09-03T19:33:58.752431+00:00
2012-12-10,245.0,257.0,243.0,251.0,2687,251.0,2026-09-03T19:33:58.752431+00:00
2012-12-11,251.0,256.0,245.0,251.0,5443,251.0,2026-09-03T19:33:58.752431+00:00
2012-12-12,251.0,260.0,252.0,256.0,4722,256.0,2026-09-03T19:33:58.752431+00:00
2012-12-13,256.0,258.0,246.0,256.0,5213,256.0,2026-09-03T19:33:58.752431+00:00
2012-12-16,256.0,271.0,259.0,270.0,11623,270.0,2026-09-03T19:33:58.752431+00:00
2012-12-17,270.0,286.0,267.0,277.0,18613,277.0,2026-09-03T19:33:58.752431+00:00
2012-12-18,277.0,275.0,263.0,266.0,12131,266.0,2026-09-03T19:33:58.752431+00:00
2012-12-19,266.0,281.0,271.0,275.0,13118,275.0,2026-09-03T19:33:58.752431+00:00
2012-12-20,275.0,284.0,272.0,283.0,12906,283.0,2026-09-03T19:33:58.752431+00:00
2012-12-23,283.0,287.0,270.0,287.0,9562,287.0,2026-09-03T19:33:58.752431+00:00
2012-12-24,287.0,298.0,285.0,290.0,7443,290.0,2026-09-03T19:33:58.752431+00:00
2012-12-26,290.0,309.0,293.0,302.0,8472,302.0,2026-09-03T19:33:58.752431+00:00
