date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,265.0,270.0,270.0,270.0,10,270.0,2026-09-03T19:33:30.708577+00:00
2012-09-10,270.0,270.0,270.0,270.0,100,270.0,2026-09-03T19:33:30.708577+00:00
2012-09-13,270.0,270.0,265.0,270.0,110,270.0,2026-09-03T19:33:30.708577+00:00
2012-09-16,270.0,270.0,270.0,270.0,163,270.0,2026-09-03T19:33:30.708577+00:00
2012-09-17,270.0,297.0,275.0,297.0,741,297.0,2026-09-03T19:33:30.708577+00:00
2012-09-18,297.0,326.0,302.0,326.0,631,326.0,2026-09-03T19:33:30.708577+00:00
2012-09-19,326.0,344.0,332.0,344.0,40,344.0,2026-09-03T19:33:30.708577+00:00
2012-09-23,344.0,338.0,338.0,338.0,300,338.0,2026-09-03T19:33:30.708577+00:00
2012-09-26,338.0,332.0,314.0,314.0,310,314.0,2026-09-03T19:33:30.708577+00:00
2012-10-01,314.0,308.0,308.0,308.0,34,308.0,2026-09-03T19:33:30.708577+00:00
2012-10-01,314.0,308.0,308.0,308.0,34,308.0,2026-09-03T19:33:30.708577+00:00
2012-10-09,308.0,302.0,296.0,301.0,898,301.0,2026-09-03T19:33:30.708577+00:00
2012-10-10,301.0,295.0,285.0,285.0,1074,285.0,2026-09-03T19:33:30.708577+00:00
2012-10-14,285.0,280.0,276.0,276.0,203,276.0,2026-09-03T19:33:30.708577+00:00
2012-10-30,276.0,278.0,273.0,278.0,733,278.0,2026-09-03T19:33:30.708577+00:00
2012-10-31,278.0,286.0,283.0,283.0,113,283.0,2026-09-03T19:33:30.708577+00:00
2012-11-07,283.0,279.0,279.0,279.0,10,279.0,2026-09-03T19:33:30.708577+00:00
2012-11-11,279.0,284.0,279.0,284.0,3879,284.0,2026-09-03T19:33:30.708577+00:00
2012-11-20,284.0,286.0,286.0,286.0,55,286.0,2026-09-03T19:33:30.708577+00:00
2012-11-21,286.0,291.0,291.0,291.0,50,291.0,2026-09-03T19:33:30.708577+00:00
2012-11-25,291.0,288.0,283.0,283.0,1100,283.0,2026-09-03T19:33:30.708577+00:00
2012-11-27,283.0,288.0,283.0,288.0,189,288.0,2026-09-03T19:33:30.708577+00:00
2012-11-28,288.0,290.0,290.0,290.0,100,290.0,2026-09-03T19:33:30.708577+00:00
2012-11-29,290.0,305.0,295.0,305.0,1830,305.0,2026-09-03T19:33:30.708577+00:00
2012-12-02,305.0,312.0,305.0,305.0,493,305.0,2026-09-03T19:33:30.708577+00:00
