date,open,high,low,close,volume,adj_close,fetched_at
2025-11-06,402.2,442.4,402.2,442.4,460,442.4,2026-09-03T19:37:11.949604+00:00
2025-11-09,451.0,486.6,451.0,486.6,970,486.6,2026-09-03T19:37:11.949604+00:00
2025-11-10,491.2,535.2,491.2,535.2,3280,535.2,2026-09-03T19:37:11.949604+00:00
2025-11-11,545.8,588.7,545.8,572.0,149771,572.0,2026-09-03T19:37:11.949604+00:00
2025-11-12,580.0,580.0,520.0,522.1,123835,522.1,2026-09-03T19:37:11.949604+00:00
2025-11-13,520.0,574.0,502.0,558.0,56540,558.0,2026-09-03T19:37:11.949604+00:00
2025-11-16,558.0,558.0,523.0,524.0,55621,524.0,2026-09-03T19:37:11.949604+00:00
2025-11-17,534.4,554.0,510.0,539.0,60615,539.0,2026-09-03T19:37:11.949604+00:00
2025-11-18,545.8,555.0,538.1,541.1,44476,541.1,2026-09-03T19:37:11.949604+00:00
2025-11-19,551.9,595.2,537.0,595.2,122135,595.2,2026-09-03T19:37:11.949604+00:00
2025-11-20,600.0,619.0,561.0,566.0,93546,566.0,2026-09-03T19:37:11.949604+00:00
2025-11-23,555.0,572.0,555.0,556.0,66360,556.0,2026-09-03T19:37:11.949604+00:00
2025-11-24,556.0,568.0,551.0,553.0,60367,553.0,2026-09-03T19:37:11.949604+00:00
2025-11-25,550.0,591.0,548.1,591.0,62170,591.0,2026-09-03T19:37:11.949604+00:00
2025-11-26,591.0,595.0,571.0,571.0,59458,571.0,2026-09-03T19:37:11.949604+00:00
2025-11-27,571.0,583.0,566.1,574.0,50931,574.0,2026-09-03T19:37:11.949604+00:00
2025-11-30,566.2,579.0,560.0,564.0,53028,564.0,2026-09-03T19:37:11.949604+00:00
2025-12-01,561.0,572.3,553.1,569.3,29522,569.3,2026-09-03T19:37:11.949604+00:00
2025-12-02,578.0,617.0,561.1,605.0,101883,605.0,2026-09-03T19:37:11.949604+00:00
2025-12-03,607.0,640.0,605.2,622.3,105304,622.3,2026-09-03T19:37:11.949604+00:00
2025-12-07,630.0,630.0,587.3,590.0,76902,590.0,2026-09-03T19:37:11.949604+00:00
2025-12-08,586.0,600.0,580.2,588.0,53314,588.0,2026-09-03T19:37:11.949604+00:00
2025-12-09,576.3,609.9,576.3,600.0,54340,600.0,2026-09-03T19:37:11.949604+00:00
2025-12-10,591.1,607.0,584.0,586.0,59011,586.0,2026-09-03T19:37:11.949604+00:00
2025-12-11,585.0,599.0,580.0,585.0,40600,585.0,2026-09-03T19:37:11.949604+00:00
2025-12-14,583.0,590.0,570.0,572.0,38705,572.0,2026-09-03T19:37:11.949604+00:00
2025-12-15,573.1,579.0,566.0,578.9,33111,578.9,2026-09-03T19:37:11.949604+00:00
2025-12-16,575.0,599.0,575.0,587.0,37183,587.0,2026-09-03T19:37:11.949604+00:00
2025-12-17,585.1,594.9,576.5,577.0,34031,577.0,2026-09-03T19:37:11.949604+00:00
2025-12-18,565.5,585.0,565.5,572.5,38804,572.5,2026-09-03T19:37:11.949604+00:00
2025-12-21,572.0,573.9,556.0,559.2,34872,559.2,2026-09-03T19:37:11.949604+00:00
2025-12-22,559.0,567.9,547.0,554.9,37623,554.9,2026-09-03T19:37:11.949604+00:00
2025-12-23,555.0,565.0,546.2,555.0,27206,555.0,2026-09-03T19:37:11.949604+00:00
2025-12-24,555.0,577.0,550.0,554.0,20131,554.0,2026-09-03T19:37:11.949604+00:00
2025-12-28,547.0,570.0,547.0,567.6,42156,567.6,2026-09-03T19:37:11.949604+00:00
2025-12-29,567.6,576.0,555.0,562.0,38260,562.0,2026-09-03T19:37:11.949604+00:00
2025-12-31,570.0,576.0,556.0,571.0,56574,571.0,2026-09-03T19:37:11.949604+00:00
2026-01-01,568.0,589.9,560.0,584.9,73078,584.9,2026-09-03T19:37:11.949604+00:00
2026-01-04,584.0,608.0,575.1,608.0,108114,608.0,2026-09-03T19:37:11.949604+00:00
2026-01-05,620.0,666.0,605.0,666.0,194735,666.0,2026-09-03T19:37:11.949604+00:00
2026-01-06,675.0,708.0,642.1,654.0,133901,654.0,2026-09-03T19:37:11.949604+00:00
2026-01-07,642.0,664.0,620.0,627.0,98577,627.0,2026-09-03T19:37:11.949604+00:00
2026-01-08,615.0,650.0,611.1,649.8,85496,649.8,2026-09-03T19:37:11.949604+00:00
2026-01-12,662.0,673.2,639.1,663.0,135533,663.0,2026-09-03T19:37:11.949604+00:00
2026-01-13,650.0,679.8,650.0,656.0,106947,656.0,2026-09-03T19:37:11.949604+00:00
2026-01-14,650.0,679.0,642.0,648.0,45157,648.0,2026-09-03T19:37:11.949604+00:00
2026-01-18,645.0,670.1,641.0,669.0,110938,669.0,2026-09-03T19:37:11.949604+00:00
2026-01-20,670.0,680.3,662.0,665.0,81375,665.0,2026-09-03T19:37:11.949604+00:00
2026-01-21,652.0,678.0,652.0,659.0,58017,659.0,2026-09-03T19:37:11.949604+00:00
2026-01-22,652.0,700.0,652.0,689.9,118951,689.9,2026-09-03T19:37:11.949604+00:00
2026-01-25,689.0,753.0,689.0,739.9,130833,739.9,2026-09-03T19:37:11.949604+00:00
2026-01-26,739.0,813.8,717.0,785.0,169437,785.0,2026-09-03T19:37:11.949604+00:00
2026-01-27,790.0,860.0,775.0,851.0,141936,851.0,2026-09-03T19:37:11.949604+00:00
2026-01-28,834.0,918.9,794.0,842.0,144499,842.0,2026-09-03T19:37:11.949604+00:00
