date,open,high,low,close,volume,adj_close,fetched_at
2017-04-20,244.0,240.0,240.0,240.0,86,240.0,2026-09-03T19:34:40.713908+00:00
2017-04-24,240.0,239.0,223.0,223.0,107,223.0,2026-09-03T19:34:40.713908+00:00
2017-04-25,223.0,230.0,223.0,230.0,569,230.0,2026-09-03T19:34:40.713908+00:00
2017-04-26,230.0,234.0,228.0,234.0,266,234.0,2026-09-03T19:34:40.713908+00:00
2017-04-27,234.0,234.0,227.0,230.0,103,230.0,2026-09-03T19:34:40.713908+00:00
2017-04-30,230.0,235.0,230.0,231.0,270,231.0,2026-09-03T19:34:40.713908+00:00
2017-05-02,231.0,229.0,220.0,224.0,495,224.0,2026-09-03T19:34:40.713908+00:00
2017-05-03,224.0,227.0,221.0,227.0,116,227.0,2026-09-03T19:34:40.713908+00:00
2017-05-04,227.0,225.0,217.0,221.0,218,221.0,2026-09-03T19:34:40.713908+00:00
2017-05-07,221.0,220.0,216.0,216.0,183,216.0,2026-09-03T19:34:40.713908+00:00
2017-05-08,216.0,220.0,214.0,220.0,1160,220.0,2026-09-03T19:34:40.713908+00:00
2017-05-09,220.0,233.0,224.0,226.0,1493,226.0,2026-09-03T19:34:40.713908+00:00
2017-05-11,226.0,248.0,227.0,248.0,1479,248.0,2026-09-03T19:34:40.713908+00:00
2017-05-15,248.0,270.0,247.0,268.0,2306,268.0,2026-09-03T19:34:40.713908+00:00
2017-05-16,268.0,271.0,250.0,250.0,746,250.0,2026-09-03T19:34:40.713908+00:00
2017-05-17,250.0,252.0,250.0,250.0,343,250.0,2026-09-03T19:34:40.713908+00:00
2017-05-18,250.0,245.0,233.0,233.0,548,233.0,2026-09-03T19:34:40.713908+00:00
2017-05-21,233.0,237.0,231.0,232.0,210,232.0,2026-09-03T19:34:40.713908+00:00
2017-05-22,232.0,232.0,220.0,225.0,178,225.0,2026-09-03T19:34:40.713908+00:00
2017-05-23,225.0,229.0,224.0,229.0,136,229.0,2026-09-03T19:34:40.713908+00:00
2017-05-24,229.0,229.0,225.0,225.0,105,225.0,2026-09-03T19:34:40.713908+00:00
2017-05-28,225.0,229.0,221.0,229.0,791,229.0,2026-09-03T19:34:40.713908+00:00
2017-05-30,229.0,225.0,218.0,222.0,185,222.0,2026-09-03T19:34:40.713908+00:00
2017-05-31,222.0,224.0,220.0,224.0,115,224.0,2026-09-03T19:34:40.713908+00:00
2017-06-01,224.0,224.0,221.0,222.0,161,222.0,2026-09-03T19:34:40.713908+00:00
2017-06-04,222.0,224.0,220.0,222.0,136,222.0,2026-09-03T19:34:40.713908+00:00
2017-06-05,222.0,227.0,219.0,225.0,563,225.0,2026-09-03T19:34:40.713908+00:00
2017-06-06,225.0,225.0,222.0,225.0,53,225.0,2026-09-03T19:34:40.713908+00:00
2017-06-07,225.0,231.0,224.0,225.0,949,225.0,2026-09-03T19:34:40.713908+00:00
2017-06-08,225.0,225.0,223.0,223.0,272,223.0,2026-09-03T19:34:40.713908+00:00
2017-06-11,223.0,223.0,220.0,222.0,350,222.0,2026-09-03T19:34:40.713908+00:00
2017-06-12,222.0,221.0,213.0,218.0,210,218.0,2026-09-03T19:34:40.713908+00:00
2017-06-13,218.0,226.0,218.0,221.0,708,221.0,2026-09-03T19:34:40.713908+00:00
2017-06-14,221.0,232.0,216.0,220.0,203,220.0,2026-09-03T19:34:40.713908+00:00
2017-06-15,220.0,222.0,216.0,222.0,501,222.0,2026-09-03T19:34:40.713908+00:00
2017-06-18,222.0,219.0,217.0,217.0,184,217.0,2026-09-03T19:34:40.713908+00:00
2017-06-19,217.0,224.0,215.0,218.0,422,218.0,2026-09-03T19:34:40.713908+00:00
