date,open,high,low,close,volume,adj_close,fetched_at
2022-10-23,179.7,179.7,179.7,179.7,73,179.7,2026-09-03T19:36:10.705911+00:00
2022-10-31,179.7,179.7,179.7,179.7,10,179.7,2026-09-03T19:36:10.705911+00:00
2022-11-01,179.7,179.7,179.7,179.7,20,179.7,2026-09-03T19:36:10.705911+00:00
2022-11-06,177.7,183.2,177.7,183.2,20,183.2,2026-09-03T19:36:10.705911+00:00
2022-11-07,186.8,198.1,186.8,198.1,50,198.1,2026-09-03T19:36:10.705911+00:00
2022-11-13,202.0,202.0,202.0,202.0,10,202.0,2026-09-03T19:36:10.705911+00:00
2022-11-15,202.0,202.0,202.0,202.0,11,202.0,2026-09-03T19:36:10.705911+00:00
2022-11-16,206.0,206.0,206.0,206.0,20,206.0,2026-09-03T19:36:10.705911+00:00
2022-11-17,210.1,214.3,210.1,214.3,20,214.3,2026-09-03T19:36:10.705911+00:00
2022-11-22,218.5,222.8,218.5,222.8,30,222.8,2026-09-03T19:36:10.705911+00:00
2022-11-23,227.2,231.7,227.2,231.7,20,231.7,2026-09-03T19:36:10.705911+00:00
2022-11-27,236.3,245.8,236.3,245.8,30,245.8,2026-09-03T19:36:10.705911+00:00
2022-11-28,250.7,250.7,250.7,250.7,20,250.7,2026-09-03T19:36:10.705911+00:00
2022-11-29,255.7,266.0,255.7,266.0,30,266.0,2026-09-03T19:36:10.705911+00:00
2022-12-01,271.3,292.6,271.3,292.6,60,292.6,2026-09-03T19:36:10.705911+00:00
2022-12-04,298.4,321.8,298.4,321.8,90,321.8,2026-09-03T19:36:10.705911+00:00
2022-12-06,328.2,348.1,328.2,348.1,47,348.1,2026-09-03T19:36:10.705911+00:00
2022-12-07,355.0,355.0,355.0,355.0,14,355.0,2026-09-03T19:36:10.705911+00:00
2022-12-11,362.1,376.6,362.1,376.6,36,376.6,2026-09-03T19:36:10.705911+00:00
2022-12-12,384.1,399.5,384.1,399.5,30,399.5,2026-09-03T19:36:10.705911+00:00
2022-12-13,407.4,407.4,407.4,407.4,10,407.4,2026-09-03T19:36:10.705911+00:00
2022-12-14,415.5,440.8,415.5,440.8,40,440.8,2026-09-03T19:36:10.705911+00:00
2022-12-15,440.8,458.5,440.8,458.5,30,458.5,2026-09-03T19:36:10.705911+00:00
2022-12-18,467.6,496.1,467.6,496.1,43,496.1,2026-09-03T19:36:10.705911+00:00
2022-12-19,506.0,545.7,506.0,545.7,50,545.7,2026-09-03T19:36:10.705911+00:00
2022-12-20,556.6,600.2,556.6,600.2,57,600.2,2026-09-03T19:36:10.705911+00:00
2022-12-21,612.2,649.5,612.2,649.5,40,649.5,2026-09-03T19:36:10.705911+00:00
2022-12-22,662.4,714.4,662.4,714.4,50,714.4,2026-09-03T19:36:10.705911+00:00
2022-12-26,728.6,785.8,728.6,785.8,90,785.8,2026-09-03T19:36:10.705911+00:00
2022-12-27,801.5,864.3,801.5,864.3,70,864.3,2026-09-03T19:36:10.705911+00:00
2022-12-28,881.5,950.7,881.5,950.7,90,950.7,2026-09-03T19:36:10.705911+00:00
2022-12-29,969.7,1045.7,969.7,1045.7,190,1045.7,2026-09-03T19:36:10.705911+00:00
2023-01-01,1066.5,1150.2,1066.5,1150.2,220,1150.2,2026-09-03T19:36:10.705911+00:00
2023-01-02,1173.2,1265.2,1173.2,1265.2,200,1265.2,2026-09-03T19:36:10.705911+00:00
2023-01-03,1290.5,1391.7,1290.5,1391.7,1583,1391.7,2026-09-03T19:36:10.705911+00:00
2023-01-04,1419.5,1530.8,1295.0,1375.0,15505,1375.0,2026-09-03T19:36:10.705911+00:00
2023-01-05,1402.0,1512.5,1330.0,1512.5,5812,1512.5,2026-09-03T19:36:10.705911+00:00
2023-01-08,1542.0,1662.0,1440.6,1599.0,8886,1599.0,2026-09-03T19:36:10.705911+00:00
2023-01-09,1629.9,1630.0,1540.0,1560.0,5379,1560.0,2026-09-03T19:36:10.705911+00:00
2023-01-10,1560.0,1591.2,1462.0,1463.0,4746,1463.0,2026-09-03T19:36:10.705911+00:00
2023-01-12,1463.0,1492.2,1365.0,1380.0,4615,1380.0,2026-09-03T19:36:10.705911+00:00
2023-01-17,1380.0,1405.0,1350.0,1392.0,3272,1392.0,2026-09-03T19:36:10.705911+00:00
2023-01-18,1367.0,1402.0,1367.0,1376.0,2427,1376.0,2026-09-03T19:36:10.705911+00:00
2023-01-19,1352.0,1375.0,1351.2,1360.0,1875,1360.0,2026-09-03T19:36:10.705911+00:00
2023-01-23,1335.0,1387.3,1335.0,1346.0,2469,1346.0,2026-09-03T19:36:10.705911+00:00
2023-01-24,1327.1,1356.0,1327.1,1351.0,2131,1351.0,2026-09-03T19:36:10.705911+00:00
2023-01-25,1330.0,1397.0,1330.0,1367.0,2290,1367.0,2026-09-03T19:36:10.705911+00:00
2023-01-26,1394.3,1421.0,1362.0,1365.0,1160,1365.0,2026-09-03T19:36:10.705911+00:00
2023-01-29,1345.0,1369.9,1345.0,1369.9,1215,1369.9,2026-09-03T19:36:10.705911+00:00
2023-01-30,1350.0,1360.0,1327.0,1332.1,1385,1332.1,2026-09-03T19:36:10.705911+00:00
2023-01-31,1316.0,1338.0,1308.1,1312.0,1250,1312.0,2026-09-03T19:36:10.705911+00:00
2023-02-01,1286.0,1325.0,1286.0,1311.0,1274,1311.0,2026-09-03T19:36:10.705911+00:00
2023-02-02,1300.0,1326.0,1280.0,1297.0,1767,1297.0,2026-09-03T19:36:10.705911+00:00
2023-02-05,1276.0,1280.0,1255.0,1258.0,1300,1258.0,2026-09-03T19:36:10.705911+00:00
2023-02-06,1255.0,1260.0,1235.0,1260.0,730,1260.0,2026-09-03T19:36:10.705911+00:00
2023-02-07,1275.0,1300.0,1261.0,1300.0,910,1300.0,2026-09-03T19:36:10.705911+00:00
2023-02-08,1325.0,1350.0,1301.0,1340.0,1950,1340.0,2026-09-03T19:36:10.705911+00:00
2023-02-09,1340.0,1340.0,1315.3,1337.0,768,1337.0,2026-09-03T19:36:10.705911+00:00
2023-02-12,1310.3,1310.3,1280.0,1298.9,940,1298.9,2026-09-03T19:36:10.705911+00:00
