date,open,high,low,close,volume,adj_close,fetched_at
2022-07-14,307.1,337.8,295.0,315.0,127582,315.0,2026-09-03T19:35:58.795085+00:00
2022-07-15,320.0,320.0,294.0,309.2,27911,309.2,2026-09-03T19:35:58.795085+00:00
2022-07-17,309.0,309.0,292.1,300.0,18500,300.0,2026-09-03T19:35:58.795085+00:00
2022-07-18,294.0,308.0,290.2,303.0,14521,303.0,2026-09-03T19:35:58.795085+00:00
2022-07-19,302.0,312.0,297.5,299.1,13090,299.1,2026-09-03T19:35:58.795085+00:00
2022-07-20,300.0,302.0,291.0,292.0,18846,292.0,2026-09-03T19:35:58.795085+00:00
2022-07-21,286.4,301.0,286.4,287.2,12830,287.2,2026-09-03T19:35:58.795085+00:00
2022-07-22,292.0,292.0,276.5,279.0,14372,279.0,2026-09-03T19:35:58.795085+00:00
2022-07-24,278.0,287.0,271.5,287.0,20599,287.0,2026-09-03T19:35:58.795085+00:00
2022-07-25,287.0,306.0,286.0,306.0,24559,306.0,2026-09-03T19:35:58.795085+00:00
2022-07-26,303.0,309.0,290.2,299.0,17923,299.0,2026-09-03T19:35:58.795085+00:00
2022-07-27,293.1,303.5,287.5,301.9,18914,301.9,2026-09-03T19:35:58.795085+00:00
2022-07-28,300.0,319.0,295.9,303.5,42405,303.5,2026-09-03T19:35:58.795085+00:00
2022-07-29,304.0,313.0,300.1,313.0,16053,313.0,2026-09-03T19:35:58.795085+00:00
2022-07-31,313.0,319.0,308.1,316.0,33804,316.0,2026-09-03T19:35:58.795085+00:00
2022-08-01,309.7,341.0,309.7,333.6,45225,333.6,2026-09-03T19:35:58.795085+00:00
2022-08-02,340.2,353.9,322.0,344.0,30061,344.0,2026-09-03T19:35:58.795085+00:00
2022-08-03,337.2,377.0,337.2,355.0,29262,355.0,2026-09-03T19:35:58.795085+00:00
2022-08-04,355.0,367.2,341.0,365.0,49183,365.0,2026-09-03T19:35:58.795085+00:00
2022-08-05,365.1,365.1,344.0,350.0,23881,350.0,2026-09-03T19:35:58.795085+00:00
2022-08-07,350.0,358.0,342.1,349.0,21386,349.0,2026-09-03T19:35:58.795085+00:00
2022-08-08,343.0,357.0,343.0,349.0,43357,349.0,2026-09-03T19:35:58.795085+00:00
2022-08-09,342.1,357.0,338.5,338.5,30664,338.5,2026-09-03T19:35:58.795085+00:00
2022-08-10,331.9,345.2,330.0,340.0,16076,340.0,2026-09-03T19:35:58.795085+00:00
2022-08-11,334.0,374.0,334.0,353.0,37128,353.0,2026-09-03T19:35:58.795085+00:00
2022-08-14,346.0,365.0,340.0,349.5,20929,349.5,2026-09-03T19:35:58.795085+00:00
2022-08-15,343.0,384.0,336.4,381.0,42081,381.0,2026-09-03T19:35:58.795085+00:00
2022-08-16,388.6,390.0,360.0,360.0,61854,360.0,2026-09-03T19:35:58.795085+00:00
2022-08-17,360.0,396.0,360.0,393.0,66316,393.0,2026-09-03T19:35:58.795085+00:00
2022-08-18,385.2,398.0,385.0,385.2,31702,385.2,2026-09-03T19:35:58.795085+00:00
2022-08-21,392.9,408.0,362.6,380.0,60990,380.0,2026-09-03T19:35:58.795085+00:00
2022-08-22,373.0,373.0,356.1,360.1,50918,360.1,2026-09-03T19:35:58.795085+00:00
2022-08-23,355.8,363.0,349.5,350.0,22540,350.0,2026-09-03T19:35:58.795085+00:00
2022-08-24,355.0,361.0,342.0,351.0,32709,351.0,2026-09-03T19:35:58.795085+00:00
2022-08-25,345.0,362.0,337.4,337.4,19963,337.4,2026-09-03T19:35:58.795085+00:00
2022-08-26,340.0,341.0,324.0,329.0,21817,329.0,2026-09-03T19:35:58.795085+00:00
2022-08-28,325.0,329.8,310.0,315.0,27141,315.0,2026-09-03T19:35:58.795085+00:00
2022-08-29,310.2,321.3,310.2,319.8,17176,319.8,2026-09-03T19:35:58.795085+00:00
2022-08-30,318.0,325.3,313.7,319.0,12520,319.0,2026-09-03T19:35:58.795085+00:00
2022-08-31,325.3,338.4,310.9,323.0,10052,323.0,2026-09-03T19:35:58.795085+00:00
2022-09-01,320.1,327.0,311.0,326.0,18943,326.0,2026-09-03T19:35:58.795085+00:00
2022-09-02,332.0,336.0,316.1,316.1,7385,316.1,2026-09-03T19:35:58.795085+00:00
2022-09-04,322.4,335.0,315.6,320.0,11104,320.0,2026-09-03T19:35:58.795085+00:00
2022-09-05,320.0,332.0,313.0,313.0,10741,313.0,2026-09-03T19:35:58.795085+00:00
2022-09-06,310.0,318.0,309.2,311.0,7908,311.0,2026-09-03T19:35:58.795085+00:00
2022-09-07,305.3,313.0,305.0,313.0,10545,313.0,2026-09-03T19:35:58.795085+00:00
2022-09-08,319.2,319.2,300.0,312.0,10115,312.0,2026-09-03T19:35:58.795085+00:00
2022-09-11,318.0,324.6,305.8,319.2,11999,319.2,2026-09-03T19:35:58.795085+00:00
2022-09-12,313.1,313.1,306.0,306.0,10451,306.0,2026-09-03T19:35:58.795085+00:00
2022-09-13,306.0,314.9,302.0,310.0,7158,310.0,2026-09-03T19:35:58.795085+00:00
2022-09-14,305.0,323.0,304.0,318.0,16315,318.0,2026-09-03T19:35:58.795085+00:00
2022-09-15,312.0,319.9,301.0,305.0,10617,305.0,2026-09-03T19:35:58.795085+00:00
2022-09-16,299.0,301.0,288.5,297.5,13481,297.5,2026-09-03T19:35:58.795085+00:00
2022-09-18,294.0,294.0,275.6,276.0,13875,276.0,2026-09-03T19:35:58.795085+00:00
2022-09-20,270.5,281.0,255.5,262.1,10268,262.1,2026-09-03T19:35:58.795085+00:00
2022-09-21,256.9,272.6,256.5,261.9,7503,261.9,2026-09-03T19:35:58.795085+00:00
2022-09-22,260.0,264.0,255.0,255.0,19280,255.0,2026-09-03T19:35:58.795085+00:00
2022-09-25,255.0,255.0,246.0,247.0,3508,247.0,2026-09-03T19:35:58.795085+00:00
2022-09-27,251.0,258.0,240.0,250.0,4525,250.0,2026-09-03T19:35:58.795085+00:00
2022-09-28,245.0,250.6,245.0,248.0,2338,248.0,2026-09-03T19:35:58.795085+00:00
2022-09-29,250.0,252.9,245.0,248.9,3864,248.9,2026-09-03T19:35:58.795085+00:00
2022-10-09,250.0,258.0,246.0,253.0,1210,253.0,2026-09-03T19:35:58.795085+00:00
2022-10-10,250.0,255.0,244.0,244.0,4153,244.0,2026-09-03T19:35:58.795085+00:00
2022-10-11,239.2,242.0,235.0,242.0,2808,242.0,2026-09-03T19:35:58.795085+00:00
2022-10-12,243.0,249.0,234.1,245.0,4860,245.0,2026-09-03T19:35:58.795085+00:00
2022-10-13,246.0,255.9,242.2,253.7,5286,253.7,2026-09-03T19:35:58.795085+00:00
2022-10-16,248.7,250.0,242.0,245.0,2143,245.0,2026-09-03T19:35:58.795085+00:00
2022-10-17,241.0,244.0,237.2,244.0,2581,244.0,2026-09-03T19:35:58.795085+00:00
2022-10-19,242.0,242.0,233.4,236.0,5250,236.0,2026-09-03T19:35:58.795085+00:00
2022-10-20,231.3,237.0,227.0,234.0,2861,234.0,2026-09-03T19:35:58.795085+00:00
2022-10-23,229.4,238.4,227.1,235.9,4411,235.9,2026-09-03T19:35:58.795085+00:00
2022-10-31,231.2,231.4,226.7,230.1,1780,230.1,2026-09-03T19:35:58.795085+00:00
2022-11-01,225.5,253.1,225.5,250.0,7321,250.0,2026-09-03T19:35:58.795085+00:00
2022-11-02,250.0,258.9,241.2,254.0,12135,254.0,2026-09-03T19:35:58.795085+00:00
2022-11-03,249.0,255.0,244.5,254.9,9701,254.9,2026-09-03T19:35:58.795085+00:00
2022-11-06,250.0,268.0,240.1,268.0,6435,268.0,2026-09-03T19:35:58.795085+00:00
2022-11-07,270.0,272.4,259.4,260.0,6110,260.0,2026-09-03T19:35:58.795085+00:00
2022-11-08,260.0,265.0,254.0,254.8,3746,254.8,2026-09-03T19:35:58.795085+00:00
2022-11-09,249.8,259.0,240.5,242.0,4390,242.0,2026-09-03T19:35:58.795085+00:00
2022-11-10,237.2,246.8,228.0,233.0,8526,233.0,2026-09-03T19:35:58.795085+00:00
2022-11-13,229.0,241.6,226.1,234.0,3660,234.0,2026-09-03T19:35:58.795085+00:00
2022-11-14,230.1,240.0,230.1,240.0,1253,240.0,2026-09-03T19:35:58.795085+00:00
2022-11-15,236.0,242.9,232.2,232.2,2910,232.2,2026-09-03T19:35:58.795085+00:00
2022-11-16,228.2,238.9,228.2,238.0,1957,238.0,2026-09-03T19:35:58.795085+00:00
2022-11-17,234.3,248.0,234.3,248.0,4242,248.0,2026-09-03T19:35:58.795085+00:00
2022-11-22,248.0,250.0,237.0,237.0,8691,237.0,2026-09-03T19:35:58.795085+00:00
2022-11-23,232.3,239.0,232.3,238.8,3055,238.8,2026-09-03T19:35:58.795085+00:00
2022-11-24,234.1,240.7,234.1,240.7,1905,240.7,2026-09-03T19:35:58.795085+00:00
2022-11-27,236.3,249.0,236.3,246.0,3309,246.0,2026-09-03T19:35:58.795085+00:00
2022-11-28,242.1,255.9,242.0,243.0,6882,243.0,2026-09-03T19:35:58.795085+00:00
2022-11-29,243.0,250.0,239.0,247.0,1155,247.0,2026-09-03T19:35:58.795085+00:00
2022-11-30,245.0,246.5,237.3,246.0,1125,246.0,2026-09-03T19:35:58.795085+00:00
2022-12-01,241.1,250.9,237.0,245.0,2793,245.0,2026-09-03T19:35:58.795085+00:00
2022-12-04,240.2,250.0,234.0,245.0,3532,245.0,2026-09-03T19:35:58.795085+00:00
2022-12-05,241.0,245.0,236.7,243.8,4183,243.8,2026-09-03T19:35:58.795085+00:00
2022-12-06,240.0,241.0,234.5,239.9,3210,239.9,2026-09-03T19:35:58.795085+00:00
2022-12-07,236.0,240.0,234.0,234.0,2718,234.0,2026-09-03T19:35:58.795085+00:00
2022-12-11,230.2,235.0,217.0,226.1,4975,226.1,2026-09-03T19:35:58.795085+00:00
2022-12-12,227.0,236.0,225.2,228.9,8019,228.9,2026-09-03T19:35:58.795085+00:00
2022-12-13,226.1,234.6,226.1,232.0,1225,232.0,2026-09-03T19:35:58.795085+00:00
2022-12-14,232.0,237.0,228.0,237.0,4607,237.0,2026-09-03T19:35:58.795085+00:00
2022-12-15,232.3,232.3,225.0,228.5,1860,228.5,2026-09-03T19:35:58.795085+00:00
2022-12-18,225.0,229.0,225.0,227.0,2475,227.0,2026-09-03T19:35:58.795085+00:00
2022-12-19,222.6,227.0,222.6,227.0,1200,227.0,2026-09-03T19:35:58.795085+00:00
2022-12-20,222.5,229.7,222.5,224.3,4993,224.3,2026-09-03T19:35:58.795085+00:00
2022-12-21,220.1,225.0,220.0,222.9,3956,222.9,2026-09-03T19:35:58.795085+00:00
2022-12-22,225.0,225.0,217.0,223.0,2605,223.0,2026-09-03T19:35:58.795085+00:00
2022-12-26,224.0,236.0,224.0,233.0,3469,233.0,2026-09-03T19:35:58.795085+00:00
2022-12-27,237.6,245.8,234.0,239.0,15080,239.0,2026-09-03T19:35:58.795085+00:00
2022-12-28,236.0,258.1,236.0,247.0,5983,247.0,2026-09-03T19:35:58.795085+00:00
2022-12-29,242.2,258.0,240.0,258.0,12212,258.0,2026-09-03T19:35:58.795085+00:00
2023-01-01,262.0,262.0,247.3,260.0,16281,260.0,2026-09-03T19:35:58.795085+00:00
2023-01-02,264.0,286.0,243.8,282.0,16519,282.0,2026-09-03T19:35:58.795085+00:00
2023-01-03,286.1,286.1,270.0,272.3,18418,272.3,2026-09-03T19:35:58.795085+00:00
2023-01-04,275.1,291.5,270.1,288.0,12224,288.0,2026-09-03T19:35:58.795085+00:00
2023-01-05,291.2,296.0,276.2,290.0,22491,290.0,2026-09-03T19:35:58.795085+00:00
2023-01-08,295.1,295.7,276.0,287.2,16806,287.2,2026-09-03T19:35:58.795085+00:00
2023-01-09,292.9,302.8,284.2,302.8,23359,302.8,2026-09-03T19:35:58.795085+00:00
2023-01-10,299.1,315.1,284.0,288.9,36475,288.9,2026-09-03T19:35:58.795085+00:00
2023-01-12,294.6,300.0,268.6,277.0,18101,277.0,2026-09-03T19:35:58.795085+00:00
2023-01-17,272.0,300.0,268.0,294.9,25292,294.9,2026-09-03T19:35:58.795085+00:00
2023-01-18,290.2,308.0,290.2,299.5,46351,299.5,2026-09-03T19:35:58.795085+00:00
2023-01-19,295.1,312.1,295.0,303.0,18425,303.0,2026-09-03T19:35:58.795085+00:00
2023-01-23,307.0,309.0,290.3,294.0,21749,294.0,2026-09-03T19:35:58.795085+00:00
2023-01-24,290.0,294.0,281.0,290.0,11779,290.0,2026-09-03T19:35:58.795085+00:00
2023-01-25,284.2,315.1,284.2,314.0,43686,314.0,2026-09-03T19:35:58.795085+00:00
2023-01-26,320.0,333.0,309.1,326.0,33613,326.0,2026-09-03T19:35:58.795085+00:00
2023-01-29,320.0,335.0,316.0,325.0,34838,325.0,2026-09-03T19:35:58.795085+00:00
2023-01-30,320.0,338.1,308.1,312.0,40266,312.0,2026-09-03T19:35:58.795085+00:00
2023-01-31,305.8,318.0,300.4,310.0,23760,310.0,2026-09-03T19:35:58.795085+00:00
2023-02-01,312.0,317.9,304.0,311.0,13599,311.0,2026-09-03T19:35:58.795085+00:00
2023-02-02,317.0,317.0,300.1,302.0,14106,302.0,2026-09-03T19:35:58.795085+00:00
2023-02-05,300.0,310.0,300.0,305.0,16682,305.0,2026-09-03T19:35:58.795085+00:00
