date,open,high,low,close,volume,adj_close,fetched_at
2025-05-21,1000.0,1025.0,996.0,1025.0,1195,1025.0,2026-09-03T19:37:01.103224+00:00
2025-05-22,1018.0,1025.0,1015.0,1024.0,1066,1024.0,2026-09-03T19:37:01.103224+00:00
2025-05-25,1015.0,1030.0,1010.0,1026.26,1433,1026.26,2026-09-03T19:37:01.103224+00:00
2025-05-26,1015.0,1045.0,1015.0,1015.0,2286,1015.0,2026-09-03T19:37:01.103224+00:00
2025-05-27,1017.1,1025.0,1010.1,1025.0,325,1025.0,2026-09-03T19:37:01.103224+00:00
2025-05-28,1015.1,1025.0,1015.1,1017.1,75,1017.1,2026-09-03T19:37:01.103224+00:00
2025-06-02,1010.1,1037.4,1010.1,1037.4,475,1037.4,2026-09-03T19:37:01.103224+00:00
2025-06-03,1020.0,1031.0,1020.0,1025.0,265,1025.0,2026-09-03T19:37:01.103224+00:00
2025-06-04,1015.0,1021.0,1015.0,1021.0,150,1021.0,2026-09-03T19:37:01.103224+00:00
2025-06-05,1000.6,1030.3,1000.6,1029.0,475,1029.0,2026-09-03T19:37:01.103224+00:00
2025-06-08,1030.0,1040.0,1026.0,1030.0,235,1030.0,2026-09-03T19:37:01.103224+00:00
2025-06-09,1025.0,1045.0,1020.0,1026.0,3045,1026.0,2026-09-03T19:37:01.103224+00:00
2025-06-10,1026.0,1040.0,1017.0,1038.29,650,1038.29,2026-09-03T19:37:01.103224+00:00
2025-06-11,1018.0,1030.0,1018.0,1030.0,75,1030.0,2026-09-03T19:37:01.103224+00:00
2025-06-12,1030.0,1035.0,1030.0,1035.0,50,1035.0,2026-09-03T19:37:01.103224+00:00
2025-06-15,1025.0,1035.0,1025.0,1035.0,165,1035.0,2026-09-03T19:37:01.103224+00:00
2025-06-16,1024.0,1024.0,1024.0,1024.0,100,1024.0,2026-09-03T19:37:01.103224+00:00
2025-06-17,1024.0,1024.0,1024.0,1024.0,50,1024.0,2026-09-03T19:37:01.103224+00:00
2025-06-18,1025.0,1029.0,1025.0,1029.0,475,1029.0,2026-09-03T19:37:01.103224+00:00
2025-06-19,1030.1,1039.0,1030.1,1039.0,375,1039.0,2026-09-03T19:37:01.103224+00:00
2025-06-22,1026.0,1039.0,1026.0,1039.0,75,1039.0,2026-09-03T19:37:01.103224+00:00
2025-06-23,1045.0,1045.0,1026.0,1027.0,2476,1027.0,2026-09-03T19:37:01.103224+00:00
2025-06-24,1030.0,1030.1,1030.0,1030.1,50,1030.1,2026-09-03T19:37:01.103224+00:00
2025-06-25,1030.1,1047.0,1028.0,1028.0,290,1028.0,2026-09-03T19:37:01.103224+00:00
2025-06-29,1028.0,1045.0,1028.0,1045.0,450,1045.0,2026-09-03T19:37:01.103224+00:00
2025-06-30,1024.2,1026.0,1024.2,1026.0,55,1026.0,2026-09-03T19:37:01.103224+00:00
