date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,282.0,285.0,285.0,285.0,113,285.0,2026-09-03T19:33:55.331569+00:00
2012-09-12,285.0,285.0,285.0,285.0,160,285.0,2026-09-03T19:33:55.331569+00:00
2012-09-13,285.0,291.0,286.0,291.0,714,291.0,2026-09-03T19:33:55.331569+00:00
2012-09-25,291.0,320.0,296.0,320.0,60,320.0,2026-09-03T19:33:55.331569+00:00
2012-09-26,320.0,338.0,314.0,316.0,1119,316.0,2026-09-03T19:33:55.331569+00:00
2012-10-04,311.0,305.0,300.0,300.0,778,300.0,2026-09-03T19:33:55.331569+00:00
2012-10-07,300.0,300.0,289.0,290.0,3148,290.0,2026-09-03T19:33:55.331569+00:00
2012-10-08,290.0,294.0,285.0,290.0,3485,290.0,2026-09-03T19:33:55.331569+00:00
2012-10-09,290.0,302.0,292.0,302.0,1141,302.0,2026-09-03T19:33:55.331569+00:00
2012-10-10,302.0,308.0,296.0,296.0,93,296.0,2026-09-03T19:33:55.331569+00:00
2012-10-11,296.0,301.0,301.0,301.0,10,301.0,2026-09-03T19:33:55.331569+00:00
2012-10-30,301.0,295.0,295.0,295.0,500,295.0,2026-09-03T19:33:55.331569+00:00
2012-11-01,295.0,300.0,295.0,298.0,1194,298.0,2026-09-03T19:33:55.331569+00:00
2012-11-04,298.0,302.0,302.0,302.0,141,302.0,2026-09-03T19:33:55.331569+00:00
2012-11-05,302.0,312.0,307.0,312.0,702,312.0,2026-09-03T19:33:55.331569+00:00
2012-11-06,312.0,320.0,317.0,317.0,1102,317.0,2026-09-03T19:33:55.331569+00:00
2012-11-07,317.0,320.0,320.0,320.0,403,320.0,2026-09-03T19:33:55.331569+00:00
2012-11-08,320.0,314.0,314.0,314.0,605,314.0,2026-09-03T19:33:55.331569+00:00
2012-11-11,314.0,315.0,314.0,314.0,182,314.0,2026-09-03T19:33:55.331569+00:00
2012-11-12,314.0,320.0,314.0,314.0,300,314.0,2026-09-03T19:33:55.331569+00:00
2012-11-18,314.0,326.0,308.0,326.0,1233,326.0,2026-09-03T19:33:55.331569+00:00
2012-11-20,326.0,331.0,319.0,319.0,254,319.0,2026-09-03T19:33:55.331569+00:00
2012-11-21,319.0,318.0,314.0,314.0,464,314.0,2026-09-03T19:33:55.331569+00:00
2012-11-22,314.0,314.0,313.0,314.0,92,314.0,2026-09-03T19:33:55.331569+00:00
2012-11-26,314.0,314.0,314.0,314.0,41,314.0,2026-09-03T19:33:55.331569+00:00
2012-11-27,314.0,320.0,315.0,315.0,557,315.0,2026-09-03T19:33:55.331569+00:00
2012-11-28,315.0,346.0,317.0,340.0,5426,340.0,2026-09-03T19:33:55.331569+00:00
2012-11-29,340.0,350.0,340.0,340.0,2530,340.0,2026-09-03T19:33:55.331569+00:00
2012-12-02,340.0,336.0,334.0,334.0,260,334.0,2026-09-03T19:33:55.331569+00:00
2012-12-04,334.0,328.0,328.0,328.0,600,328.0,2026-09-03T19:33:55.331569+00:00
2012-12-05,328.0,340.0,334.0,335.0,600,335.0,2026-09-03T19:33:55.331569+00:00
2012-12-06,335.0,341.0,335.0,335.0,142,335.0,2026-09-03T19:33:55.331569+00:00
2012-12-09,335.0,335.0,330.0,330.0,1000,330.0,2026-09-03T19:33:55.331569+00:00
2012-12-10,330.0,324.0,321.0,321.0,462,321.0,2026-09-03T19:33:55.331569+00:00
2012-12-11,321.0,335.0,327.0,335.0,523,335.0,2026-09-03T19:33:55.331569+00:00
2012-12-12,335.0,340.0,335.0,340.0,718,340.0,2026-09-03T19:33:55.331569+00:00
2012-12-13,340.0,342.0,336.0,342.0,133,342.0,2026-09-03T19:33:55.331569+00:00
2012-12-16,342.0,348.0,348.0,348.0,80,348.0,2026-09-03T19:33:55.331569+00:00
2012-12-17,348.0,350.0,342.0,342.0,765,342.0,2026-09-03T19:33:55.331569+00:00
2012-12-18,342.0,337.0,337.0,337.0,500,337.0,2026-09-03T19:33:55.331569+00:00
2012-12-19,337.0,343.0,337.0,343.0,211,343.0,2026-09-03T19:33:55.331569+00:00
2012-12-23,343.0,337.0,330.0,335.0,2575,335.0,2026-09-03T19:33:55.331569+00:00
2012-12-24,335.0,353.0,341.0,350.0,1386,350.0,2026-09-03T19:33:55.331569+00:00
2012-12-26,350.0,362.0,354.0,354.0,1167,354.0,2026-09-03T19:33:55.331569+00:00
2012-12-27,354.0,367.0,350.0,355.0,1679,355.0,2026-09-03T19:33:55.331569+00:00
2013-01-30,355.0,273.0,273.0,273.0,185,273.0,2026-09-03T19:33:55.331569+00:00
2013-02-05,273.0,269.0,175.0,269.0,60,269.0,2026-09-03T19:33:55.331569+00:00
2013-02-07,269.0,264.0,264.0,264.0,10,264.0,2026-09-03T19:33:55.331569+00:00
2013-02-10,264.0,260.0,255.0,255.0,67,255.0,2026-09-03T19:33:55.331569+00:00
2013-02-13,255.0,250.0,250.0,250.0,262,250.0,2026-09-03T19:33:55.331569+00:00
2013-02-27,250.0,245.0,245.0,245.0,41,245.0,2026-09-03T19:33:55.331569+00:00
2013-03-05,245.0,241.0,241.0,241.0,31,241.0,2026-09-03T19:33:55.331569+00:00
2013-03-25,241.0,240.0,240.0,240.0,153,240.0,2026-09-03T19:33:55.331569+00:00
2013-04-11,240.0,244.0,244.0,244.0,50,244.0,2026-09-03T19:33:55.331569+00:00
2013-04-21,244.0,240.0,240.0,240.0,82,240.0,2026-09-03T19:33:55.331569+00:00
2013-04-25,240.0,236.0,236.0,236.0,155,236.0,2026-09-03T19:33:55.331569+00:00
2013-04-28,236.0,240.0,240.0,240.0,124,240.0,2026-09-03T19:33:55.331569+00:00
2013-04-29,240.0,236.0,232.0,232.0,223,232.0,2026-09-03T19:33:55.331569+00:00
2013-07-14,232.0,228.0,224.0,226.0,625,226.0,2026-09-03T19:33:55.331569+00:00
2013-07-16,226.0,228.0,225.0,228.0,144,228.0,2026-09-03T19:33:55.331569+00:00
2013-07-22,228.0,232.0,232.0,232.0,80,232.0,2026-09-03T19:33:55.331569+00:00
2013-07-23,232.0,236.0,232.0,236.0,205,236.0,2026-09-03T19:33:55.331569+00:00
2013-07-24,236.0,232.0,232.0,232.0,46,232.0,2026-09-03T19:33:55.331569+00:00
2013-07-25,232.0,230.0,230.0,230.0,361,230.0,2026-09-03T19:33:55.331569+00:00
2013-07-29,230.0,238.0,234.0,238.0,605,238.0,2026-09-03T19:33:55.331569+00:00
2013-07-30,238.0,246.0,234.0,246.0,538,246.0,2026-09-03T19:33:55.331569+00:00
2013-07-31,246.0,250.0,250.0,250.0,112,250.0,2026-09-03T19:33:55.331569+00:00
2013-08-01,250.0,250.0,249.0,250.0,552,250.0,2026-09-03T19:33:55.331569+00:00
2013-08-04,250.0,260.0,255.0,260.0,467,260.0,2026-09-03T19:33:55.331569+00:00
2013-08-05,260.0,256.0,250.0,250.0,450,250.0,2026-09-03T19:33:55.331569+00:00
2013-08-06,250.0,255.0,255.0,255.0,753,255.0,2026-09-03T19:33:55.331569+00:00
2013-08-07,255.0,260.0,260.0,260.0,1830,260.0,2026-09-03T19:33:55.331569+00:00
2013-08-08,260.0,265.0,265.0,265.0,1000,265.0,2026-09-03T19:33:55.331569+00:00
2013-08-11,265.0,270.0,270.0,270.0,92,270.0,2026-09-03T19:33:55.331569+00:00
2013-08-12,270.0,275.0,275.0,275.0,103,275.0,2026-09-03T19:33:55.331569+00:00
2013-08-13,275.0,295.0,280.0,295.0,523,295.0,2026-09-03T19:33:55.331569+00:00
2013-08-14,295.0,312.0,299.0,312.0,750,312.0,2026-09-03T19:33:55.331569+00:00
2013-08-15,312.0,306.0,300.0,300.0,112,300.0,2026-09-03T19:33:55.331569+00:00
2013-08-18,300.0,294.0,285.0,285.0,1053,285.0,2026-09-03T19:33:55.331569+00:00
2013-08-19,285.0,281.0,276.0,281.0,286,281.0,2026-09-03T19:33:55.331569+00:00
2013-08-20,281.0,291.0,278.0,291.0,519,291.0,2026-09-03T19:33:55.331569+00:00
2013-08-25,291.0,291.0,286.0,286.0,484,286.0,2026-09-03T19:33:55.331569+00:00
2013-08-26,286.0,281.0,281.0,281.0,91,281.0,2026-09-03T19:33:55.331569+00:00
2013-08-27,281.0,284.0,284.0,284.0,102,284.0,2026-09-03T19:33:55.331569+00:00
2013-08-29,284.0,281.0,281.0,281.0,70,281.0,2026-09-03T19:33:55.331569+00:00
2013-09-01,281.0,291.0,286.0,291.0,358,291.0,2026-09-03T19:33:55.331569+00:00
2013-09-02,291.0,296.0,296.0,296.0,292,296.0,2026-09-03T19:33:55.331569+00:00
2013-09-03,296.0,312.0,300.0,312.0,287,312.0,2026-09-03T19:33:55.331569+00:00
2013-09-04,312.0,318.0,300.0,300.0,894,300.0,2026-09-03T19:33:55.331569+00:00
2013-09-05,300.0,311.0,305.0,309.0,956,309.0,2026-09-03T19:33:55.331569+00:00
2013-09-08,309.0,310.0,310.0,310.0,200,310.0,2026-09-03T19:33:55.331569+00:00
2013-09-09,310.0,316.0,316.0,316.0,303,316.0,2026-09-03T19:33:55.331569+00:00
2013-09-10,316.0,325.0,322.0,325.0,142,325.0,2026-09-03T19:33:55.331569+00:00
2013-09-11,325.0,357.0,331.0,337.0,3270,337.0,2026-09-03T19:33:55.331569+00:00
2013-09-12,337.0,360.0,343.0,360.0,4119,360.0,2026-09-03T19:33:55.331569+00:00
2013-09-15,360.0,367.0,360.0,361.0,654,361.0,2026-09-03T19:33:55.331569+00:00
2013-09-16,361.0,375.0,368.0,375.0,50,375.0,2026-09-03T19:33:55.331569+00:00
2013-09-17,375.0,370.0,370.0,370.0,100,370.0,2026-09-03T19:33:55.331569+00:00
2013-09-19,370.0,375.0,365.0,365.0,356,365.0,2026-09-03T19:33:55.331569+00:00
2013-09-22,365.0,368.0,359.0,360.0,1292,360.0,2026-09-03T19:33:55.331569+00:00
2013-09-23,360.0,367.0,360.0,367.0,206,367.0,2026-09-03T19:33:55.331569+00:00
2013-09-24,367.0,374.0,374.0,374.0,30,374.0,2026-09-03T19:33:55.331569+00:00
