date,open,high,low,close,volume,adj_close,fetched_at
2022-12-14,216.0,237.6,216.0,237.6,8512,237.6,2026-09-03T19:36:13.746677+00:00
2022-12-15,242.0,261.3,242.0,261.3,4995,261.3,2026-09-03T19:36:13.746677+00:00
2022-12-18,266.5,287.4,266.5,287.4,10491,287.4,2026-09-03T19:36:13.746677+00:00
2022-12-19,293.1,293.1,258.7,264.5,30972,264.5,2026-09-03T19:36:13.746677+00:00
2022-12-20,259.3,278.0,255.0,271.2,4630,271.2,2026-09-03T19:36:13.746677+00:00
2022-12-21,265.8,297.9,265.8,297.9,5545,297.9,2026-09-03T19:36:13.746677+00:00
2022-12-22,303.8,303.8,276.2,286.0,9063,286.0,2026-09-03T19:36:13.746677+00:00
2022-12-26,281.0,309.0,281.0,309.0,9815,309.0,2026-09-03T19:36:13.746677+00:00
2022-12-27,314.0,329.0,302.1,325.0,11845,325.0,2026-09-03T19:36:13.746677+00:00
2022-12-28,320.0,333.5,308.2,328.7,6972,328.7,2026-09-03T19:36:13.746677+00:00
2022-12-29,328.7,334.7,310.4,326.0,7217,326.0,2026-09-03T19:36:13.746677+00:00
2023-01-01,325.0,340.6,321.1,327.0,5560,327.0,2026-09-03T19:36:13.746677+00:00
2023-01-02,321.0,328.9,315.0,328.0,10919,328.0,2026-09-03T19:36:13.746677+00:00
2023-01-03,322.3,340.6,322.3,340.6,5410,340.6,2026-09-03T19:36:13.746677+00:00
2023-01-04,333.8,374.0,327.2,374.0,10673,374.0,2026-09-03T19:36:13.746677+00:00
2023-01-05,366.6,411.4,352.2,411.0,7940,411.0,2026-09-03T19:36:13.746677+00:00
2023-01-08,402.8,440.0,379.3,418.9,9461,418.9,2026-09-03T19:36:13.746677+00:00
2023-01-09,410.6,423.0,400.0,423.0,9039,423.0,2026-09-03T19:36:13.746677+00:00
2023-01-10,430.0,431.2,388.0,424.0,10210,424.0,2026-09-03T19:36:13.746677+00:00
2023-01-12,416.0,416.0,393.4,404.0,11292,404.0,2026-09-03T19:36:13.746677+00:00
2023-01-17,396.0,415.2,388.4,414.9,5470,414.9,2026-09-03T19:36:13.746677+00:00
2023-01-18,410.0,426.5,395.0,405.0,7260,405.0,2026-09-03T19:36:13.746677+00:00
2023-01-19,398.0,428.9,391.1,405.0,8689,405.0,2026-09-03T19:36:13.746677+00:00
2023-01-23,413.0,413.0,391.2,399.0,2210,399.0,2026-09-03T19:36:13.746677+00:00
2023-01-24,391.1,407.7,385.1,406.9,6794,406.9,2026-09-03T19:36:13.746677+00:00
2023-01-25,400.0,417.9,392.1,415.0,10423,415.0,2026-09-03T19:36:13.746677+00:00
2023-01-26,406.7,425.0,398.7,410.5,8680,410.5,2026-09-03T19:36:13.746677+00:00
2023-01-29,402.3,451.5,397.0,451.5,16338,451.5,2026-09-03T19:36:13.746677+00:00
2023-01-30,460.5,478.3,438.0,444.0,13610,444.0,2026-09-03T19:36:13.746677+00:00
2023-01-31,435.2,474.3,430.5,470.0,13915,470.0,2026-09-03T19:36:13.746677+00:00
2023-02-01,470.0,508.0,462.1,499.0,10730,499.0,2026-09-03T19:36:13.746677+00:00
2023-02-02,489.1,499.0,466.4,477.0,11324,477.0,2026-09-03T19:36:13.746677+00:00
2023-02-05,467.5,486.0,446.9,451.0,9547,451.0,2026-09-03T19:36:13.746677+00:00
2023-02-06,442.0,465.3,442.0,455.0,10467,455.0,2026-09-03T19:36:13.746677+00:00
2023-02-07,445.9,477.6,437.0,470.0,8916,470.0,2026-09-03T19:36:13.746677+00:00
2023-02-08,460.6,475.0,455.0,469.0,9521,469.0,2026-09-03T19:36:13.746677+00:00
2023-02-09,459.7,493.9,442.0,493.9,9046,493.9,2026-09-03T19:36:13.746677+00:00
2023-02-12,484.1,503.7,465.1,497.0,13312,497.0,2026-09-03T19:36:13.746677+00:00
2023-02-14,487.1,494.0,473.6,488.5,8881,488.5,2026-09-03T19:36:13.746677+00:00
2023-02-15,478.8,488.0,462.6,474.0,7450,474.0,2026-09-03T19:36:13.746677+00:00
2023-02-16,464.6,498.4,457.0,466.0,5877,466.0,2026-09-03T19:36:13.746677+00:00
2023-02-20,457.1,466.0,448.9,448.9,6590,448.9,2026-09-03T19:36:13.746677+00:00
2023-02-22,440.0,486.0,440.0,475.1,7907,475.1,2026-09-03T19:36:13.746677+00:00
2023-02-23,465.6,468.0,450.0,450.0,4128,450.0,2026-09-03T19:36:13.746677+00:00
2023-02-26,441.0,461.0,432.4,458.0,4761,458.0,2026-09-03T19:36:13.746677+00:00
2023-02-27,448.9,466.7,443.1,466.7,6420,466.7,2026-09-03T19:36:13.746677+00:00
