date,open,high,low,close,volume,adj_close,fetched_at
2012-09-10,180.0,177.0,162.0,162.0,2891,162.0,2026-09-03T19:34:13.000795+00:00
2012-09-11,162.0,160.0,150.0,159.0,17222,159.0,2026-09-03T19:34:13.000795+00:00
2012-09-12,159.0,171.0,158.0,170.0,21357,170.0,2026-09-03T19:34:13.000795+00:00
2012-09-13,170.0,167.0,162.0,165.0,10038,165.0,2026-09-03T19:34:13.000795+00:00
2012-09-16,165.0,171.0,168.0,171.0,14390,171.0,2026-09-03T19:34:13.000795+00:00
2012-09-17,171.0,179.0,174.0,179.0,4226,179.0,2026-09-03T19:34:13.000795+00:00
2012-09-18,179.0,181.0,180.0,181.0,5895,181.0,2026-09-03T19:34:13.000795+00:00
2012-09-19,181.0,180.0,179.0,180.0,8811,180.0,2026-09-03T19:34:13.000795+00:00
2012-09-20,180.0,180.0,177.0,180.0,534,180.0,2026-09-03T19:34:13.000795+00:00
2012-09-23,180.0,179.0,174.0,178.0,3242,178.0,2026-09-03T19:34:13.000795+00:00
2012-09-24,178.0,187.0,177.0,187.0,1868,187.0,2026-09-03T19:34:13.000795+00:00
2012-09-25,187.0,189.0,177.0,177.0,634,177.0,2026-09-03T19:34:13.000795+00:00
2012-09-26,177.0,180.0,177.0,177.0,18052,177.0,2026-09-03T19:34:13.000795+00:00
2012-10-08,177.0,174.0,171.0,174.0,879,174.0,2026-09-03T19:34:13.000795+00:00
2012-10-11,174.0,174.0,174.0,174.0,12413,174.0,2026-09-03T19:34:13.000795+00:00
2012-10-15,174.0,174.0,174.0,174.0,2925,174.0,2026-09-03T19:34:13.000795+00:00
2012-11-08,174.0,171.0,171.0,171.0,49,171.0,2026-09-03T19:34:13.000795+00:00
2012-11-11,171.0,168.0,168.0,168.0,49,168.0,2026-09-03T19:34:13.000795+00:00
2012-11-26,168.0,167.0,167.0,167.0,109,167.0,2026-09-03T19:34:13.000795+00:00
2013-01-06,167.0,165.0,165.0,165.0,49,165.0,2026-09-03T19:34:13.000795+00:00
2013-01-09,165.0,165.0,165.0,165.0,49,165.0,2026-09-03T19:34:13.000795+00:00
2013-01-13,165.0,173.0,165.0,166.0,10656,166.0,2026-09-03T19:34:13.000795+00:00
2013-01-15,166.0,163.0,163.0,163.0,494,163.0,2026-09-03T19:34:13.000795+00:00
2013-01-17,163.0,160.0,158.0,158.0,603,158.0,2026-09-03T19:34:13.000795+00:00
2013-01-23,158.0,156.0,156.0,156.0,500,156.0,2026-09-03T19:34:13.000795+00:00
2013-01-24,156.0,156.0,153.0,153.0,794,153.0,2026-09-03T19:34:13.000795+00:00
2013-02-03,153.0,151.0,151.0,151.0,148,151.0,2026-09-03T19:34:13.000795+00:00
2013-02-04,151.0,150.0,150.0,150.0,148,150.0,2026-09-03T19:34:13.000795+00:00
2013-02-13,150.0,150.0,150.0,150.0,148,150.0,2026-09-03T19:34:13.000795+00:00
2013-02-20,150.0,153.0,153.0,153.0,593,153.0,2026-09-03T19:34:13.000795+00:00
2013-02-27,153.0,152.0,152.0,152.0,59,152.0,2026-09-03T19:34:13.000795+00:00
2013-03-13,152.0,149.0,149.0,149.0,838,149.0,2026-09-03T19:34:13.000795+00:00
2013-03-14,149.0,150.0,150.0,150.0,49,150.0,2026-09-03T19:34:13.000795+00:00
2013-03-18,150.0,150.0,150.0,150.0,158,150.0,2026-09-03T19:34:13.000795+00:00
2013-03-21,150.0,150.0,150.0,150.0,347,150.0,2026-09-03T19:34:13.000795+00:00
2013-04-01,150.0,153.0,153.0,153.0,89,153.0,2026-09-03T19:34:13.000795+00:00
2013-04-07,153.0,153.0,150.0,153.0,344,153.0,2026-09-03T19:34:13.000795+00:00
2013-04-25,153.0,150.0,147.0,147.0,294,147.0,2026-09-03T19:34:13.000795+00:00
2013-04-29,147.0,149.0,147.0,149.0,218,149.0,2026-09-03T19:34:13.000795+00:00
2013-04-30,149.0,148.0,145.0,148.0,662,148.0,2026-09-03T19:34:13.000795+00:00
2013-05-02,148.0,146.0,146.0,146.0,49,146.0,2026-09-03T19:34:13.000795+00:00
2013-05-12,146.0,144.0,144.0,144.0,444,144.0,2026-09-03T19:34:13.000795+00:00
2013-06-02,144.0,146.0,146.0,146.0,15,146.0,2026-09-03T19:34:13.000795+00:00
2013-06-19,146.0,145.0,145.0,145.0,2925,145.0,2026-09-03T19:34:13.000795+00:00
2013-06-24,145.0,159.0,148.0,159.0,692,159.0,2026-09-03T19:34:13.000795+00:00
2013-06-25,159.0,171.0,162.0,171.0,196,171.0,2026-09-03T19:34:13.000795+00:00
2013-06-27,171.0,177.0,174.0,177.0,69,177.0,2026-09-03T19:34:13.000795+00:00
2013-06-30,177.0,180.0,175.0,180.0,12633,180.0,2026-09-03T19:34:13.000795+00:00
2013-07-08,180.0,177.0,177.0,177.0,100,177.0,2026-09-03T19:34:13.000795+00:00
2013-07-09,177.0,174.0,168.0,171.0,1139,171.0,2026-09-03T19:34:13.000795+00:00
2013-07-10,171.0,171.0,168.0,171.0,287,171.0,2026-09-03T19:34:13.000795+00:00
2013-07-11,171.0,171.0,171.0,171.0,198,171.0,2026-09-03T19:34:13.000795+00:00
2013-07-15,171.0,176.0,170.0,176.0,592,176.0,2026-09-03T19:34:13.000795+00:00
2013-07-16,176.0,180.0,179.0,180.0,147,180.0,2026-09-03T19:34:13.000795+00:00
2013-07-22,180.0,186.0,183.0,186.0,148,186.0,2026-09-03T19:34:13.000795+00:00
2013-07-23,186.0,192.0,189.0,192.0,80,192.0,2026-09-03T19:34:13.000795+00:00
2013-07-24,192.0,195.0,188.0,190.0,6313,190.0,2026-09-03T19:34:13.000795+00:00
2013-07-30,190.0,196.0,193.0,196.0,609,196.0,2026-09-03T19:34:13.000795+00:00
2013-07-31,196.0,205.0,195.0,205.0,255,205.0,2026-09-03T19:34:13.000795+00:00
2013-08-04,205.0,225.0,209.0,225.0,89,225.0,2026-09-03T19:34:13.000795+00:00
2013-08-05,225.0,247.0,229.0,247.0,819,247.0,2026-09-03T19:34:13.000795+00:00
2013-08-06,247.0,251.0,251.0,251.0,10,251.0,2026-09-03T19:34:13.000795+00:00
2013-08-11,251.0,261.0,256.0,261.0,50,261.0,2026-09-03T19:34:13.000795+00:00
2013-08-12,261.0,266.0,266.0,266.0,20,266.0,2026-09-03T19:34:13.000795+00:00
2013-08-15,266.0,261.0,251.0,251.0,187,251.0,2026-09-03T19:34:13.000795+00:00
2013-08-18,251.0,250.0,240.0,245.0,1797,245.0,2026-09-03T19:34:13.000795+00:00
2013-08-19,245.0,245.0,242.0,242.0,316,242.0,2026-09-03T19:34:13.000795+00:00
2013-08-25,242.0,246.0,245.0,245.0,455,245.0,2026-09-03T19:34:13.000795+00:00
2013-08-26,245.0,245.0,245.0,245.0,59,245.0,2026-09-03T19:34:13.000795+00:00
2013-08-27,245.0,249.0,249.0,249.0,500,249.0,2026-09-03T19:34:13.000795+00:00
2013-09-02,249.0,245.0,245.0,245.0,98,245.0,2026-09-03T19:34:13.000795+00:00
2013-09-03,245.0,245.0,245.0,245.0,49,245.0,2026-09-03T19:34:13.000795+00:00
2013-09-08,245.0,245.0,245.0,245.0,49,245.0,2026-09-03T19:34:13.000795+00:00
2013-09-09,245.0,241.0,241.0,241.0,178,241.0,2026-09-03T19:34:13.000795+00:00
2013-10-03,241.0,240.0,240.0,240.0,1006,240.0,2026-09-03T19:34:13.000795+00:00
2013-10-21,240.0,248.0,244.0,248.0,821,248.0,2026-09-03T19:34:13.000795+00:00
2013-10-28,248.0,272.0,252.0,272.0,424,272.0,2026-09-03T19:34:13.000795+00:00
2013-11-06,272.0,292.0,277.0,292.0,345,292.0,2026-09-03T19:34:13.000795+00:00
2013-11-07,292.0,308.0,297.0,308.0,247,308.0,2026-09-03T19:34:13.000795+00:00
2013-11-11,320.0,325.0,314.0,325.0,9424,325.0,2026-09-03T19:34:13.000795+00:00
2013-11-12,325.0,325.0,317.0,325.0,15172,325.0,2026-09-03T19:34:13.000795+00:00
2013-11-13,325.0,333.0,328.0,333.0,315,333.0,2026-09-03T19:34:13.000795+00:00
2013-11-14,333.0,340.0,325.0,333.0,26643,333.0,2026-09-03T19:34:13.000795+00:00
2013-11-21,333.0,339.0,339.0,339.0,19,339.0,2026-09-03T19:34:13.000795+00:00
2013-11-24,339.0,357.0,345.0,357.0,543,357.0,2026-09-03T19:34:13.000795+00:00
2013-11-25,357.0,392.0,364.0,392.0,1712,392.0,2026-09-03T19:34:13.000795+00:00
2013-11-27,392.0,422.0,399.0,422.0,2499,422.0,2026-09-03T19:34:13.000795+00:00
2013-11-28,422.0,430.0,417.0,417.0,405,417.0,2026-09-03T19:34:13.000795+00:00
2013-12-01,417.0,417.0,409.0,417.0,782,417.0,2026-09-03T19:34:13.000795+00:00
2013-12-02,417.0,458.0,415.0,458.0,17746,458.0,2026-09-03T19:34:13.000795+00:00
2013-12-03,458.0,503.0,467.0,503.0,455,503.0,2026-09-03T19:34:13.000795+00:00
2013-12-04,503.0,513.0,513.0,513.0,555,513.0,2026-09-03T19:34:13.000795+00:00
2013-12-05,513.0,550.0,520.0,540.0,21657,540.0,2026-09-03T19:34:13.000795+00:00
2013-12-08,540.0,561.0,540.0,561.0,1581,561.0,2026-09-03T19:34:13.000795+00:00
2013-12-10,561.0,571.0,571.0,571.0,69,571.0,2026-09-03T19:34:13.000795+00:00
2013-12-18,571.0,582.0,582.0,582.0,69,582.0,2026-09-03T19:34:13.000795+00:00
2013-12-19,582.0,593.0,593.0,593.0,10,593.0,2026-09-03T19:34:13.000795+00:00
2013-12-22,593.0,582.0,534.0,555.0,15337,555.0,2026-09-03T19:34:13.000795+00:00
2013-12-29,555.0,544.0,544.0,544.0,119,544.0,2026-09-03T19:34:13.000795+00:00
2014-01-12,544.0,534.0,515.0,525.0,10942,525.0,2026-09-03T19:34:13.000795+00:00
2014-01-13,525.0,520.0,500.0,511.0,25172,511.0,2026-09-03T19:34:13.000795+00:00
2014-01-14,511.0,545.0,512.0,545.0,5202,545.0,2026-09-03T19:34:13.000795+00:00
2014-01-16,545.0,550.0,540.0,550.0,313,550.0,2026-09-03T19:34:13.000795+00:00
2014-01-19,550.0,539.0,529.0,529.0,563,529.0,2026-09-03T19:34:13.000795+00:00
2014-01-21,529.0,530.0,530.0,530.0,455,530.0,2026-09-03T19:34:13.000795+00:00
2014-01-22,530.0,530.0,530.0,530.0,217,530.0,2026-09-03T19:34:13.000795+00:00
2014-01-23,530.0,525.0,525.0,525.0,1454,525.0,2026-09-03T19:34:13.000795+00:00
2014-01-26,525.0,525.0,525.0,525.0,119,525.0,2026-09-03T19:34:13.000795+00:00
2014-01-27,525.0,525.0,520.0,520.0,562,520.0,2026-09-03T19:34:13.000795+00:00
2014-01-28,520.0,515.0,515.0,515.0,109,515.0,2026-09-03T19:34:13.000795+00:00
2014-01-29,515.0,526.0,525.0,526.0,256,526.0,2026-09-03T19:34:13.000795+00:00
2014-02-02,526.0,535.0,535.0,535.0,810,535.0,2026-09-03T19:34:13.000795+00:00
2014-02-03,535.0,525.0,525.0,525.0,69,525.0,2026-09-03T19:34:13.000795+00:00
2014-02-04,525.0,526.0,526.0,526.0,99,526.0,2026-09-03T19:34:13.000795+00:00
2014-02-06,556.0,567.0,525.0,525.0,2688,525.0,2026-09-03T19:34:13.000795+00:00
2014-02-09,525.0,518.0,518.0,518.0,827,518.0,2026-09-03T19:34:13.000795+00:00
2014-02-11,518.0,528.0,528.0,528.0,49,528.0,2026-09-03T19:34:13.000795+00:00
2014-02-12,528.0,538.0,528.0,528.0,477,528.0,2026-09-03T19:34:13.000795+00:00
2014-02-16,528.0,520.0,520.0,520.0,49,520.0,2026-09-03T19:34:13.000795+00:00
2014-02-20,520.0,567.0,517.0,567.0,2403,567.0,2026-09-03T19:34:13.000795+00:00
2014-02-23,567.0,623.0,578.0,623.0,5819,623.0,2026-09-03T19:34:13.000795+00:00
2014-02-24,623.0,685.0,630.0,685.0,6017,685.0,2026-09-03T19:34:13.000795+00:00
2014-02-25,685.0,690.0,672.0,690.0,3779,690.0,2026-09-03T19:34:13.000795+00:00
2014-02-26,690.0,703.0,677.0,703.0,1219,703.0,2026-09-03T19:34:13.000795+00:00
2014-03-05,703.0,689.0,689.0,689.0,200,689.0,2026-09-03T19:34:13.000795+00:00
2014-03-06,689.0,700.0,700.0,700.0,129,700.0,2026-09-03T19:34:13.000795+00:00
2014-03-09,700.0,687.0,687.0,687.0,50,687.0,2026-09-03T19:34:13.000795+00:00
2014-03-10,687.0,674.0,674.0,674.0,122,674.0,2026-09-03T19:34:13.000795+00:00
2014-03-17,674.0,661.0,661.0,661.0,49,661.0,2026-09-03T19:34:13.000795+00:00
2014-03-19,661.0,648.0,595.0,595.0,866,595.0,2026-09-03T19:34:13.000795+00:00
2014-03-25,595.0,584.0,565.0,565.0,439,565.0,2026-09-03T19:34:13.000795+00:00
2014-03-26,565.0,554.0,554.0,554.0,119,554.0,2026-09-03T19:34:13.000795+00:00
2014-03-27,554.0,543.0,543.0,543.0,109,543.0,2026-09-03T19:34:13.000795+00:00
2014-03-31,543.0,533.0,533.0,533.0,200,533.0,2026-09-03T19:34:13.000795+00:00
2014-04-01,533.0,530.0,524.0,524.0,700,524.0,2026-09-03T19:34:13.000795+00:00
2014-04-02,524.0,576.0,534.0,576.0,298,576.0,2026-09-03T19:34:13.000795+00:00
2014-04-03,576.0,633.0,587.0,609.0,9228,609.0,2026-09-03T19:34:13.000795+00:00
2014-04-06,609.0,621.0,609.0,609.0,1797,609.0,2026-09-03T19:34:13.000795+00:00
2014-04-07,609.0,639.0,609.0,639.0,859,639.0,2026-09-03T19:34:13.000795+00:00
2014-04-10,639.0,651.0,651.0,651.0,196,651.0,2026-09-03T19:34:13.000795+00:00
2014-04-13,651.0,638.0,638.0,638.0,98,638.0,2026-09-03T19:34:13.000795+00:00
2014-04-15,638.0,626.0,626.0,626.0,119,626.0,2026-09-03T19:34:13.000795+00:00
