date,open,high,low,close,volume,adj_close,fetched_at
2017-05-21,1051.0,1051.0,1051.0,1051.0,100,1051.0,2026-09-03T19:34:42.176719+00:00
2017-06-05,1051.0,1103.0,1103.0,1103.0,30,1103.0,2026-09-03T19:34:42.176719+00:00
2017-06-06,1103.0,1125.0,1125.0,1125.0,9,1125.0,2026-09-03T19:34:42.176719+00:00
2017-06-07,1103.0,1169.0,1125.0,1169.0,30,1169.0,2026-09-03T19:34:42.176719+00:00
2017-06-11,1169.0,1215.0,1192.0,1215.0,26,1215.0,2026-09-03T19:34:42.176719+00:00
2017-06-14,1215.0,1288.0,1239.0,1288.0,530,1288.0,2026-09-03T19:34:42.176719+00:00
2017-06-15,1288.0,1365.0,1313.0,1365.0,52,1365.0,2026-09-03T19:34:42.176719+00:00
2017-06-18,1365.0,1419.0,1392.0,1419.0,20,1419.0,2026-09-03T19:34:42.176719+00:00
2017-06-19,1419.0,1447.0,1447.0,1447.0,10,1447.0,2026-09-03T19:34:42.176719+00:00
2017-06-21,1447.0,1534.0,1475.0,1534.0,30,1534.0,2026-09-03T19:34:42.176719+00:00
2017-06-25,1534.0,1626.0,1564.0,1626.0,30,1626.0,2026-09-03T19:34:42.176719+00:00
2017-06-27,1626.0,1724.0,1658.0,1724.0,30,1724.0,2026-09-03T19:34:42.176719+00:00
2017-06-28,1724.0,1864.0,1758.0,1864.0,46,1864.0,2026-09-03T19:34:42.176719+00:00
2017-07-02,1864.0,1901.0,1901.0,1901.0,26,1901.0,2026-09-03T19:34:42.176719+00:00
2017-07-03,1901.0,2091.0,1939.0,2091.0,66,2091.0,2026-09-03T19:34:42.176719+00:00
2017-07-04,2091.0,2261.0,2132.0,2261.0,56,2261.0,2026-09-03T19:34:42.176719+00:00
2017-07-05,2261.0,2306.0,2306.0,2306.0,10,2306.0,2026-09-03T19:34:42.176719+00:00
2017-07-09,2306.0,2536.0,2352.0,2536.0,102,2536.0,2026-09-03T19:34:42.176719+00:00
2017-07-10,2536.0,2586.0,2586.0,2586.0,40,2586.0,2026-09-03T19:34:42.176719+00:00
2017-07-11,2586.0,2844.0,2637.0,2844.0,212,2844.0,2026-09-03T19:34:42.176719+00:00
2017-07-12,2844.0,3128.0,2900.0,3128.0,3230,3128.0,2026-09-03T19:34:42.176719+00:00
2017-07-13,3128.0,3384.0,3190.0,3221.0,39591,3221.0,2026-09-03T19:34:42.176719+00:00
2017-07-16,3221.0,3305.0,3150.0,3298.0,16692,3298.0,2026-09-03T19:34:42.176719+00:00
2017-07-17,3298.0,3570.0,3260.0,3542.0,14227,3542.0,2026-09-03T19:34:42.176719+00:00
2017-07-18,3542.0,3795.0,3523.0,3795.0,16051,3795.0,2026-09-03T19:34:42.176719+00:00
2017-07-19,3795.0,3870.0,3701.0,3710.0,15286,3710.0,2026-09-03T19:34:42.176719+00:00
