date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,179.0,179.0,173.0,176.0,160,176.0,2026-09-03T19:34:06.958966+00:00
2012-09-10,176.0,179.0,171.0,178.0,4250,178.0,2026-09-03T19:34:06.958966+00:00
2012-09-11,178.0,180.0,175.0,175.0,520,175.0,2026-09-03T19:34:06.958966+00:00
2012-09-12,175.0,177.0,173.0,177.0,2280,177.0,2026-09-03T19:34:06.958966+00:00
2012-09-13,177.0,177.0,177.0,177.0,60,177.0,2026-09-03T19:34:06.958966+00:00
2012-09-16,177.0,178.0,178.0,178.0,100,178.0,2026-09-03T19:34:06.958966+00:00
2012-09-17,178.0,182.0,173.0,181.0,4070,181.0,2026-09-03T19:34:06.958966+00:00
2012-09-18,181.0,183.0,175.0,180.0,1840,180.0,2026-09-03T19:34:06.958966+00:00
2012-09-19,180.0,178.0,178.0,178.0,100,178.0,2026-09-03T19:34:06.958966+00:00
2012-09-20,178.0,184.0,178.0,181.0,1880,181.0,2026-09-03T19:34:06.958966+00:00
2012-09-23,181.0,178.0,178.0,178.0,150,178.0,2026-09-03T19:34:06.958966+00:00
2012-09-24,178.0,177.0,174.0,174.0,130,174.0,2026-09-03T19:34:06.958966+00:00
2012-09-25,174.0,176.0,174.0,176.0,1610,176.0,2026-09-03T19:34:06.958966+00:00
2012-09-26,176.0,179.0,175.0,176.0,1340,176.0,2026-09-03T19:34:06.958966+00:00
2012-09-30,176.0,184.0,179.0,180.0,12850,180.0,2026-09-03T19:34:06.958966+00:00
2012-10-01,180.0,184.0,182.0,184.0,4800,184.0,2026-09-03T19:34:06.958966+00:00
2012-10-01,180.0,184.0,182.0,184.0,4800,184.0,2026-09-03T19:34:06.958966+00:00
2012-10-02,184.0,190.0,183.0,187.0,10760,187.0,2026-09-03T19:34:06.958966+00:00
2012-10-03,187.0,184.0,181.0,184.0,3680,184.0,2026-09-03T19:34:06.958966+00:00
