date,open,high,low,close,volume,adj_close,fetched_at
2012-09-26,248.0,249.0,244.0,247.0,7227,247.0,2026-09-03T19:33:57.949465+00:00
2012-09-30,245.0,247.0,238.0,244.0,7236,244.0,2026-09-03T19:33:57.949465+00:00
2012-10-01,244.0,245.0,240.0,243.0,5064,243.0,2026-09-03T19:33:57.949465+00:00
2012-10-01,244.0,245.0,240.0,243.0,5064,243.0,2026-09-03T19:33:57.949465+00:00
2012-10-02,243.0,248.0,242.0,248.0,2854,248.0,2026-09-03T19:33:57.949465+00:00
2012-10-03,248.0,251.0,244.0,248.0,3424,248.0,2026-09-03T19:33:57.949465+00:00
2012-10-04,248.0,250.0,244.0,250.0,3162,250.0,2026-09-03T19:33:57.949465+00:00
2012-10-07,250.0,255.0,248.0,252.0,6485,252.0,2026-09-03T19:33:57.949465+00:00
2012-10-08,252.0,253.0,245.0,252.0,7223,252.0,2026-09-03T19:33:57.949465+00:00
2012-10-09,252.0,256.0,250.0,256.0,3945,256.0,2026-09-03T19:33:57.949465+00:00
2012-10-10,256.0,256.0,251.0,253.0,1964,253.0,2026-09-03T19:33:57.949465+00:00
2012-10-11,253.0,252.0,250.0,251.0,3846,251.0,2026-09-03T19:33:57.949465+00:00
2012-10-14,251.0,254.0,251.0,254.0,1029,254.0,2026-09-03T19:33:57.949465+00:00
2012-10-15,254.0,254.0,249.0,252.0,1589,252.0,2026-09-03T19:33:57.949465+00:00
2012-10-17,252.0,260.0,247.0,260.0,2975,260.0,2026-09-03T19:33:57.949465+00:00
2012-10-18,260.0,266.0,260.0,266.0,3263,266.0,2026-09-03T19:33:57.949465+00:00
2012-10-30,266.0,275.0,263.0,270.0,2478,270.0,2026-09-03T19:33:57.949465+00:00
2012-10-31,270.0,285.0,275.0,278.0,4291,278.0,2026-09-03T19:33:57.949465+00:00
2012-11-01,278.0,287.0,269.0,287.0,2017,287.0,2026-09-03T19:33:57.949465+00:00
2012-11-04,287.0,301.0,275.0,296.0,16234,296.0,2026-09-03T19:33:57.949465+00:00
2012-11-05,296.0,307.0,283.0,297.0,12136,297.0,2026-09-03T19:33:57.949465+00:00
2012-11-06,297.0,304.0,288.0,304.0,4876,304.0,2026-09-03T19:33:57.949465+00:00
2012-11-07,304.0,310.0,300.0,310.0,8988,310.0,2026-09-03T19:33:57.949465+00:00
2012-11-08,310.0,330.0,306.0,308.0,9282,308.0,2026-09-03T19:33:57.949465+00:00
2012-11-11,308.0,324.0,289.0,293.0,9640,293.0,2026-09-03T19:33:57.949465+00:00
2012-11-12,293.0,315.0,293.0,313.0,3044,313.0,2026-09-03T19:33:57.949465+00:00
2012-11-18,313.0,326.0,310.0,318.0,2200,318.0,2026-09-03T19:33:57.949465+00:00
2012-11-20,318.0,335.0,316.0,333.0,7312,333.0,2026-09-03T19:33:57.949465+00:00
2012-11-21,333.0,344.0,321.0,343.0,10747,343.0,2026-09-03T19:33:57.949465+00:00
2012-11-22,343.0,344.0,330.0,342.0,9816,342.0,2026-09-03T19:33:57.949465+00:00
2012-11-25,342.0,370.0,343.0,352.0,13675,352.0,2026-09-03T19:33:57.949465+00:00
2012-11-26,352.0,359.0,334.0,359.0,14535,359.0,2026-09-03T19:33:57.949465+00:00
2012-11-27,359.0,369.0,345.0,366.0,15772,366.0,2026-09-03T19:33:57.949465+00:00
2012-11-28,366.0,385.0,368.0,380.0,17520,380.0,2026-09-03T19:33:57.949465+00:00
2012-11-29,380.0,395.0,373.0,380.0,12950,380.0,2026-09-03T19:33:57.949465+00:00
2012-12-02,380.0,380.0,366.0,370.0,9600,370.0,2026-09-03T19:33:57.949465+00:00
2012-12-03,370.0,370.0,355.0,364.0,5403,364.0,2026-09-03T19:33:57.949465+00:00
2012-12-04,364.0,382.0,368.0,380.0,11242,380.0,2026-09-03T19:33:57.949465+00:00
2012-12-05,380.0,400.0,379.0,400.0,14715,400.0,2026-09-03T19:33:57.949465+00:00
2012-12-06,400.0,404.0,385.0,404.0,29266,404.0,2026-09-03T19:33:57.949465+00:00
2012-12-09,404.0,398.0,383.0,387.0,12055,387.0,2026-09-03T19:33:57.949465+00:00
2012-12-10,387.0,393.0,384.0,389.0,9827,389.0,2026-09-03T19:33:57.949465+00:00
2012-12-11,389.0,392.0,388.0,390.0,12681,390.0,2026-09-03T19:33:57.949465+00:00
2012-12-12,390.0,399.0,390.0,393.0,10338,393.0,2026-09-03T19:33:57.949465+00:00
2012-12-13,393.0,397.0,393.0,395.0,8951,395.0,2026-09-03T19:33:57.949465+00:00
2012-12-16,395.0,430.0,396.0,429.0,27653,429.0,2026-09-03T19:33:57.949465+00:00
2012-12-17,429.0,447.0,430.0,438.0,18004,438.0,2026-09-03T19:33:57.949465+00:00
2012-12-18,438.0,436.0,415.0,436.0,13364,436.0,2026-09-03T19:33:57.949465+00:00
2012-12-19,436.0,440.0,431.0,438.0,6949,438.0,2026-09-03T19:33:57.949465+00:00
2012-12-20,438.0,438.0,425.0,425.0,8162,425.0,2026-09-03T19:33:57.949465+00:00
2012-12-23,425.0,433.0,420.0,424.0,13684,424.0,2026-09-03T19:33:57.949465+00:00
2012-12-24,424.0,443.0,424.0,439.0,15165,439.0,2026-09-03T19:33:57.949465+00:00
2012-12-26,439.0,450.0,420.0,449.0,55877,449.0,2026-09-03T19:33:57.949465+00:00
2012-12-27,449.0,445.0,430.0,433.0,38430,433.0,2026-09-03T19:33:57.949465+00:00
2012-12-31,433.0,426.0,411.0,426.0,5621,426.0,2026-09-03T19:33:57.949465+00:00
2013-01-01,426.0,418.0,410.0,411.0,1508,411.0,2026-09-03T19:33:57.949465+00:00
2013-01-02,411.0,418.0,396.0,411.0,6761,411.0,2026-09-03T19:33:57.949465+00:00
2013-01-03,411.0,420.0,412.0,415.0,8071,415.0,2026-09-03T19:33:57.949465+00:00
2013-01-06,415.0,414.0,405.0,410.0,6373,410.0,2026-09-03T19:33:57.949465+00:00
2013-01-07,410.0,407.0,402.0,404.0,4396,404.0,2026-09-03T19:33:57.949465+00:00
2013-01-08,404.0,407.0,397.0,402.0,2702,402.0,2026-09-03T19:33:57.949465+00:00
2013-01-09,402.0,401.0,397.0,399.0,2169,399.0,2026-09-03T19:33:57.949465+00:00
2013-01-10,399.0,410.0,395.0,410.0,5251,410.0,2026-09-03T19:33:57.949465+00:00
2013-01-13,410.0,404.0,394.0,400.0,7622,400.0,2026-09-03T19:33:57.949465+00:00
2013-01-15,400.0,427.0,397.0,426.0,7416,426.0,2026-09-03T19:33:57.949465+00:00
2013-01-16,426.0,425.0,410.0,413.0,3443,413.0,2026-09-03T19:33:57.949465+00:00
2013-01-17,413.0,419.0,400.0,406.0,6009,406.0,2026-09-03T19:33:57.949465+00:00
2013-01-20,406.0,400.0,382.0,396.0,8069,396.0,2026-09-03T19:33:57.949465+00:00
