date,open,high,low,close,volume,adj_close,fetched_at
2025-08-28,10.0,10.0,10.0,10.0,100,10.0,2026-09-03T19:37:06.978854+00:00
2025-08-31,9.81,9.81,9.0,9.0,3040,9.0,2026-09-03T19:37:06.978854+00:00
2025-09-01,8.85,9.2,8.7,9.02,3600,9.02,2026-09-03T19:37:06.978854+00:00
2025-09-02,8.95,9.01,8.69,8.84,8500,8.84,2026-09-03T19:37:06.978854+00:00
2025-09-03,8.68,9.28,8.68,9.1,5350,9.1,2026-09-03T19:37:06.978854+00:00
2025-09-04,8.92,8.92,8.8,8.82,2200,8.82,2026-09-03T19:37:06.978854+00:00
2025-09-07,8.75,9.15,8.75,9.0,2400,9.0,2026-09-03T19:37:06.978854+00:00
2025-09-08,9.0,9.3,9.0,9.12,3850,9.12,2026-09-03T19:37:06.978854+00:00
2025-09-21,8.94,9.0,8.8,8.96,2300,8.96,2026-09-03T19:37:06.978854+00:00
2025-09-23,8.8,8.96,8.8,8.96,4390,8.96,2026-09-03T19:37:06.978854+00:00
2025-09-24,8.8,8.91,8.79,8.85,1100,8.85,2026-09-03T19:37:06.978854+00:00
2025-09-25,8.81,8.97,8.81,8.9,700,8.9,2026-09-03T19:37:06.978854+00:00
2025-09-28,9.02,9.79,8.8,9.79,10100,9.79,2026-09-03T19:37:06.978854+00:00
2025-10-07,9.6,9.6,9.07,9.07,4050,9.07,2026-09-03T19:37:06.978854+00:00
2025-10-08,9.25,9.25,8.89,9.25,800,9.25,2026-09-03T19:37:06.978854+00:00
2025-10-09,9.08,9.4,9.08,9.4,2100,9.4,2026-09-03T19:37:06.978854+00:00
2025-10-12,9.22,9.22,9.0,9.0,900,9.0,2026-09-03T19:37:06.978854+00:00
2025-10-13,8.82,8.9,8.65,8.9,1200,8.9,2026-09-03T19:37:06.978854+00:00
2025-10-14,9.05,9.05,8.87,8.9,900,8.9,2026-09-03T19:37:06.978854+00:00
2025-10-15,8.76,9.07,8.76,9.06,1700,9.06,2026-09-03T19:37:06.978854+00:00
2025-10-16,8.89,9.1,8.85,9.1,2200,9.1,2026-09-03T19:37:06.978854+00:00
2025-10-19,8.92,8.94,8.77,8.94,2500,8.94,2026-09-03T19:37:06.978854+00:00
