date,open,high,low,close,volume,adj_close,fetched_at
2015-11-25,110.0,120.0,112.0,120.0,50,120.0,2026-09-03T19:34:18.631078+00:00
2015-11-26,120.0,132.0,122.0,132.0,1000,132.0,2026-09-03T19:34:18.631078+00:00
2015-11-29,132.0,145.0,134.0,145.0,1020,145.0,2026-09-03T19:34:18.631078+00:00
2015-11-30,145.0,159.0,147.0,159.0,60,159.0,2026-09-03T19:34:18.631078+00:00
2015-12-01,159.0,174.0,162.0,174.0,70,174.0,2026-09-03T19:34:18.631078+00:00
2015-12-02,174.0,191.0,177.0,191.0,100,191.0,2026-09-03T19:34:18.631078+00:00
2015-12-03,191.0,210.0,194.0,210.0,5701,210.0,2026-09-03T19:34:18.631078+00:00
2015-12-06,210.0,231.0,214.0,231.0,1020,231.0,2026-09-03T19:34:18.631078+00:00
2015-12-07,231.0,254.0,235.0,254.0,420,254.0,2026-09-03T19:34:18.631078+00:00
2015-12-08,254.0,279.4,259.0,279.4,1368,279.4,2026-09-03T19:34:18.631078+00:00
2015-12-09,279.4,307.0,284.0,307.0,5511,307.0,2026-09-03T19:34:18.631078+00:00
2015-12-10,307.0,337.0,313.0,337.0,974,337.0,2026-09-03T19:34:18.631078+00:00
2015-12-13,337.0,370.0,343.0,370.0,15750,370.0,2026-09-03T19:34:18.631078+00:00
2015-12-14,370.0,407.0,377.0,407.0,9670,407.0,2026-09-03T19:34:18.631078+00:00
2015-12-15,407.0,447.0,410.0,447.0,82044,447.0,2026-09-03T19:34:18.631078+00:00
2015-12-16,447.0,480.0,403.0,403.0,36004,403.0,2026-09-03T19:34:18.631078+00:00
2015-12-17,403.0,395.0,365.0,367.0,11833,367.0,2026-09-03T19:34:18.631078+00:00
2015-12-20,367.0,360.0,331.0,331.0,2909,331.0,2026-09-03T19:34:18.631078+00:00
2015-12-21,331.0,325.0,300.0,300.0,3662,300.0,2026-09-03T19:34:18.631078+00:00
2015-12-22,300.0,300.0,288.0,299.0,62224,299.0,2026-09-03T19:34:18.631078+00:00
2015-12-23,299.0,328.0,293.0,328.0,33837,328.0,2026-09-03T19:34:18.631078+00:00
2015-12-24,328.0,360.0,330.0,331.0,19474,331.0,2026-09-03T19:34:18.631078+00:00
2015-12-27,331.0,345.0,333.0,339.0,4457,339.0,2026-09-03T19:34:18.631078+00:00
2015-12-28,339.0,339.0,333.0,333.0,2183,333.0,2026-09-03T19:34:18.631078+00:00
2015-12-29,333.0,336.0,329.0,330.0,2338,330.0,2026-09-03T19:34:18.631078+00:00
2015-12-31,330.0,331.0,320.0,320.0,7697,320.0,2026-09-03T19:34:18.631078+00:00
2016-01-03,320.0,326.0,314.0,314.0,9153,314.0,2026-09-03T19:34:18.631078+00:00
2016-01-04,314.0,313.0,299.0,300.0,9497,300.0,2026-09-03T19:34:18.631078+00:00
2016-01-05,300.0,305.0,297.0,301.0,4650,301.0,2026-09-03T19:34:18.631078+00:00
2016-01-06,301.0,316.0,290.0,309.0,17122,309.0,2026-09-03T19:34:18.631078+00:00
2016-01-07,309.0,317.0,307.0,307.0,7164,307.0,2026-09-03T19:34:18.631078+00:00
2016-01-10,307.0,314.0,300.0,305.0,6551,305.0,2026-09-03T19:34:18.631078+00:00
2016-01-11,305.0,308.0,300.0,308.0,10524,308.0,2026-09-03T19:34:18.631078+00:00
2016-01-12,308.0,324.0,302.0,318.0,23134,318.0,2026-09-03T19:34:18.631078+00:00
2016-01-13,318.0,342.0,324.0,342.0,1985,342.0,2026-09-03T19:34:18.631078+00:00
2016-01-18,342.0,354.0,348.0,350.0,1850,350.0,2026-09-03T19:34:18.631078+00:00
2016-01-19,350.0,376.0,350.0,365.0,5750,365.0,2026-09-03T19:34:18.631078+00:00
2016-01-20,365.0,382.0,370.0,370.0,2460,370.0,2026-09-03T19:34:18.631078+00:00
2016-01-21,370.0,367.0,360.0,363.0,2100,363.0,2026-09-03T19:34:18.631078+00:00
2016-01-24,363.0,361.0,356.0,360.0,3200,360.0,2026-09-03T19:34:18.631078+00:00
2016-01-25,360.0,367.0,360.0,360.0,270,360.0,2026-09-03T19:34:18.631078+00:00
2016-01-26,360.0,355.0,325.0,337.0,38454,337.0,2026-09-03T19:34:18.631078+00:00
2016-01-27,337.0,370.0,343.0,370.0,12939,370.0,2026-09-03T19:34:18.631078+00:00
2016-01-28,370.0,384.0,374.0,374.0,17649,374.0,2026-09-03T19:34:18.631078+00:00
2016-01-31,374.0,375.0,368.0,370.0,3550,370.0,2026-09-03T19:34:18.631078+00:00
2016-02-01,370.0,384.0,369.0,370.0,4038,370.0,2026-09-03T19:34:18.631078+00:00
2016-02-02,370.0,385.0,377.0,379.0,2954,379.0,2026-09-03T19:34:18.631078+00:00
2016-02-03,379.0,413.0,379.0,400.0,12689,400.0,2026-09-03T19:34:18.631078+00:00
2016-02-04,400.0,440.0,408.0,440.0,12387,440.0,2026-09-03T19:34:18.631078+00:00
2016-02-07,440.0,484.0,448.0,484.0,22960,484.0,2026-09-03T19:34:18.631078+00:00
2016-02-08,484.0,530.0,486.0,525.0,23446,525.0,2026-09-03T19:34:18.631078+00:00
2016-02-11,525.0,530.0,500.0,510.0,4490,510.0,2026-09-03T19:34:18.631078+00:00
2016-02-14,510.0,520.0,473.0,498.0,3970,498.0,2026-09-03T19:34:18.631078+00:00
2016-02-15,498.0,493.0,449.0,484.0,15360,484.0,2026-09-03T19:34:18.631078+00:00
2016-02-16,484.0,483.0,458.0,471.0,3564,471.0,2026-09-03T19:34:18.631078+00:00
2016-02-17,471.0,485.0,455.0,479.0,2430,479.0,2026-09-03T19:34:18.631078+00:00
2016-02-18,479.0,484.0,466.0,466.0,500,466.0,2026-09-03T19:34:18.631078+00:00
2016-02-21,466.0,475.0,450.0,450.0,2364,450.0,2026-09-03T19:34:18.631078+00:00
2016-02-22,450.0,467.0,444.0,467.0,1164,467.0,2026-09-03T19:34:18.631078+00:00
