date,open,high,low,close,volume,adj_close,fetched_at
2023-08-13,565.5,581.4,509.0,509.0,446687,509.0,2026-09-03T19:36:37.080542+00:00
2023-08-14,500.0,540.0,491.0,524.0,174521,524.0,2026-09-03T19:36:37.080542+00:00
2023-08-15,530.0,530.0,512.0,514.0,65896,514.0,2026-09-03T19:36:37.080542+00:00
2023-08-16,509.0,510.0,499.9,501.2,97602,501.2,2026-09-03T19:36:37.080542+00:00
2023-08-17,501.2,512.0,494.0,507.0,102087,507.0,2026-09-03T19:36:37.080542+00:00
2023-08-20,500.0,510.0,491.0,492.0,74722,492.0,2026-09-03T19:36:37.080542+00:00
2023-08-21,485.2,493.9,477.0,477.1,104411,477.1,2026-09-03T19:36:37.080542+00:00
2023-08-22,470.0,505.0,470.0,499.0,75667,499.0,2026-09-03T19:36:37.080542+00:00
2023-08-23,489.1,512.0,489.1,510.0,149499,510.0,2026-09-03T19:36:37.080542+00:00
2023-08-24,520.2,520.2,500.0,508.0,137002,508.0,2026-09-03T19:36:37.080542+00:00
2023-08-27,497.9,500.0,486.0,486.4,99951,486.4,2026-09-03T19:36:37.080542+00:00
2023-08-28,482.0,495.0,480.0,485.1,51776,485.1,2026-09-03T19:36:37.080542+00:00
2023-08-29,490.0,490.0,480.0,481.0,46631,481.0,2026-09-03T19:36:37.080542+00:00
2023-08-30,490.5,490.5,478.0,479.0,42325,479.0,2026-09-03T19:36:37.080542+00:00
2023-09-03,479.0,479.0,468.0,469.9,61451,469.9,2026-09-03T19:36:37.080542+00:00
2023-09-04,469.0,485.0,468.5,477.9,41103,477.9,2026-09-03T19:36:37.080542+00:00
2023-09-05,475.0,488.9,470.0,487.0,58867,487.0,2026-09-03T19:36:37.080542+00:00
2023-09-07,480.0,481.0,470.0,473.0,46343,473.0,2026-09-03T19:36:37.080542+00:00
2023-09-10,473.0,480.0,468.2,469.4,56148,469.4,2026-09-03T19:36:37.080542+00:00
2023-09-11,465.0,488.0,465.0,481.4,57134,481.4,2026-09-03T19:36:37.080542+00:00
2023-09-12,481.4,487.0,470.0,470.0,40128,470.0,2026-09-03T19:36:37.080542+00:00
2023-09-13,470.0,486.0,470.0,483.0,57478,483.0,2026-09-03T19:36:37.080542+00:00
2023-09-17,492.6,492.6,465.8,466.0,45100,466.0,2026-09-03T19:36:37.080542+00:00
2023-09-18,465.0,472.0,463.3,470.0,40386,470.0,2026-09-03T19:36:37.080542+00:00
2023-09-19,462.2,476.3,462.2,475.0,27053,475.0,2026-09-03T19:36:37.080542+00:00
2023-09-21,475.0,498.0,475.0,484.0,132981,484.0,2026-09-03T19:36:37.080542+00:00
2023-09-24,474.4,493.0,474.4,479.0,95252,479.0,2026-09-03T19:36:37.080542+00:00
2023-09-25,471.0,482.0,471.0,473.2,46321,473.2,2026-09-03T19:36:37.080542+00:00
2023-09-26,476.0,490.0,476.0,483.0,67001,483.0,2026-09-03T19:36:37.080542+00:00
2023-09-27,483.0,485.0,472.0,475.1,49599,475.1,2026-09-03T19:36:37.080542+00:00
2023-10-01,470.1,474.0,462.0,462.9,65054,462.9,2026-09-03T19:36:37.080542+00:00
2023-10-02,460.0,470.0,460.0,465.2,38549,465.2,2026-09-03T19:36:37.080542+00:00
2023-10-03,465.0,465.1,458.3,458.3,40470,458.3,2026-09-03T19:36:37.080542+00:00
2023-10-04,467.4,467.4,456.0,460.0,37528,460.0,2026-09-03T19:36:37.080542+00:00
2023-10-05,460.0,467.0,456.5,457.0,29136,457.0,2026-09-03T19:36:37.080542+00:00
2023-10-08,457.0,457.0,444.0,448.0,67424,448.0,2026-09-03T19:36:37.080542+00:00
2023-10-09,444.0,451.0,440.5,445.0,21068,445.0,2026-09-03T19:36:37.080542+00:00
2023-10-10,440.1,449.9,438.0,438.7,25678,438.7,2026-09-03T19:36:37.080542+00:00
2023-10-11,436.0,444.9,436.0,439.0,31794,439.0,2026-09-03T19:36:37.080542+00:00
2023-10-12,439.0,443.0,430.0,434.8,44148,434.8,2026-09-03T19:36:37.080542+00:00
2023-10-16,430.0,433.1,410.0,415.0,58336,415.0,2026-09-03T19:36:37.080542+00:00
2023-10-17,415.0,423.3,404.0,408.9,42903,408.9,2026-09-03T19:36:37.080542+00:00
2023-10-18,407.0,416.1,404.0,414.0,32663,414.0,2026-09-03T19:36:37.080542+00:00
2023-10-19,407.0,417.0,407.0,408.0,26730,408.0,2026-09-03T19:36:37.080542+00:00
2023-10-29,405.0,405.0,388.5,389.0,50825,389.0,2026-09-03T19:36:37.080542+00:00
2023-10-30,388.0,395.0,383.1,393.0,22104,393.0,2026-09-03T19:36:37.080542+00:00
2023-10-31,386.2,391.0,386.2,390.0,14195,390.0,2026-09-03T19:36:37.080542+00:00
2023-11-01,384.1,392.0,381.1,384.0,15816,384.0,2026-09-03T19:36:37.080542+00:00
2023-11-02,381.0,386.9,375.0,375.1,19209,375.1,2026-09-03T19:36:37.080542+00:00
2023-11-05,369.0,375.0,366.4,369.0,22985,369.0,2026-09-03T19:36:37.080542+00:00
2023-11-06,363.1,388.6,363.1,384.0,24198,384.0,2026-09-03T19:36:37.080542+00:00
2023-11-07,384.0,400.0,383.0,394.0,28197,394.0,2026-09-03T19:36:37.080542+00:00
2023-11-08,399.0,418.0,386.2,414.4,57875,414.4,2026-09-03T19:36:37.080542+00:00
2023-11-09,406.2,430.0,406.2,406.2,34752,406.2,2026-09-03T19:36:37.080542+00:00
2023-11-20,398.1,415.0,388.3,400.0,38170,400.0,2026-09-03T19:36:37.080542+00:00
2023-11-21,392.0,397.9,378.1,382.0,39561,382.0,2026-09-03T19:36:37.080542+00:00
2023-11-22,376.0,397.8,376.0,396.0,15855,396.0,2026-09-03T19:36:37.080542+00:00
2023-11-23,388.2,425.0,388.2,412.0,48532,412.0,2026-09-03T19:36:37.080542+00:00
2023-11-26,403.8,439.0,403.8,429.9,64269,429.9,2026-09-03T19:36:37.080542+00:00
2023-11-27,422.0,440.0,422.0,430.0,108343,430.0,2026-09-03T19:36:37.080542+00:00
2023-11-28,421.4,441.7,421.4,439.0,46100,439.0,2026-09-03T19:36:37.080542+00:00
2023-11-29,431.0,455.0,422.5,430.0,61453,430.0,2026-09-03T19:36:37.080542+00:00
2023-11-30,421.4,447.0,413.0,427.0,48324,427.0,2026-09-03T19:36:37.080542+00:00
2023-12-03,418.5,433.5,414.2,426.0,48701,426.0,2026-09-03T19:36:37.080542+00:00
2023-12-04,417.5,435.0,415.0,427.0,48953,427.0,2026-09-03T19:36:37.080542+00:00
2023-12-05,418.5,428.0,412.0,416.9,43961,416.9,2026-09-03T19:36:37.080542+00:00
2023-12-06,410.0,421.0,405.0,410.0,34167,410.0,2026-09-03T19:36:37.080542+00:00
2023-12-07,405.1,423.3,405.1,418.0,47973,418.0,2026-09-03T19:36:37.080542+00:00
2023-12-10,426.3,443.4,426.3,443.0,19953,443.0,2026-09-03T19:36:37.080542+00:00
2023-12-11,450.0,450.0,429.0,442.0,151799,442.0,2026-09-03T19:36:37.080542+00:00
2023-12-12,440.0,474.0,437.0,468.9,158567,468.9,2026-09-03T19:36:37.080542+00:00
2023-12-13,468.0,483.3,460.7,463.1,135946,463.1,2026-09-03T19:36:37.080542+00:00
2023-12-14,453.9,469.9,453.9,460.0,83316,460.0,2026-09-03T19:36:37.080542+00:00
2023-12-17,450.8,470.0,442.2,469.0,113140,469.0,2026-09-03T19:36:37.080542+00:00
2023-12-18,469.0,507.0,469.0,500.0,290559,500.0,2026-09-03T19:36:37.080542+00:00
2023-12-19,499.0,550.0,499.0,550.0,249258,550.0,2026-09-03T19:36:37.080542+00:00
2023-12-20,550.0,590.0,550.0,573.9,225572,573.9,2026-09-03T19:36:37.080542+00:00
2023-12-21,573.9,580.0,555.0,575.0,268407,575.0,2026-09-03T19:36:37.080542+00:00
2023-12-24,580.0,614.0,565.0,572.0,383292,572.0,2026-09-03T19:36:37.080542+00:00
2023-12-27,572.0,579.0,548.0,548.3,218421,548.3,2026-09-03T19:36:37.080542+00:00
2023-12-28,550.0,586.0,545.4,578.0,236191,578.0,2026-09-03T19:36:37.080542+00:00
2024-01-01,512.4,532.4,512.0,515.0,146424,515.0,2026-09-03T19:36:37.080542+00:00
2024-01-02,508.0,523.0,506.0,511.0,105719,511.0,2026-09-03T19:36:37.080542+00:00
2024-01-03,506.0,545.0,506.0,544.9,116470,544.9,2026-09-03T19:36:37.080542+00:00
2024-01-04,544.9,567.0,535.0,535.0,146048,535.0,2026-09-03T19:36:37.080542+00:00
2024-01-07,527.0,555.0,527.0,532.0,92532,532.0,2026-09-03T19:36:37.080542+00:00
2024-01-08,530.0,547.0,526.0,532.0,125299,532.0,2026-09-03T19:36:37.080542+00:00
2024-01-09,530.0,545.0,520.1,522.0,95316,522.0,2026-09-03T19:36:37.080542+00:00
2024-01-10,525.0,549.1,525.0,536.1,141554,536.1,2026-09-03T19:36:37.080542+00:00
2024-01-11,532.0,556.0,532.0,548.0,77144,548.0,2026-09-03T19:36:37.080542+00:00
2024-01-14,550.0,569.0,538.0,565.0,172867,565.0,2026-09-03T19:36:37.080542+00:00
2024-01-16,565.0,593.0,564.0,580.0,173543,580.0,2026-09-03T19:36:37.080542+00:00
2024-01-17,591.6,591.6,550.0,554.0,159440,554.0,2026-09-03T19:36:37.080542+00:00
2024-01-18,546.0,561.0,539.0,540.0,117438,540.0,2026-09-03T19:36:37.080542+00:00
2024-01-21,542.0,554.0,515.0,523.0,104263,523.0,2026-09-03T19:36:37.080542+00:00
2024-01-22,517.0,532.0,510.1,510.1,73846,510.1,2026-09-03T19:36:37.080542+00:00
2024-01-23,501.0,530.0,501.0,518.0,70647,518.0,2026-09-03T19:36:37.080542+00:00
2024-01-24,518.0,528.0,508.0,514.0,48318,514.0,2026-09-03T19:36:37.080542+00:00
2024-01-25,506.1,518.8,499.0,507.0,55583,507.0,2026-09-03T19:36:37.080542+00:00
2024-01-28,515.0,522.0,502.0,510.0,32881,510.0,2026-09-03T19:36:37.080542+00:00
2024-01-29,510.0,519.0,505.5,507.0,32610,507.0,2026-09-03T19:36:37.080542+00:00
2024-01-30,510.0,524.0,506.0,520.0,51984,520.0,2026-09-03T19:36:37.080542+00:00
