date,open,high,low,close,volume,adj_close,fetched_at
2013-07-29,108.0,106.0,106.0,106.0,446,106.0,2026-09-03T19:33:47.719357+00:00
2013-09-02,106.0,105.0,101.0,101.0,756,101.0,2026-09-03T19:33:47.719357+00:00
2013-09-03,101.0,103.0,101.0,103.0,1562,103.0,2026-09-03T19:33:47.719357+00:00
2013-09-05,103.0,105.0,105.0,105.0,198,105.0,2026-09-03T19:33:47.719357+00:00
2013-09-09,105.0,107.0,107.0,107.0,500,107.0,2026-09-03T19:33:47.719357+00:00
2013-09-10,107.0,107.0,107.0,107.0,40,107.0,2026-09-03T19:33:47.719357+00:00
2013-09-11,107.0,107.0,105.0,105.0,1385,105.0,2026-09-03T19:33:47.719357+00:00
2013-09-15,105.0,105.0,105.0,105.0,966,105.0,2026-09-03T19:33:47.719357+00:00
2013-09-17,105.0,105.0,105.0,105.0,16,105.0,2026-09-03T19:33:47.719357+00:00
2013-09-22,105.0,105.0,105.0,105.0,32,105.0,2026-09-03T19:33:47.719357+00:00
2013-09-23,105.0,105.0,105.0,105.0,495,105.0,2026-09-03T19:33:47.719357+00:00
2013-09-24,105.0,107.0,105.0,105.0,336,105.0,2026-09-03T19:33:47.719357+00:00
2013-09-25,105.0,106.0,105.0,106.0,1421,106.0,2026-09-03T19:33:47.719357+00:00
2013-10-02,106.0,106.0,106.0,106.0,125,106.0,2026-09-03T19:33:47.719357+00:00
2013-10-03,106.0,104.0,104.0,104.0,565,104.0,2026-09-03T19:33:47.719357+00:00
2013-10-20,104.0,102.0,102.0,102.0,27,102.0,2026-09-03T19:33:47.719357+00:00
2013-10-22,102.0,100.0,100.0,100.0,3029,100.0,2026-09-03T19:33:47.719357+00:00
2013-10-23,100.0,104.0,102.0,102.0,863,102.0,2026-09-03T19:33:47.719357+00:00
2013-10-28,102.0,104.0,102.0,102.0,191,102.0,2026-09-03T19:33:47.719357+00:00
2013-10-29,102.0,102.0,102.0,102.0,125,102.0,2026-09-03T19:33:47.719357+00:00
2013-11-07,102.0,102.0,100.0,102.0,220,102.0,2026-09-03T19:33:47.719357+00:00
2013-12-01,102.0,102.0,100.0,100.0,1545,100.0,2026-09-03T19:33:47.719357+00:00
2013-12-04,100.0,104.0,102.0,104.0,20,104.0,2026-09-03T19:33:47.719357+00:00
2013-12-05,104.0,110.0,106.0,110.0,30,110.0,2026-09-03T19:33:47.719357+00:00
2013-12-09,110.0,118.0,112.0,118.0,258,118.0,2026-09-03T19:33:47.719357+00:00
2013-12-10,118.0,120.0,120.0,120.0,10,120.0,2026-09-03T19:33:47.719357+00:00
2013-12-11,120.0,124.0,122.0,124.0,30,124.0,2026-09-03T19:33:47.719357+00:00
2013-12-12,124.0,130.0,126.0,130.0,336,130.0,2026-09-03T19:33:47.719357+00:00
2013-12-15,130.0,134.0,132.0,134.0,218,134.0,2026-09-03T19:33:47.719357+00:00
2013-12-22,134.0,136.0,136.0,136.0,130,136.0,2026-09-03T19:33:47.719357+00:00
2013-12-23,136.0,138.0,138.0,138.0,43,138.0,2026-09-03T19:33:47.719357+00:00
2013-12-24,138.0,138.0,136.0,138.0,148,138.0,2026-09-03T19:33:47.719357+00:00
2014-01-08,138.0,136.0,136.0,136.0,500,136.0,2026-09-03T19:33:47.719357+00:00
2014-01-13,136.0,134.0,134.0,134.0,129,134.0,2026-09-03T19:33:47.719357+00:00
2014-01-21,134.0,140.0,136.0,140.0,297,140.0,2026-09-03T19:33:47.719357+00:00
2014-01-22,140.0,142.0,142.0,142.0,660,142.0,2026-09-03T19:33:47.719357+00:00
2014-01-23,142.0,144.0,144.0,144.0,52,144.0,2026-09-03T19:33:47.719357+00:00
2014-01-26,144.0,145.0,145.0,145.0,206,145.0,2026-09-03T19:33:47.719357+00:00
2014-01-28,145.0,151.0,147.0,151.0,304,151.0,2026-09-03T19:33:47.719357+00:00
2014-01-29,151.0,154.0,154.0,154.0,416,154.0,2026-09-03T19:33:47.719357+00:00
2014-02-03,154.0,157.0,157.0,157.0,140,157.0,2026-09-03T19:33:47.719357+00:00
2014-02-13,157.0,163.0,160.0,163.0,226,163.0,2026-09-03T19:33:47.719357+00:00
2014-02-16,163.0,166.0,166.0,166.0,7047,166.0,2026-09-03T19:33:47.719357+00:00
2014-02-18,166.0,169.0,169.0,169.0,143,169.0,2026-09-03T19:33:47.719357+00:00
2014-02-23,169.0,172.0,172.0,172.0,1600,172.0,2026-09-03T19:33:47.719357+00:00
2014-02-26,172.0,172.0,172.0,172.0,53,172.0,2026-09-03T19:33:47.719357+00:00
2014-03-03,172.0,173.0,170.0,170.0,4317,170.0,2026-09-03T19:33:47.719357+00:00
2014-03-06,170.0,173.0,173.0,173.0,354,173.0,2026-09-03T19:33:47.719357+00:00
2014-03-09,173.0,173.0,173.0,173.0,12414,173.0,2026-09-03T19:33:47.719357+00:00
2014-03-10,173.0,172.0,170.0,172.0,562,172.0,2026-09-03T19:33:47.719357+00:00
2014-03-11,172.0,172.0,172.0,172.0,125,172.0,2026-09-03T19:33:47.719357+00:00
2014-05-11,172.0,169.0,166.0,166.0,434,166.0,2026-09-03T19:33:47.719357+00:00
2014-05-20,166.0,168.0,165.0,168.0,964,168.0,2026-09-03T19:33:47.719357+00:00
2014-05-21,168.0,168.0,168.0,168.0,790,168.0,2026-09-03T19:33:47.719357+00:00
2014-05-26,168.0,165.0,165.0,165.0,207,165.0,2026-09-03T19:33:47.719357+00:00
2014-06-09,165.0,162.0,156.0,156.0,1015,156.0,2026-09-03T19:33:47.719357+00:00
2014-06-11,156.0,153.0,153.0,153.0,521,153.0,2026-09-03T19:33:47.719357+00:00
2014-06-12,153.0,150.0,150.0,150.0,180,150.0,2026-09-03T19:33:47.719357+00:00
2014-06-15,150.0,150.0,150.0,150.0,66,150.0,2026-09-03T19:33:47.719357+00:00
2014-06-16,150.0,156.0,153.0,156.0,989,156.0,2026-09-03T19:33:47.719357+00:00
2014-06-18,156.0,154.0,150.0,150.0,283,150.0,2026-09-03T19:33:47.719357+00:00
2014-06-24,150.0,153.0,153.0,153.0,1000,153.0,2026-09-03T19:33:47.719357+00:00
