date,open,high,low,close,volume,adj_close,fetched_at
2019-06-12,85.0,87.0,85.0,86.0,500,86.0,2026-09-03T19:35:00.224738+00:00
2019-06-13,85.0,87.0,85.0,86.0,320,86.0,2026-09-03T19:35:00.224738+00:00
2019-06-16,90.0,90.0,83.0,83.0,1010,83.0,2026-09-03T19:35:00.224738+00:00
2019-06-17,84.0,84.0,82.0,82.0,240,82.0,2026-09-03T19:35:00.224738+00:00
2019-06-18,81.0,85.0,80.0,84.0,430,84.0,2026-09-03T19:35:00.224738+00:00
2019-06-19,83.0,83.0,80.0,81.0,660,81.0,2026-09-03T19:35:00.224738+00:00
2019-06-20,81.0,83.0,81.0,82.0,300,82.0,2026-09-03T19:35:00.224738+00:00
2019-06-23,81.0,82.0,81.0,82.0,160,82.0,2026-09-03T19:35:00.224738+00:00
2019-06-24,82.0,84.0,81.0,84.0,980,84.0,2026-09-03T19:35:00.224738+00:00
2019-06-25,84.0,84.0,83.0,83.0,50,83.0,2026-09-03T19:35:00.224738+00:00
2019-06-26,82.0,82.0,80.0,81.0,300,81.0,2026-09-03T19:35:00.224738+00:00
2019-06-27,80.0,80.0,78.0,80.0,320,80.0,2026-09-03T19:35:00.224738+00:00
2019-06-30,79.0,81.0,79.0,81.0,190,81.0,2026-09-03T19:35:00.224738+00:00
2019-07-01,80.0,80.0,79.0,80.0,310,80.0,2026-09-03T19:35:00.224738+00:00
2019-07-02,80.0,81.0,80.0,80.0,250,80.0,2026-09-03T19:35:00.224738+00:00
2019-07-03,79.0,80.0,79.0,79.0,220,79.0,2026-09-03T19:35:00.224738+00:00
2019-07-04,80.0,80.0,80.0,80.0,240,80.0,2026-09-03T19:35:00.224738+00:00
2019-07-07,81.0,83.0,81.0,83.0,190,83.0,2026-09-03T19:35:00.224738+00:00
2019-07-08,84.0,87.0,84.0,86.0,740,86.0,2026-09-03T19:35:00.224738+00:00
2019-07-09,86.0,90.0,86.0,89.0,630,89.0,2026-09-03T19:35:00.224738+00:00
2019-07-10,88.0,88.0,86.0,86.0,160,86.0,2026-09-03T19:35:00.224738+00:00
2019-07-11,86.0,88.0,86.0,88.0,276,88.0,2026-09-03T19:35:00.224738+00:00
2019-07-14,89.0,89.0,86.0,87.0,310,87.0,2026-09-03T19:35:00.224738+00:00
2019-07-15,86.0,87.0,85.0,85.0,465,85.0,2026-09-03T19:35:00.224738+00:00
2019-07-16,86.0,86.0,84.0,84.0,430,84.0,2026-09-03T19:35:00.224738+00:00
2019-07-17,85.0,85.0,84.0,84.0,470,84.0,2026-09-03T19:35:00.224738+00:00
2019-07-18,84.0,84.0,84.0,84.0,90,84.0,2026-09-03T19:35:00.224738+00:00
2019-07-21,84.0,85.0,84.0,85.0,30,85.0,2026-09-03T19:35:00.224738+00:00
2019-07-22,84.0,86.0,84.0,86.0,70,86.0,2026-09-03T19:35:00.224738+00:00
2019-07-23,85.0,89.0,85.0,89.0,390,89.0,2026-09-03T19:35:00.224738+00:00
2019-07-24,90.0,93.0,90.0,93.0,825,93.0,2026-09-03T19:35:00.224738+00:00
2019-07-25,92.0,93.0,90.0,90.0,440,90.0,2026-09-03T19:35:00.224738+00:00
2019-07-28,89.0,89.0,86.0,86.0,220,86.0,2026-09-03T19:35:00.224738+00:00
2019-07-29,85.0,85.0,85.0,85.0,190,85.0,2026-09-03T19:35:00.224738+00:00
2019-07-30,84.0,84.0,83.0,84.0,180,84.0,2026-09-03T19:35:00.224738+00:00
2019-07-31,83.0,85.0,83.0,85.0,210,85.0,2026-09-03T19:35:00.224738+00:00
2019-08-01,85.0,86.0,83.0,83.0,540,83.0,2026-09-03T19:35:00.224738+00:00
2019-08-04,84.0,84.0,82.0,83.0,490,83.0,2026-09-03T19:35:00.224738+00:00
2019-08-05,82.0,86.0,82.0,83.0,1300,83.0,2026-09-03T19:35:00.224738+00:00
2019-08-06,83.0,84.0,83.0,83.0,170,83.0,2026-09-03T19:35:00.224738+00:00
2019-08-07,84.0,84.0,82.0,83.0,310,83.0,2026-09-03T19:35:00.224738+00:00
2019-08-08,82.0,83.0,81.0,82.0,290,82.0,2026-09-03T19:35:00.224738+00:00
2019-08-11,82.0,83.0,81.0,83.0,260,83.0,2026-09-03T19:35:00.224738+00:00
2019-08-12,82.0,83.0,81.0,82.0,380,82.0,2026-09-03T19:35:00.224738+00:00
2019-08-13,81.0,81.0,81.0,81.0,290,81.0,2026-09-03T19:35:00.224738+00:00
2019-08-14,82.0,83.0,81.0,83.0,170,83.0,2026-09-03T19:35:00.224738+00:00
2019-08-15,83.0,84.0,82.0,83.0,240,83.0,2026-09-03T19:35:00.224738+00:00
2019-08-18,82.0,83.0,80.0,83.0,360,83.0,2026-09-03T19:35:00.224738+00:00
2019-08-19,82.0,83.0,81.0,82.0,380,82.0,2026-09-03T19:35:00.224738+00:00
2019-08-20,81.0,82.0,81.0,81.0,240,81.0,2026-09-03T19:35:00.224738+00:00
2019-08-21,81.0,81.0,78.0,78.0,460,78.0,2026-09-03T19:35:00.224738+00:00
2019-08-22,79.0,79.0,77.0,77.0,140,77.0,2026-09-03T19:35:00.224738+00:00
2019-08-25,76.0,78.0,76.0,78.0,430,78.0,2026-09-03T19:35:00.224738+00:00
2019-08-26,77.0,78.0,77.0,77.0,180,77.0,2026-09-03T19:35:00.224738+00:00
2019-08-27,77.0,77.0,77.0,77.0,180,77.0,2026-09-03T19:35:00.224738+00:00
2019-08-28,76.0,76.0,75.0,75.0,150,75.0,2026-09-03T19:35:00.224738+00:00
2019-08-29,75.0,75.0,73.0,73.0,310,73.0,2026-09-03T19:35:00.224738+00:00
2019-09-01,73.0,75.0,73.0,75.0,110,75.0,2026-09-03T19:35:00.224738+00:00
2019-09-02,74.0,74.0,73.0,73.0,180,73.0,2026-09-03T19:35:00.224738+00:00
2019-09-03,73.0,73.0,71.0,71.0,950,71.0,2026-09-03T19:35:00.224738+00:00
2019-09-04,72.0,72.0,71.0,71.0,290,71.0,2026-09-03T19:35:00.224738+00:00
2019-09-05,71.0,71.0,70.0,70.0,270,70.0,2026-09-03T19:35:00.224738+00:00
2019-09-08,70.0,71.0,70.0,70.0,260,70.0,2026-09-03T19:35:00.224738+00:00
2019-09-09,69.0,71.0,69.0,69.0,350,69.0,2026-09-03T19:35:00.224738+00:00
2019-09-10,69.0,69.0,68.0,68.0,180,68.0,2026-09-03T19:35:00.224738+00:00
2019-09-11,69.0,71.0,69.0,71.0,340,71.0,2026-09-03T19:35:00.224738+00:00
2019-09-12,70.0,71.0,68.0,68.0,310,68.0,2026-09-03T19:35:00.224738+00:00
2019-09-15,67.0,67.0,67.0,67.0,150,67.0,2026-09-03T19:35:00.224738+00:00
2019-09-16,67.0,67.0,64.0,64.0,540,64.0,2026-09-03T19:35:00.224738+00:00
2019-09-17,65.0,65.0,64.0,64.0,250,64.0,2026-09-03T19:35:00.224738+00:00
2019-09-19,65.0,66.0,65.0,65.0,510,65.0,2026-09-03T19:35:00.224738+00:00
2019-09-22,64.0,66.0,64.0,64.0,300,64.0,2026-09-03T19:35:00.224738+00:00
2019-09-23,65.0,65.0,64.0,65.0,150,65.0,2026-09-03T19:35:00.224738+00:00
2019-09-24,64.0,65.0,64.0,64.0,340,64.0,2026-09-03T19:35:00.224738+00:00
2019-09-25,65.0,65.0,63.0,64.0,500,64.0,2026-09-03T19:35:00.224738+00:00
2019-09-26,63.0,63.0,63.0,63.0,140,63.0,2026-09-03T19:35:00.224738+00:00
2019-09-29,63.0,64.0,62.0,62.0,330,62.0,2026-09-03T19:35:00.224738+00:00
2019-09-30,63.0,63.0,62.0,62.0,90,62.0,2026-09-03T19:35:00.224738+00:00
2019-10-01,62.0,63.0,62.0,63.0,140,63.0,2026-09-03T19:35:00.224738+00:00
