date,open,high,low,close,volume,adj_close,fetched_at
2022-09-28,10.0,10.0,9.0,9.0,900,9.0,2026-09-03T19:36:05.815908+00:00
2022-09-29,8.82,8.82,8.65,8.7,8800,8.7,2026-09-03T19:36:05.815908+00:00
2022-10-09,8.53,8.53,8.1,8.31,3200,8.31,2026-09-03T19:36:05.815908+00:00
2022-10-10,8.31,8.6,8.31,8.6,1800,8.6,2026-09-03T19:36:05.815908+00:00
2022-10-11,8.44,8.47,8.3,8.47,4854,8.47,2026-09-03T19:36:05.815908+00:00
2022-10-12,8.31,8.31,8.15,8.15,1000,8.15,2026-09-03T19:36:05.815908+00:00
2022-10-13,8.15,8.21,8.01,8.08,1200,8.08,2026-09-03T19:36:05.815908+00:00
2022-10-16,7.93,8.1,7.92,8.1,7300,8.1,2026-09-03T19:36:05.815908+00:00
2022-10-17,8.0,8.27,8.0,8.27,1516,8.27,2026-09-03T19:36:05.815908+00:00
2022-10-19,8.11,8.11,7.81,8.0,1850,8.0,2026-09-03T19:36:05.815908+00:00
2022-10-20,7.9,8.0,7.9,8.0,3340,8.0,2026-09-03T19:36:05.815908+00:00
2022-10-23,7.85,7.95,7.7,7.95,1812,7.95,2026-09-03T19:36:05.815908+00:00
2022-10-31,7.8,7.95,7.69,7.75,2100,7.75,2026-09-03T19:36:05.815908+00:00
2022-11-01,7.9,8.2,7.9,8.2,1000,8.2,2026-09-03T19:36:05.815908+00:00
2022-11-02,8.2,8.36,8.04,8.36,3100,8.36,2026-09-03T19:36:05.815908+00:00
2022-11-03,8.2,8.2,7.85,8.0,2100,8.0,2026-09-03T19:36:05.815908+00:00
2022-11-06,8.0,8.16,8.0,8.05,2100,8.05,2026-09-03T19:36:05.815908+00:00
2022-11-07,8.0,8.2,7.84,8.2,2610,8.2,2026-09-03T19:36:05.815908+00:00
2022-11-08,8.05,8.05,7.89,7.95,900,7.95,2026-09-03T19:36:05.815908+00:00
2022-11-09,7.8,7.8,7.7,7.8,2700,7.8,2026-09-03T19:36:05.815908+00:00
2022-11-10,7.8,7.8,7.66,7.73,1900,7.73,2026-09-03T19:36:05.815908+00:00
2022-11-13,7.58,7.78,7.58,7.78,800,7.78,2026-09-03T19:36:05.815908+00:00
2022-11-14,7.93,7.93,7.78,7.8,300,7.8,2026-09-03T19:36:05.815908+00:00
2022-11-15,7.8,8.0,7.8,8.0,900,8.0,2026-09-03T19:36:05.815908+00:00
2022-11-16,7.84,8.0,7.84,7.85,2300,7.85,2026-09-03T19:36:05.815908+00:00
2022-11-17,7.85,7.85,7.8,7.8,946,7.8,2026-09-03T19:36:05.815908+00:00
2022-11-22,7.8,7.8,7.65,7.8,7800,7.8,2026-09-03T19:36:05.815908+00:00
2022-11-23,7.95,7.95,7.8,7.8,1460,7.8,2026-09-03T19:36:05.815908+00:00
2022-11-24,7.7,7.8,7.65,7.8,4100,7.8,2026-09-03T19:36:05.815908+00:00
2022-11-27,7.9,8.0,7.9,8.0,1600,8.0,2026-09-03T19:36:05.815908+00:00
2022-11-28,8.0,8.16,7.84,8.16,2500,8.16,2026-09-03T19:36:05.815908+00:00
2022-11-29,8.0,8.0,7.84,7.86,3800,7.86,2026-09-03T19:36:05.815908+00:00
2022-11-30,7.8,7.8,7.71,7.8,3500,7.8,2026-09-03T19:36:05.815908+00:00
2022-12-01,7.71,8.0,7.71,8.0,1000,8.0,2026-09-03T19:36:05.815908+00:00
2022-12-04,7.88,8.16,7.58,8.16,4222,8.16,2026-09-03T19:36:05.815908+00:00
2022-12-05,8.16,8.55,8.16,8.34,14940,8.34,2026-09-03T19:36:05.815908+00:00
2022-12-06,8.5,8.5,8.33,8.33,400,8.33,2026-09-03T19:36:05.815908+00:00
2022-12-07,8.25,8.4,8.24,8.4,2250,8.4,2026-09-03T19:36:05.815908+00:00
2022-12-11,8.56,9.24,8.56,9.06,600,9.06,2026-09-03T19:36:05.815908+00:00
2022-12-12,8.88,8.88,8.15,8.16,4197,8.16,2026-09-03T19:36:05.815908+00:00
2022-12-13,8.16,8.16,8.01,8.01,5720,8.01,2026-09-03T19:36:05.815908+00:00
2022-12-14,7.85,8.0,7.85,8.0,7400,8.0,2026-09-03T19:36:05.815908+00:00
2022-12-15,7.9,7.9,7.55,7.7,51705,7.7,2026-09-03T19:36:05.815908+00:00
2022-12-18,7.7,8.42,7.65,8.42,3800,8.42,2026-09-03T19:36:05.815908+00:00
2022-12-19,8.26,8.26,7.7,7.77,11150,7.77,2026-09-03T19:36:05.815908+00:00
2022-12-20,7.77,7.8,7.62,7.8,600,7.8,2026-09-03T19:36:05.815908+00:00
2022-12-21,7.69,7.77,7.66,7.77,1700,7.77,2026-09-03T19:36:05.815908+00:00
2022-12-22,7.66,7.89,7.66,7.89,16525,7.89,2026-09-03T19:36:05.815908+00:00
2022-12-26,7.75,7.9,7.75,7.9,2370,7.9,2026-09-03T19:36:05.815908+00:00
2022-12-27,7.75,7.82,7.75,7.82,400,7.82,2026-09-03T19:36:05.815908+00:00
2022-12-28,7.82,7.82,7.75,7.8,680,7.8,2026-09-03T19:36:05.815908+00:00
2022-12-29,7.8,7.98,7.77,7.98,4250,7.98,2026-09-03T19:36:05.815908+00:00
2023-01-01,7.98,8.59,7.98,8.59,875,8.59,2026-09-03T19:36:05.815908+00:00
2023-01-02,8.42,8.42,8.1,8.42,500,8.42,2026-09-03T19:36:05.815908+00:00
2023-01-03,8.26,8.3,8.26,8.26,8230,8.26,2026-09-03T19:36:05.815908+00:00
2023-01-04,8.25,8.4,7.9,8.4,2800,8.4,2026-09-03T19:36:05.815908+00:00
2023-01-05,8.25,8.39,8.15,8.39,7475,8.39,2026-09-03T19:36:05.815908+00:00
2023-01-08,8.23,8.41,8.1,8.41,12800,8.41,2026-09-03T19:36:05.815908+00:00
2023-01-09,8.41,8.9,8.25,8.9,2400,8.9,2026-09-03T19:36:05.815908+00:00
2023-01-10,8.73,8.73,8.58,8.58,1300,8.58,2026-09-03T19:36:05.815908+00:00
2023-01-12,8.7,8.7,8.54,8.54,4420,8.54,2026-09-03T19:36:05.815908+00:00
2023-01-17,8.37,8.39,8.25,8.28,2625,8.28,2026-09-03T19:36:05.815908+00:00
2023-01-18,8.17,8.7,8.17,8.7,6896,8.7,2026-09-03T19:36:05.815908+00:00
2023-01-19,8.87,8.87,8.7,8.71,2200,8.71,2026-09-03T19:36:05.815908+00:00
2023-01-23,8.54,8.69,8.4,8.69,1200,8.69,2026-09-03T19:36:05.815908+00:00
