date,open,high,low,close,volume,adj_close,fetched_at
2015-12-22,315.0,321.0,321.0,321.0,10,321.0,2026-09-03T19:34:32.296647+00:00
2016-01-04,321.0,327.0,327.0,327.0,10,327.0,2026-09-03T19:34:32.296647+00:00
2016-01-05,327.0,339.0,333.0,339.0,20,339.0,2026-09-03T19:34:32.296647+00:00
2016-01-07,339.0,345.0,345.0,345.0,10,345.0,2026-09-03T19:34:32.296647+00:00
2016-01-11,345.0,379.0,351.0,379.0,50,379.0,2026-09-03T19:34:32.296647+00:00
2016-01-12,379.0,416.0,386.0,416.0,100,416.0,2026-09-03T19:34:32.296647+00:00
2016-05-08,416.0,436.0,436.0,436.0,20,436.0,2026-09-03T19:34:32.296647+00:00
2016-05-09,436.0,444.0,444.0,444.0,10,444.0,2026-09-03T19:34:32.296647+00:00
2016-05-15,444.0,452.0,452.0,452.0,10,452.0,2026-09-03T19:34:32.296647+00:00
2016-05-18,452.0,461.0,461.0,461.0,10,461.0,2026-09-03T19:34:32.296647+00:00
2016-05-22,461.0,507.0,484.0,507.0,60,507.0,2026-09-03T19:34:32.296647+00:00
2016-05-24,507.0,532.0,532.0,532.0,10,532.0,2026-09-03T19:34:32.296647+00:00
2016-06-06,532.0,542.0,542.0,542.0,10,542.0,2026-09-03T19:34:32.296647+00:00
2016-06-08,542.0,552.0,552.0,552.0,11,552.0,2026-09-03T19:34:32.296647+00:00
2016-06-20,552.0,563.0,563.0,563.0,10,563.0,2026-09-03T19:34:32.296647+00:00
2016-06-29,563.0,574.0,574.0,574.0,10,574.0,2026-09-03T19:34:32.296647+00:00
2016-07-14,574.0,585.0,585.0,585.0,11,585.0,2026-09-03T19:34:32.296647+00:00
2016-07-19,585.0,596.0,596.0,596.0,20,596.0,2026-09-03T19:34:32.296647+00:00
2016-07-20,596.0,607.0,607.0,607.0,10,607.0,2026-09-03T19:34:32.296647+00:00
2016-07-21,607.0,661.0,637.0,661.0,31,661.0,2026-09-03T19:34:32.296647+00:00
2016-07-25,661.0,674.0,674.0,674.0,10,674.0,2026-09-03T19:34:32.296647+00:00
2016-07-26,674.0,687.0,687.0,687.0,10,687.0,2026-09-03T19:34:32.296647+00:00
2016-08-03,687.0,714.0,700.0,714.0,20,714.0,2026-09-03T19:34:32.296647+00:00
2016-08-04,714.0,728.0,728.0,728.0,11,728.0,2026-09-03T19:34:32.296647+00:00
2016-08-16,728.0,756.0,742.0,756.0,20,756.0,2026-09-03T19:34:32.296647+00:00
2016-08-22,756.0,801.0,771.0,801.0,30,801.0,2026-09-03T19:34:32.296647+00:00
2016-08-30,801.0,817.0,817.0,817.0,10,817.0,2026-09-03T19:34:32.296647+00:00
2016-08-31,817.0,865.0,833.0,865.0,31,865.0,2026-09-03T19:34:32.296647+00:00
2016-09-01,865.0,882.0,882.0,882.0,11,882.0,2026-09-03T19:34:32.296647+00:00
2016-09-03,882.0,899.0,899.0,899.0,10,899.0,2026-09-03T19:34:32.296647+00:00
2016-09-04,882.0,899.0,899.0,899.0,10,899.0,2026-09-03T19:34:32.296647+00:00
2016-09-07,899.0,980.0,943.0,980.0,30,980.0,2026-09-03T19:34:32.296647+00:00
2016-09-14,980.0,999.0,999.0,999.0,10,999.0,2026-09-03T19:34:32.296647+00:00
2016-09-18,999.0,1079.0,1018.0,1079.0,160,1079.0,2026-09-03T19:34:32.296647+00:00
2016-09-20,1079.0,1144.0,1100.0,1144.0,30,1144.0,2026-09-03T19:34:32.296647+00:00
2016-09-21,1144.0,1225.0,1201.0,1225.0,20,1225.0,2026-09-03T19:34:32.296647+00:00
2016-09-25,1225.0,1249.0,1249.0,1249.0,10,1249.0,2026-09-03T19:34:32.296647+00:00
2016-09-26,1249.0,1311.0,1311.0,1311.0,40,1311.0,2026-09-03T19:34:32.296647+00:00
2016-09-27,1311.0,1442.0,1337.0,1442.0,63,1442.0,2026-09-03T19:34:32.296647+00:00
2016-10-05,1442.0,1470.0,1470.0,1470.0,11,1470.0,2026-09-03T19:34:32.296647+00:00
2016-10-06,1470.0,1499.0,1499.0,1499.0,10,1499.0,2026-09-03T19:34:32.296647+00:00
2016-10-16,1499.0,1528.0,1528.0,1528.0,10,1528.0,2026-09-03T19:34:32.296647+00:00
2016-10-18,1528.0,1680.0,1558.0,1680.0,113,1680.0,2026-09-03T19:34:32.296647+00:00
2016-10-19,1680.0,1848.0,1713.0,1848.0,55,1848.0,2026-09-03T19:34:32.296647+00:00
2016-10-20,1848.0,2032.0,1884.0,2032.0,51,2032.0,2026-09-03T19:34:32.296647+00:00
2016-10-23,2032.0,2235.0,2072.0,2235.0,72,2235.0,2026-09-03T19:34:32.296647+00:00
2016-10-24,2235.0,2458.0,2279.0,2458.0,563,2458.0,2026-09-03T19:34:32.296647+00:00
2016-10-25,2458.0,2703.0,2367.0,2395.0,3857,2395.0,2026-09-03T19:34:32.296647+00:00
2016-10-26,2395.0,2400.0,2306.0,2370.0,2546,2370.0,2026-09-03T19:34:32.296647+00:00
2016-10-27,2370.0,2370.0,2335.0,2341.0,630,2341.0,2026-09-03T19:34:32.296647+00:00
2016-11-03,2341.0,2428.0,2360.0,2400.0,963,2400.0,2026-09-03T19:34:32.296647+00:00
2016-11-07,2400.0,2400.0,2262.0,2280.0,452,2280.0,2026-09-03T19:34:32.296647+00:00
2016-11-08,2280.0,2315.0,2280.0,2285.0,1074,2285.0,2026-09-03T19:34:32.296647+00:00
2016-11-09,2285.0,2270.0,2182.0,2195.0,1020,2195.0,2026-09-03T19:34:32.296647+00:00
2016-11-10,2195.0,2238.0,2145.0,2146.0,600,2146.0,2026-09-03T19:34:32.296647+00:00
2016-11-13,2146.0,2150.0,2030.0,2030.0,603,2030.0,2026-09-03T19:34:32.296647+00:00
2016-11-14,2030.0,2111.0,2000.0,2000.0,629,2000.0,2026-09-03T19:34:32.296647+00:00
2016-11-15,2000.0,2050.0,1950.0,1950.0,886,1950.0,2026-09-03T19:34:32.296647+00:00
2016-11-16,1950.0,1911.0,1841.0,1841.0,343,1841.0,2026-09-03T19:34:32.296647+00:00
2016-11-17,1841.0,1914.0,1761.0,1761.0,878,1761.0,2026-09-03T19:34:32.296647+00:00
2016-11-20,1761.0,1761.0,1650.0,1650.0,557,1650.0,2026-09-03T19:34:32.296647+00:00
2016-11-21,1650.0,1683.0,1553.0,1580.0,4439,1580.0,2026-09-03T19:34:32.296647+00:00
2016-11-22,1580.0,1549.0,1422.0,1422.0,345,1422.0,2026-09-03T19:34:32.296647+00:00
2016-11-23,1422.0,1430.0,1373.0,1401.0,695,1401.0,2026-09-03T19:34:32.296647+00:00
2016-11-24,1401.0,1402.0,1340.0,1390.0,544,1390.0,2026-09-03T19:34:32.296647+00:00
