date,open,high,low,close,volume,adj_close,fetched_at
2019-06-02,279.0,279.0,279.0,279.0,20,279.0,2026-09-03T19:35:06.753556+00:00
2019-06-03,292.0,292.0,292.0,292.0,10,292.0,2026-09-03T19:35:06.753556+00:00
2019-06-04,306.0,312.0,306.0,312.0,20,312.0,2026-09-03T19:35:06.753556+00:00
2019-06-06,327.0,327.0,327.0,327.0,10,327.0,2026-09-03T19:35:06.753556+00:00
2019-06-16,343.0,343.0,343.0,343.0,10,343.0,2026-09-03T19:35:06.753556+00:00
2019-06-17,360.0,360.0,360.0,360.0,750,360.0,2026-09-03T19:35:06.753556+00:00
2019-06-18,378.0,385.0,378.0,385.0,20,385.0,2026-09-03T19:35:06.753556+00:00
2019-06-20,404.0,423.0,404.0,423.0,200,423.0,2026-09-03T19:35:06.753556+00:00
2019-06-23,444.0,465.0,444.0,465.0,210,465.0,2026-09-03T19:35:06.753556+00:00
2019-06-24,488.0,511.0,456.0,462.0,10977,462.0,2026-09-03T19:35:06.753556+00:00
2019-06-25,466.0,466.0,440.0,440.0,6120,440.0,2026-09-03T19:35:06.753556+00:00
2019-06-26,462.0,462.0,409.0,412.0,4160,412.0,2026-09-03T19:35:06.753556+00:00
2019-06-27,405.0,410.0,397.0,405.0,2900,405.0,2026-09-03T19:35:06.753556+00:00
2019-06-30,405.0,410.0,380.0,381.0,3915,381.0,2026-09-03T19:35:06.753556+00:00
2019-07-01,381.0,395.0,369.0,393.0,1780,393.0,2026-09-03T19:35:06.753556+00:00
2019-07-02,390.0,395.0,382.0,387.0,1310,387.0,2026-09-03T19:35:06.753556+00:00
2019-07-03,387.0,406.0,383.0,398.0,1475,398.0,2026-09-03T19:35:06.753556+00:00
2019-07-04,392.0,410.0,392.0,398.0,1300,398.0,2026-09-03T19:35:06.753556+00:00
2019-07-07,400.0,405.0,384.0,392.0,900,392.0,2026-09-03T19:35:06.753556+00:00
2019-07-08,390.0,395.0,379.0,388.0,880,388.0,2026-09-03T19:35:06.753556+00:00
2019-07-09,390.0,402.0,384.0,402.0,1000,402.0,2026-09-03T19:35:06.753556+00:00
2019-07-10,396.0,400.0,392.0,392.0,450,392.0,2026-09-03T19:35:06.753556+00:00
2019-07-11,399.0,401.0,392.0,400.0,900,400.0,2026-09-03T19:35:06.753556+00:00
2019-07-14,400.0,400.0,385.0,385.0,400,385.0,2026-09-03T19:35:06.753556+00:00
2019-07-15,392.0,405.0,386.0,400.0,470,400.0,2026-09-03T19:35:06.753556+00:00
2019-07-16,400.0,400.0,390.0,400.0,440,400.0,2026-09-03T19:35:06.753556+00:00
2019-07-17,392.0,400.0,385.0,391.0,240,391.0,2026-09-03T19:35:06.753556+00:00
