date,open,high,low,close,volume,adj_close,fetched_at
2019-06-06,237.0,237.0,237.0,237.0,10,237.0,2026-09-03T19:35:04.780428+00:00
2019-06-10,248.0,248.0,248.0,248.0,10,248.0,2026-09-03T19:35:04.780428+00:00
2019-06-11,260.0,260.0,260.0,260.0,10,260.0,2026-09-03T19:35:04.780428+00:00
2019-06-12,273.0,273.0,273.0,273.0,10,273.0,2026-09-03T19:35:04.780428+00:00
2019-06-16,286.0,291.0,286.0,291.0,20,291.0,2026-09-03T19:35:04.780428+00:00
2019-06-18,305.0,311.0,305.0,311.0,20,311.0,2026-09-03T19:35:04.780428+00:00
2019-06-19,326.0,326.0,326.0,326.0,10,326.0,2026-09-03T19:35:04.780428+00:00
2019-06-23,342.0,358.0,342.0,358.0,550,358.0,2026-09-03T19:35:04.780428+00:00
2019-06-24,375.0,393.0,375.0,393.0,90,393.0,2026-09-03T19:35:04.780428+00:00
2019-06-25,412.0,432.0,412.0,432.0,890,432.0,2026-09-03T19:35:04.780428+00:00
2019-06-26,453.0,462.0,424.0,434.0,21479,434.0,2026-09-03T19:35:04.780428+00:00
2019-06-27,430.0,438.0,430.0,436.0,6495,436.0,2026-09-03T19:35:04.780428+00:00
2019-06-30,436.0,443.0,422.0,432.0,7780,432.0,2026-09-03T19:35:04.780428+00:00
2019-07-01,424.0,434.0,424.0,426.0,2960,426.0,2026-09-03T19:35:04.780428+00:00
2019-07-02,422.0,437.0,422.0,434.0,2060,434.0,2026-09-03T19:35:04.780428+00:00
2019-07-03,434.0,476.0,426.0,460.0,5670,460.0,2026-09-03T19:35:04.780428+00:00
2019-07-04,460.0,469.0,450.0,464.0,3691,464.0,2026-09-03T19:35:04.780428+00:00
2019-07-07,455.0,460.0,446.0,450.0,1590,450.0,2026-09-03T19:35:04.780428+00:00
2019-07-08,450.0,452.0,440.0,445.0,1928,445.0,2026-09-03T19:35:04.780428+00:00
2019-07-09,445.0,453.0,429.0,438.0,830,438.0,2026-09-03T19:35:04.780428+00:00
2019-07-10,430.0,441.0,430.0,441.0,576,441.0,2026-09-03T19:35:04.780428+00:00
2019-07-11,437.0,445.0,437.0,445.0,2205,445.0,2026-09-03T19:35:04.780428+00:00
2019-07-14,445.0,450.0,432.0,440.0,790,440.0,2026-09-03T19:35:04.780428+00:00
2019-07-15,435.0,448.0,433.0,448.0,1450,448.0,2026-09-03T19:35:04.780428+00:00
2019-07-16,441.0,450.0,441.0,446.0,1300,446.0,2026-09-03T19:35:04.780428+00:00
2019-07-17,441.0,459.0,441.0,454.0,1380,454.0,2026-09-03T19:35:04.780428+00:00
2019-07-18,454.0,461.0,452.0,454.0,560,454.0,2026-09-03T19:35:04.780428+00:00
2019-07-21,452.0,465.0,452.0,465.0,1705,465.0,2026-09-03T19:35:04.780428+00:00
2019-07-22,460.0,475.0,460.0,474.0,2250,474.0,2026-09-03T19:35:04.780428+00:00
2019-07-23,470.0,494.0,469.0,493.0,1954,493.0,2026-09-03T19:35:04.780428+00:00
2019-07-24,495.0,538.0,495.0,538.0,3695,538.0,2026-09-03T19:35:04.780428+00:00
2019-07-25,528.0,538.0,512.0,518.0,6768,518.0,2026-09-03T19:35:04.780428+00:00
2019-07-28,515.0,527.0,486.0,521.0,5185,521.0,2026-09-03T19:35:04.780428+00:00
2019-07-29,530.0,540.0,508.0,532.0,7930,532.0,2026-09-03T19:35:04.780428+00:00
2019-07-30,540.0,570.0,530.0,554.0,7035,554.0,2026-09-03T19:35:04.780428+00:00
2019-07-31,560.0,609.0,538.0,609.0,9471,609.0,2026-09-03T19:35:04.780428+00:00
2019-08-01,620.0,669.0,587.0,633.0,12138,633.0,2026-09-03T19:35:04.780428+00:00
2019-08-04,645.0,654.0,613.0,613.0,6605,613.0,2026-09-03T19:35:04.780428+00:00
2019-08-05,613.0,625.0,577.0,582.0,7514,582.0,2026-09-03T19:35:04.780428+00:00
2019-08-06,571.0,571.0,531.0,554.0,2950,554.0,2026-09-03T19:35:04.780428+00:00
2019-08-07,544.0,601.0,536.0,591.0,3728,591.0,2026-09-03T19:35:04.780428+00:00
2019-08-08,590.0,590.0,570.0,578.0,2070,578.0,2026-09-03T19:35:04.780428+00:00
2019-08-11,578.0,598.0,560.0,567.0,1150,567.0,2026-09-03T19:35:04.780428+00:00
2019-08-12,556.0,585.0,556.0,582.0,1160,582.0,2026-09-03T19:35:04.780428+00:00
2019-08-13,580.0,592.0,573.0,581.0,2038,581.0,2026-09-03T19:35:04.780428+00:00
2019-08-14,580.0,585.0,573.0,580.0,1170,580.0,2026-09-03T19:35:04.780428+00:00
2019-08-15,569.0,574.0,564.0,564.0,965,564.0,2026-09-03T19:35:04.780428+00:00
2019-08-18,570.0,570.0,562.0,564.0,1300,564.0,2026-09-03T19:35:04.780428+00:00
2019-08-19,559.0,592.0,557.0,581.0,570,581.0,2026-09-03T19:35:04.780428+00:00
2019-08-20,585.0,588.0,562.0,569.0,1550,569.0,2026-09-03T19:35:04.780428+00:00
2019-08-21,558.0,570.0,525.0,538.0,4726,538.0,2026-09-03T19:35:04.780428+00:00
2019-08-22,530.0,540.0,519.0,527.0,2160,527.0,2026-09-03T19:35:04.780428+00:00
2019-08-25,527.0,530.0,514.0,518.0,1490,518.0,2026-09-03T19:35:04.780428+00:00
2019-08-26,526.0,528.0,515.0,515.0,1240,515.0,2026-09-03T19:35:04.780428+00:00
2019-08-27,515.0,545.0,512.0,534.0,1314,534.0,2026-09-03T19:35:04.780428+00:00
2019-08-28,544.0,544.0,520.0,526.0,520,526.0,2026-09-03T19:35:04.780428+00:00
2019-08-29,520.0,525.0,518.0,518.0,450,518.0,2026-09-03T19:35:04.780428+00:00
2019-09-01,520.0,520.0,510.0,514.0,390,514.0,2026-09-03T19:35:04.780428+00:00
2019-09-02,515.0,515.0,487.0,500.0,1051,500.0,2026-09-03T19:35:04.780428+00:00
2019-09-03,491.0,515.0,490.0,511.0,731,511.0,2026-09-03T19:35:04.780428+00:00
2019-09-04,515.0,525.0,503.0,525.0,1081,525.0,2026-09-03T19:35:04.780428+00:00
2019-09-05,526.0,529.0,511.0,512.0,1065,512.0,2026-09-03T19:35:04.780428+00:00
2019-09-08,521.0,521.0,503.0,503.0,1680,503.0,2026-09-03T19:35:04.780428+00:00
2019-09-09,506.0,516.0,496.0,502.0,910,502.0,2026-09-03T19:35:04.780428+00:00
2019-09-10,500.0,510.0,495.0,497.0,1590,497.0,2026-09-03T19:35:04.780428+00:00
2019-09-11,500.0,500.0,488.0,498.0,607,498.0,2026-09-03T19:35:04.780428+00:00
2019-09-12,489.0,492.0,482.0,489.0,390,489.0,2026-09-03T19:35:04.780428+00:00
2019-09-15,498.0,498.0,448.0,448.0,2645,448.0,2026-09-03T19:35:04.780428+00:00
2019-09-16,442.0,460.0,442.0,459.0,960,459.0,2026-09-03T19:35:04.780428+00:00
2019-09-17,460.0,483.0,451.0,483.0,1270,483.0,2026-09-03T19:35:04.780428+00:00
2019-09-18,483.0,502.0,472.0,502.0,847,502.0,2026-09-03T19:35:04.780428+00:00
2019-09-19,495.0,495.0,473.0,485.0,358,485.0,2026-09-03T19:35:04.780428+00:00
2019-09-22,467.0,470.0,458.0,470.0,380,470.0,2026-09-03T19:35:04.780428+00:00
2019-09-23,470.0,475.0,462.0,469.0,300,469.0,2026-09-03T19:35:04.780428+00:00
2019-09-24,461.0,475.0,461.0,475.0,344,475.0,2026-09-03T19:35:04.780428+00:00
2019-09-25,476.0,481.0,460.0,463.0,490,463.0,2026-09-03T19:35:04.780428+00:00
2019-09-26,464.0,465.0,454.0,461.0,380,461.0,2026-09-03T19:35:04.780428+00:00
2019-09-29,453.0,464.0,453.0,462.0,130,462.0,2026-09-03T19:35:04.780428+00:00
2019-09-30,462.0,471.0,454.0,468.0,840,468.0,2026-09-03T19:35:04.780428+00:00
2019-10-01,472.0,472.0,459.0,460.0,160,460.0,2026-09-03T19:35:04.780428+00:00
2019-10-02,460.0,460.0,448.0,460.0,805,460.0,2026-09-03T19:35:04.780428+00:00
2019-10-03,456.0,466.0,456.0,460.0,1050,460.0,2026-09-03T19:35:04.780428+00:00
2019-10-10,453.0,454.0,453.0,454.0,20,454.0,2026-09-03T19:35:04.780428+00:00
2019-10-14,455.0,463.0,454.0,454.0,370,454.0,2026-09-03T19:35:04.780428+00:00
2019-10-15,450.0,456.0,450.0,454.0,60,454.0,2026-09-03T19:35:04.780428+00:00
2019-10-16,457.0,464.0,456.0,460.0,230,460.0,2026-09-03T19:35:04.780428+00:00
2019-10-17,460.0,460.0,456.0,460.0,100,460.0,2026-09-03T19:35:04.780428+00:00
2019-10-20,461.0,461.0,452.0,452.0,200,452.0,2026-09-03T19:35:04.780428+00:00
2019-10-21,454.0,455.0,445.0,447.0,600,447.0,2026-09-03T19:35:04.780428+00:00
2019-10-22,445.0,458.0,441.0,447.0,690,447.0,2026-09-03T19:35:04.780428+00:00
2019-10-23,447.0,455.0,445.0,453.0,220,453.0,2026-09-03T19:35:04.780428+00:00
2019-10-24,454.0,470.0,447.0,470.0,80,470.0,2026-09-03T19:35:04.780428+00:00
2019-10-31,470.0,479.0,455.0,461.0,906,461.0,2026-09-03T19:35:04.780428+00:00
2019-11-03,460.0,469.0,456.0,469.0,689,469.0,2026-09-03T19:35:04.780428+00:00
2019-11-04,460.0,468.0,453.0,468.0,540,468.0,2026-09-03T19:35:04.780428+00:00
2019-11-05,468.0,475.0,451.0,460.0,310,460.0,2026-09-03T19:35:04.780428+00:00
2019-11-06,451.0,460.0,451.0,454.0,695,454.0,2026-09-03T19:35:04.780428+00:00
2019-11-07,453.0,453.0,447.0,451.0,290,451.0,2026-09-03T19:35:04.780428+00:00
2019-11-10,445.0,451.0,445.0,450.0,400,450.0,2026-09-03T19:35:04.780428+00:00
2019-11-11,455.0,480.0,450.0,472.0,2151,472.0,2026-09-03T19:35:04.780428+00:00
2019-11-12,473.0,489.0,464.0,480.0,1794,480.0,2026-09-03T19:35:04.780428+00:00
2019-11-13,471.0,480.0,462.0,472.0,310,472.0,2026-09-03T19:35:04.780428+00:00
2019-11-14,472.0,481.0,470.0,480.0,410,480.0,2026-09-03T19:35:04.780428+00:00
2019-11-17,485.0,520.0,485.0,510.0,4803,510.0,2026-09-03T19:35:04.780428+00:00
2019-11-18,505.0,510.0,495.0,496.0,1290,496.0,2026-09-03T19:35:04.780428+00:00
2019-11-19,491.0,500.0,490.0,492.0,790,492.0,2026-09-03T19:35:04.780428+00:00
2019-11-20,493.0,500.0,493.0,500.0,310,500.0,2026-09-03T19:35:04.780428+00:00
2019-11-21,500.0,500.0,466.0,490.0,1252,490.0,2026-09-03T19:35:04.780428+00:00
2019-11-24,482.0,490.0,467.0,481.0,265,481.0,2026-09-03T19:35:04.780428+00:00
2019-11-25,489.0,499.0,475.0,490.0,853,490.0,2026-09-03T19:35:04.780428+00:00
2019-11-26,490.0,512.0,486.0,487.0,810,487.0,2026-09-03T19:35:04.780428+00:00
2019-11-27,487.0,501.0,487.0,491.0,180,491.0,2026-09-03T19:35:04.780428+00:00
2019-11-28,492.0,494.0,490.0,491.0,1160,491.0,2026-09-03T19:35:04.780428+00:00
2019-12-01,484.0,493.0,484.0,490.0,180,490.0,2026-09-03T19:35:04.780428+00:00
2019-12-02,499.0,503.0,490.0,503.0,562,503.0,2026-09-03T19:35:04.780428+00:00
2019-12-03,501.0,505.0,493.0,495.0,3171,495.0,2026-09-03T19:35:04.780428+00:00
2019-12-04,470.0,487.0,470.0,480.0,799,480.0,2026-09-03T19:35:04.780428+00:00
2019-12-05,489.0,513.0,486.0,513.0,695,513.0,2026-09-03T19:35:04.780428+00:00
2019-12-08,511.0,530.0,501.0,530.0,2086,530.0,2026-09-03T19:35:04.780428+00:00
2019-12-09,530.0,547.0,530.0,539.0,660,539.0,2026-09-03T19:35:04.780428+00:00
2019-12-10,549.0,560.0,525.0,537.0,2468,537.0,2026-09-03T19:35:04.780428+00:00
2019-12-11,540.0,590.0,540.0,590.0,7080,590.0,2026-09-03T19:35:04.780428+00:00
2019-12-12,600.0,620.0,578.0,604.0,7535,604.0,2026-09-03T19:35:04.780428+00:00
2019-12-15,600.0,600.0,561.0,588.0,3230,588.0,2026-09-03T19:35:04.780428+00:00
2019-12-16,577.0,607.0,553.0,590.0,1760,590.0,2026-09-03T19:35:04.780428+00:00
2019-12-17,597.0,597.0,558.0,573.0,1202,573.0,2026-09-03T19:35:04.780428+00:00
2019-12-18,573.0,573.0,565.0,565.0,640,565.0,2026-09-03T19:35:04.780428+00:00
2019-12-19,562.0,585.0,562.0,575.0,1263,575.0,2026-09-03T19:35:04.780428+00:00
2019-12-22,566.0,575.0,566.0,575.0,1010,575.0,2026-09-03T19:35:04.780428+00:00
2019-12-23,586.0,586.0,566.0,576.0,1090,576.0,2026-09-03T19:35:04.780428+00:00
2019-12-24,566.0,575.0,555.0,555.0,2229,555.0,2026-09-03T19:35:04.780428+00:00
2019-12-25,549.0,570.0,549.0,557.0,320,557.0,2026-09-03T19:35:04.780428+00:00
