date,open,high,low,close,volume,adj_close,fetched_at
2012-10-10,245.0,241.0,241.0,241.0,50,241.0,2026-09-03T19:33:53.013513+00:00
2012-12-05,241.0,237.0,237.0,237.0,378,237.0,2026-09-03T19:33:53.013513+00:00
2012-12-26,237.0,237.0,237.0,237.0,1871,237.0,2026-09-03T19:33:53.013513+00:00
2013-02-04,237.0,202.0,198.0,198.0,7051,198.0,2026-09-03T19:33:53.013513+00:00
2013-08-27,198.0,195.0,195.0,195.0,100,195.0,2026-09-03T19:33:53.013513+00:00
2013-09-10,195.0,192.0,190.0,190.0,402,190.0,2026-09-03T19:33:53.013513+00:00
2013-09-16,190.0,187.0,184.0,184.0,1526,184.0,2026-09-03T19:33:53.013513+00:00
2013-09-22,184.0,184.0,184.0,184.0,1000,184.0,2026-09-03T19:33:53.013513+00:00
2013-09-23,184.0,181.0,181.0,181.0,707,181.0,2026-09-03T19:33:53.013513+00:00
2013-10-22,181.0,0.0,0.0,181.0,1715,181.0,2026-09-03T19:33:53.013513+00:00
2013-12-03,181.0,184.0,184.0,184.0,12,184.0,2026-09-03T19:33:53.013513+00:00
2013-12-04,184.0,187.0,187.0,187.0,12,187.0,2026-09-03T19:33:53.013513+00:00
2013-12-05,187.0,190.0,190.0,190.0,10,190.0,2026-09-03T19:33:53.013513+00:00
2013-12-08,190.0,193.0,190.0,190.0,600,190.0,2026-09-03T19:33:53.013513+00:00
2013-12-09,190.0,193.0,187.0,193.0,1653,193.0,2026-09-03T19:33:53.013513+00:00
2013-12-10,193.0,196.0,196.0,196.0,10,196.0,2026-09-03T19:33:53.013513+00:00
2013-12-11,196.0,206.0,199.0,206.0,1030,206.0,2026-09-03T19:33:53.013513+00:00
2013-12-12,206.0,206.0,206.0,206.0,289,206.0,2026-09-03T19:33:53.013513+00:00
2014-01-21,179.0,176.0,176.0,176.0,95,176.0,2026-09-03T19:33:53.013513+00:00
2014-03-09,173.0,173.0,173.0,173.0,5270,173.0,2026-09-03T19:33:53.013513+00:00
2014-03-11,173.0,170.0,170.0,170.0,194,170.0,2026-09-03T19:33:53.013513+00:00
2014-03-13,170.0,170.0,170.0,170.0,330,170.0,2026-09-03T19:33:53.013513+00:00
2014-03-13,170.0,170.0,170.0,170.0,330,170.0,2026-09-03T19:33:53.013513+00:00
2014-03-26,170.0,167.0,167.0,167.0,200,167.0,2026-09-03T19:33:53.013513+00:00
2014-04-01,167.0,170.0,170.0,170.0,480,170.0,2026-09-03T19:33:53.013513+00:00
2014-04-15,170.0,167.0,167.0,167.0,72,167.0,2026-09-03T19:33:53.013513+00:00
2014-04-17,167.0,170.0,170.0,170.0,87,170.0,2026-09-03T19:33:53.013513+00:00
2014-04-20,170.0,170.0,170.0,170.0,255,170.0,2026-09-03T19:33:53.013513+00:00
2014-04-21,170.0,173.0,173.0,173.0,419,173.0,2026-09-03T19:33:53.013513+00:00
2014-04-22,173.0,176.0,170.0,176.0,497,176.0,2026-09-03T19:33:53.013513+00:00
2014-04-28,176.0,182.0,179.0,179.0,1337,179.0,2026-09-03T19:33:53.013513+00:00
2014-05-04,179.0,182.0,182.0,182.0,50,182.0,2026-09-03T19:33:53.013513+00:00
2014-05-05,182.0,180.0,180.0,180.0,817,180.0,2026-09-03T19:33:53.013513+00:00
2014-05-07,180.0,180.0,180.0,180.0,5534,180.0,2026-09-03T19:33:53.013513+00:00
2014-05-08,180.0,183.0,180.0,182.0,1443,182.0,2026-09-03T19:33:53.013513+00:00
2014-05-12,182.0,180.0,180.0,180.0,319,180.0,2026-09-03T19:33:53.013513+00:00
2014-05-13,180.0,182.0,181.0,181.0,1891,181.0,2026-09-03T19:33:53.013513+00:00
2014-05-15,181.0,181.0,181.0,181.0,143,181.0,2026-09-03T19:33:53.013513+00:00
2014-05-15,181.0,181.0,181.0,181.0,143,181.0,2026-09-03T19:33:53.013513+00:00
2014-05-18,181.0,181.0,181.0,181.0,191,181.0,2026-09-03T19:33:53.013513+00:00
