date,open,high,low,close,volume,adj_close,fetched_at
2017-01-31,490.0,498.0,476.0,480.0,641,480.0,2026-09-03T19:34:36.393252+00:00
2017-02-01,480.0,489.0,471.0,489.0,547,489.0,2026-09-03T19:34:36.393252+00:00
2017-02-02,489.0,491.0,480.0,480.0,800,480.0,2026-09-03T19:34:36.393252+00:00
2017-02-05,480.0,489.0,472.0,475.0,690,475.0,2026-09-03T19:34:36.393252+00:00
2017-02-06,475.0,475.0,470.0,470.0,340,470.0,2026-09-03T19:34:36.393252+00:00
2017-02-07,470.0,471.0,471.0,471.0,298,471.0,2026-09-03T19:34:36.393252+00:00
2017-02-08,471.0,473.0,473.0,473.0,110,473.0,2026-09-03T19:34:36.393252+00:00
2017-02-09,473.0,464.0,445.0,445.0,350,445.0,2026-09-03T19:34:36.393252+00:00
2017-02-12,445.0,440.0,419.0,419.0,415,419.0,2026-09-03T19:34:36.393252+00:00
2017-02-13,419.0,411.0,400.0,400.0,340,400.0,2026-09-03T19:34:36.393252+00:00
2017-02-14,400.0,401.0,395.0,395.0,580,395.0,2026-09-03T19:34:36.393252+00:00
2017-02-15,395.0,397.0,381.0,397.0,1486,397.0,2026-09-03T19:34:36.393252+00:00
2017-02-16,397.0,402.0,395.0,395.0,748,395.0,2026-09-03T19:34:36.393252+00:00
2017-02-19,395.0,402.0,402.0,402.0,100,402.0,2026-09-03T19:34:36.393252+00:00
2017-02-20,402.0,415.0,402.0,415.0,200,415.0,2026-09-03T19:34:36.393252+00:00
2017-02-21,415.0,423.0,410.0,418.0,906,418.0,2026-09-03T19:34:36.393252+00:00
2017-02-22,418.0,421.0,418.0,418.0,150,418.0,2026-09-03T19:34:36.393252+00:00
2017-02-23,418.0,410.0,408.0,408.0,110,408.0,2026-09-03T19:34:36.393252+00:00
2017-02-26,408.0,416.0,400.0,408.0,430,408.0,2026-09-03T19:34:36.393252+00:00
2017-02-28,408.0,408.0,400.0,401.0,230,401.0,2026-09-03T19:34:36.393252+00:00
2017-03-01,401.0,393.0,373.0,373.0,178,373.0,2026-09-03T19:34:36.393252+00:00
2017-03-02,373.0,394.0,380.0,394.0,450,394.0,2026-09-03T19:34:36.393252+00:00
2017-03-05,394.0,410.0,398.0,410.0,476,410.0,2026-09-03T19:34:36.393252+00:00
2017-03-06,410.0,418.0,410.0,418.0,157,418.0,2026-09-03T19:34:36.393252+00:00
2017-03-07,418.0,416.0,416.0,416.0,22,416.0,2026-09-03T19:34:36.393252+00:00
2017-03-09,416.0,420.0,413.0,420.0,254,420.0,2026-09-03T19:34:36.393252+00:00
2017-03-14,420.0,420.0,411.0,411.0,353,411.0,2026-09-03T19:34:36.393252+00:00
2017-03-15,411.0,412.0,400.0,400.0,150,400.0,2026-09-03T19:34:36.393252+00:00
2017-03-16,400.0,410.0,402.0,410.0,100,410.0,2026-09-03T19:34:36.393252+00:00
2017-03-19,410.0,405.0,405.0,405.0,50,405.0,2026-09-03T19:34:36.393252+00:00
2017-03-20,405.0,410.0,410.0,410.0,21,410.0,2026-09-03T19:34:36.393252+00:00
2017-03-21,410.0,420.0,411.0,420.0,261,420.0,2026-09-03T19:34:36.393252+00:00
2017-03-22,420.0,427.0,425.0,427.0,60,427.0,2026-09-03T19:34:36.393252+00:00
2017-03-23,427.0,442.0,427.0,442.0,310,442.0,2026-09-03T19:34:36.393252+00:00
2017-03-26,442.0,459.0,450.0,450.0,126,450.0,2026-09-03T19:34:36.393252+00:00
2017-03-28,450.0,480.0,459.0,480.0,237,480.0,2026-09-03T19:34:36.393252+00:00
2017-03-29,480.0,494.0,484.0,494.0,182,494.0,2026-09-03T19:34:36.393252+00:00
2017-03-30,494.0,502.0,485.0,502.0,360,502.0,2026-09-03T19:34:36.393252+00:00
2017-04-02,502.0,510.0,507.0,510.0,31,510.0,2026-09-03T19:34:36.393252+00:00
2017-04-03,510.0,510.0,475.0,475.0,601,475.0,2026-09-03T19:34:36.393252+00:00
2017-04-04,475.0,484.0,465.0,466.0,284,466.0,2026-09-03T19:34:36.393252+00:00
2017-04-06,466.0,512.0,475.0,512.0,547,512.0,2026-09-03T19:34:36.393252+00:00
2017-04-09,512.0,563.0,522.0,563.0,1397,563.0,2026-09-03T19:34:36.393252+00:00
2017-04-10,563.0,619.0,574.0,619.0,6060,619.0,2026-09-03T19:34:36.393252+00:00
2017-04-11,619.0,680.0,630.0,680.0,1509,680.0,2026-09-03T19:34:36.393252+00:00
2017-04-12,680.0,748.0,693.0,748.0,5115,748.0,2026-09-03T19:34:36.393252+00:00
2017-04-13,748.0,822.0,706.0,725.0,4966,725.0,2026-09-03T19:34:36.393252+00:00
2017-04-16,725.0,797.0,653.0,653.0,1188,653.0,2026-09-03T19:34:36.393252+00:00
2017-04-18,653.0,641.0,591.0,629.0,2761,629.0,2026-09-03T19:34:36.393252+00:00
2017-04-19,629.0,681.0,618.0,681.0,1733,681.0,2026-09-03T19:34:36.393252+00:00
2017-04-20,681.0,733.0,694.0,720.0,2016,720.0,2026-09-03T19:34:36.393252+00:00
2017-04-23,720.0,734.0,720.0,720.0,1501,720.0,2026-09-03T19:34:36.393252+00:00
2017-04-24,720.0,715.0,685.0,707.0,1794,707.0,2026-09-03T19:34:36.393252+00:00
2017-04-25,707.0,710.0,695.0,699.0,1484,699.0,2026-09-03T19:34:36.393252+00:00
2017-04-26,699.0,703.0,687.0,691.0,926,691.0,2026-09-03T19:34:36.393252+00:00
2017-04-27,691.0,701.0,680.0,689.0,572,689.0,2026-09-03T19:34:36.393252+00:00
2017-04-30,689.0,702.0,652.0,675.0,1292,675.0,2026-09-03T19:34:36.393252+00:00
2017-05-02,675.0,690.0,640.0,640.0,2016,640.0,2026-09-03T19:34:36.393252+00:00
2017-05-03,640.0,695.0,652.0,695.0,1166,695.0,2026-09-03T19:34:36.393252+00:00
2017-05-04,695.0,695.0,670.0,676.0,1808,676.0,2026-09-03T19:34:36.393252+00:00
2017-05-07,676.0,665.0,646.0,646.0,571,646.0,2026-09-03T19:34:36.393252+00:00
2017-05-08,646.0,655.0,630.0,633.0,310,633.0,2026-09-03T19:34:36.393252+00:00
2017-05-09,633.0,660.0,645.0,650.0,257,650.0,2026-09-03T19:34:36.393252+00:00
2017-05-11,650.0,651.0,625.0,637.0,993,637.0,2026-09-03T19:34:36.393252+00:00
2017-05-15,637.0,640.0,627.0,639.0,351,639.0,2026-09-03T19:34:36.393252+00:00
2017-05-16,639.0,669.0,620.0,656.0,117,656.0,2026-09-03T19:34:36.393252+00:00
2017-05-17,656.0,665.0,640.0,640.0,187,640.0,2026-09-03T19:34:36.393252+00:00
2017-05-18,640.0,635.0,631.0,633.0,293,633.0,2026-09-03T19:34:36.393252+00:00
2017-05-21,633.0,645.0,633.0,645.0,894,645.0,2026-09-03T19:34:36.393252+00:00
2017-05-22,645.0,646.0,642.0,644.0,120,644.0,2026-09-03T19:34:36.393252+00:00
2017-05-23,644.0,652.0,640.0,644.0,121,644.0,2026-09-03T19:34:36.393252+00:00
2017-05-24,644.0,650.0,632.0,650.0,532,650.0,2026-09-03T19:34:36.393252+00:00
2017-05-28,650.0,650.0,620.0,621.0,524,621.0,2026-09-03T19:34:36.393252+00:00
2017-05-30,621.0,642.0,620.0,620.0,693,620.0,2026-09-03T19:34:36.393252+00:00
2017-05-31,620.0,682.0,610.0,682.0,2823,682.0,2026-09-03T19:34:36.393252+00:00
2017-06-01,682.0,722.0,695.0,710.0,4897,710.0,2026-09-03T19:34:36.393252+00:00
2017-06-04,710.0,735.0,715.0,726.0,2486,726.0,2026-09-03T19:34:36.393252+00:00
2017-06-05,726.0,739.0,716.0,733.0,2162,733.0,2026-09-03T19:34:36.393252+00:00
2017-06-06,733.0,750.0,730.0,735.0,1336,735.0,2026-09-03T19:34:36.393252+00:00
2017-06-07,735.0,749.0,721.0,725.0,344,725.0,2026-09-03T19:34:36.393252+00:00
2017-06-08,725.0,739.0,715.0,726.0,973,726.0,2026-09-03T19:34:36.393252+00:00
2017-06-11,726.0,745.0,720.0,720.0,2452,720.0,2026-09-03T19:34:36.393252+00:00
2017-06-12,720.0,720.0,695.0,695.0,471,695.0,2026-09-03T19:34:36.393252+00:00
2017-06-13,695.0,710.0,686.0,708.0,932,708.0,2026-09-03T19:34:36.393252+00:00
2017-06-14,708.0,720.0,696.0,720.0,1053,720.0,2026-09-03T19:34:36.393252+00:00
2017-06-15,720.0,710.0,675.0,675.0,1531,675.0,2026-09-03T19:34:36.393252+00:00
2017-06-18,675.0,688.0,675.0,675.0,255,675.0,2026-09-03T19:34:36.393252+00:00
2017-06-19,675.0,688.0,675.0,675.0,90,675.0,2026-09-03T19:34:36.393252+00:00
2017-06-20,675.0,675.0,675.0,675.0,165,675.0,2026-09-03T19:34:36.393252+00:00
2017-06-21,675.0,676.0,657.0,657.0,279,657.0,2026-09-03T19:34:36.393252+00:00
2017-06-22,657.0,644.0,630.0,630.0,418,630.0,2026-09-03T19:34:36.393252+00:00
2017-06-25,630.0,642.0,622.0,640.0,113,640.0,2026-09-03T19:34:36.393252+00:00
2017-06-27,640.0,640.0,631.0,635.0,340,635.0,2026-09-03T19:34:36.393252+00:00
2017-06-28,635.0,638.0,615.0,638.0,350,638.0,2026-09-03T19:34:36.393252+00:00
2017-07-02,638.0,630.0,626.0,626.0,130,626.0,2026-09-03T19:34:36.393252+00:00
2017-07-04,626.0,630.0,616.0,620.0,130,620.0,2026-09-03T19:34:36.393252+00:00
2017-07-05,620.0,616.0,600.0,611.0,365,611.0,2026-09-03T19:34:36.393252+00:00
2017-07-06,611.0,630.0,610.0,630.0,130,630.0,2026-09-03T19:34:36.393252+00:00
2017-07-09,630.0,642.0,625.0,626.0,247,626.0,2026-09-03T19:34:36.393252+00:00
2017-07-10,626.0,620.0,608.0,612.0,140,612.0,2026-09-03T19:34:36.393252+00:00
2017-07-11,612.0,630.0,600.0,625.0,1221,625.0,2026-09-03T19:34:36.393252+00:00
2017-07-12,625.0,649.0,620.0,640.0,610,640.0,2026-09-03T19:34:36.393252+00:00
2017-07-13,640.0,644.0,616.0,627.0,671,627.0,2026-09-03T19:34:36.393252+00:00
2017-07-16,627.0,632.0,615.0,622.0,252,622.0,2026-09-03T19:34:36.393252+00:00
2017-07-17,622.0,628.0,614.0,620.0,338,620.0,2026-09-03T19:34:36.393252+00:00
2017-07-18,620.0,632.0,620.0,630.0,343,630.0,2026-09-03T19:34:36.393252+00:00
2017-07-19,630.0,642.0,635.0,635.0,270,635.0,2026-09-03T19:34:36.393252+00:00
2017-07-20,635.0,630.0,618.0,620.0,180,620.0,2026-09-03T19:34:36.393252+00:00
2017-07-23,620.0,625.0,610.0,625.0,236,625.0,2026-09-03T19:34:36.393252+00:00
2017-07-24,625.0,621.0,610.0,620.0,90,620.0,2026-09-03T19:34:36.393252+00:00
