date,open,high,low,close,volume,adj_close,fetched_at
2025-02-20,10.0,10.0,9.05,9.23,50670,9.23,2026-09-03T19:36:57.778219+00:00
2025-02-23,9.14,9.2,9.06,9.06,41080,9.06,2026-09-03T19:36:57.778219+00:00
2025-02-24,8.89,9.15,8.89,9.0,23341,9.0,2026-09-03T19:36:57.778219+00:00
2025-02-25,8.85,9.05,8.85,8.99,38650,8.99,2026-09-03T19:36:57.778219+00:00
2025-02-27,8.85,9.16,8.85,8.89,29240,8.89,2026-09-03T19:36:57.778219+00:00
2025-03-02,8.82,9.44,8.8,9.4,61490,9.4,2026-09-03T19:36:57.778219+00:00
2025-03-03,9.3,9.98,9.15,9.79,58951,9.79,2026-09-03T19:36:57.778219+00:00
2025-03-04,9.75,9.98,9.75,9.77,49094,9.77,2026-09-03T19:36:57.778219+00:00
2025-03-05,9.77,9.95,9.77,9.86,29350,9.86,2026-09-03T19:36:57.778219+00:00
2025-03-06,9.67,10.0,9.35,9.35,859900,9.35,2026-09-03T19:36:57.778219+00:00
2025-03-09,9.18,9.3,9.0,9.3,18190,9.3,2026-09-03T19:36:57.778219+00:00
2025-03-10,9.2,9.2,9.06,9.13,10450,9.13,2026-09-03T19:36:57.778219+00:00
2025-03-11,8.95,9.3,8.95,9.07,9250,9.07,2026-09-03T19:36:57.778219+00:00
2025-03-12,8.89,9.18,8.89,9.02,27100,9.02,2026-09-03T19:36:57.778219+00:00
2025-03-16,9.1,9.2,8.93,9.0,9520,9.0,2026-09-03T19:36:57.778219+00:00
2025-03-17,8.85,9.5,8.85,8.97,6200,8.97,2026-09-03T19:36:57.778219+00:00
2025-03-18,8.97,9.14,8.89,9.1,11329,9.1,2026-09-03T19:36:57.778219+00:00
2025-03-19,8.93,9.83,8.93,9.8,16290,9.8,2026-09-03T19:36:57.778219+00:00
2025-03-20,9.61,9.61,8.9,8.98,8549,8.98,2026-09-03T19:36:57.778219+00:00
2025-03-23,8.81,9.18,8.81,8.97,7400,8.97,2026-09-03T19:36:57.778219+00:00
2025-03-24,8.82,9.14,8.82,9.02,14950,9.02,2026-09-03T19:36:57.778219+00:00
2025-03-25,9.19,9.19,9.01,9.11,4050,9.11,2026-09-03T19:36:57.778219+00:00
2025-03-26,8.97,9.1,8.96,9.01,4300,9.01,2026-09-03T19:36:57.778219+00:00
2025-03-27,9.0,9.19,8.83,9.01,6350,9.01,2026-09-03T19:36:57.778219+00:00
2025-03-30,8.89,9.1,8.89,9.01,8070,9.01,2026-09-03T19:36:57.778219+00:00
2025-04-01,8.85,9.07,8.85,8.95,3550,8.95,2026-09-03T19:36:57.778219+00:00
2025-04-02,8.86,9.18,8.86,9.11,5860,9.11,2026-09-03T19:36:57.778219+00:00
2025-04-03,8.93,9.11,8.93,9.02,4600,9.02,2026-09-03T19:36:57.778219+00:00
2025-04-07,9.1,9.28,8.92,9.0,7496,9.0,2026-09-03T19:36:57.778219+00:00
2025-04-08,8.89,9.28,8.83,9.1,6890,9.1,2026-09-03T19:36:57.778219+00:00
2025-04-09,8.93,9.19,8.92,9.11,7050,9.11,2026-09-03T19:36:57.778219+00:00
2025-04-10,8.96,9.16,8.96,9.11,8200,9.11,2026-09-03T19:36:57.778219+00:00
2025-04-13,8.93,9.1,8.93,8.99,16860,8.99,2026-09-03T19:36:57.778219+00:00
2025-04-15,8.89,9.09,8.89,9.0,2950,9.0,2026-09-03T19:36:57.778219+00:00
2025-04-16,8.95,9.38,8.94,9.15,18560,9.15,2026-09-03T19:36:57.778219+00:00
2025-04-17,8.97,9.1,8.97,9.09,4800,9.09,2026-09-03T19:36:57.778219+00:00
2025-04-20,8.96,9.18,8.96,9.03,9830,9.03,2026-09-03T19:36:57.778219+00:00
2025-04-21,9.0,9.21,9.0,9.08,6900,9.08,2026-09-03T19:36:57.778219+00:00
2025-04-22,9.0,9.35,9.0,9.03,12100,9.03,2026-09-03T19:36:57.778219+00:00
2025-04-23,8.86,9.29,8.86,9.18,9410,9.18,2026-09-03T19:36:57.778219+00:00
2025-04-24,9.36,9.53,9.0,9.1,9300,9.1,2026-09-03T19:36:57.778219+00:00
2025-04-27,8.95,9.64,8.95,9.32,65800,9.32,2026-09-03T19:36:57.778219+00:00
2025-04-28,9.32,9.32,9.15,9.15,9400,9.15,2026-09-03T19:36:57.778219+00:00
2025-04-29,9.15,9.32,9.14,9.26,5050,9.26,2026-09-03T19:36:57.778219+00:00
2025-04-30,9.08,9.3,9.08,9.13,5000,9.13,2026-09-03T19:36:57.778219+00:00
