date,open,high,low,close,volume,adj_close,fetched_at
2022-04-19,271.1,298.2,271.1,298.2,292,298.2,2026-09-03T19:35:54.745186+00:00
2022-04-20,304.1,328.0,304.1,328.0,329,328.0,2026-09-03T19:35:54.745186+00:00
2022-04-21,334.5,360.8,334.5,360.8,2937,360.8,2026-09-03T19:35:54.745186+00:00
2022-04-24,368.0,396.8,368.0,396.8,23368,396.8,2026-09-03T19:35:54.745186+00:00
2022-04-25,404.7,436.4,373.0,399.0,117936,399.0,2026-09-03T19:35:54.745186+00:00
2022-04-26,400.0,406.0,375.0,390.0,31191,390.0,2026-09-03T19:35:54.745186+00:00
2022-04-27,390.0,390.0,376.0,385.0,19815,385.0,2026-09-03T19:35:54.745186+00:00
2022-04-28,390.0,392.0,376.6,377.4,17660,377.4,2026-09-03T19:35:54.745186+00:00
2022-05-02,370.0,371.0,339.7,358.0,33774,358.0,2026-09-03T19:35:54.745186+00:00
2022-05-04,359.0,359.0,322.2,324.5,39443,324.5,2026-09-03T19:35:54.745186+00:00
2022-05-05,318.2,323.0,303.0,304.0,17917,304.0,2026-09-03T19:35:54.745186+00:00
2022-05-08,304.0,316.0,288.2,310.0,21258,310.0,2026-09-03T19:35:54.745186+00:00
2022-05-09,315.0,315.0,297.0,305.0,9948,305.0,2026-09-03T19:35:54.745186+00:00
2022-05-10,311.1,315.0,298.9,307.0,16367,307.0,2026-09-03T19:35:54.745186+00:00
2022-05-11,307.0,334.5,303.2,325.5,21910,325.5,2026-09-03T19:35:54.745186+00:00
2022-05-12,328.8,336.0,313.6,320.7,18554,320.7,2026-09-03T19:35:54.745186+00:00
2022-05-17,318.0,318.0,291.5,291.5,15356,291.5,2026-09-03T19:35:54.745186+00:00
2022-05-18,292.0,307.0,284.3,305.0,16194,305.0,2026-09-03T19:35:54.745186+00:00
2022-05-19,300.0,306.0,290.0,300.0,13565,300.0,2026-09-03T19:35:54.745186+00:00
2022-05-20,295.0,306.0,290.2,295.0,7312,295.0,2026-09-03T19:35:54.745186+00:00
2022-05-23,289.1,295.0,285.5,286.4,7110,286.4,2026-09-03T19:35:54.745186+00:00
2022-05-24,285.0,297.0,282.1,290.7,9756,290.7,2026-09-03T19:35:54.745186+00:00
2022-05-25,294.7,299.0,285.4,290.5,4662,290.5,2026-09-03T19:35:54.745186+00:00
2022-05-26,290.5,298.8,286.1,291.0,9061,291.0,2026-09-03T19:35:54.745186+00:00
2022-05-27,290.0,295.0,285.4,289.9,10340,289.9,2026-09-03T19:35:54.745186+00:00
2022-05-30,285.0,295.0,280.0,281.0,6744,281.0,2026-09-03T19:35:54.745186+00:00
2022-05-31,276.0,280.0,271.0,280.0,9538,280.0,2026-09-03T19:35:54.745186+00:00
2022-06-01,276.0,282.9,271.4,276.0,4880,276.0,2026-09-03T19:35:54.745186+00:00
2022-06-02,271.1,279.4,269.1,271.0,5733,271.0,2026-09-03T19:35:54.745186+00:00
2022-06-03,266.0,277.4,266.0,271.0,9615,271.0,2026-09-03T19:35:54.745186+00:00
2022-06-06,270.0,279.9,270.0,270.0,6687,270.0,2026-09-03T19:35:54.745186+00:00
2022-06-07,265.0,273.0,260.2,261.1,8189,261.1,2026-09-03T19:35:54.745186+00:00
2022-06-08,256.0,287.0,256.0,275.0,11467,275.0,2026-09-03T19:35:54.745186+00:00
2022-06-09,275.0,280.5,265.1,265.1,7513,265.1,2026-09-03T19:35:54.745186+00:00
2022-06-10,270.3,291.6,270.0,291.6,27782,291.6,2026-09-03T19:35:54.745186+00:00
2022-06-13,297.4,320.7,297.4,320.7,33483,320.7,2026-09-03T19:35:54.745186+00:00
2022-06-14,327.1,352.0,296.6,300.0,59615,300.0,2026-09-03T19:35:54.745186+00:00
2022-06-15,294.0,306.0,279.0,290.5,21862,290.5,2026-09-03T19:35:54.745186+00:00
2022-06-16,296.0,310.0,280.0,302.0,12338,302.0,2026-09-03T19:35:54.745186+00:00
2022-06-17,300.0,308.9,292.1,300.5,11414,300.5,2026-09-03T19:35:54.745186+00:00
2022-06-19,295.1,298.8,288.3,290.0,12859,290.0,2026-09-03T19:35:54.745186+00:00
2022-06-20,284.2,284.2,274.6,277.8,12882,277.8,2026-09-03T19:35:54.745186+00:00
2022-06-21,280.0,291.7,274.4,290.7,13189,290.7,2026-09-03T19:35:54.745186+00:00
2022-06-22,285.0,286.6,278.0,286.6,9925,286.6,2026-09-03T19:35:54.745186+00:00
2022-06-23,280.9,280.9,266.0,266.0,11732,266.0,2026-09-03T19:35:54.745186+00:00
2022-06-24,265.0,291.7,255.1,276.0,7344,276.0,2026-09-03T19:35:54.745186+00:00
2022-06-26,276.0,299.5,276.0,298.0,15762,298.0,2026-09-03T19:35:54.745186+00:00
2022-06-27,292.1,300.0,283.0,287.0,14028,287.0,2026-09-03T19:35:54.745186+00:00
2022-06-28,281.3,290.5,277.1,284.8,11636,284.8,2026-09-03T19:35:54.745186+00:00
2022-06-29,280.0,310.0,276.0,308.2,24951,308.2,2026-09-03T19:35:54.745186+00:00
2022-06-30,308.0,323.0,303.0,316.0,25445,316.0,2026-09-03T19:35:54.745186+00:00
2022-07-01,312.0,322.0,307.0,309.0,17724,309.0,2026-09-03T19:35:54.745186+00:00
2022-07-03,305.0,326.0,303.1,322.0,32513,322.0,2026-09-03T19:35:54.745186+00:00
2022-07-04,325.0,331.0,310.0,325.0,37440,325.0,2026-09-03T19:35:54.745186+00:00
2022-07-05,318.5,331.0,310.0,315.0,22821,315.0,2026-09-03T19:35:54.745186+00:00
2022-07-06,310.3,316.0,305.0,315.0,12869,315.0,2026-09-03T19:35:54.745186+00:00
2022-07-07,315.0,326.0,309.0,314.0,16030,314.0,2026-09-03T19:35:54.745186+00:00
2022-07-08,314.0,314.0,299.0,304.0,10135,304.0,2026-09-03T19:35:54.745186+00:00
2022-07-11,300.2,300.2,284.0,284.0,9345,284.0,2026-09-03T19:35:54.745186+00:00
2022-07-12,285.0,300.0,283.0,289.4,11763,289.4,2026-09-03T19:35:54.745186+00:00
2022-07-13,283.7,302.5,283.7,298.0,13944,298.0,2026-09-03T19:35:54.745186+00:00
2022-07-14,292.1,310.0,292.1,310.0,22999,310.0,2026-09-03T19:35:54.745186+00:00
2022-07-15,311.0,312.0,297.0,303.5,11120,303.5,2026-09-03T19:35:54.745186+00:00
2022-07-17,298.0,309.0,297.8,299.2,10420,299.2,2026-09-03T19:35:54.745186+00:00
2022-07-18,294.0,310.0,294.0,307.0,13500,307.0,2026-09-03T19:35:54.745186+00:00
2022-07-19,307.0,328.0,306.0,324.0,45015,324.0,2026-09-03T19:35:54.745186+00:00
2022-07-20,318.0,329.5,316.6,318.1,18577,318.1,2026-09-03T19:35:54.745186+00:00
2022-07-21,313.0,337.0,312.4,324.0,40441,324.0,2026-09-03T19:35:54.745186+00:00
2022-07-22,330.0,330.0,314.6,321.0,27337,321.0,2026-09-03T19:35:54.745186+00:00
2022-07-24,320.0,352.0,316.0,350.0,71751,350.0,2026-09-03T19:35:54.745186+00:00
2022-07-25,355.0,372.0,345.0,369.9,58737,369.9,2026-09-03T19:35:54.745186+00:00
2022-07-26,362.6,369.8,345.1,354.9,43284,354.9,2026-09-03T19:35:54.745186+00:00
2022-07-27,354.9,379.0,340.0,377.4,51332,377.4,2026-09-03T19:35:54.745186+00:00
2022-07-28,380.0,387.0,353.0,362.9,54019,362.9,2026-09-03T19:35:54.745186+00:00
2022-07-29,364.8,366.0,353.2,362.0,16111,362.0,2026-09-03T19:35:54.745186+00:00
2022-07-31,360.0,372.0,356.0,369.9,58371,369.9,2026-09-03T19:35:54.745186+00:00
2022-08-01,369.0,380.0,360.9,370.0,57342,370.0,2026-09-03T19:35:54.745186+00:00
2022-08-02,363.1,375.0,363.1,373.9,20639,373.9,2026-09-03T19:35:54.745186+00:00
2022-08-03,366.5,402.0,366.5,390.0,63365,390.0,2026-09-03T19:35:54.745186+00:00
2022-08-04,397.0,410.1,377.0,395.0,71208,395.0,2026-09-03T19:35:54.745186+00:00
2022-08-05,387.1,401.0,380.0,387.4,24028,387.4,2026-09-03T19:35:54.745186+00:00
2022-08-07,380.0,402.9,380.0,392.0,44029,392.0,2026-09-03T19:35:54.745186+00:00
2022-08-08,392.0,405.0,385.4,390.1,29367,390.1,2026-09-03T19:35:54.745186+00:00
2022-08-09,382.3,389.0,375.0,380.0,27680,380.0,2026-09-03T19:35:54.745186+00:00
2022-08-10,375.0,386.9,365.0,378.3,24977,378.3,2026-09-03T19:35:54.745186+00:00
2022-08-11,385.0,392.0,375.0,379.9,44741,379.9,2026-09-03T19:35:54.745186+00:00
2022-08-14,372.4,379.8,353.5,365.4,24247,365.4,2026-09-03T19:35:54.745186+00:00
2022-08-15,358.1,383.0,358.1,383.0,16112,383.0,2026-09-03T19:35:54.745186+00:00
2022-08-16,375.4,386.0,364.1,366.1,20236,366.1,2026-09-03T19:35:54.745186+00:00
2022-08-17,360.3,380.0,360.3,370.1,13830,370.1,2026-09-03T19:35:54.745186+00:00
2022-08-18,370.0,389.0,366.6,378.0,34428,378.0,2026-09-03T19:35:54.745186+00:00
