date,open,high,low,close,volume,adj_close,fetched_at
2024-01-14,10.0,10.0,9.0,10.0,11380,10.0,2026-09-03T19:36:49.432108+00:00
2024-01-16,9.9,10.1,9.0,9.03,12850,9.03,2026-09-03T19:36:49.432108+00:00
2024-01-17,8.9,9.2,8.9,9.1,9250,9.1,2026-09-03T19:36:49.432108+00:00
2024-01-18,9.0,9.1,8.6,8.9,6460,8.9,2026-09-03T19:36:49.432108+00:00
2024-01-21,8.73,8.9,8.56,8.8,11010,8.8,2026-09-03T19:36:49.432108+00:00
2024-01-22,8.97,8.97,8.63,8.71,3500,8.71,2026-09-03T19:36:49.432108+00:00
2024-01-23,8.6,8.8,8.6,8.7,8700,8.7,2026-09-03T19:36:49.432108+00:00
2024-01-24,8.6,9.04,8.6,8.9,6500,8.9,2026-09-03T19:36:49.432108+00:00
2024-01-25,8.74,8.97,8.61,8.83,4100,8.83,2026-09-03T19:36:49.432108+00:00
2024-01-28,8.66,9.0,8.6,8.76,5600,8.76,2026-09-03T19:36:49.432108+00:00
2024-01-29,8.61,8.89,8.61,8.76,3900,8.76,2026-09-03T19:36:49.432108+00:00
2024-01-30,8.76,8.82,8.63,8.7,12830,8.7,2026-09-03T19:36:49.432108+00:00
2024-01-31,8.6,8.87,8.6,8.87,4050,8.87,2026-09-03T19:36:49.432108+00:00
2024-02-01,8.71,8.8,8.71,8.8,600,8.8,2026-09-03T19:36:49.432108+00:00
2024-02-04,8.65,8.97,8.65,8.8,3800,8.8,2026-09-03T19:36:49.432108+00:00
2024-02-05,8.63,8.87,8.63,8.8,3200,8.8,2026-09-03T19:36:49.432108+00:00
2024-02-06,8.66,8.88,8.66,8.71,1400,8.71,2026-09-03T19:36:49.432108+00:00
2024-02-07,8.6,8.9,8.58,8.76,2750,8.76,2026-09-03T19:36:49.432108+00:00
2024-02-08,8.76,8.93,8.66,8.7,2500,8.7,2026-09-03T19:36:49.432108+00:00
2024-02-11,8.7,9.09,8.58,8.74,2550,8.74,2026-09-03T19:36:49.432108+00:00
2024-02-12,8.74,8.74,8.62,8.7,3500,8.7,2026-09-03T19:36:49.432108+00:00
2024-02-13,8.7,8.87,8.68,8.87,1400,8.87,2026-09-03T19:36:49.432108+00:00
2024-02-14,8.8,9.0,8.8,9.0,6510,9.0,2026-09-03T19:36:49.432108+00:00
2024-02-15,8.82,8.9,8.72,8.76,207700,8.76,2026-09-03T19:36:49.432108+00:00
2024-02-18,8.76,9.63,8.76,8.94,42720,8.94,2026-09-03T19:36:49.432108+00:00
2024-02-20,9.0,9.15,8.85,9.0,7750,9.0,2026-09-03T19:36:49.432108+00:00
2024-02-21,8.82,8.82,8.63,8.63,2300,8.63,2026-09-03T19:36:49.432108+00:00
2024-02-22,8.46,9.01,8.46,8.83,108900,8.83,2026-09-03T19:36:49.432108+00:00
2024-02-25,8.67,8.83,8.67,8.71,1000,8.71,2026-09-03T19:36:49.432108+00:00
2024-02-26,8.7,8.7,8.6,8.6,1900,8.6,2026-09-03T19:36:49.432108+00:00
2024-02-27,8.6,9.45,8.43,9.02,4710,9.02,2026-09-03T19:36:49.432108+00:00
2024-02-28,8.84,8.84,8.68,8.8,10900,8.8,2026-09-03T19:36:49.432108+00:00
2024-02-29,8.63,8.63,8.46,8.54,2200,8.54,2026-09-03T19:36:49.432108+00:00
2024-03-03,8.54,9.04,8.4,8.55,4500,8.55,2026-09-03T19:36:49.432108+00:00
2024-03-05,8.38,8.94,8.3,8.94,53000,8.94,2026-09-03T19:36:49.432108+00:00
2024-03-06,8.8,9.35,8.8,9.35,650,9.35,2026-09-03T19:36:49.432108+00:00
