date,open,high,low,close,volume,adj_close,fetched_at
2023-10-11,285.2,313.7,285.2,313.7,102451,313.7,2026-09-03T19:36:45.329307+00:00
2023-10-12,319.9,345.0,319.9,345.0,73838,345.0,2026-09-03T19:36:45.329307+00:00
2023-10-16,351.9,358.9,310.5,310.5,166825,310.5,2026-09-03T19:36:45.329307+00:00
2023-10-17,304.3,304.3,281.0,284.0,159547,284.0,2026-09-03T19:36:45.329307+00:00
2023-10-18,280.0,312.0,279.5,307.6,64039,307.6,2026-09-03T19:36:45.329307+00:00
2023-10-19,307.6,324.0,300.0,314.0,63518,314.0,2026-09-03T19:36:45.329307+00:00
2023-10-29,314.0,314.0,299.1,304.2,81227,304.2,2026-09-03T19:36:45.329307+00:00
2023-10-30,300.0,309.9,300.0,307.4,35172,307.4,2026-09-03T19:36:45.329307+00:00
2023-10-31,306.0,319.9,303.3,318.0,34119,318.0,2026-09-03T19:36:45.329307+00:00
2023-11-01,314.1,324.0,314.0,322.0,61663,322.0,2026-09-03T19:36:45.329307+00:00
2023-11-02,319.0,346.0,319.0,335.0,78748,335.0,2026-09-03T19:36:45.329307+00:00
2023-11-05,328.3,338.5,328.3,332.6,45205,332.6,2026-09-03T19:36:45.329307+00:00
2023-11-06,330.0,365.8,330.0,365.8,106551,365.8,2026-09-03T19:36:45.329307+00:00
2023-11-07,362.0,395.0,359.0,377.0,82826,377.0,2026-09-03T19:36:45.329307+00:00
2023-11-08,375.0,382.5,367.5,367.5,46820,367.5,2026-09-03T19:36:45.329307+00:00
2023-11-09,360.2,369.9,356.0,357.0,100779,357.0,2026-09-03T19:36:45.329307+00:00
2023-11-20,359.0,391.7,355.0,383.0,88977,383.0,2026-09-03T19:36:45.329307+00:00
2023-11-21,380.0,396.7,375.0,394.0,69975,394.0,2026-09-03T19:36:45.329307+00:00
2023-11-22,390.0,430.0,388.0,417.6,96963,417.6,2026-09-03T19:36:45.329307+00:00
2023-11-23,410.0,438.6,410.0,418.0,95479,418.0,2026-09-03T19:36:45.329307+00:00
2023-11-26,418.0,433.0,410.0,411.0,114835,411.0,2026-09-03T19:36:45.329307+00:00
2023-11-27,406.1,426.0,402.0,421.8,64142,421.8,2026-09-03T19:36:45.329307+00:00
2023-11-28,425.0,448.0,414.1,437.0,54000,437.0,2026-09-03T19:36:45.329307+00:00
2023-11-29,437.5,448.0,427.0,427.1,48173,427.1,2026-09-03T19:36:45.329307+00:00
2023-11-30,422.1,429.9,420.0,422.0,57966,422.0,2026-09-03T19:36:45.329307+00:00
2023-12-03,419.0,444.0,416.5,442.0,73125,442.0,2026-09-03T19:36:45.329307+00:00
2023-12-04,446.0,449.0,435.0,440.0,53383,440.0,2026-09-03T19:36:45.329307+00:00
2023-12-05,433.0,444.0,427.0,428.0,52670,428.0,2026-09-03T19:36:45.329307+00:00
2023-12-06,419.5,440.7,419.5,439.0,51902,439.0,2026-09-03T19:36:45.329307+00:00
2023-12-07,439.0,472.0,436.0,461.0,117241,461.0,2026-09-03T19:36:45.329307+00:00
2023-12-10,470.2,497.0,470.2,495.0,16392,495.0,2026-09-03T19:36:45.329307+00:00
2023-12-11,504.0,544.5,478.5,544.0,166879,544.0,2026-09-03T19:36:45.329307+00:00
2023-12-12,545.0,598.4,545.0,595.0,99755,595.0,2026-09-03T19:36:45.329307+00:00
2023-12-13,606.9,654.0,595.0,626.0,133136,626.0,2026-09-03T19:36:45.329307+00:00
2023-12-14,620.0,642.6,608.0,620.1,146364,620.1,2026-09-03T19:36:45.329307+00:00
2023-12-17,632.0,682.1,608.0,682.1,140464,682.1,2026-09-03T19:36:45.329307+00:00
2023-12-18,695.7,750.3,685.0,750.3,99907,750.3,2026-09-03T19:36:45.329307+00:00
2023-12-19,765.0,825.3,760.0,825.3,178125,825.3,2026-09-03T19:36:45.329307+00:00
2023-12-20,841.8,907.8,841.0,907.8,81220,907.8,2026-09-03T19:36:45.329307+00:00
2023-12-21,925.9,980.0,880.0,923.0,162920,923.0,2026-09-03T19:36:45.329307+00:00
2023-12-24,904.6,925.0,830.7,832.1,344954,832.1,2026-09-03T19:36:45.329307+00:00
2023-12-27,816.0,855.1,780.0,796.5,201420,796.5,2026-09-03T19:36:45.329307+00:00
2023-12-28,725.0,796.4,721.0,796.4,120987,796.4,2026-09-03T19:36:45.329307+00:00
2024-01-01,812.3,876.0,800.0,876.0,199351,876.0,2026-09-03T19:36:45.329307+00:00
2024-01-02,893.5,958.0,893.5,925.0,165023,925.0,2026-09-03T19:36:45.329307+00:00
2024-01-03,925.0,982.0,887.0,975.0,149646,975.0,2026-09-03T19:36:45.329307+00:00
2024-01-04,975.0,1044.0,975.0,990.0,113755,990.0,2026-09-03T19:36:45.329307+00:00
2024-01-07,970.2,985.0,932.0,955.0,207302,955.0,2026-09-03T19:36:45.329307+00:00
2024-01-08,953.0,1044.9,940.0,1034.9,163864,1034.9,2026-09-03T19:36:45.329307+00:00
2024-01-09,1055.0,1118.0,1034.0,1040.0,86634,1040.0,2026-09-03T19:36:45.329307+00:00
2024-01-10,1030.0,1085.9,989.0,1000.0,136866,1000.0,2026-09-03T19:36:45.329307+00:00
2024-01-11,1000.0,1040.0,997.0,1000.0,127676,1000.0,2026-09-03T19:36:45.329307+00:00
2024-01-14,1020.0,1081.0,1005.0,1057.0,113981,1057.0,2026-09-03T19:36:45.329307+00:00
2024-01-16,1060.0,1123.0,1060.0,1087.0,145097,1087.0,2026-09-03T19:36:45.329307+00:00
2024-01-17,1087.0,1108.0,1014.3,1027.0,144350,1027.0,2026-09-03T19:36:45.329307+00:00
2024-01-18,1006.5,1035.0,986.0,995.0,130754,995.0,2026-09-03T19:36:45.329307+00:00
2024-01-21,1000.0,1013.0,935.0,950.0,147839,950.0,2026-09-03T19:36:45.329307+00:00
2024-01-22,960.0,969.0,911.0,918.0,107952,918.0,2026-09-03T19:36:45.329307+00:00
2024-01-23,930.0,950.0,916.0,948.0,65320,948.0,2026-09-03T19:36:45.329307+00:00
2024-01-24,960.0,975.0,903.0,913.0,72026,913.0,2026-09-03T19:36:45.329307+00:00
2024-01-25,931.0,931.0,878.0,882.0,76487,882.0,2026-09-03T19:36:45.329307+00:00
2024-01-28,899.0,965.0,883.0,959.0,142702,959.0,2026-09-03T19:36:45.329307+00:00
2024-01-29,960.0,1000.0,942.1,993.0,132343,993.0,2026-09-03T19:36:45.329307+00:00
2024-01-30,990.0,1014.9,965.3,975.0,103772,975.0,2026-09-03T19:36:45.329307+00:00
2024-01-31,990.0,990.0,945.0,950.4,121815,950.4,2026-09-03T19:36:45.329307+00:00
2024-02-01,938.0,961.9,918.0,918.0,72810,918.0,2026-09-03T19:36:45.329307+00:00
2024-02-04,899.7,940.0,899.7,929.0,58667,929.0,2026-09-03T19:36:45.329307+00:00
2024-02-05,910.5,974.3,910.5,973.0,86000,973.0,2026-09-03T19:36:45.329307+00:00
2024-02-06,973.0,999.0,962.0,989.0,73987,989.0,2026-09-03T19:36:45.329307+00:00
2024-02-07,1008.7,1008.7,970.0,988.7,62161,988.7,2026-09-03T19:36:45.329307+00:00
2024-02-08,982.0,990.0,970.0,980.0,55125,980.0,2026-09-03T19:36:45.329307+00:00
2024-02-11,960.5,975.0,943.0,952.1,86945,952.1,2026-09-03T19:36:45.329307+00:00
2024-02-12,933.1,980.0,933.1,974.9,36467,974.9,2026-09-03T19:36:45.329307+00:00
2024-02-13,974.9,974.9,936.0,937.0,47150,937.0,2026-09-03T19:36:45.329307+00:00
2024-02-14,930.0,966.9,925.0,942.0,61262,942.0,2026-09-03T19:36:45.329307+00:00
2024-02-15,923.2,953.0,916.6,923.0,49753,923.0,2026-09-03T19:36:45.329307+00:00
2024-02-18,920.0,920.0,897.0,904.0,51297,904.0,2026-09-03T19:36:45.329307+00:00
2024-02-20,892.0,909.3,881.0,888.0,34172,888.0,2026-09-03T19:36:45.329307+00:00
2024-02-21,905.0,905.0,873.0,875.0,26783,875.0,2026-09-03T19:36:45.329307+00:00
2024-02-22,875.0,892.0,848.0,850.0,43594,850.0,2026-09-03T19:36:45.329307+00:00
2024-02-25,864.0,866.0,813.7,814.0,33237,814.0,2026-09-03T19:36:45.329307+00:00
2024-02-26,830.2,836.0,805.9,834.0,25317,834.0,2026-09-03T19:36:45.329307+00:00
2024-02-27,845.0,849.9,824.0,830.0,20639,830.0,2026-09-03T19:36:45.329307+00:00
2024-02-28,824.0,877.0,823.9,857.0,52830,857.0,2026-09-03T19:36:45.329307+00:00
2024-02-29,860.0,890.0,840.0,843.5,76875,843.5,2026-09-03T19:36:45.329307+00:00
2024-03-03,830.5,861.0,830.3,843.0,37478,843.0,2026-09-03T19:36:45.329307+00:00
2024-03-04,859.0,900.0,859.0,892.0,6679,892.0,2026-09-03T19:36:45.329307+00:00
2024-03-05,900.0,900.0,855.0,863.9,73112,863.9,2026-09-03T19:36:45.329307+00:00
2024-03-06,848.0,886.0,842.0,869.0,52300,869.0,2026-09-03T19:36:45.329307+00:00
2024-03-07,872.0,928.2,866.0,918.0,107536,918.0,2026-09-03T19:36:45.329307+00:00
2024-03-10,920.0,958.0,920.0,937.0,77134,937.0,2026-09-03T19:36:45.329307+00:00
2024-03-12,955.0,955.0,915.0,915.0,64932,915.0,2026-09-03T19:36:45.329307+00:00
2024-03-13,933.3,944.0,906.0,908.0,69203,908.0,2026-09-03T19:36:45.329307+00:00
2024-03-14,926.1,926.1,895.0,897.5,48771,897.5,2026-09-03T19:36:45.329307+00:00
2024-03-17,915.4,915.4,894.0,897.0,36738,897.0,2026-09-03T19:36:45.329307+00:00
2024-03-18,914.9,914.9,884.0,889.0,29456,889.0,2026-09-03T19:36:45.329307+00:00
2024-03-19,906.7,906.7,873.0,875.0,23579,875.0,2026-09-03T19:36:45.329307+00:00
2024-03-20,892.5,892.5,866.0,870.0,25744,870.0,2026-09-03T19:36:45.329307+00:00
2024-03-21,887.4,887.4,855.0,860.0,26133,860.0,2026-09-03T19:36:45.329307+00:00
2024-03-25,852.0,892.5,847.0,880.0,29946,880.0,2026-09-03T19:36:45.329307+00:00
2024-03-26,888.0,897.5,872.0,884.9,37405,884.9,2026-09-03T19:36:45.329307+00:00
2024-03-27,884.0,900.0,874.1,879.8,18805,879.8,2026-09-03T19:36:45.329307+00:00
2024-03-28,871.0,894.9,866.1,884.0,48669,884.0,2026-09-03T19:36:45.329307+00:00
2024-03-31,866.4,929.0,866.4,909.0,105220,909.0,2026-09-03T19:36:45.329307+00:00
2024-04-01,909.0,917.9,889.0,890.0,37962,890.0,2026-09-03T19:36:45.329307+00:00
2024-04-02,897.0,922.0,893.3,899.0,27913,899.0,2026-09-03T19:36:45.329307+00:00
2024-04-03,891.0,911.9,885.0,890.0,26291,890.0,2026-09-03T19:36:45.329307+00:00
2024-04-04,875.1,898.9,875.1,880.0,25382,880.0,2026-09-03T19:36:45.329307+00:00
2024-04-07,897.6,897.6,880.0,885.1,32877,885.1,2026-09-03T19:36:45.329307+00:00
2024-04-09,885.1,915.0,876.0,876.0,30775,876.0,2026-09-03T19:36:45.329307+00:00
