date,open,high,low,close,volume,adj_close,fetched_at
2012-09-09,690.0,688.0,675.0,688.0,550,688.0,2026-09-03T19:33:15.696286+00:00
2012-09-10,688.0,690.0,680.0,680.0,1708,680.0,2026-09-03T19:33:15.696286+00:00
2012-09-11,680.0,700.0,681.0,698.0,913,698.0,2026-09-03T19:33:15.696286+00:00
2012-09-12,698.0,703.0,698.0,699.0,904,699.0,2026-09-03T19:33:15.696286+00:00
2012-09-13,699.0,707.0,702.0,707.0,677,707.0,2026-09-03T19:33:15.696286+00:00
2012-09-16,707.0,721.0,710.0,721.0,1686,721.0,2026-09-03T19:33:15.696286+00:00
2012-09-17,721.0,730.0,722.0,722.0,819,722.0,2026-09-03T19:33:15.696286+00:00
2012-09-18,722.0,731.0,719.0,723.0,1935,723.0,2026-09-03T19:33:15.696286+00:00
2012-09-19,723.0,719.0,705.0,715.0,1151,715.0,2026-09-03T19:33:15.696286+00:00
2012-09-20,715.0,729.0,714.0,719.0,866,719.0,2026-09-03T19:33:15.696286+00:00
2012-09-23,719.0,706.0,692.0,700.0,587,700.0,2026-09-03T19:33:15.696286+00:00
2012-09-24,700.0,700.0,690.0,697.0,1070,697.0,2026-09-03T19:33:15.696286+00:00
2012-09-25,697.0,692.0,690.0,690.0,726,690.0,2026-09-03T19:33:15.696286+00:00
2012-09-26,690.0,694.0,681.0,690.0,515,690.0,2026-09-03T19:33:15.696286+00:00
2012-09-30,695.0,700.0,690.0,691.0,1526,691.0,2026-09-03T19:33:15.696286+00:00
2012-10-01,691.0,699.0,675.0,699.0,634,699.0,2026-09-03T19:33:15.696286+00:00
2012-10-01,691.0,699.0,675.0,699.0,634,699.0,2026-09-03T19:33:15.696286+00:00
2012-10-02,699.0,700.0,687.0,700.0,445,700.0,2026-09-03T19:33:15.696286+00:00
2012-10-03,700.0,700.0,690.0,695.0,1052,695.0,2026-09-03T19:33:15.696286+00:00
2012-10-04,695.0,690.0,690.0,690.0,325,690.0,2026-09-03T19:33:15.696286+00:00
2012-10-07,690.0,695.0,690.0,694.0,834,694.0,2026-09-03T19:33:15.696286+00:00
2012-10-08,694.0,704.0,685.0,704.0,946,704.0,2026-09-03T19:33:15.696286+00:00
2012-10-09,704.0,704.0,689.0,689.0,680,689.0,2026-09-03T19:33:15.696286+00:00
2012-10-10,689.0,698.0,690.0,690.0,277,690.0,2026-09-03T19:33:15.696286+00:00
2012-10-11,690.0,690.0,685.0,685.0,580,685.0,2026-09-03T19:33:15.696286+00:00
2012-10-14,685.0,696.0,690.0,692.0,477,692.0,2026-09-03T19:33:15.696286+00:00
2012-10-15,692.0,710.0,700.0,710.0,165,710.0,2026-09-03T19:33:15.696286+00:00
2012-10-17,710.0,721.0,718.0,721.0,78,721.0,2026-09-03T19:33:15.696286+00:00
2012-10-18,721.0,730.0,718.0,730.0,94,730.0,2026-09-03T19:33:15.696286+00:00
2012-10-30,730.0,749.0,739.0,749.0,399,749.0,2026-09-03T19:33:15.696286+00:00
2012-10-31,749.0,778.0,745.0,764.0,1550,764.0,2026-09-03T19:33:15.696286+00:00
2012-11-01,764.0,753.0,745.0,751.0,2560,751.0,2026-09-03T19:33:15.696286+00:00
2012-11-04,751.0,760.0,752.0,760.0,1073,760.0,2026-09-03T19:33:15.696286+00:00
2012-11-05,760.0,784.0,746.0,770.0,1888,770.0,2026-09-03T19:33:15.696286+00:00
2012-11-06,770.0,780.0,760.0,776.0,1400,776.0,2026-09-03T19:33:15.696286+00:00
2012-11-07,776.0,800.0,785.0,798.0,1205,798.0,2026-09-03T19:33:15.696286+00:00
2012-11-08,798.0,826.0,795.0,810.0,6272,810.0,2026-09-03T19:33:15.696286+00:00
