date,open,high,low,close,volume,adj_close,fetched_at
2020-03-12,96.0,96.0,88.0,88.0,1390,88.0,2026-09-03T19:35:14.300226+00:00
2020-03-15,87.0,87.0,87.0,87.0,50,87.0,2026-09-03T19:35:14.300226+00:00
2020-03-16,86.0,86.0,86.0,86.0,80,86.0,2026-09-03T19:35:14.300226+00:00
2020-03-18,85.0,85.0,85.0,85.0,40,85.0,2026-09-03T19:35:14.300226+00:00
2020-03-22,84.0,84.0,82.0,82.0,220,82.0,2026-09-03T19:35:14.300226+00:00
2020-06-29,86.0,87.0,85.0,86.0,2190,86.0,2026-09-03T19:35:14.300226+00:00
2020-06-30,85.0,88.0,85.0,88.0,1800,88.0,2026-09-03T19:35:14.300226+00:00
2020-07-01,92.0,93.0,92.0,93.0,70,93.0,2026-09-03T19:35:14.300226+00:00
2020-07-02,92.0,92.0,92.0,92.0,10,92.0,2026-09-03T19:35:14.300226+00:00
2020-07-05,91.0,91.0,89.0,91.0,350,91.0,2026-09-03T19:35:14.300226+00:00
2020-07-06,90.0,90.0,90.0,90.0,70,90.0,2026-09-03T19:35:14.300226+00:00
2020-07-07,89.0,89.0,89.0,89.0,100,89.0,2026-09-03T19:35:14.300226+00:00
2020-07-08,93.0,93.0,90.0,90.0,190,90.0,2026-09-03T19:35:14.300226+00:00
2020-07-09,94.0,96.0,89.0,95.0,6340,95.0,2026-09-03T19:35:14.300226+00:00
2020-07-12,99.0,99.0,94.0,98.0,3520,98.0,2026-09-03T19:35:14.300226+00:00
2020-07-13,102.0,102.0,98.0,98.0,180,98.0,2026-09-03T19:35:14.300226+00:00
2020-07-14,102.0,107.0,98.0,102.0,3800,102.0,2026-09-03T19:35:14.300226+00:00
2020-07-15,107.0,112.0,102.0,106.0,3680,106.0,2026-09-03T19:35:14.300226+00:00
2020-07-16,104.0,104.0,104.0,104.0,30,104.0,2026-09-03T19:35:14.300226+00:00
2020-07-20,102.0,102.0,102.0,102.0,100,102.0,2026-09-03T19:35:14.300226+00:00
2020-07-21,100.0,100.0,92.0,92.0,206160,92.0,2026-09-03T19:35:14.300226+00:00
2020-07-22,92.0,98.0,86.0,97.0,1910,97.0,2026-09-03T19:35:14.300226+00:00
2020-07-23,96.0,96.0,96.0,96.0,20,96.0,2026-09-03T19:35:14.300226+00:00
2020-07-26,95.0,102.0,94.0,95.0,11360,95.0,2026-09-03T19:35:14.300226+00:00
2020-07-27,94.0,94.0,93.0,93.0,60,93.0,2026-09-03T19:35:14.300226+00:00
2020-07-28,92.0,92.0,88.0,91.0,540,91.0,2026-09-03T19:35:14.300226+00:00
2020-07-29,95.0,96.0,91.0,91.0,900,91.0,2026-09-03T19:35:14.300226+00:00
2020-07-30,91.0,94.0,90.0,91.0,800,91.0,2026-09-03T19:35:14.300226+00:00
2020-08-02,90.0,98.0,88.0,97.0,7960,97.0,2026-09-03T19:35:14.300226+00:00
2020-08-03,101.0,101.0,95.0,95.0,13940,95.0,2026-09-03T19:35:14.300226+00:00
2020-08-06,94.0,94.0,86.0,90.0,1770,90.0,2026-09-03T19:35:14.300226+00:00
2020-08-09,89.0,92.0,89.0,89.0,500,89.0,2026-09-03T19:35:14.300226+00:00
2020-08-10,88.0,93.0,81.0,92.0,5060,92.0,2026-09-03T19:35:14.300226+00:00
2020-08-11,96.0,97.0,94.0,94.0,280,94.0,2026-09-03T19:35:14.300226+00:00
2020-08-12,93.0,93.0,91.0,91.0,40,91.0,2026-09-03T19:35:14.300226+00:00
2020-08-13,90.0,90.0,87.0,87.0,570,87.0,2026-09-03T19:35:14.300226+00:00
2020-08-16,86.0,93.0,86.0,92.0,1080,92.0,2026-09-03T19:35:14.300226+00:00
2020-08-17,96.0,96.0,95.0,95.0,100,95.0,2026-09-03T19:35:14.300226+00:00
2020-08-18,99.0,99.0,93.0,93.0,200,93.0,2026-09-03T19:35:14.300226+00:00
2020-08-19,92.0,92.0,90.0,90.0,220,90.0,2026-09-03T19:35:14.300226+00:00
2020-08-20,89.0,91.0,85.0,90.0,1760,90.0,2026-09-03T19:35:14.300226+00:00
2020-08-24,94.0,94.0,90.0,92.0,250,92.0,2026-09-03T19:35:14.300226+00:00
2020-08-25,96.0,96.0,96.0,96.0,40,96.0,2026-09-03T19:35:14.300226+00:00
2020-08-26,96.0,98.0,95.0,97.0,2152,97.0,2026-09-03T19:35:14.300226+00:00
2020-08-27,101.0,105.0,88.0,95.0,41140,95.0,2026-09-03T19:35:14.300226+00:00
2020-08-30,99.0,99.0,96.0,96.0,40,96.0,2026-09-03T19:35:14.300226+00:00
2020-08-31,100.0,100.0,87.0,89.0,13068,89.0,2026-09-03T19:35:14.300226+00:00
2020-09-02,93.0,97.0,89.0,97.0,15150,97.0,2026-09-03T19:35:14.300226+00:00
2020-09-03,101.0,102.0,92.0,99.0,51010,99.0,2026-09-03T19:35:14.300226+00:00
2020-09-06,103.0,103.0,90.0,95.0,13220,95.0,2026-09-03T19:35:14.300226+00:00
2020-09-07,99.0,99.0,96.0,96.0,1480,96.0,2026-09-03T19:35:14.300226+00:00
2020-09-08,100.0,100.0,90.0,94.0,5840,94.0,2026-09-03T19:35:14.300226+00:00
2020-09-09,93.0,93.0,90.0,92.0,4080,92.0,2026-09-03T19:35:14.300226+00:00
2020-09-10,96.0,96.0,89.0,91.0,7560,91.0,2026-09-03T19:35:14.300226+00:00
2020-09-13,90.0,92.0,89.0,92.0,5010,92.0,2026-09-03T19:35:14.300226+00:00
2020-09-14,91.0,98.0,90.0,96.0,11890,96.0,2026-09-03T19:35:14.300226+00:00
2020-09-15,97.0,99.0,90.0,96.0,40080,96.0,2026-09-03T19:35:14.300226+00:00
2020-09-16,95.0,104.0,89.0,100.0,184325,100.0,2026-09-03T19:35:14.300226+00:00
2020-09-17,105.0,110.0,98.0,110.0,435991,110.0,2026-09-03T19:35:14.300226+00:00
2020-09-20,115.0,118.0,99.0,99.0,116385,99.0,2026-09-03T19:35:14.300226+00:00
2020-09-21,99.0,103.0,97.0,97.0,75870,97.0,2026-09-03T19:35:14.300226+00:00
2020-09-22,101.0,101.0,93.0,94.0,38150,94.0,2026-09-03T19:35:14.300226+00:00
2020-09-23,97.0,100.0,92.0,93.0,82984,93.0,2026-09-03T19:35:14.300226+00:00
2020-09-24,97.0,102.0,97.0,102.0,152597,102.0,2026-09-03T19:35:14.300226+00:00
2020-09-27,105.0,112.0,100.0,108.0,1358565,108.0,2026-09-03T19:35:14.300226+00:00
2020-09-28,110.0,115.0,106.0,109.0,869603,109.0,2026-09-03T19:35:14.300226+00:00
2020-09-29,109.0,119.0,109.0,119.0,930009,119.0,2026-09-03T19:35:14.300226+00:00
2020-09-30,124.0,130.0,122.0,130.0,651062,130.0,2026-09-03T19:35:14.300226+00:00
2020-10-01,130.0,142.0,123.0,125.0,360149,125.0,2026-09-03T19:35:14.300226+00:00
2020-10-04,123.0,125.0,113.0,118.0,734939,118.0,2026-09-03T19:35:14.300226+00:00
2020-10-05,123.0,129.0,116.0,127.0,593558,127.0,2026-09-03T19:35:14.300226+00:00
2020-10-06,129.0,139.0,127.0,136.0,670394,136.0,2026-09-03T19:35:14.300226+00:00
2020-10-07,136.0,149.0,135.0,149.0,752462,149.0,2026-09-03T19:35:14.300226+00:00
2020-10-08,152.0,154.0,135.0,143.0,489272,143.0,2026-09-03T19:35:14.300226+00:00
2020-10-11,141.0,145.0,133.0,136.0,514551,136.0,2026-09-03T19:35:14.300226+00:00
2020-10-12,134.0,140.0,133.0,135.0,205483,135.0,2026-09-03T19:35:14.300226+00:00
2020-10-13,135.0,140.0,126.0,131.0,255970,131.0,2026-09-03T19:35:14.300226+00:00
2020-10-14,137.0,137.0,124.0,128.0,224477,128.0,2026-09-03T19:35:14.300226+00:00
2020-10-15,125.0,133.0,125.0,125.0,140114,125.0,2026-09-03T19:35:14.300226+00:00
2020-10-20,127.0,137.0,127.0,137.0,253736,137.0,2026-09-03T19:35:14.300226+00:00
2020-10-21,143.0,145.0,136.0,140.0,474192,140.0,2026-09-03T19:35:14.300226+00:00
2020-10-22,140.0,142.0,136.0,137.0,235638,137.0,2026-09-03T19:35:14.300226+00:00
2020-10-28,139.0,139.0,134.0,137.0,89007,137.0,2026-09-03T19:35:14.300226+00:00
2020-10-29,136.0,144.0,136.0,140.0,263536,140.0,2026-09-03T19:35:14.300226+00:00
2020-11-01,141.0,146.0,139.0,143.0,411789,143.0,2026-09-03T19:35:14.300226+00:00
2020-11-02,150.0,150.0,141.0,142.0,136345,142.0,2026-09-03T19:35:14.300226+00:00
2020-11-03,144.0,144.0,139.0,142.0,114057,142.0,2026-09-03T19:35:14.300226+00:00
2020-11-04,142.0,144.0,141.0,142.0,141312,142.0,2026-09-03T19:35:14.300226+00:00
2020-11-05,144.0,147.0,141.0,146.0,341199,146.0,2026-09-03T19:35:14.300226+00:00
2020-11-08,148.0,157.0,146.0,156.0,616319,156.0,2026-09-03T19:35:14.300226+00:00
2020-11-09,160.0,160.0,150.0,151.0,392716,151.0,2026-09-03T19:35:14.300226+00:00
2020-11-10,154.0,157.0,151.0,154.0,285649,154.0,2026-09-03T19:35:14.300226+00:00
2020-11-11,154.0,156.0,152.0,153.0,144374,153.0,2026-09-03T19:35:14.300226+00:00
2020-11-12,153.0,154.0,150.0,152.0,263841,152.0,2026-09-03T19:35:14.300226+00:00
2020-11-18,150.0,152.0,146.0,148.0,194776,148.0,2026-09-03T19:35:14.300226+00:00
2020-11-19,148.0,152.0,146.0,150.0,345262,150.0,2026-09-03T19:35:14.300226+00:00
2020-11-22,157.0,157.0,144.0,147.0,187775,147.0,2026-09-03T19:35:14.300226+00:00
