date,open,high,low,close,volume,adj_close,fetched_at
2012-09-18,99.0,100.0,100.0,100.0,20,100.0,2026-09-03T19:33:48.447504+00:00
2013-02-05,100.0,98.0,98.0,98.0,330,98.0,2026-09-03T19:33:48.447504+00:00
2013-05-20,98.0,97.0,96.0,96.0,70,96.0,2026-09-03T19:33:48.447504+00:00
2013-07-07,96.0,98.0,97.0,98.0,80,98.0,2026-09-03T19:33:48.447504+00:00
2013-07-08,98.0,101.0,99.0,100.0,11240,100.0,2026-09-03T19:33:48.447504+00:00
2013-07-09,100.0,100.0,100.0,100.0,310,100.0,2026-09-03T19:33:48.447504+00:00
2013-08-01,100.0,100.0,100.0,100.0,609080,100.0,2026-09-03T19:33:48.447504+00:00
2013-08-04,100.0,100.0,100.0,100.0,120,100.0,2026-09-03T19:33:48.447504+00:00
2013-08-11,100.0,98.0,98.0,98.0,150,98.0,2026-09-03T19:33:48.447504+00:00
2013-10-07,98.0,99.0,99.0,99.0,400,99.0,2026-09-03T19:33:48.447504+00:00
2013-10-22,99.0,100.0,100.0,100.0,70,100.0,2026-09-03T19:33:48.447504+00:00
2013-10-31,100.0,98.0,98.0,98.0,40,98.0,2026-09-03T19:33:48.447504+00:00
2013-12-03,98.0,99.0,99.0,99.0,100,99.0,2026-09-03T19:33:48.447504+00:00
2014-03-24,99.0,100.0,100.0,100.0,60,100.0,2026-09-03T19:33:48.447504+00:00
2014-03-27,100.0,100.0,100.0,100.0,59000,100.0,2026-09-03T19:33:48.447504+00:00
2014-04-02,100.0,100.0,100.0,100.0,100,100.0,2026-09-03T19:33:48.447504+00:00
2014-04-03,100.0,110.0,102.0,110.0,100,110.0,2026-09-03T19:33:48.447504+00:00
2014-04-09,110.0,112.0,112.0,112.0,20,112.0,2026-09-03T19:33:48.447504+00:00
2014-04-17,112.0,116.0,114.0,116.0,1020,116.0,2026-09-03T19:33:48.447504+00:00
2014-04-23,116.0,118.0,118.0,118.0,100,118.0,2026-09-03T19:33:48.447504+00:00
2014-04-27,118.0,124.0,120.0,124.0,400,124.0,2026-09-03T19:33:48.447504+00:00
2014-04-29,124.0,128.0,126.0,128.0,1050,128.0,2026-09-03T19:33:48.447504+00:00
2014-05-08,128.0,134.0,130.0,134.0,1750,134.0,2026-09-03T19:33:48.447504+00:00
2014-06-17,134.0,140.0,136.0,140.0,30,140.0,2026-09-03T19:33:48.447504+00:00
2014-06-19,140.0,142.0,142.0,142.0,20,142.0,2026-09-03T19:33:48.447504+00:00
2014-06-25,142.0,153.0,144.0,153.0,60,153.0,2026-09-03T19:33:48.447504+00:00
2014-07-01,153.0,156.0,156.0,156.0,20,156.0,2026-09-03T19:33:48.447504+00:00
