date,open,high,low,close,volume,adj_close,fetched_at
2022-08-10,509.6,509.6,459.5,459.5,39935,459.5,2026-09-03T19:33:35.771353+00:00
2022-08-11,450.4,450.4,424.0,432.2,106384,432.2,2026-09-03T19:33:35.771353+00:00
2022-08-14,432.0,432.0,416.6,424.0,18955,424.0,2026-09-03T19:33:35.771353+00:00
2022-08-15,430.0,438.6,400.9,435.0,73423,435.0,2026-09-03T19:33:35.771353+00:00
2022-08-16,430.0,432.0,412.0,421.9,29833,421.9,2026-09-03T19:33:35.771353+00:00
2022-08-17,416.5,434.0,411.0,424.9,19105,424.9,2026-09-03T19:33:35.771353+00:00
2022-08-18,430.0,430.0,414.0,417.9,36151,417.9,2026-09-03T19:33:35.771353+00:00
2022-08-21,415.0,419.8,413.1,415.0,17196,415.0,2026-09-03T19:33:35.771353+00:00
2022-08-22,411.7,431.4,408.1,417.9,11844,417.9,2026-09-03T19:33:35.771353+00:00
2022-08-23,417.0,419.0,408.0,410.0,10994,410.0,2026-09-03T19:33:35.771353+00:00
2022-08-24,415.0,415.0,408.1,411.8,8711,411.8,2026-09-03T19:33:35.771353+00:00
2022-08-25,407.0,414.0,399.0,400.0,26968,400.0,2026-09-03T19:33:35.771353+00:00
2022-08-26,400.0,400.0,392.0,392.0,12876,392.0,2026-09-03T19:33:35.771353+00:00
2022-08-28,387.0,390.0,375.0,375.1,24649,375.1,2026-09-03T19:33:35.771353+00:00
2022-08-29,378.0,385.0,371.0,381.9,10683,381.9,2026-09-03T19:33:35.771353+00:00
2022-08-30,389.0,389.0,379.0,383.9,7955,383.9,2026-09-03T19:33:35.771353+00:00
2022-08-31,389.5,389.5,370.0,370.0,10845,370.0,2026-09-03T19:33:35.771353+00:00
2022-09-01,375.0,407.0,367.5,407.0,143616,407.0,2026-09-03T19:33:35.771353+00:00
2022-09-02,415.1,415.1,394.0,396.6,15502,396.6,2026-09-03T19:33:35.771353+00:00
2022-09-04,403.0,436.0,400.0,433.0,136843,433.0,2026-09-03T19:33:35.771353+00:00
2022-09-05,441.6,450.4,418.0,450.0,107791,450.0,2026-09-03T19:33:35.771353+00:00
2022-09-06,441.0,465.0,414.0,422.9,217023,422.9,2026-09-03T19:33:35.771353+00:00
2022-09-07,420.0,420.0,402.0,404.1,113241,404.1,2026-09-03T19:33:35.771353+00:00
2022-09-08,400.3,421.1,400.0,411.9,324764,411.9,2026-09-03T19:33:35.771353+00:00
2022-09-11,418.0,418.0,401.0,406.7,97751,406.7,2026-09-03T19:33:35.771353+00:00
2022-09-12,400.5,404.0,398.6,401.0,24198,401.0,2026-09-03T19:33:35.771353+00:00
2022-09-13,406.9,407.0,398.0,404.5,95720,404.5,2026-09-03T19:33:35.771353+00:00
2022-09-14,400.0,413.5,400.0,412.9,107208,412.9,2026-09-03T19:33:35.771353+00:00
2022-09-15,406.1,410.0,385.0,392.0,102070,392.0,2026-09-03T19:33:35.771353+00:00
2022-09-16,384.2,406.0,378.0,406.0,22169,406.0,2026-09-03T19:33:35.771353+00:00
2022-09-18,398.0,398.0,379.0,384.0,37496,384.0,2026-09-03T19:33:35.771353+00:00
2022-09-20,377.0,377.0,366.2,368.0,43519,368.0,2026-09-03T19:33:35.771353+00:00
2022-09-21,374.7,375.0,366.1,370.7,21990,370.7,2026-09-03T19:33:35.771353+00:00
2022-09-22,369.2,370.1,364.0,365.0,12540,365.0,2026-09-03T19:33:35.771353+00:00
2022-09-25,362.0,362.0,353.2,361.7,16852,361.7,2026-09-03T19:33:35.771353+00:00
2022-09-27,360.0,373.0,360.0,364.0,14044,364.0,2026-09-03T19:33:35.771353+00:00
2022-09-28,364.0,373.5,358.0,360.0,13456,360.0,2026-09-03T19:33:35.771353+00:00
2022-09-29,365.0,372.0,359.0,361.0,21240,361.0,2026-09-03T19:33:35.771353+00:00
2022-10-09,361.5,380.0,361.0,371.0,16093,371.0,2026-09-03T19:33:35.771353+00:00
2022-10-10,378.0,385.0,358.0,360.0,13167,360.0,2026-09-03T19:33:35.771353+00:00
2022-10-11,354.3,360.5,354.3,358.0,7037,358.0,2026-09-03T19:33:35.771353+00:00
2022-10-12,358.0,370.0,353.0,366.9,46735,366.9,2026-09-03T19:33:35.771353+00:00
2022-10-13,362.0,371.9,360.0,366.0,20827,366.0,2026-09-03T19:33:35.771353+00:00
2022-10-16,366.0,369.0,359.0,364.0,13343,364.0,2026-09-03T19:33:35.771353+00:00
2022-10-17,358.0,365.1,358.0,360.0,6848,360.0,2026-09-03T19:33:35.771353+00:00
2022-10-19,355.2,355.2,350.0,352.0,11153,352.0,2026-09-03T19:33:35.771353+00:00
2022-10-20,347.0,351.0,345.0,347.0,6445,347.0,2026-09-03T19:33:35.771353+00:00
2022-10-23,346.0,355.9,345.4,355.9,12627,355.9,2026-09-03T19:33:35.771353+00:00
2022-10-31,350.0,357.9,350.0,357.9,5366,357.9,2026-09-03T19:33:35.771353+00:00
2022-11-01,353.0,385.9,350.0,385.9,37852,385.9,2026-09-03T19:33:35.771353+00:00
2022-11-02,381.0,390.0,373.5,382.2,38180,382.2,2026-09-03T19:33:35.771353+00:00
2022-11-03,375.0,382.0,367.6,373.0,15032,373.0,2026-09-03T19:33:35.771353+00:00
2022-11-06,376.9,384.8,374.0,384.0,12242,384.0,2026-09-03T19:33:35.771353+00:00
2022-11-07,377.8,393.2,374.0,378.0,31273,378.0,2026-09-03T19:33:35.771353+00:00
2022-11-08,373.1,384.0,371.5,380.0,21387,380.0,2026-09-03T19:33:35.771353+00:00
2022-11-09,373.1,385.0,359.0,362.0,29947,362.0,2026-09-03T19:33:35.771353+00:00
2022-11-10,369.0,369.0,350.0,356.9,19995,356.9,2026-09-03T19:33:35.771353+00:00
2022-11-13,362.9,362.9,350.0,358.0,8227,358.0,2026-09-03T19:33:35.771353+00:00
2022-11-14,353.0,364.8,350.9,364.0,14649,364.0,2026-09-03T19:33:35.771353+00:00
2022-11-15,368.0,370.0,353.8,358.0,5997,358.0,2026-09-03T19:33:35.771353+00:00
2022-11-16,360.0,363.6,358.0,360.0,12396,360.0,2026-09-03T19:33:35.771353+00:00
2022-11-17,365.0,369.8,360.1,360.7,16148,360.7,2026-09-03T19:33:35.771353+00:00
2022-11-22,367.0,368.0,351.1,358.1,6783,358.1,2026-09-03T19:33:35.771353+00:00
2022-11-23,356.0,361.2,352.5,354.2,5829,354.2,2026-09-03T19:33:35.771353+00:00
2022-11-24,352.0,364.1,351.0,361.9,11146,361.9,2026-09-03T19:33:35.771353+00:00
2022-11-27,362.0,376.6,355.0,374.8,130479,374.8,2026-09-03T19:33:35.771353+00:00
2022-11-28,377.9,381.9,364.0,372.0,16934,372.0,2026-09-03T19:33:35.771353+00:00
2022-11-29,372.0,372.0,357.7,370.0,12295,370.0,2026-09-03T19:33:35.771353+00:00
2022-11-30,370.0,370.0,360.0,368.0,7941,368.0,2026-09-03T19:33:35.771353+00:00
2022-12-01,367.0,375.3,363.1,370.0,19645,370.0,2026-09-03T19:33:35.771353+00:00
2022-12-04,367.0,380.0,367.0,375.0,20608,375.0,2026-09-03T19:33:35.771353+00:00
2022-12-05,375.0,379.0,364.6,367.0,19357,367.0,2026-09-03T19:33:35.771353+00:00
2022-12-06,365.0,367.9,360.0,366.5,23370,366.5,2026-09-03T19:33:35.771353+00:00
2022-12-07,360.2,367.0,360.1,363.5,10910,363.5,2026-09-03T19:33:35.771353+00:00
2022-12-11,360.1,364.0,359.0,360.0,6650,360.0,2026-09-03T19:33:35.771353+00:00
2022-12-12,367.0,368.0,359.7,368.0,12496,368.0,2026-09-03T19:33:35.771353+00:00
2022-12-13,361.3,367.0,361.0,365.0,8360,365.0,2026-09-03T19:33:35.771353+00:00
2022-12-14,365.0,365.0,361.0,361.2,11252,361.2,2026-09-03T19:33:35.771353+00:00
2022-12-15,359.0,362.7,358.5,362.0,16839,362.0,2026-09-03T19:33:35.771353+00:00
2022-12-18,362.0,362.0,352.2,355.0,10626,355.0,2026-09-03T19:33:35.771353+00:00
2022-12-19,351.0,361.0,351.0,361.0,12782,361.0,2026-09-03T19:33:35.771353+00:00
2022-12-20,368.0,368.0,355.0,359.9,14136,359.9,2026-09-03T19:33:35.771353+00:00
