date,open,high,low,close,volume,adj_close,fetched_at
2022-08-30,214.2,231.0,214.2,231.0,2445,231.0,2026-09-03T19:34:29.541609+00:00
2022-08-31,235.6,254.1,235.6,254.1,50,254.1,2026-09-03T19:34:29.541609+00:00
2022-09-01,259.1,279.5,259.1,279.5,12469,279.5,2026-09-03T19:34:29.541609+00:00
2022-09-02,274.0,282.0,268.6,276.4,510,276.4,2026-09-03T19:34:29.541609+00:00
2022-09-04,276.0,298.0,276.0,291.4,11192,291.4,2026-09-03T19:34:29.541609+00:00
2022-09-05,285.6,288.0,281.1,281.1,1162,281.1,2026-09-03T19:34:29.541609+00:00
2022-09-06,286.7,292.4,280.0,291.2,1898,291.2,2026-09-03T19:34:29.541609+00:00
2022-09-07,285.4,285.4,285.4,285.4,10,285.4,2026-09-03T19:34:29.541609+00:00
2022-09-08,285.4,285.4,285.4,285.4,17,285.4,2026-09-03T19:34:29.541609+00:00
2022-09-11,291.0,291.0,268.8,268.8,2040,268.8,2026-09-03T19:34:29.541609+00:00
2022-09-12,273.0,273.0,269.0,269.0,280,269.0,2026-09-03T19:34:29.541609+00:00
2022-09-13,274.0,274.0,274.0,274.0,500,274.0,2026-09-03T19:34:29.541609+00:00
2022-09-14,279.4,291.8,276.4,281.8,1435,281.8,2026-09-03T19:34:29.541609+00:00
2022-09-15,276.2,276.2,265.6,265.7,2524,265.7,2026-09-03T19:34:29.541609+00:00
2022-09-16,261.0,281.0,260.5,281.0,1051,281.0,2026-09-03T19:34:29.541609+00:00
2022-09-18,275.4,275.4,265.0,265.0,366,265.0,2026-09-03T19:34:29.541609+00:00
2022-09-20,259.7,259.7,259.7,259.7,10,259.7,2026-09-03T19:34:29.541609+00:00
2022-09-21,264.0,269.0,255.0,269.0,1471,269.0,2026-09-03T19:34:29.541609+00:00
2022-09-22,263.7,263.7,254.3,254.3,350,254.3,2026-09-03T19:34:29.541609+00:00
2022-09-25,250.1,279.7,249.3,279.7,1630,279.7,2026-09-03T19:34:29.541609+00:00
2022-09-27,279.0,285.1,279.0,285.1,55,285.1,2026-09-03T19:34:29.541609+00:00
2022-09-28,290.5,290.5,290.5,290.5,10,290.5,2026-09-03T19:34:29.541609+00:00
2022-10-09,284.7,284.7,275.0,279.0,816282,279.0,2026-09-03T19:34:29.541609+00:00
2022-10-10,283.9,283.9,251.1,251.1,593932,251.1,2026-09-03T19:34:29.541609+00:00
2022-10-11,247.3,256.0,247.0,256.0,5315,256.0,2026-09-03T19:34:29.541609+00:00
2022-10-12,251.0,251.0,246.0,251.0,1740,251.0,2026-09-03T19:34:29.541609+00:00
