date,open,high,low,close,volume,adj_close,fetched_at
2016-08-24,325.0,339.0,325.0,335.0,20017,335.0,2026-09-03T19:34:34.479102+00:00
2016-08-28,335.0,346.0,330.0,331.0,16833,331.0,2026-09-03T19:34:34.479102+00:00
2016-08-29,331.0,334.0,321.0,326.0,25024,326.0,2026-09-03T19:34:34.479102+00:00
2016-08-30,326.0,338.0,326.0,331.0,28564,331.0,2026-09-03T19:34:34.479102+00:00
2016-08-31,331.0,333.0,320.0,325.0,18569,325.0,2026-09-03T19:34:34.479102+00:00
2016-09-01,325.0,328.0,320.0,325.0,19977,325.0,2026-09-03T19:34:34.479102+00:00
2016-09-03,325.0,325.0,317.0,320.0,18682,320.0,2026-09-03T19:34:34.479102+00:00
2016-09-04,325.0,325.0,317.0,320.0,18682,320.0,2026-09-03T19:34:34.479102+00:00
2016-09-05,320.0,324.0,312.0,324.0,20849,324.0,2026-09-03T19:34:34.479102+00:00
2016-09-06,324.0,326.0,316.0,320.0,23174,320.0,2026-09-03T19:34:34.479102+00:00
2016-09-07,320.0,325.0,314.0,321.0,13664,321.0,2026-09-03T19:34:34.479102+00:00
2016-09-08,321.0,329.0,317.0,324.0,22517,324.0,2026-09-03T19:34:34.479102+00:00
2016-09-11,324.0,330.0,315.0,316.0,28696,316.0,2026-09-03T19:34:34.479102+00:00
2016-09-12,316.0,319.0,311.0,313.0,31672,313.0,2026-09-03T19:34:34.479102+00:00
2016-09-14,313.0,314.0,303.0,305.0,33290,305.0,2026-09-03T19:34:34.479102+00:00
2016-09-18,305.0,315.0,303.0,305.0,28671,305.0,2026-09-03T19:34:34.479102+00:00
2016-09-20,305.0,306.0,298.0,299.0,22726,299.0,2026-09-03T19:34:34.479102+00:00
2016-09-21,299.0,303.0,295.0,301.0,29742,301.0,2026-09-03T19:34:34.479102+00:00
2016-09-22,301.0,307.0,296.0,300.0,22034,300.0,2026-09-03T19:34:34.479102+00:00
2016-09-25,300.0,304.0,289.0,295.0,12975,295.0,2026-09-03T19:34:34.479102+00:00
2016-09-26,295.0,300.0,295.0,298.0,20918,298.0,2026-09-03T19:34:34.479102+00:00
2016-09-27,298.0,303.0,295.0,300.0,45477,300.0,2026-09-03T19:34:34.479102+00:00
2016-09-28,300.0,301.0,295.0,301.0,19123,301.0,2026-09-03T19:34:34.479102+00:00
2016-09-29,301.0,302.0,297.0,297.0,24587,297.0,2026-09-03T19:34:34.479102+00:00
2016-10-02,297.0,310.0,295.0,308.0,10053,308.0,2026-09-03T19:34:34.479102+00:00
2016-10-03,308.0,311.0,301.0,305.0,7688,305.0,2026-09-03T19:34:34.479102+00:00
2016-10-04,305.0,309.0,297.0,300.0,12183,300.0,2026-09-03T19:34:34.479102+00:00
2016-10-05,300.0,304.0,299.0,300.0,11360,300.0,2026-09-03T19:34:34.479102+00:00
2016-10-06,300.0,305.0,298.0,300.0,16601,300.0,2026-09-03T19:34:34.479102+00:00
2016-10-16,300.0,303.0,295.0,299.0,16068,299.0,2026-09-03T19:34:34.479102+00:00
2016-10-17,299.0,300.0,292.0,299.0,8452,299.0,2026-09-03T19:34:34.479102+00:00
2016-10-18,299.0,300.0,291.0,300.0,12086,300.0,2026-09-03T19:34:34.479102+00:00
2016-10-19,300.0,303.0,294.0,297.0,20664,297.0,2026-09-03T19:34:34.479102+00:00
2016-10-20,297.0,299.0,296.0,298.0,16334,298.0,2026-09-03T19:34:34.479102+00:00
2016-10-23,298.0,300.0,294.0,300.0,17264,300.0,2026-09-03T19:34:34.479102+00:00
2016-10-24,300.0,299.0,293.0,296.0,6900,296.0,2026-09-03T19:34:34.479102+00:00
2016-10-25,296.0,299.0,284.0,293.0,10061,293.0,2026-09-03T19:34:34.479102+00:00
2016-10-26,293.0,291.0,281.0,283.0,14748,283.0,2026-09-03T19:34:34.479102+00:00
2016-10-27,283.0,287.0,280.0,286.0,13510,286.0,2026-09-03T19:34:34.479102+00:00
2016-11-03,286.0,286.0,280.0,284.0,3562,284.0,2026-09-03T19:34:34.479102+00:00
2016-11-07,284.0,285.0,278.0,280.0,9702,280.0,2026-09-03T19:34:34.479102+00:00
2016-11-08,280.0,285.0,278.0,284.0,15000,284.0,2026-09-03T19:34:34.479102+00:00
2016-11-09,284.0,289.0,271.0,275.0,22637,275.0,2026-09-03T19:34:34.479102+00:00
2016-11-10,275.0,292.0,275.0,282.0,24708,282.0,2026-09-03T19:34:34.479102+00:00
2016-11-13,282.0,281.0,270.0,277.0,23973,277.0,2026-09-03T19:34:34.479102+00:00
2016-11-14,277.0,284.0,268.0,279.0,21791,279.0,2026-09-03T19:34:34.479102+00:00
2016-11-15,279.0,281.0,272.0,281.0,43991,281.0,2026-09-03T19:34:34.479102+00:00
2016-11-16,281.0,290.0,277.0,283.0,20539,283.0,2026-09-03T19:34:34.479102+00:00
2016-11-17,283.0,280.0,273.0,278.0,18364,278.0,2026-09-03T19:34:34.479102+00:00
2016-11-20,278.0,282.0,265.0,272.0,24936,272.0,2026-09-03T19:34:34.479102+00:00
2016-11-21,272.0,277.0,260.0,274.0,13058,274.0,2026-09-03T19:34:34.479102+00:00
2016-11-22,274.0,279.0,269.0,275.0,27376,275.0,2026-09-03T19:34:34.479102+00:00
2016-11-23,275.0,278.0,270.0,272.0,10423,272.0,2026-09-03T19:34:34.479102+00:00
2016-11-24,272.0,275.0,260.0,269.0,13798,269.0,2026-09-03T19:34:34.479102+00:00
2016-11-27,269.0,264.0,248.0,257.0,13181,257.0,2026-09-03T19:34:34.479102+00:00
2016-11-28,257.0,257.0,236.0,257.0,13709,257.0,2026-09-03T19:34:34.479102+00:00
2016-11-29,257.0,265.0,250.0,260.0,13035,260.0,2026-09-03T19:34:34.479102+00:00
2016-11-30,260.0,270.0,260.0,265.0,13682,265.0,2026-09-03T19:34:34.479102+00:00
2016-12-01,265.0,273.0,255.0,267.0,28307,267.0,2026-09-03T19:34:34.479102+00:00
2016-12-04,267.0,268.0,256.0,261.0,23562,261.0,2026-09-03T19:34:34.479102+00:00
2016-12-05,261.0,264.0,251.0,258.0,7517,258.0,2026-09-03T19:34:34.479102+00:00
2016-12-06,258.0,260.0,250.0,259.0,7627,259.0,2026-09-03T19:34:34.479102+00:00
2016-12-07,259.0,264.0,255.0,260.0,7991,260.0,2026-09-03T19:34:34.479102+00:00
2016-12-08,260.0,257.0,249.0,251.0,6283,251.0,2026-09-03T19:34:34.479102+00:00
2016-12-11,251.0,252.0,248.0,251.0,15506,251.0,2026-09-03T19:34:34.479102+00:00
2016-12-12,251.0,252.0,244.0,250.0,8927,250.0,2026-09-03T19:34:34.479102+00:00
2016-12-14,250.0,253.0,245.0,250.0,5816,250.0,2026-09-03T19:34:34.479102+00:00
2016-12-15,250.0,255.0,245.0,253.0,8147,253.0,2026-09-03T19:34:34.479102+00:00
2016-12-18,253.0,252.0,247.0,249.0,5913,249.0,2026-09-03T19:34:34.479102+00:00
2016-12-19,249.0,253.0,245.0,245.0,14559,245.0,2026-09-03T19:34:34.479102+00:00
2016-12-20,245.0,246.0,237.0,242.0,5947,242.0,2026-09-03T19:34:34.479102+00:00
2016-12-21,242.0,241.0,234.0,238.0,14245,238.0,2026-09-03T19:34:34.479102+00:00
2016-12-22,238.0,241.0,234.0,238.0,15147,238.0,2026-09-03T19:34:34.479102+00:00
