date,open,high,low,close,volume,adj_close,fetched_at
2022-08-26,115.2,115.2,101.7,103.7,166062,103.7,2026-09-03T19:36:07.304326+00:00
2022-08-28,105.5,105.5,98.0,100.0,77430,100.0,2026-09-03T19:36:07.304326+00:00
2022-08-29,98.0,104.3,96.5,100.4,16850,100.4,2026-09-03T19:36:07.304326+00:00
2022-08-30,102.3,102.3,97.3,100.4,63770,100.4,2026-09-03T19:36:07.304326+00:00
2022-08-31,102.4,104.0,97.1,98.2,34940,98.2,2026-09-03T19:36:07.304326+00:00
2022-09-01,98.2,106.3,98.0,100.0,120254,100.0,2026-09-03T19:36:07.304326+00:00
2022-09-02,101.9,106.8,99.9,105.5,50310,105.5,2026-09-03T19:36:07.304326+00:00
2022-09-04,103.4,107.3,103.1,107.3,202424,107.3,2026-09-03T19:36:07.304326+00:00
2022-09-05,105.2,108.0,104.1,105.5,76871,105.5,2026-09-03T19:36:07.304326+00:00
2022-09-06,104.9,104.9,101.2,101.7,51890,101.7,2026-09-03T19:36:07.304326+00:00
2022-09-07,103.7,104.9,100.9,104.5,19640,104.5,2026-09-03T19:36:07.304326+00:00
2022-09-08,102.5,103.9,102.0,103.0,3020,103.0,2026-09-03T19:36:07.304326+00:00
2022-09-11,104.0,104.0,99.6,100.9,44033,100.9,2026-09-03T19:36:07.304326+00:00
2022-09-12,102.0,102.0,99.0,100.0,31060,100.0,2026-09-03T19:36:07.304326+00:00
2022-09-13,102.0,102.0,98.4,100.9,13931,100.9,2026-09-03T19:36:07.304326+00:00
2022-09-14,100.1,101.2,100.0,100.1,24920,100.1,2026-09-03T19:36:07.304326+00:00
2022-09-15,99.5,100.0,96.9,97.3,106477,97.3,2026-09-03T19:36:07.304326+00:00
2022-09-16,99.2,99.7,96.2,99.7,17370,99.7,2026-09-03T19:36:07.304326+00:00
2022-09-18,97.8,97.8,95.0,97.2,94975,97.2,2026-09-03T19:36:07.304326+00:00
